Rainfall - (MM), Year, Statistics, Country, ISO3
20.8757, 1901, Jan Average, Kazakhstan, KAZ
8.45223, 1901, Feb Average, Kazakhstan, KAZ
24.3651, 1901, Mar Average, Kazakhstan, KAZ
24.3765, 1901, Apr Average, Kazakhstan, KAZ
24.8349, 1901, May Average, Kazakhstan, KAZ
29.4995, 1901, Jun Average, Kazakhstan, KAZ
24.04, 1901, Jul Average, Kazakhstan, KAZ
21.6425, 1901, Aug Average, Kazakhstan, KAZ
19.1111, 1901, Sep Average, Kazakhstan, KAZ
21.9831, 1901, Oct Average, Kazakhstan, KAZ
26.0988, 1901, Nov Average, Kazakhstan, KAZ
28.2263, 1901, Dec Average, Kazakhstan, KAZ
32.3972, 1902, Jan Average, Kazakhstan, KAZ
7.98667, 1902, Feb Average, Kazakhstan, KAZ
23.9691, 1902, Mar Average, Kazakhstan, KAZ
18.5262, 1902, Apr Average, Kazakhstan, KAZ
29.2852, 1902, May Average, Kazakhstan, KAZ
22.2798, 1902, Jun Average, Kazakhstan, KAZ
27.4645, 1902, Jul Average, Kazakhstan, KAZ
14.559, 1902, Aug Average, Kazakhstan, KAZ
14.6119, 1902, Sep Average, Kazakhstan, KAZ
25.2837, 1902, Oct Average, Kazakhstan, KAZ
34.7312, 1902, Nov Average, Kazakhstan, KAZ
33.7244, 1902, Dec Average, Kazakhstan, KAZ
25.1731, 1903, Jan Average, Kazakhstan, KAZ
25.3323, 1903, Feb Average, Kazakhstan, KAZ
13.666, 1903, Mar Average, Kazakhstan, KAZ
8.78078, 1903, Apr Average, Kazakhstan, KAZ
35.1913, 1903, May Average, Kazakhstan, KAZ
32.533, 1903, Jun Average, Kazakhstan, KAZ
26.1789, 1903, Jul Average, Kazakhstan, KAZ
24.8238, 1903, Aug Average, Kazakhstan, KAZ
26.0156, 1903, Sep Average, Kazakhstan, KAZ
28.0364, 1903, Oct Average, Kazakhstan, KAZ
15.5616, 1903, Nov Average, Kazakhstan, KAZ
14.9591, 1903, Dec Average, Kazakhstan, KAZ
17.4403, 1904, Jan Average, Kazakhstan, KAZ
20.2502, 1904, Feb Average, Kazakhstan, KAZ
7.46331, 1904, Mar Average, Kazakhstan, KAZ
18.2904, 1904, Apr Average, Kazakhstan, KAZ
29.9579, 1904, May Average, Kazakhstan, KAZ
24.128, 1904, Jun Average, Kazakhstan, KAZ
11.5785, 1904, Jul Average, Kazakhstan, KAZ
22.6392, 1904, Aug Average, Kazakhstan, KAZ
8.93845, 1904, Sep Average, Kazakhstan, KAZ
16.6766, 1904, Oct Average, Kazakhstan, KAZ
23.3936, 1904, Nov Average, Kazakhstan, KAZ
36.6389, 1904, Dec Average, Kazakhstan, KAZ
21.5272, 1905, Jan Average, Kazakhstan, KAZ
12.3917, 1905, Feb Average, Kazakhstan, KAZ
9.13294, 1905, Mar Average, Kazakhstan, KAZ
16.0224, 1905, Apr Average, Kazakhstan, KAZ
33.7011, 1905, May Average, Kazakhstan, KAZ
32.8906, 1905, Jun Average, Kazakhstan, KAZ
37.9641, 1905, Jul Average, Kazakhstan, KAZ
42.1493, 1905, Aug Average, Kazakhstan, KAZ
12.1928, 1905, Sep Average, Kazakhstan, KAZ
9.18254, 1905, Oct Average, Kazakhstan, KAZ
23.8752, 1905, Nov Average, Kazakhstan, KAZ
26.0726, 1905, Dec Average, Kazakhstan, KAZ
20.2026, 1906, Jan Average, Kazakhstan, KAZ
6.76351, 1906, Feb Average, Kazakhstan, KAZ
21.1824, 1906, Mar Average, Kazakhstan, KAZ
21.3512, 1906, Apr Average, Kazakhstan, KAZ
28.4364, 1906, May Average, Kazakhstan, KAZ
30.1103, 1906, Jun Average, Kazakhstan, KAZ
24.1774, 1906, Jul Average, Kazakhstan, KAZ
29.8741, 1906, Aug Average, Kazakhstan, KAZ
19.1686, 1906, Sep Average, Kazakhstan, KAZ
16.1655, 1906, Oct Average, Kazakhstan, KAZ
26.756, 1906, Nov Average, Kazakhstan, KAZ
19.6562, 1906, Dec Average, Kazakhstan, KAZ
31.136, 1907, Jan Average, Kazakhstan, KAZ
9.56533, 1907, Feb Average, Kazakhstan, KAZ
14.7151, 1907, Mar Average, Kazakhstan, KAZ
24.1798, 1907, Apr Average, Kazakhstan, KAZ
30.358, 1907, May Average, Kazakhstan, KAZ
25.8941, 1907, Jun Average, Kazakhstan, KAZ
19.7197, 1907, Jul Average, Kazakhstan, KAZ
21.002, 1907, Aug Average, Kazakhstan, KAZ
28.4733, 1907, Sep Average, Kazakhstan, KAZ
34.0543, 1907, Oct Average, Kazakhstan, KAZ
24.6021, 1907, Nov Average, Kazakhstan, KAZ
22.8045, 1907, Dec Average, Kazakhstan, KAZ
24.233, 1908, Jan Average, Kazakhstan, KAZ
14.6206, 1908, Feb Average, Kazakhstan, KAZ
19.3637, 1908, Mar Average, Kazakhstan, KAZ
