Rainfall - (MM), Year, Statistics, Country, ISO3
21.6509, 1901, Jan Average, Kyrgyzstan, KGZ
2.70866, 1901, Feb Average, Kyrgyzstan, KGZ
37.7385, 1901, Mar Average, Kyrgyzstan, KGZ
37.8696, 1901, Apr Average, Kyrgyzstan, KGZ
95.7003, 1901, May Average, Kyrgyzstan, KGZ
90.14, 1901, Jun Average, Kyrgyzstan, KGZ
19.1081, 1901, Jul Average, Kyrgyzstan, KGZ
7.60376, 1901, Aug Average, Kyrgyzstan, KGZ
13.6138, 1901, Sep Average, Kyrgyzstan, KGZ
84.5544, 1901, Oct Average, Kyrgyzstan, KGZ
52.6385, 1901, Nov Average, Kyrgyzstan, KGZ
16.9764, 1901, Dec Average, Kyrgyzstan, KGZ
45.9553, 1902, Jan Average, Kyrgyzstan, KGZ
18.2979, 1902, Feb Average, Kyrgyzstan, KGZ
51.6932, 1902, Mar Average, Kyrgyzstan, KGZ
87.3072, 1902, Apr Average, Kyrgyzstan, KGZ
98.1318, 1902, May Average, Kyrgyzstan, KGZ
44.9573, 1902, Jun Average, Kyrgyzstan, KGZ
34.9818, 1902, Jul Average, Kyrgyzstan, KGZ
6.93141, 1902, Aug Average, Kyrgyzstan, KGZ
12.0472, 1902, Sep Average, Kyrgyzstan, KGZ
46.5191, 1902, Oct Average, Kyrgyzstan, KGZ
75.2284, 1902, Nov Average, Kyrgyzstan, KGZ
28.1747, 1902, Dec Average, Kyrgyzstan, KGZ
35.0038, 1903, Jan Average, Kyrgyzstan, KGZ
37.8153, 1903, Feb Average, Kyrgyzstan, KGZ
29.8965, 1903, Mar Average, Kyrgyzstan, KGZ
13.5148, 1903, Apr Average, Kyrgyzstan, KGZ
107.678, 1903, May Average, Kyrgyzstan, KGZ
34.0524, 1903, Jun Average, Kyrgyzstan, KGZ
36.7562, 1903, Jul Average, Kyrgyzstan, KGZ
18.9459, 1903, Aug Average, Kyrgyzstan, KGZ
15.897, 1903, Sep Average, Kyrgyzstan, KGZ
10.8138, 1903, Oct Average, Kyrgyzstan, KGZ
22.3149, 1903, Nov Average, Kyrgyzstan, KGZ
18.0367, 1903, Dec Average, Kyrgyzstan, KGZ
18.5279, 1904, Jan Average, Kyrgyzstan, KGZ
4.56456, 1904, Feb Average, Kyrgyzstan, KGZ
42.828, 1904, Mar Average, Kyrgyzstan, KGZ
61.622, 1904, Apr Average, Kyrgyzstan, KGZ
88.221, 1904, May Average, Kyrgyzstan, KGZ
40.9454, 1904, Jun Average, Kyrgyzstan, KGZ
22.6521, 1904, Jul Average, Kyrgyzstan, KGZ
8.77891, 1904, Aug Average, Kyrgyzstan, KGZ
21.512, 1904, Sep Average, Kyrgyzstan, KGZ
25.2228, 1904, Oct Average, Kyrgyzstan, KGZ
12.9988, 1904, Nov Average, Kyrgyzstan, KGZ
27.5483, 1904, Dec Average, Kyrgyzstan, KGZ
38.3268, 1905, Jan Average, Kyrgyzstan, KGZ
7.96423, 1905, Feb Average, Kyrgyzstan, KGZ
19.5276, 1905, Mar Average, Kyrgyzstan, KGZ
70.811, 1905, Apr Average, Kyrgyzstan, KGZ
82.1416, 1905, May Average, Kyrgyzstan, KGZ
47.9445, 1905, Jun Average, Kyrgyzstan, KGZ
18.4337, 1905, Jul Average, Kyrgyzstan, KGZ
22.7415, 1905, Aug Average, Kyrgyzstan, KGZ
3.73855, 1905, Sep Average, Kyrgyzstan, KGZ
15.5048, 1905, Oct Average, Kyrgyzstan, KGZ
18.0295, 1905, Nov Average, Kyrgyzstan, KGZ
36.0666, 1905, Dec Average, Kyrgyzstan, KGZ
22.4063, 1906, Jan Average, Kyrgyzstan, KGZ
18.2423, 1906, Feb Average, Kyrgyzstan, KGZ
26.6883, 1906, Mar Average, Kyrgyzstan, KGZ
43.0984, 1906, Apr Average, Kyrgyzstan, KGZ
53.5819, 1906, May Average, Kyrgyzstan, KGZ
40.6021, 1906, Jun Average, Kyrgyzstan, KGZ
51.653, 1906, Jul Average, Kyrgyzstan, KGZ
25.5293, 1906, Aug Average, Kyrgyzstan, KGZ
