Rainfall - (MM), Year, Statistics, Country, ISO3
2.22967, 1901, Jan Average, Cambodia, KHM
3.17892, 1901, Feb Average, Cambodia, KHM
10.7659, 1901, Mar Average, Cambodia, KHM
79.3951, 1901, Apr Average, Cambodia, KHM
195.486, 1901, May Average, Cambodia, KHM
271.416, 1901, Jun Average, Cambodia, KHM
283.442, 1901, Jul Average, Cambodia, KHM
307.518, 1901, Aug Average, Cambodia, KHM
312.927, 1901, Sep Average, Cambodia, KHM
237.102, 1901, Oct Average, Cambodia, KHM
105.579, 1901, Nov Average, Cambodia, KHM
32.4942, 1901, Dec Average, Cambodia, KHM
8.37533, 1902, Jan Average, Cambodia, KHM
2.02715, 1902, Feb Average, Cambodia, KHM
22.9539, 1902, Mar Average, Cambodia, KHM
84.9789, 1902, Apr Average, Cambodia, KHM
146.659, 1902, May Average, Cambodia, KHM
218.183, 1902, Jun Average, Cambodia, KHM
217.709, 1902, Jul Average, Cambodia, KHM
292.995, 1902, Aug Average, Cambodia, KHM
339.943, 1902, Sep Average, Cambodia, KHM
222.42, 1902, Oct Average, Cambodia, KHM
99.7827, 1902, Nov Average, Cambodia, KHM
44.9741, 1902, Dec Average, Cambodia, KHM
4.9529, 1903, Jan Average, Cambodia, KHM
1.54947, 1903, Feb Average, Cambodia, KHM
1.18024, 1903, Mar Average, Cambodia, KHM
45.6455, 1903, Apr Average, Cambodia, KHM
206.185, 1903, May Average, Cambodia, KHM
332.048, 1903, Jun Average, Cambodia, KHM
249.247, 1903, Jul Average, Cambodia, KHM
303.629, 1903, Aug Average, Cambodia, KHM
299.141, 1903, Sep Average, Cambodia, KHM
220.617, 1903, Oct Average, Cambodia, KHM
84.7761, 1903, Nov Average, Cambodia, KHM
59.4878, 1903, Dec Average, Cambodia, KHM
1.18111, 1904, Jan Average, Cambodia, KHM
8.47556, 1904, Feb Average, Cambodia, KHM
31.4177, 1904, Mar Average, Cambodia, KHM
121.438, 1904, Apr Average, Cambodia, KHM
229.681, 1904, May Average, Cambodia, KHM
237.03, 1904, Jun Average, Cambodia, KHM
