Rainfall - (MM), Year, Statistics, Country, ISO3
122.02, 1901, Jan Average, Kiribati, KIR
92.1565, 1901, Feb Average, Kiribati, KIR
140.078, 1901, Mar Average, Kiribati, KIR
173.769, 1901, Apr Average, Kiribati, KIR
107.481, 1901, May Average, Kiribati, KIR
124.905, 1901, Jun Average, Kiribati, KIR
101.885, 1901, Jul Average, Kiribati, KIR
76.9445, 1901, Aug Average, Kiribati, KIR
58.8869, 1901, Sep Average, Kiribati, KIR
47.8101, 1901, Oct Average, Kiribati, KIR
56.0787, 1901, Nov Average, Kiribati, KIR
61.4835, 1901, Dec Average, Kiribati, KIR
122.02, 1902, Jan Average, Kiribati, KIR
92.1565, 1902, Feb Average, Kiribati, KIR
140.078, 1902, Mar Average, Kiribati, KIR
173.769, 1902, Apr Average, Kiribati, KIR
107.481, 1902, May Average, Kiribati, KIR
124.905, 1902, Jun Average, Kiribati, KIR
101.885, 1902, Jul Average, Kiribati, KIR
76.9445, 1902, Aug Average, Kiribati, KIR
58.8869, 1902, Sep Average, Kiribati, KIR
47.8101, 1902, Oct Average, Kiribati, KIR
56.0787, 1902, Nov Average, Kiribati, KIR
61.4835, 1902, Dec Average, Kiribati, KIR
122.02, 1903, Jan Average, Kiribati, KIR
92.1565, 1903, Feb Average, Kiribati, KIR
140.078, 1903, Mar Average, Kiribati, KIR
173.769, 1903, Apr Average, Kiribati, KIR
107.481, 1903, May Average, Kiribati, KIR
124.905, 1903, Jun Average, Kiribati, KIR
101.885, 1903, Jul Average, Kiribati, KIR
76.9445, 1903, Aug Average, Kiribati, KIR
58.8869, 1903, Sep Average, Kiribati, KIR
47.8101, 1903, Oct Average, Kiribati, KIR
56.0787, 1903, Nov Average, Kiribati, KIR
61.4835, 1903, Dec Average, Kiribati, KIR
122.02, 1904, Jan Average, Kiribati, KIR
92.1565, 1904, Feb Average, Kiribati, KIR
140.078, 1904, Mar Average, Kiribati, KIR
173.769, 1904, Apr Average, Kiribati, KIR
107.481, 1904, May Average, Kiribati, KIR
124.905, 1904, Jun Average, Kiribati, KIR
101.885, 1904, Jul Average, Kiribati, KIR
76.9445, 1904, Aug Average, Kiribati, KIR
58.8869, 1904, Sep Average, Kiribati, KIR
47.8101, 1904, Oct Average, Kiribati, KIR
56.0787, 1904, Nov Average, Kiribati, KIR
61.4835, 1904, Dec Average, Kiribati, KIR
122.02, 1905, Jan Average, Kiribati, KIR
92.1565, 1905, Feb Average, Kiribati, KIR
140.078, 1905, Mar Average, Kiribati, KIR
173.769, 1905, Apr Average, Kiribati, KIR
107.481, 1905, May Average, Kiribati, KIR
124.905, 1905, Jun Average, Kiribati, KIR
101.885, 1905, Jul Average, Kiribati, KIR
76.9445, 1905, Aug Average, Kiribati, KIR
58.8869, 1905, Sep Average, Kiribati, KIR
47.8101, 1905, Oct Average, Kiribati, KIR
56.0787, 1905, Nov Average, Kiribati, KIR
61.4835, 1905, Dec Average, Kiribati, KIR
122.02, 1906, Jan Average, Kiribati, KIR
92.1565, 1906, Feb Average, Kiribati, KIR
140.078, 1906, Mar Average, Kiribati, KIR
173.769, 1906, Apr Average, Kiribati, KIR
107.481, 1906, May Average, Kiribati, KIR
124.905, 1906, Jun Average, Kiribati, KIR
101.885, 1906, Jul Average, Kiribati, KIR
76.9445, 1906, Aug Average, Kiribati, KIR
58.8869, 1906, Sep Average, Kiribati, KIR
47.8101, 1906, Oct Average, Kiribati, KIR
56.0787, 1906, Nov Average, Kiribati, KIR
61.4835, 1906, Dec Average, Kiribati, KIR
18.7549, 1907, Jan Average, Kiribati, KIR
36.6006, 1907, Feb Average, Kiribati, KIR
29.6478, 1907, Mar Average, Kiribati, KIR
86.334, 1907, Apr Average, Kiribati, KIR
86.471, 1907, May Average, Kiribati, KIR
51.2919, 1907, Jun Average, Kiribati, KIR
62.5062, 1907, Jul Average, Kiribati, KIR
70.4716, 1907, Aug Average, Kiribati, KIR
44.2797, 1907, Sep Average, Kiribati, KIR
23.5686, 1907, Oct Average, Kiribati, KIR
16.8838, 1907, Nov Average, Kiribati, KIR
60.7335, 1907, Dec Average, Kiribati, KIR
