Rainfall - (MM), Year, Statistics, Country, ISO3
242.1, 1901, Jan Average, St. Kitts and Nevis, KNA
41.6749, 1901, Feb Average, St. Kitts and Nevis, KNA
157.425, 1901, Mar Average, St. Kitts and Nevis, KNA
87.375, 1901, Apr Average, St. Kitts and Nevis, KNA
172.3, 1901, May Average, St. Kitts and Nevis, KNA
302.2, 1901, Jun Average, St. Kitts and Nevis, KNA
479.3, 1901, Jul Average, St. Kitts and Nevis, KNA
213.274, 1901, Aug Average, St. Kitts and Nevis, KNA
364.524, 1901, Sep Average, St. Kitts and Nevis, KNA
309.524, 1901, Oct Average, St. Kitts and Nevis, KNA
470.3, 1901, Nov Average, St. Kitts and Nevis, KNA
289.725, 1901, Dec Average, St. Kitts and Nevis, KNA
159.175, 1902, Jan Average, St. Kitts and Nevis, KNA
26.225, 1902, Feb Average, St. Kitts and Nevis, KNA
113.75, 1902, Mar Average, St. Kitts and Nevis, KNA
146.35, 1902, Apr Average, St. Kitts and Nevis, KNA
392.95, 1902, May Average, St. Kitts and Nevis, KNA
446.875, 1902, Jun Average, St. Kitts and Nevis, KNA
221.925, 1902, Jul Average, St. Kitts and Nevis, KNA
169.85, 1902, Aug Average, St. Kitts and Nevis, KNA
218.525, 1902, Sep Average, St. Kitts and Nevis, KNA
132.6, 1902, Oct Average, St. Kitts and Nevis, KNA
326.625, 1902, Nov Average, St. Kitts and Nevis, KNA
208.399, 1902, Dec Average, St. Kitts and Nevis, KNA
67.95, 1903, Jan Average, St. Kitts and Nevis, KNA
66.0999, 1903, Feb Average, St. Kitts and Nevis, KNA
78.525, 1903, Mar Average, St. Kitts and Nevis, KNA
260.325, 1903, Apr Average, St. Kitts and Nevis, KNA
135.475, 1903, May Average, St. Kitts and Nevis, KNA
221.449, 1903, Jun Average, St. Kitts and Nevis, KNA
265.225, 1903, Jul Average, St. Kitts and Nevis, KNA
349.899, 1903, Aug Average, St. Kitts and Nevis, KNA
221.175, 1903, Sep Average, St. Kitts and Nevis, KNA
221.85, 1903, Oct Average, St. Kitts and Nevis, KNA
189.175, 1903, Nov Average, St. Kitts and Nevis, KNA
261.625, 1903, Dec Average, St. Kitts and Nevis, KNA
171.325, 1904, Jan Average, St. Kitts and Nevis, KNA
154.4, 1904, Feb Average, St. Kitts and Nevis, KNA
154.699, 1904, Mar Average, St. Kitts and Nevis, KNA
126.949, 1904, Apr Average, St. Kitts and Nevis, KNA
160.25, 1904, May Average, St. Kitts and Nevis, KNA
94.5999, 1904, Jun Average, St. Kitts and Nevis, KNA
195.125, 1904, Jul Average, St. Kitts and Nevis, KNA
218.024, 1904, Aug Average, St. Kitts and Nevis, KNA
371.299, 1904, Sep Average, St. Kitts and Nevis, KNA
264.549, 1904, Oct Average, St. Kitts and Nevis, KNA
197.625, 1904, Nov Average, St. Kitts and Nevis, KNA
119.425, 1904, Dec Average, St. Kitts and Nevis, KNA
178.024, 1905, Jan Average, St. Kitts and Nevis, KNA
80.0999, 1905, Feb Average, St. Kitts and Nevis, KNA
143.1, 1905, Mar Average, St. Kitts and Nevis, KNA
104.275, 1905, Apr Average, St. Kitts and Nevis, KNA
169.35, 1905, May Average, St. Kitts and Nevis, KNA
145.524, 1905, Jun Average, St. Kitts and Nevis, KNA
170.599, 1905, Jul Average, St. Kitts and Nevis, KNA
231.075, 1905, Aug Average, St. Kitts and Nevis, KNA
316.825, 1905, Sep Average, St. Kitts and Nevis, KNA
379.2, 1905, Oct Average, St. Kitts and Nevis, KNA
286.6, 1905, Nov Average, St. Kitts and Nevis, KNA
107.5, 1905, Dec Average, St. Kitts and Nevis, KNA
78.225, 1906, Jan Average, St. Kitts and Nevis, KNA
70, 1906, Feb Average, St. Kitts and Nevis, KNA
105.4, 1906, Mar Average, St. Kitts and Nevis, KNA
154.949, 1906, Apr Average, St. Kitts and Nevis, KNA
120.75, 1906, May Average, St. Kitts and Nevis, KNA
272.925, 1906, Jun Average, St. Kitts and Nevis, KNA
268.725, 1906, Jul Average, St. Kitts and Nevis, KNA
171.925, 1906, Aug Average, St. Kitts and Nevis, KNA
424, 1906, Sep Average, St. Kitts and Nevis, KNA
170.774, 1906, Oct Average, St. Kitts and Nevis, KNA
214.899, 1906, Nov Average, St. Kitts and Nevis, KNA
206.575, 1906, Dec Average, St. Kitts and Nevis, KNA
113.675, 1907, Jan Average, St. Kitts and Nevis, KNA
94.75, 1907, Feb Average, St. Kitts and Nevis, KNA
91.025, 1907, Mar Average, St. Kitts and Nevis, KNA
86.5999, 1907, Apr Average, St. Kitts and Nevis, KNA
176.425, 1907, May Average, St. Kitts and Nevis, KNA
159.899, 1907, Jun Average, St. Kitts and Nevis, KNA
187.474, 1907, Jul Average, St. Kitts and Nevis, KNA
157.175, 1907, Aug Average, St. Kitts and Nevis, KNA
198.199, 1907, Sep Average, St. Kitts and Nevis, KNA
