Rainfall - (MM), Year, Statistics, Country, ISO3
80.2913, 1901, Jan Average, Korea, Republic of, KOR
13.4438, 1901, Feb Average, Korea, Republic of, KOR
48.2998, 1901, Mar Average, Korea, Republic of, KOR
96.9299, 1901, Apr Average, Korea, Republic of, KOR
78.5227, 1901, May Average, Korea, Republic of, KOR
130.826, 1901, Jun Average, Korea, Republic of, KOR
249.969, 1901, Jul Average, Korea, Republic of, KOR
104.439, 1901, Aug Average, Korea, Republic of, KOR
47.3288, 1901, Sep Average, Korea, Republic of, KOR
89.3879, 1901, Oct Average, Korea, Republic of, KOR
26.7744, 1901, Nov Average, Korea, Republic of, KOR
28.334, 1901, Dec Average, Korea, Republic of, KOR
8.23188, 1902, Jan Average, Korea, Republic of, KOR
46.4927, 1902, Feb Average, Korea, Republic of, KOR
124.96, 1902, Mar Average, Korea, Republic of, KOR
71.3952, 1902, Apr Average, Korea, Republic of, KOR
122.963, 1902, May Average, Korea, Republic of, KOR
141.192, 1902, Jun Average, Korea, Republic of, KOR
200.479, 1902, Jul Average, Korea, Republic of, KOR
235.456, 1902, Aug Average, Korea, Republic of, KOR
128.239, 1902, Sep Average, Korea, Republic of, KOR
42.133, 1902, Oct Average, Korea, Republic of, KOR
52.4546, 1902, Nov Average, Korea, Republic of, KOR
48.4821, 1902, Dec Average, Korea, Republic of, KOR
76.0247, 1903, Jan Average, Korea, Republic of, KOR
68.9226, 1903, Feb Average, Korea, Republic of, KOR
76.9684, 1903, Mar Average, Korea, Republic of, KOR
95.3833, 1903, Apr Average, Korea, Republic of, KOR
271.112, 1903, May Average, Korea, Republic of, KOR
81.2562, 1903, Jun Average, Korea, Republic of, KOR
321.62, 1903, Jul Average, Korea, Republic of, KOR
238.825, 1903, Aug Average, Korea, Republic of, KOR
131.129, 1903, Sep Average, Korea, Republic of, KOR
50.0185, 1903, Oct Average, Korea, Republic of, KOR
31.702, 1903, Nov Average, Korea, Republic of, KOR
33.3767, 1903, Dec Average, Korea, Republic of, KOR
4.18227, 1904, Jan Average, Korea, Republic of, KOR
23.0613, 1904, Feb Average, Korea, Republic of, KOR
28.3893, 1904, Mar Average, Korea, Republic of, KOR
162.144, 1904, Apr Average, Korea, Republic of, KOR
110.437, 1904, May Average, Korea, Republic of, KOR
118.748, 1904, Jun Average, Korea, Republic of, KOR
338.122, 1904, Jul Average, Korea, Republic of, KOR
