Rainfall - (MM), Year, Statistics, Country, ISO3
10.8472, 1901, Jan Average, Kuwait, KWT
0.30196, 1901, Feb Average, Kuwait, KWT
21.7756, 1901, Mar Average, Kuwait, KWT
13.1325, 1901, Apr Average, Kuwait, KWT
0.69394, 1901, May Average, Kuwait, KWT
0.48569, 1901, Jun Average, Kuwait, KWT
0.69377, 1901, Jul Average, Kuwait, KWT
0.5342, 1901, Aug Average, Kuwait, KWT
0.42906, 1901, Sep Average, Kuwait, KWT
0.2315, 1901, Oct Average, Kuwait, KWT
0.90638, 1901, Nov Average, Kuwait, KWT
12.204, 1901, Dec Average, Kuwait, KWT
9.62292, 1902, Jan Average, Kuwait, KWT
0.94634, 1902, Feb Average, Kuwait, KWT
6.48129, 1902, Mar Average, Kuwait, KWT
18.176, 1902, Apr Average, Kuwait, KWT
0.1897, 1902, May Average, Kuwait, KWT
0.48569, 1902, Jun Average, Kuwait, KWT
0.476, 1902, Jul Average, Kuwait, KWT
0.5342, 1902, Aug Average, Kuwait, KWT
0.42906, 1902, Sep Average, Kuwait, KWT
4.8434, 1902, Oct Average, Kuwait, KWT
68.886, 1902, Nov Average, Kuwait, KWT
22.4272, 1902, Dec Average, Kuwait, KWT
3.94803, 1903, Jan Average, Kuwait, KWT
5.91403, 1903, Feb Average, Kuwait, KWT
9.94525, 1903, Mar Average, Kuwait, KWT
30.4052, 1903, Apr Average, Kuwait, KWT
0.38105, 1903, May Average, Kuwait, KWT
0.48569, 1903, Jun Average, Kuwait, KWT
0.476, 1903, Jul Average, Kuwait, KWT
0.5342, 1903, Aug Average, Kuwait, KWT
0.42906, 1903, Sep Average, Kuwait, KWT
0.07374, 1903, Oct Average, Kuwait, KWT
0.3472, 1903, Nov Average, Kuwait, KWT
18.2333, 1903, Dec Average, Kuwait, KWT
10.3128, 1904, Jan Average, Kuwait, KWT
3.74882, 1904, Feb Average, Kuwait, KWT
16.4841, 1904, Mar Average, Kuwait, KWT
10.8661, 1904, Apr Average, Kuwait, KWT
2.8977, 1904, May Average, Kuwait, KWT
0.48569, 1904, Jun Average, Kuwait, KWT
0.476, 1904, Jul Average, Kuwait, KWT
0.5342, 1904, Aug Average, Kuwait, KWT
0.42906, 1904, Sep Average, Kuwait, KWT
0.09838, 1904, Oct Average, Kuwait, KWT
1.5137, 1904, Nov Average, Kuwait, KWT
38.7563, 1904, Dec Average, Kuwait, KWT
5.2656, 1905, Jan Average, Kuwait, KWT
11.7733, 1905, Feb Average, Kuwait, KWT
27.8233, 1905, Mar Average, Kuwait, KWT
0.5165, 1905, Apr Average, Kuwait, KWT
25.0169, 1905, May Average, Kuwait, KWT
0.48569, 1905, Jun Average, Kuwait, KWT
0.476, 1905, Jul Average, Kuwait, KWT
0.5342, 1905, Aug Average, Kuwait, KWT
0.42906, 1905, Sep Average, Kuwait, KWT
0.07374, 1905, Oct Average, Kuwait, KWT
1.57985, 1905, Nov Average, Kuwait, KWT
15.0437, 1905, Dec Average, Kuwait, KWT
33.0895, 1906, Jan Average, Kuwait, KWT
23.7019, 1906, Feb Average, Kuwait, KWT
5.40727, 1906, Mar Average, Kuwait, KWT
23.1449, 1906, Apr Average, Kuwait, KWT
5.51569, 1906, May Average, Kuwait, KWT
0.48569, 1906, Jun Average, Kuwait, KWT
0.476, 1906, Jul Average, Kuwait, KWT
0.5342, 1906, Aug Average, Kuwait, KWT
0.42906, 1906, Sep Average, Kuwait, KWT
0.17293, 1906, Oct Average, Kuwait, KWT
30.3371, 1906, Nov Average, Kuwait, KWT
2.50807, 1906, Dec Average, Kuwait, KWT
3.13904, 1907, Jan Average, Kuwait, KWT
53.4851, 1907, Feb Average, Kuwait, KWT
5.6499, 1907, Mar Average, Kuwait, KWT
25.4733, 1907, Apr Average, Kuwait, KWT
5.12983, 1907, May Average, Kuwait, KWT
0.48569, 1907, Jun Average, Kuwait, KWT
0.476, 1907, Jul Average, Kuwait, KWT
0.5342, 1907, Aug Average, Kuwait, KWT
0.42906, 1907, Sep Average, Kuwait, KWT
0.34967, 1907, Oct Average, Kuwait, KWT
7.28631, 1907, Nov Average, Kuwait, KWT
6.00336, 1907, Dec Average, Kuwait, KWT
41.0569, 1908, Jan Average, Kuwait, KWT
1.5982, 1908, Feb Average, Kuwait, KWT
9.19118, 1908, Mar Average, Kuwait, KWT
6.96016, 1908, Apr Average, Kuwait, KWT
8.57619, 1908, May Average, Kuwait, KWT
0.48569, 1908, Jun Average, Kuwait, KWT
0.476, 1908, Jul Average, Kuwait, KWT
0.5342, 1908, Aug Average, Kuwait, KWT
0.42906, 1908, Sep Average, Kuwait, KWT
0.07374, 1908, Oct Average, Kuwait, KWT
7.5314, 1908, Nov Average, Kuwait, KWT
9.3022, 1908, Dec Average, Kuwait, KWT
33.6855, 1909, Jan Average, Kuwait, KWT
6.40758, 1909, Feb Average, Kuwait, KWT
10.1349, 1909, Mar Average, Kuwait, KWT
57.3755, 1909, Apr Average, Kuwait, KWT
0.2928, 1909, May Average, Kuwait, KWT
0.48569, 1909, Jun Average, Kuwait, KWT
0.476, 1909, Jul Average, Kuwait, KWT
0.5342, 1909, Aug Average, Kuwait, KWT
