Rainfall - (MM), Year, Statistics, Country, ISO3
19.8365, 1901, Jan Average, Laos, LAO
13.8477, 1901, Feb Average, Laos, LAO
49.8402, 1901, Mar Average, Laos, LAO
101.007, 1901, Apr Average, Laos, LAO
177.706, 1901, May Average, Laos, LAO
256.973, 1901, Jun Average, Laos, LAO
280.208, 1901, Jul Average, Laos, LAO
322.569, 1901, Aug Average, Laos, LAO
262.734, 1901, Sep Average, Laos, LAO
133.949, 1901, Oct Average, Laos, LAO
65.9158, 1901, Nov Average, Laos, LAO
24.3368, 1901, Dec Average, Laos, LAO
19.9582, 1902, Jan Average, Laos, LAO
17.6194, 1902, Feb Average, Laos, LAO
39.9943, 1902, Mar Average, Laos, LAO
98.8817, 1902, Apr Average, Laos, LAO
140.904, 1902, May Average, Laos, LAO
217.992, 1902, Jun Average, Laos, LAO
240.676, 1902, Jul Average, Laos, LAO
457.445, 1902, Aug Average, Laos, LAO
138.352, 1902, Sep Average, Laos, LAO
156.847, 1902, Oct Average, Laos, LAO
60.4278, 1902, Nov Average, Laos, LAO
73.3876, 1902, Dec Average, Laos, LAO
15.007, 1903, Jan Average, Laos, LAO
35.3813, 1903, Feb Average, Laos, LAO
34.9248, 1903, Mar Average, Laos, LAO
63.7325, 1903, Apr Average, Laos, LAO
116.598, 1903, May Average, Laos, LAO
196.371, 1903, Jun Average, Laos, LAO
351.535, 1903, Jul Average, Laos, LAO
335.641, 1903, Aug Average, Laos, LAO
276.498, 1903, Sep Average, Laos, LAO
188.809, 1903, Oct Average, Laos, LAO
56.5714, 1903, Nov Average, Laos, LAO
22.9927, 1903, Dec Average, Laos, LAO
11.5172, 1904, Jan Average, Laos, LAO
8.01675, 1904, Feb Average, Laos, LAO
30.0358, 1904, Mar Average, Laos, LAO
101.937, 1904, Apr Average, Laos, LAO
283.477, 1904, May Average, Laos, LAO
375.026, 1904, Jun Average, Laos, LAO
355.171, 1904, Jul Average, Laos, LAO
348.845, 1904, Aug Average, Laos, LAO
249.619, 1904, Sep Average, Laos, LAO
147.934, 1904, Oct Average, Laos, LAO
87.0852, 1904, Nov Average, Laos, LAO
37.2783, 1904, Dec Average, Laos, LAO
11.8185, 1905, Jan Average, Laos, LAO
14.5042, 1905, Feb Average, Laos, LAO
59.8154, 1905, Mar Average, Laos, LAO
56.9518, 1905, Apr Average, Laos, LAO
149.385, 1905, May Average, Laos, LAO
292.551, 1905, Jun Average, Laos, LAO
197.486, 1905, Jul Average, Laos, LAO
220.828, 1905, Aug Average, Laos, LAO
280.519, 1905, Sep Average, Laos, LAO
122.801, 1905, Oct Average, Laos, LAO
73.8092, 1905, Nov Average, Laos, LAO
37.7994, 1905, Dec Average, Laos, LAO
18.5999, 1906, Jan Average, Laos, LAO
7.18147, 1906, Feb Average, Laos, LAO
30.9489, 1906, Mar Average, Laos, LAO
56.8871, 1906, Apr Average, Laos, LAO
278.604, 1906, May Average, Laos, LAO
232.844, 1906, Jun Average, Laos, LAO
209.255, 1906, Jul Average, Laos, LAO
224.723, 1906, Aug Average, Laos, LAO
337.097, 1906, Sep Average, Laos, LAO
82.672, 1906, Oct Average, Laos, LAO
54.7927, 1906, Nov Average, Laos, LAO
32.9189, 1906, Dec Average, Laos, LAO
33.3954, 1907, Jan Average, Laos, LAO
17.926, 1907, Feb Average, Laos, LAO
45.9593, 1907, Mar Average, Laos, LAO
