Rainfall - (MM), Year, Statistics, Country, ISO3
145.253, 1901, Jan Average, Lebanon, LBN
3.72549, 1901, Feb Average, Lebanon, LBN
22.5577, 1901, Mar Average, Lebanon, LBN
19.0271, 1901, Apr Average, Lebanon, LBN
55.8737, 1901, May Average, Lebanon, LBN
0.44415, 1901, Jun Average, Lebanon, LBN
0.11599, 1901, Jul Average, Lebanon, LBN
0, 1901, Aug Average, Lebanon, LBN
1.29017, 1901, Sep Average, Lebanon, LBN
9.37268, 1901, Oct Average, Lebanon, LBN
48.0899, 1901, Nov Average, Lebanon, LBN
101.47, 1901, Dec Average, Lebanon, LBN
174.435, 1902, Jan Average, Lebanon, LBN
46.6496, 1902, Feb Average, Lebanon, LBN
66.8358, 1902, Mar Average, Lebanon, LBN
51.5228, 1902, Apr Average, Lebanon, LBN
1.0243, 1902, May Average, Lebanon, LBN
0, 1902, Jun Average, Lebanon, LBN
0.20648, 1902, Jul Average, Lebanon, LBN
0, 1902, Aug Average, Lebanon, LBN
0.10253, 1902, Sep Average, Lebanon, LBN
28.267, 1902, Oct Average, Lebanon, LBN
163.377, 1902, Nov Average, Lebanon, LBN
180.385, 1902, Dec Average, Lebanon, LBN
109.462, 1903, Jan Average, Lebanon, LBN
135.233, 1903, Feb Average, Lebanon, LBN
63.8215, 1903, Mar Average, Lebanon, LBN
7.5441, 1903, Apr Average, Lebanon, LBN
3.5508, 1903, May Average, Lebanon, LBN
1.47854, 1903, Jun Average, Lebanon, LBN
0, 1903, Jul Average, Lebanon, LBN
0.00227, 1903, Aug Average, Lebanon, LBN
0, 1903, Sep Average, Lebanon, LBN
10.7911, 1903, Oct Average, Lebanon, LBN
81.1015, 1903, Nov Average, Lebanon, LBN
110.486, 1903, Dec Average, Lebanon, LBN
127.33, 1904, Jan Average, Lebanon, LBN
67.0772, 1904, Feb Average, Lebanon, LBN
85.1689, 1904, Mar Average, Lebanon, LBN
49.8129, 1904, Apr Average, Lebanon, LBN
19.3689, 1904, May Average, Lebanon, LBN
2.32136, 1904, Jun Average, Lebanon, LBN
0.04673, 1904, Jul Average, Lebanon, LBN
0, 1904, Aug Average, Lebanon, LBN
0.6205, 1904, Sep Average, Lebanon, LBN
62.0341, 1904, Oct Average, Lebanon, LBN
127.32, 1904, Nov Average, Lebanon, LBN
198.87, 1904, Dec Average, Lebanon, LBN
113.765, 1905, Jan Average, Lebanon, LBN
120.638, 1905, Feb Average, Lebanon, LBN
96.5228, 1905, Mar Average, Lebanon, LBN
55.7549, 1905, Apr Average, Lebanon, LBN
25.9402, 1905, May Average, Lebanon, LBN
1.52089, 1905, Jun Average, Lebanon, LBN
0, 1905, Jul Average, Lebanon, LBN
0, 1905, Aug Average, Lebanon, LBN
2.4424, 1905, Sep Average, Lebanon, LBN
30.9671, 1905, Oct Average, Lebanon, LBN
41.2958, 1905, Nov Average, Lebanon, LBN
185.653, 1905, Dec Average, Lebanon, LBN
118.861, 1906, Jan Average, Lebanon, LBN
125.854, 1906, Feb Average, Lebanon, LBN
68.9694, 1906, Mar Average, Lebanon, LBN
98.8727, 1906, Apr Average, Lebanon, LBN
53.9886, 1906, May Average, Lebanon, LBN
6.75699, 1906, Jun Average, Lebanon, LBN
0, 1906, Jul Average, Lebanon, LBN
0, 1906, Aug Average, Lebanon, LBN
0, 1906, Sep Average, Lebanon, LBN
17.1343, 1906, Oct Average, Lebanon, LBN
98.7671, 1906, Nov Average, Lebanon, LBN
99.446, 1906, Dec Average, Lebanon, LBN
166.205, 1907, Jan Average, Lebanon, LBN
134.092, 1907, Feb Average, Lebanon, LBN
133.364, 1907, Mar Average, Lebanon, LBN
31.9083, 1907, Apr Average, Lebanon, LBN
4.33788, 1907, May Average, Lebanon, LBN
0.34964, 1907, Jun Average, Lebanon, LBN
0, 1907, Jul Average, Lebanon, LBN
0, 1907, Aug Average, Lebanon, LBN
5.40097, 1907, Sep Average, Lebanon, LBN
20.4584, 1907, Oct Average, Lebanon, LBN
131.499, 1907, Nov Average, Lebanon, LBN
101.438, 1907, Dec Average, Lebanon, LBN
133.469, 1908, Jan Average, Lebanon, LBN
121.04, 1908, Feb Average, Lebanon, LBN
100.047, 1908, Mar Average, Lebanon, LBN
38.3495, 1908, Apr Average, Lebanon, LBN
9.18204, 1908, May Average, Lebanon, LBN
12.2337, 1908, Jun Average, Lebanon, LBN
0, 1908, Jul Average, Lebanon, LBN
0, 1908, Aug Average, Lebanon, LBN
0.31263, 1908, Sep Average, Lebanon, LBN
2.02471, 1908, Oct Average, Lebanon, LBN
123.808, 1908, Nov Average, Lebanon, LBN
163.447, 1908, Dec Average, Lebanon, LBN
114.019, 1909, Jan Average, Lebanon, LBN
89.3775, 1909, Feb Average, Lebanon, LBN
41.5402, 1909, Mar Average, Lebanon, LBN
63.7933, 1909, Apr Average, Lebanon, LBN
9.78539, 1909, May Average, Lebanon, LBN
0.38574, 1909, Jun Average, Lebanon, LBN
0, 1909, Jul Average, Lebanon, LBN
0.00258, 1909, Aug Average, Lebanon, LBN
7.50662, 1909, Sep Average, Lebanon, LBN
109.376, 1909, Oct Average, Lebanon, LBN
88.7101, 1909, Nov Average, Lebanon, LBN
104.977, 1909, Dec Average, Lebanon, LBN
147.638, 1910, Jan Average, Lebanon, LBN
42.0374, 1910, Feb Average, Lebanon, LBN
176.8, 1910, Mar Average, Lebanon, LBN
39.9876, 1910, Apr Average, Lebanon, LBN
8.07597, 1910, May Average, Lebanon, LBN
2.04214, 1910, Jun Average, Lebanon, LBN
0, 1910, Jul Average, Lebanon, LBN
0, 1910, Aug Average, Lebanon, LBN
3.43213, 1910, Sep Average, Lebanon, LBN
43.338, 1910, Oct Average, Lebanon, LBN
54.8687, 1910, Nov Average, Lebanon, LBN
68.8823, 1910, Dec Average, Lebanon, LBN
167.237, 1911, Jan Average, Lebanon, LBN
144.376, 1911, Feb Average, Lebanon, LBN
112.888, 1911, Mar Average, Lebanon, LBN
113.286, 1911, Apr Average, Lebanon, LBN
23.8683, 1911, May Average, Lebanon, LBN
0, 1911, Jun Average, Lebanon, LBN
0, 1911, Jul Average, Lebanon, LBN
0, 1911, Aug Average, Lebanon, LBN
2.11109, 1911, Sep Average, Lebanon, LBN
46.8065, 1911, Oct Average, Lebanon, LBN
65.3141, 1911, Nov Average, Lebanon, LBN
287.498, 1911, Dec Average, Lebanon, LBN
154.154, 1912, Jan Average, Lebanon, LBN
97.167, 1912, Feb Average, Lebanon, LBN
70.9301, 1912, Mar Average, Lebanon, LBN
43.8986, 1912, Apr Average, Lebanon, LBN
17.7952, 1912, May Average, Lebanon, LBN
0, 1912, Jun Average, Lebanon, LBN
0, 1912, Jul Average, Lebanon, LBN
0, 1912, Aug Average, Lebanon, LBN
0.39453, 1912, Sep Average, Lebanon, LBN
77.9095, 1912, Oct Average, Lebanon, LBN
56.7169, 1912, Nov Average, Lebanon, LBN
167.107, 1912, Dec Average, Lebanon, LBN
171.127, 1913, Jan Average, Lebanon, LBN
141.03, 1913, Feb Average, Lebanon, LBN
50.0361, 1913, Mar Average, Lebanon, LBN
33.1165, 1913, Apr Average, Lebanon, LBN
7.91137, 1913, May Average, Lebanon, LBN
1.69231, 1913, Jun Average, Lebanon, LBN
0.01993, 1913, Jul Average, Lebanon, LBN
0.47677, 1913, Aug Average, Lebanon, LBN
2.61274, 1913, Sep Average, Lebanon, LBN
63.7074, 1913, Oct Average, Lebanon, LBN
62.9677, 1913, Nov Average, Lebanon, LBN
182.639, 1913, Dec Average, Lebanon, LBN
130.883, 1914, Jan Average, Lebanon, LBN
38.1011, 1914, Feb Average, Lebanon, LBN
70.7533, 1914, Mar Average, Lebanon, LBN
90.1661, 1914, Apr Average, Lebanon, LBN
17.6698, 1914, May Average, Lebanon, LBN
5.50537, 1914, Jun Average, Lebanon, LBN
0.04551, 1914, Jul Average, Lebanon, LBN
0, 1914, Aug Average, Lebanon, LBN
0.14297, 1914, Sep Average, Lebanon, LBN
13.2521, 1914, Oct Average, Lebanon, LBN
207.356, 1914, Nov Average, Lebanon, LBN
110.658, 1914, Dec Average, Lebanon, LBN
50.9343, 1915, Jan Average, Lebanon, LBN
93.9936, 1915, Feb Average, Lebanon, LBN
72.8059, 1915, Mar Average, Lebanon, LBN
61.7645, 1915, Apr Average, Lebanon, LBN
1.4713, 1915, May Average, Lebanon, LBN
0.07345, 1915, Jun Average, Lebanon, LBN
0, 1915, Jul Average, Lebanon, LBN
0, 1915, Aug Average, Lebanon, LBN
4.85285, 1915, Sep Average, Lebanon, LBN
10.9702, 1915, Oct Average, Lebanon, LBN
96.4789, 1915, Nov Average, Lebanon, LBN
39.4668, 1915, Dec Average, Lebanon, LBN
145.816, 1916, Jan Average, Lebanon, LBN
101.637, 1916, Feb Average, Lebanon, LBN
93.1728, 1916, Mar Average, Lebanon, LBN
132.861, 1916, Apr Average, Lebanon, LBN
0.19642, 1916, May Average, Lebanon, LBN
0, 1916, Jun Average, Lebanon, LBN
0, 1916, Jul Average, Lebanon, LBN
