Rainfall - (MM), Year, Statistics, Country, ISO3
22.8435, 1901, Jan Average, Liberia, LBR
60.624, 1901, Feb Average, Liberia, LBR
96.0541, 1901, Mar Average, Liberia, LBR
150.117, 1901, Apr Average, Liberia, LBR
248.75, 1901, May Average, Liberia, LBR
355.999, 1901, Jun Average, Liberia, LBR
317.258, 1901, Jul Average, Liberia, LBR
338.703, 1901, Aug Average, Liberia, LBR
387.5, 1901, Sep Average, Liberia, LBR
255.801, 1901, Oct Average, Liberia, LBR
122.833, 1901, Nov Average, Liberia, LBR
52.589, 1901, Dec Average, Liberia, LBR
22.8435, 1902, Jan Average, Liberia, LBR
60.624, 1902, Feb Average, Liberia, LBR
96.0541, 1902, Mar Average, Liberia, LBR
150.117, 1902, Apr Average, Liberia, LBR
248.75, 1902, May Average, Liberia, LBR
355.999, 1902, Jun Average, Liberia, LBR
317.258, 1902, Jul Average, Liberia, LBR
338.703, 1902, Aug Average, Liberia, LBR
387.5, 1902, Sep Average, Liberia, LBR
255.801, 1902, Oct Average, Liberia, LBR
122.833, 1902, Nov Average, Liberia, LBR
52.589, 1902, Dec Average, Liberia, LBR
91.0616, 1903, Jan Average, Liberia, LBR
60.624, 1903, Feb Average, Liberia, LBR
112.161, 1903, Mar Average, Liberia, LBR
141.053, 1903, Apr Average, Liberia, LBR
239.269, 1903, May Average, Liberia, LBR
440.687, 1903, Jun Average, Liberia, LBR
380.029, 1903, Jul Average, Liberia, LBR
282.076, 1903, Aug Average, Liberia, LBR
363.307, 1903, Sep Average, Liberia, LBR
237.725, 1903, Oct Average, Liberia, LBR
173.431, 1903, Nov Average, Liberia, LBR
94.4239, 1903, Dec Average, Liberia, LBR
46.0873, 1904, Jan Average, Liberia, LBR
60.624, 1904, Feb Average, Liberia, LBR
107.066, 1904, Mar Average, Liberia, LBR
115.655, 1904, Apr Average, Liberia, LBR
249.523, 1904, May Average, Liberia, LBR
345.016, 1904, Jun Average, Liberia, LBR
343.613, 1904, Jul Average, Liberia, LBR
350.72, 1904, Aug Average, Liberia, LBR
416.522, 1904, Sep Average, Liberia, LBR
277.718, 1904, Oct Average, Liberia, LBR
122.833, 1904, Nov Average, Liberia, LBR
52.589, 1904, Dec Average, Liberia, LBR
19.9741, 1905, Jan Average, Liberia, LBR
52.4278, 1905, Feb Average, Liberia, LBR
81.6609, 1905, Mar Average, Liberia, LBR
157.276, 1905, Apr Average, Liberia, LBR
234.959, 1905, May Average, Liberia, LBR
397.203, 1905, Jun Average, Liberia, LBR
265.667, 1905, Jul Average, Liberia, LBR
315.479, 1905, Aug Average, Liberia, LBR
529.215, 1905, Sep Average, Liberia, LBR
368.806, 1905, Oct Average, Liberia, LBR
184.913, 1905, Nov Average, Liberia, LBR
53.7897, 1905, Dec Average, Liberia, LBR
115.183, 1906, Jan Average, Liberia, LBR
96.0814, 1906, Feb Average, Liberia, LBR
112.711, 1906, Mar Average, Liberia, LBR
230.271, 1906, Apr Average, Liberia, LBR
