Rainfall - (MM), Year, Statistics, Country, ISO3
12.0639, 1901, Jan Average, Libya, LBY
4.65366, 1901, Feb Average, Libya, LBY
4.33683, 1901, Mar Average, Libya, LBY
2.30862, 1901, Apr Average, Libya, LBY
4.71212, 1901, May Average, Libya, LBY
0.3976, 1901, Jun Average, Libya, LBY
0.47759, 1901, Jul Average, Libya, LBY
1.18703, 1901, Aug Average, Libya, LBY
0.89857, 1901, Sep Average, Libya, LBY
5.98247, 1901, Oct Average, Libya, LBY
4.57623, 1901, Nov Average, Libya, LBY
5.7185, 1901, Dec Average, Libya, LBY
9.84002, 1902, Jan Average, Libya, LBY
4.25591, 1902, Feb Average, Libya, LBY
7.05191, 1902, Mar Average, Libya, LBY
2.1318, 1902, Apr Average, Libya, LBY
4.43008, 1902, May Average, Libya, LBY
0.39501, 1902, Jun Average, Libya, LBY
0.47759, 1902, Jul Average, Libya, LBY
1.18083, 1902, Aug Average, Libya, LBY
0.94524, 1902, Sep Average, Libya, LBY
5.34621, 1902, Oct Average, Libya, LBY
3.64345, 1902, Nov Average, Libya, LBY
8.98652, 1902, Dec Average, Libya, LBY
9.09882, 1903, Jan Average, Libya, LBY
5.29939, 1903, Feb Average, Libya, LBY
4.77141, 1903, Mar Average, Libya, LBY
2.8, 1903, Apr Average, Libya, LBY
1.21877, 1903, May Average, Libya, LBY
0.40679, 1903, Jun Average, Libya, LBY
0.47759, 1903, Jul Average, Libya, LBY
1.18083, 1903, Aug Average, Libya, LBY
1.65502, 1903, Sep Average, Libya, LBY
3.17356, 1903, Oct Average, Libya, LBY
4.54866, 1903, Nov Average, Libya, LBY
9.10945, 1903, Dec Average, Libya, LBY
11.1246, 1904, Jan Average, Libya, LBY
6.25733, 1904, Feb Average, Libya, LBY
4.92609, 1904, Mar Average, Libya, LBY
2.08879, 1904, Apr Average, Libya, LBY
1.09448, 1904, May Average, Libya, LBY
0.39789, 1904, Jun Average, Libya, LBY
0.47789, 1904, Jul Average, Libya, LBY
1.22138, 1904, Aug Average, Libya, LBY
4.65033, 1904, Sep Average, Libya, LBY
7.35574, 1904, Oct Average, Libya, LBY
6.07569, 1904, Nov Average, Libya, LBY
9.42247, 1904, Dec Average, Libya, LBY
8.63155, 1905, Jan Average, Libya, LBY
7.07086, 1905, Feb Average, Libya, LBY
3.45625, 1905, Mar Average, Libya, LBY
2.73799, 1905, Apr Average, Libya, LBY
1.69676, 1905, May Average, Libya, LBY
0.43059, 1905, Jun Average, Libya, LBY
0.52009, 1905, Jul Average, Libya, LBY
1.19082, 1905, Aug Average, Libya, LBY
0.70683, 1905, Sep Average, Libya, LBY
3.63479, 1905, Oct Average, Libya, LBY
4.27191, 1905, Nov Average, Libya, LBY
14.0857, 1905, Dec Average, Libya, LBY
8.24441, 1906, Jan Average, Libya, LBY
4.98096, 1906, Feb Average, Libya, LBY
3.12351, 1906, Mar Average, Libya, LBY
1.95866, 1906, Apr Average, Libya, LBY
2.55835, 1906, May Average, Libya, LBY
0.61174, 1906, Jun Average, Libya, LBY
0.47759, 1906, Jul Average, Libya, LBY
1.21937, 1906, Aug Average, Libya, LBY
7.56144, 1906, Sep Average, Libya, LBY
4.28987, 1906, Oct Average, Libya, LBY
11.8107, 1906, Nov Average, Libya, LBY
7.83019, 1906, Dec Average, Libya, LBY
11.7608, 1907, Jan Average, Libya, LBY
4.24415, 1907, Feb Average, Libya, LBY
4.57856, 1907, Mar Average, Libya, LBY
4.11915, 1907, Apr Average, Libya, LBY
1.4261, 1907, May Average, Libya, LBY
0.39395, 1907, Jun Average, Libya, LBY
0.47759, 1907, Jul Average, Libya, LBY
1.1826, 1907, Aug Average, Libya, LBY
1.70292, 1907, Sep Average, Libya, LBY
5.06061, 1907, Oct Average, Libya, LBY
4.10335, 1907, Nov Average, Libya, LBY
4.83259, 1907, Dec Average, Libya, LBY
10.741, 1908, Jan Average, Libya, LBY
6.22217, 1908, Feb Average, Libya, LBY
7.3156, 1908, Mar Average, Libya, LBY
1.94832, 1908, Apr Average, Libya, LBY
1.06291, 1908, May Average, Libya, LBY
1.51647, 1908, Jun Average, Libya, LBY
0.47759, 1908, Jul Average, Libya, LBY
1.18089, 1908, Aug Average, Libya, LBY
0.7257, 1908, Sep Average, Libya, LBY
4.17133, 1908, Oct Average, Libya, LBY
5.979, 1908, Nov Average, Libya, LBY
9.70907, 1908, Dec Average, Libya, LBY
13.361, 1909, Jan Average, Libya, LBY
