Rainfall - (MM), Year, Statistics, Country, ISO3
133.555, 1901, Jan Average, St. Lucia, LCA
101.777, 1901, Feb Average, St. Lucia, LCA
89.2222, 1901, Mar Average, St. Lucia, LCA
111.888, 1901, Apr Average, St. Lucia, LCA
154.666, 1901, May Average, St. Lucia, LCA
198.555, 1901, Jun Average, St. Lucia, LCA
255.333, 1901, Jul Average, St. Lucia, LCA
272.333, 1901, Aug Average, St. Lucia, LCA
263.444, 1901, Sep Average, St. Lucia, LCA
275.444, 1901, Oct Average, St. Lucia, LCA
281, 1901, Nov Average, St. Lucia, LCA
176.555, 1901, Dec Average, St. Lucia, LCA
93.6, 1902, Jan Average, St. Lucia, LCA
47.9333, 1902, Feb Average, St. Lucia, LCA
92.5888, 1902, Mar Average, St. Lucia, LCA
73.0888, 1902, Apr Average, St. Lucia, LCA
361.433, 1902, May Average, St. Lucia, LCA
368.811, 1902, Jun Average, St. Lucia, LCA
336.433, 1902, Jul Average, St. Lucia, LCA
232.566, 1902, Aug Average, St. Lucia, LCA
219.911, 1902, Sep Average, St. Lucia, LCA
162.066, 1902, Oct Average, St. Lucia, LCA
409.255, 1902, Nov Average, St. Lucia, LCA
187.211, 1902, Dec Average, St. Lucia, LCA
57.5888, 1903, Jan Average, St. Lucia, LCA
83.1333, 1903, Feb Average, St. Lucia, LCA
34.2555, 1903, Mar Average, St. Lucia, LCA
295.533, 1903, Apr Average, St. Lucia, LCA
92.7111, 1903, May Average, St. Lucia, LCA
371.544, 1903, Jun Average, St. Lucia, LCA
240.588, 1903, Jul Average, St. Lucia, LCA
433.766, 1903, Aug Average, St. Lucia, LCA
272.6, 1903, Sep Average, St. Lucia, LCA
176.2, 1903, Oct Average, St. Lucia, LCA
158.199, 1903, Nov Average, St. Lucia, LCA
211.433, 1903, Dec Average, St. Lucia, LCA
203.544, 1904, Jan Average, St. Lucia, LCA
93.9444, 1904, Feb Average, St. Lucia, LCA
136.166, 1904, Mar Average, St. Lucia, LCA
60.9333, 1904, Apr Average, St. Lucia, LCA
154.755, 1904, May Average, St. Lucia, LCA
73.3555, 1904, Jun Average, St. Lucia, LCA
259.211, 1904, Jul Average, St. Lucia, LCA
214.688, 1904, Aug Average, St. Lucia, LCA
409.277, 1904, Sep Average, St. Lucia, LCA
245.3, 1904, Oct Average, St. Lucia, LCA
79.5444, 1904, Nov Average, St. Lucia, LCA
137.277, 1904, Dec Average, St. Lucia, LCA
104.711, 1905, Jan Average, St. Lucia, LCA
62.4666, 1905, Feb Average, St. Lucia, LCA
124.388, 1905, Mar Average, St. Lucia, LCA
91.4222, 1905, Apr Average, St. Lucia, LCA
90.0777, 1905, May Average, St. Lucia, LCA
192.655, 1905, Jun Average, St. Lucia, LCA
158.455, 1905, Jul Average, St. Lucia, LCA
209.3, 1905, Aug Average, St. Lucia, LCA
333.222, 1905, Sep Average, St. Lucia, LCA
360.777, 1905, Oct Average, St. Lucia, LCA
316.7, 1905, Nov Average, St. Lucia, LCA
77.6777, 1905, Dec Average, St. Lucia, LCA
90.9333, 1906, Jan Average, St. Lucia, LCA
66.5888, 1906, Feb Average, St. Lucia, LCA
73.3111, 1906, Mar Average, St. Lucia, LCA
112.666, 1906, Apr Average, St. Lucia, LCA
132.355, 1906, May Average, St. Lucia, LCA
268.533, 1906, Jun Average, St. Lucia, LCA
259.622, 1906, Jul Average, St. Lucia, LCA
270.822, 1906, Aug Average, St. Lucia, LCA
417.433, 1906, Sep Average, St. Lucia, LCA
237.366, 1906, Oct Average, St. Lucia, LCA
274.533, 1906, Nov Average, St. Lucia, LCA
99.3555, 1906, Dec Average, St. Lucia, LCA
87.7777, 1907, Jan Average, St. Lucia, LCA
62.2444, 1907, Feb Average, St. Lucia, LCA
86.7777, 1907, Mar Average, St. Lucia, LCA
93.6, 1907, Apr Average, St. Lucia, LCA
157.766, 1907, May Average, St. Lucia, LCA
130.388, 1907, Jun Average, St. Lucia, LCA
226.3, 1907, Jul Average, St. Lucia, LCA
188.266, 1907, Aug Average, St. Lucia, LCA
191.344, 1907, Sep Average, St. Lucia, LCA
298.466, 1907, Oct Average, St. Lucia, LCA
169.988, 1907, Nov Average, St. Lucia, LCA
193.255, 1907, Dec Average, St. Lucia, LCA
79.5666, 1908, Jan Average, St. Lucia, LCA
13.9555, 1908, Feb Average, St. Lucia, LCA
35.4333, 1908, Mar Average, St. Lucia, LCA
103.555, 1908, Apr Average, St. Lucia, LCA
44.4444, 1908, May Average, St. Lucia, LCA
215.833, 1908, Jun Average, St. Lucia, LCA
286.411, 1908, Jul Average, St. Lucia, LCA
154.544, 1908, Aug Average, St. Lucia, LCA
255.522, 1908, Sep Average, St. Lucia, LCA
167.266, 1908, Oct Average, St. Lucia, LCA
97.0444, 1908, Nov Average, St. Lucia, LCA
331.855, 1908, Dec Average, St. Lucia, LCA
133.555, 1909, Jan Average, St. Lucia, LCA
101.777, 1909, Feb Average, St. Lucia, LCA
89.2222, 1909, Mar Average, St. Lucia, LCA
111.888, 1909, Apr Average, St. Lucia, LCA
154.666, 1909, May Average, St. Lucia, LCA
198.555, 1909, Jun Average, St. Lucia, LCA
