Rainfall - (MM), Year, Statistics, Country, ISO3
73.9679, 1901, Jan Average, Liechtenstein, LIE
64.055, 1901, Feb Average, Liechtenstein, LIE
208.607, 1901, Mar Average, Liechtenstein, LIE
261.777, 1901, Apr Average, Liechtenstein, LIE
95.0954, 1901, May Average, Liechtenstein, LIE
234.16, 1901, Jun Average, Liechtenstein, LIE
205.891, 1901, Jul Average, Liechtenstein, LIE
208.812, 1901, Aug Average, Liechtenstein, LIE
176.835, 1901, Sep Average, Liechtenstein, LIE
131.321, 1901, Oct Average, Liechtenstein, LIE
59.2428, 1901, Nov Average, Liechtenstein, LIE
177.065, 1901, Dec Average, Liechtenstein, LIE
110.265, 1902, Jan Average, Liechtenstein, LIE
103.273, 1902, Feb Average, Liechtenstein, LIE
210.329, 1902, Mar Average, Liechtenstein, LIE
75.6223, 1902, Apr Average, Liechtenstein, LIE
167.215, 1902, May Average, Liechtenstein, LIE
150.48, 1902, Jun Average, Liechtenstein, LIE
144.994, 1902, Jul Average, Liechtenstein, LIE
179.991, 1902, Aug Average, Liechtenstein, LIE
136.164, 1902, Sep Average, Liechtenstein, LIE
145.355, 1902, Oct Average, Liechtenstein, LIE
32.6025, 1902, Nov Average, Liechtenstein, LIE
216.805, 1902, Dec Average, Liechtenstein, LIE
110.41, 1903, Jan Average, Liechtenstein, LIE
68.6389, 1903, Feb Average, Liechtenstein, LIE
66.3927, 1903, Mar Average, Liechtenstein, LIE
172.287, 1903, Apr Average, Liechtenstein, LIE
107.832, 1903, May Average, Liechtenstein, LIE
152.09, 1903, Jun Average, Liechtenstein, LIE
237.892, 1903, Jul Average, Liechtenstein, LIE
203.449, 1903, Aug Average, Liechtenstein, LIE
87.5641, 1903, Sep Average, Liechtenstein, LIE
191.495, 1903, Oct Average, Liechtenstein, LIE
163.399, 1903, Nov Average, Liechtenstein, LIE
87.5118, 1903, Dec Average, Liechtenstein, LIE
47.4051, 1904, Jan Average, Liechtenstein, LIE
189.287, 1904, Feb Average, Liechtenstein, LIE
128.878, 1904, Mar Average, Liechtenstein, LIE
181.816, 1904, Apr Average, Liechtenstein, LIE
217.494, 1904, May Average, Liechtenstein, LIE
168.219, 1904, Jun Average, Liechtenstein, LIE
92.0411, 1904, Jul Average, Liechtenstein, LIE
136.013, 1904, Aug Average, Liechtenstein, LIE
193.599, 1904, Sep Average, Liechtenstein, LIE
87.6448, 1904, Oct Average, Liechtenstein, LIE
121.009, 1904, Nov Average, Liechtenstein, LIE
119.682, 1904, Dec Average, Liechtenstein, LIE
115.363, 1905, Jan Average, Liechtenstein, LIE
85.2213, 1905, Feb Average, Liechtenstein, LIE
140.838, 1905, Mar Average, Liechtenstein, LIE
201.952, 1905, Apr Average, Liechtenstein, LIE
168.786, 1905, May Average, Liechtenstein, LIE
122.344, 1905, Jun Average, Liechtenstein, LIE
174.676, 1905, Jul Average, Liechtenstein, LIE
312.413, 1905, Aug Average, Liechtenstein, LIE
159.509, 1905, Sep Average, Liechtenstein, LIE
139.541, 1905, Oct Average, Liechtenstein, LIE
149.735, 1905, Nov Average, Liechtenstein, LIE
52.7314, 1905, Dec Average, Liechtenstein, LIE
90.2398, 1906, Jan Average, Liechtenstein, LIE
120.826, 1906, Feb Average, Liechtenstein, LIE
146.422, 1906, Mar Average, Liechtenstein, LIE
123.543, 1906, Apr Average, Liechtenstein, LIE
170.476, 1906, May Average, Liechtenstein, LIE
172.955, 1906, Jun Average, Liechtenstein, LIE
232.532, 1906, Jul Average, Liechtenstein, LIE
129.247, 1906, Aug Average, Liechtenstein, LIE
99.7511, 1906, Sep Average, Liechtenstein, LIE
47.1165, 1906, Oct Average, Liechtenstein, LIE
183.98, 1906, Nov Average, Liechtenstein, LIE
134.262, 1906, Dec Average, Liechtenstein, LIE
148.1, 1907, Jan Average, Liechtenstein, LIE
59.5239, 1907, Feb Average, Liechtenstein, LIE
181.599, 1907, Mar Average, Liechtenstein, LIE
166.32, 1907, Apr Average, Liechtenstein, LIE
106.464, 1907, May Average, Liechtenstein, LIE
168.801, 1907, Jun Average, Liechtenstein, LIE
167.129, 1907, Jul Average, Liechtenstein, LIE
139.882, 1907, Aug Average, Liechtenstein, LIE
84.1691, 1907, Sep Average, Liechtenstein, LIE
139.667, 1907, Oct Average, Liechtenstein, LIE
43.8882, 1907, Nov Average, Liechtenstein, LIE
188.221, 1907, Dec Average, Liechtenstein, LIE
48.8019, 1908, Jan Average, Liechtenstein, LIE
164.883, 1908, Feb Average, Liechtenstein, LIE
87.8189, 1908, Mar Average, Liechtenstein, LIE
168.512, 1908, Apr Average, Liechtenstein, LIE
163.649, 1908, May Average, Liechtenstein, LIE
138.38, 1908, Jun Average, Liechtenstein, LIE
251.998, 1908, Jul Average, Liechtenstein, LIE
209.457, 1908, Aug Average, Liechtenstein, LIE
174.536, 1908, Sep Average, Liechtenstein, LIE
24.8138, 1908, Oct Average, Liechtenstein, LIE
80.6138, 1908, Nov Average, Liechtenstein, LIE
66.3072, 1908, Dec Average, Liechtenstein, LIE
55.4741, 1909, Jan Average, Liechtenstein, LIE
89.0091, 1909, Feb Average, Liechtenstein, LIE
109.244, 1909, Mar Average, Liechtenstein, LIE
100.596, 1909, Apr Average, Liechtenstein, LIE
85.5654, 1909, May Average, Liechtenstein, LIE
250.522, 1909, Jun Average, Liechtenstein, LIE
215.635, 1909, Jul Average, Liechtenstein, LIE
207.208, 1909, Aug Average, Liechtenstein, LIE
112.137, 1909, Sep Average, Liechtenstein, LIE
142.275, 1909, Oct Average, Liechtenstein, LIE
94.957, 1909, Nov Average, Liechtenstein, LIE
200.487, 1909, Dec Average, Liechtenstein, LIE
258.02, 1910, Jan Average, Liechtenstein, LIE
137.183, 1910, Feb Average, Liechtenstein, LIE
56.3276, 1910, Mar Average, Liechtenstein, LIE
206.95, 1910, Apr Average, Liechtenstein, LIE
160.802, 1910, May Average, Liechtenstein, LIE
306.183, 1910, Jun Average, Liechtenstein, LIE
229.57, 1910, Jul Average, Liechtenstein, LIE
224.406, 1910, Aug Average, Liechtenstein, LIE
137.097, 1910, Sep Average, Liechtenstein, LIE
91.0326, 1910, Oct Average, Liechtenstein, LIE
194.046, 1910, Nov Average, Liechtenstein, LIE
177.379, 1910, Dec Average, Liechtenstein, LIE
23.9069, 1911, Jan Average, Liechtenstein, LIE
89.7452, 1911, Feb Average, Liechtenstein, LIE
94.6641, 1911, Mar Average, Liechtenstein, LIE
105.465, 1911, Apr Average, Liechtenstein, LIE
98.9839, 1911, May Average, Liechtenstein, LIE
241.925, 1911, Jun Average, Liechtenstein, LIE
70.1732, 1911, Jul Average, Liechtenstein, LIE
144.523, 1911, Aug Average, Liechtenstein, LIE
153.879, 1911, Sep Average, Liechtenstein, LIE
152.577, 1911, Oct Average, Liechtenstein, LIE
125.728, 1911, Nov Average, Liechtenstein, LIE
210.403, 1911, Dec Average, Liechtenstein, LIE
155.802, 1912, Jan Average, Liechtenstein, LIE
92.8208, 1912, Feb Average, Liechtenstein, LIE
196.519, 1912, Mar Average, Liechtenstein, LIE
99.446, 1912, Apr Average, Liechtenstein, LIE
222.443, 1912, May Average, Liechtenstein, LIE
166.388, 1912, Jun Average, Liechtenstein, LIE
193.591, 1912, Jul Average, Liechtenstein, LIE
285.424, 1912, Aug Average, Liechtenstein, LIE
115.288, 1912, Sep Average, Liechtenstein, LIE
199.995, 1912, Oct Average, Liechtenstein, LIE
115.312, 1912, Nov Average, Liechtenstein, LIE
81.7871, 1912, Dec Average, Liechtenstein, LIE
136.915, 1913, Jan Average, Liechtenstein, LIE
37.4016, 1913, Feb Average, Liechtenstein, LIE
134.412, 1913, Mar Average, Liechtenstein, LIE
150.581, 1913, Apr Average, Liechtenstein, LIE
129.706, 1913, May Average, Liechtenstein, LIE
197.82, 1913, Jun Average, Liechtenstein, LIE
247.543, 1913, Jul Average, Liechtenstein, LIE
196.274, 1913, Aug Average, Liechtenstein, LIE
136.981, 1913, Sep Average, Liechtenstein, LIE
101.168, 1913, Oct Average, Liechtenstein, LIE
235.184, 1913, Nov Average, Liechtenstein, LIE
140.023, 1913, Dec Average, Liechtenstein, LIE
213.019, 1914, Jan Average, Liechtenstein, LIE
102.775, 1914, Feb Average, Liechtenstein, LIE
241.894, 1914, Mar Average, Liechtenstein, LIE
124.682, 1914, Apr Average, Liechtenstein, LIE
192.434, 1914, May Average, Liechtenstein, LIE
150.774, 1914, Jun Average, Liechtenstein, LIE
282.391, 1914, Jul Average, Liechtenstein, LIE
172.796, 1914, Aug Average, Liechtenstein, LIE
128.923, 1914, Sep Average, Liechtenstein, LIE
114.375, 1914, Oct Average, Liechtenstein, LIE
79.5035, 1914, Nov Average, Liechtenstein, LIE
95.8232, 1914, Dec Average, Liechtenstein, LIE
193.872, 1915, Jan Average, Liechtenstein, LIE
150.924, 1915, Feb Average, Liechtenstein, LIE
179.425, 1915, Mar Average, Liechtenstein, LIE
119.371, 1915, Apr Average, Liechtenstein, LIE
117.344, 1915, May Average, Liechtenstein, LIE
149.441, 1915, Jun Average, Liechtenstein, LIE
258.605, 1915, Jul Average, Liechtenstein, LIE
160.918, 1915, Aug Average, Liechtenstein, LIE
