Rainfall - (MM), Year, Statistics, Country, ISO3
193.486, 1901, Jan Average, Sri Lanka, LKA
99.458, 1901, Feb Average, Sri Lanka, LKA
100.908, 1901, Mar Average, Sri Lanka, LKA
188.501, 1901, Apr Average, Sri Lanka, LKA
70.3947, 1901, May Average, Sri Lanka, LKA
45.2902, 1901, Jun Average, Sri Lanka, LKA
48.3632, 1901, Jul Average, Sri Lanka, LKA
12.8656, 1901, Aug Average, Sri Lanka, LKA
154.23, 1901, Sep Average, Sri Lanka, LKA
129.154, 1901, Oct Average, Sri Lanka, LKA
376.134, 1901, Nov Average, Sri Lanka, LKA
139.513, 1901, Dec Average, Sri Lanka, LKA
235.945, 1902, Jan Average, Sri Lanka, LKA
110.38, 1902, Feb Average, Sri Lanka, LKA
100.394, 1902, Mar Average, Sri Lanka, LKA
101.439, 1902, Apr Average, Sri Lanka, LKA
70.3585, 1902, May Average, Sri Lanka, LKA
101.113, 1902, Jun Average, Sri Lanka, LKA
41.6893, 1902, Jul Average, Sri Lanka, LKA
50.0455, 1902, Aug Average, Sri Lanka, LKA
163.527, 1902, Sep Average, Sri Lanka, LKA
441.415, 1902, Oct Average, Sri Lanka, LKA
489.119, 1902, Nov Average, Sri Lanka, LKA
237.215, 1902, Dec Average, Sri Lanka, LKA
116.783, 1903, Jan Average, Sri Lanka, LKA
104.455, 1903, Feb Average, Sri Lanka, LKA
10.9756, 1903, Mar Average, Sri Lanka, LKA
106.827, 1903, Apr Average, Sri Lanka, LKA
269.027, 1903, May Average, Sri Lanka, LKA
101.625, 1903, Jun Average, Sri Lanka, LKA
104.384, 1903, Jul Average, Sri Lanka, LKA
119.659, 1903, Aug Average, Sri Lanka, LKA
161.42, 1903, Sep Average, Sri Lanka, LKA
209.566, 1903, Oct Average, Sri Lanka, LKA
130.051, 1903, Nov Average, Sri Lanka, LKA
196.039, 1903, Dec Average, Sri Lanka, LKA
208.724, 1904, Jan Average, Sri Lanka, LKA
33.034, 1904, Feb Average, Sri Lanka, LKA
50.4407, 1904, Mar Average, Sri Lanka, LKA
67.6763, 1904, Apr Average, Sri Lanka, LKA
110.411, 1904, May Average, Sri Lanka, LKA
70.9378, 1904, Jun Average, Sri Lanka, LKA
149.921, 1904, Jul Average, Sri Lanka, LKA
11.3832, 1904, Aug Average, Sri Lanka, LKA
38.0091, 1904, Sep Average, Sri Lanka, LKA
247.34, 1904, Oct Average, Sri Lanka, LKA
153.246, 1904, Nov Average, Sri Lanka, LKA
219.21, 1904, Dec Average, Sri Lanka, LKA
49.7382, 1905, Jan Average, Sri Lanka, LKA
77.9795, 1905, Feb Average, Sri Lanka, LKA
28.8144, 1905, Mar Average, Sri Lanka, LKA
232.746, 1905, Apr Average, Sri Lanka, LKA
128.371, 1905, May Average, Sri Lanka, LKA
49.4352, 1905, Jun Average, Sri Lanka, LKA
13.4798, 1905, Jul Average, Sri Lanka, LKA
86.9178, 1905, Aug Average, Sri Lanka, LKA
87.4453, 1905, Sep Average, Sri Lanka, LKA
255.939, 1905, Oct Average, Sri Lanka, LKA
278.261, 1905, Nov Average, Sri Lanka, LKA
116.786, 1905, Dec Average, Sri Lanka, LKA
77.4957, 1906, Jan Average, Sri Lanka, LKA
59.0609, 1906, Feb Average, Sri Lanka, LKA
47.6104, 1906, Mar Average, Sri Lanka, LKA
103.313, 1906, Apr Average, Sri Lanka, LKA
99.8599, 1906, May Average, Sri Lanka, LKA
74.9423, 1906, Jun Average, Sri Lanka, LKA
75.1083, 1906, Jul Average, Sri Lanka, LKA
127.987, 1906, Aug Average, Sri Lanka, LKA
37.0024, 1906, Sep Average, Sri Lanka, LKA
280.978, 1906, Oct Average, Sri Lanka, LKA
401.883, 1906, Nov Average, Sri Lanka, LKA
134.28, 1906, Dec Average, Sri Lanka, LKA
102.977, 1907, Jan Average, Sri Lanka, LKA
63.2226, 1907, Feb Average, Sri Lanka, LKA
107.489, 1907, Mar Average, Sri Lanka, LKA
260.301, 1907, Apr Average, Sri Lanka, LKA
86.2162, 1907, May Average, Sri Lanka, LKA
60.9355, 1907, Jun Average, Sri Lanka, LKA
89.326, 1907, Jul Average, Sri Lanka, LKA
43.143, 1907, Aug Average, Sri Lanka, LKA
56.5382, 1907, Sep Average, Sri Lanka, LKA
384.528, 1907, Oct Average, Sri Lanka, LKA
