Rainfall - (MM), Year, Statistics, Country, ISO3
87.3896, 1901, Jan Average, Lesotho, LSO
121.562, 1901, Feb Average, Lesotho, LSO
152.529, 1901, Mar Average, Lesotho, LSO
55.0589, 1901, Apr Average, Lesotho, LSO
7.81963, 1901, May Average, Lesotho, LSO
7.9708, 1901, Jun Average, Lesotho, LSO
11.1612, 1901, Jul Average, Lesotho, LSO
31.3912, 1901, Aug Average, Lesotho, LSO
64.2962, 1901, Sep Average, Lesotho, LSO
99.6767, 1901, Oct Average, Lesotho, LSO
78.2771, 1901, Nov Average, Lesotho, LSO
98.698, 1901, Dec Average, Lesotho, LSO
94.5622, 1902, Jan Average, Lesotho, LSO
101.016, 1902, Feb Average, Lesotho, LSO
153.968, 1902, Mar Average, Lesotho, LSO
51.1424, 1902, Apr Average, Lesotho, LSO
11.9345, 1902, May Average, Lesotho, LSO
39.5771, 1902, Jun Average, Lesotho, LSO
13.2292, 1902, Jul Average, Lesotho, LSO
20.3594, 1902, Aug Average, Lesotho, LSO
72.794, 1902, Sep Average, Lesotho, LSO
67.019, 1902, Oct Average, Lesotho, LSO
33.2926, 1902, Nov Average, Lesotho, LSO
93.4579, 1902, Dec Average, Lesotho, LSO
55.03, 1903, Jan Average, Lesotho, LSO
111.44, 1903, Feb Average, Lesotho, LSO
35.0342, 1903, Mar Average, Lesotho, LSO
93.0299, 1903, Apr Average, Lesotho, LSO
48.18, 1903, May Average, Lesotho, LSO
8.55506, 1903, Jun Average, Lesotho, LSO
2.83179, 1903, Jul Average, Lesotho, LSO
6.52135, 1903, Aug Average, Lesotho, LSO
2.11319, 1903, Sep Average, Lesotho, LSO
46.2545, 1903, Oct Average, Lesotho, LSO
75.3899, 1903, Nov Average, Lesotho, LSO
63.4531, 1903, Dec Average, Lesotho, LSO
161.956, 1904, Jan Average, Lesotho, LSO
118.694, 1904, Feb Average, Lesotho, LSO
63.6442, 1904, Mar Average, Lesotho, LSO
34.1064, 1904, Apr Average, Lesotho, LSO
25.158, 1904, May Average, Lesotho, LSO
23.3307, 1904, Jun Average, Lesotho, LSO
4.14485, 1904, Jul Average, Lesotho, LSO
5.99799, 1904, Aug Average, Lesotho, LSO
26.1795, 1904, Sep Average, Lesotho, LSO
38.024, 1904, Oct Average, Lesotho, LSO
54.3523, 1904, Nov Average, Lesotho, LSO
60.0812, 1904, Dec Average, Lesotho, LSO
134.958, 1905, Jan Average, Lesotho, LSO
144.984, 1905, Feb Average, Lesotho, LSO
122.838, 1905, Mar Average, Lesotho, LSO
37.4296, 1905, Apr Average, Lesotho, LSO
33.5116, 1905, May Average, Lesotho, LSO
13.6787, 1905, Jun Average, Lesotho, LSO
1.57224, 1905, Jul Average, Lesotho, LSO
12.2621, 1905, Aug Average, Lesotho, LSO
63.4985, 1905, Sep Average, Lesotho, LSO
15.2814, 1905, Oct Average, Lesotho, LSO
74.9739, 1905, Nov Average, Lesotho, LSO
121.002, 1905, Dec Average, Lesotho, LSO
135.588, 1906, Jan Average, Lesotho, LSO
95.3848, 1906, Feb Average, Lesotho, LSO
96.8223, 1906, Mar Average, Lesotho, LSO
24.4938, 1906, Apr Average, Lesotho, LSO
26.5217, 1906, May Average, Lesotho, LSO
10.3859, 1906, Jun Average, Lesotho, LSO
0.71562, 1906, Jul Average, Lesotho, LSO
5.12772, 1906, Aug Average, Lesotho, LSO
69.352, 1906, Sep Average, Lesotho, LSO
88.2257, 1906, Oct Average, Lesotho, LSO
121.685, 1906, Nov Average, Lesotho, LSO
123.963, 1906, Dec Average, Lesotho, LSO
152.169, 1907, Jan Average, Lesotho, LSO
136.028, 1907, Feb Average, Lesotho, LSO
139.838, 1907, Mar Average, Lesotho, LSO
105.711, 1907, Apr Average, Lesotho, LSO
66.1791, 1907, May Average, Lesotho, LSO
5.92662, 1907, Jun Average, Lesotho, LSO
9.66623, 1907, Jul Average, Lesotho, LSO
0.86121, 1907, Aug Average, Lesotho, LSO
55.3372, 1907, Sep Average, Lesotho, LSO
74.3085, 1907, Oct Average, Lesotho, LSO
120.28, 1907, Nov Average, Lesotho, LSO
139.337, 1907, Dec Average, Lesotho, LSO
96.0007, 1908, Jan Average, Lesotho, LSO
89.6087, 1908, Feb Average, Lesotho, LSO
112.15, 1908, Mar Average, Lesotho, LSO
41.6856, 1908, Apr Average, Lesotho, LSO
7.98193, 1908, May Average, Lesotho, LSO
30.3683, 1908, Jun Average, Lesotho, LSO
12.7094, 1908, Jul Average, Lesotho, LSO
38.4052, 1908, Aug Average, Lesotho, LSO
69.9517, 1908, Sep Average, Lesotho, LSO
102.695, 1908, Oct Average, Lesotho, LSO
89.6345, 1908, Nov Average, Lesotho, LSO
88.166, 1908, Dec Average, Lesotho, LSO
231.419, 1909, Jan Average, Lesotho, LSO
234.646, 1909, Feb Average, Lesotho, LSO
100.207, 1909, Mar Average, Lesotho, LSO
63.8607, 1909, Apr Average, Lesotho, LSO
80.0368, 1909, May Average, Lesotho, LSO
0.22116, 1909, Jun Average, Lesotho, LSO
3.9135, 1909, Jul Average, Lesotho, LSO
7.62881, 1909, Aug Average, Lesotho, LSO
71.3602, 1909, Sep Average, Lesotho, LSO
29.8092, 1909, Oct Average, Lesotho, LSO
81.1144, 1909, Nov Average, Lesotho, LSO
172.46, 1909, Dec Average, Lesotho, LSO
184.335, 1910, Jan Average, Lesotho, LSO
139.124, 1910, Feb Average, Lesotho, LSO
