Rainfall - (MM), Year, Statistics, Country, ISO3
22.8681, 1901, Jan Average, Lithuania, LTU
35.8904, 1901, Feb Average, Lithuania, LTU
40.4708, 1901, Mar Average, Lithuania, LTU
64.197, 1901, Apr Average, Lithuania, LTU
29.0759, 1901, May Average, Lithuania, LTU
120.858, 1901, Jun Average, Lithuania, LTU
42.9496, 1901, Jul Average, Lithuania, LTU
71.7191, 1901, Aug Average, Lithuania, LTU
33.4123, 1901, Sep Average, Lithuania, LTU
28.8536, 1901, Oct Average, Lithuania, LTU
76.1925, 1901, Nov Average, Lithuania, LTU
67.6638, 1901, Dec Average, Lithuania, LTU
68.236, 1902, Jan Average, Lithuania, LTU
21.1467, 1902, Feb Average, Lithuania, LTU
38.9988, 1902, Mar Average, Lithuania, LTU
27.8512, 1902, Apr Average, Lithuania, LTU
61.3576, 1902, May Average, Lithuania, LTU
81.5687, 1902, Jun Average, Lithuania, LTU
97.192, 1902, Jul Average, Lithuania, LTU
107.805, 1902, Aug Average, Lithuania, LTU
46.0308, 1902, Sep Average, Lithuania, LTU
48.5564, 1902, Oct Average, Lithuania, LTU
11.4493, 1902, Nov Average, Lithuania, LTU
39.057, 1902, Dec Average, Lithuania, LTU
42.0864, 1903, Jan Average, Lithuania, LTU
45.4084, 1903, Feb Average, Lithuania, LTU
22.187, 1903, Mar Average, Lithuania, LTU
73.561, 1903, Apr Average, Lithuania, LTU
73.679, 1903, May Average, Lithuania, LTU
75.5842, 1903, Jun Average, Lithuania, LTU
100.21, 1903, Jul Average, Lithuania, LTU
128.938, 1903, Aug Average, Lithuania, LTU
21.0776, 1903, Sep Average, Lithuania, LTU
69.7083, 1903, Oct Average, Lithuania, LTU
63.0247, 1903, Nov Average, Lithuania, LTU
26.4367, 1903, Dec Average, Lithuania, LTU
24.6397, 1904, Jan Average, Lithuania, LTU
56.9951, 1904, Feb Average, Lithuania, LTU
9.9467, 1904, Mar Average, Lithuania, LTU
53.7462, 1904, Apr Average, Lithuania, LTU
62.9281, 1904, May Average, Lithuania, LTU
62.5579, 1904, Jun Average, Lithuania, LTU
46.4346, 1904, Jul Average, Lithuania, LTU
121.676, 1904, Aug Average, Lithuania, LTU
20.3226, 1904, Sep Average, Lithuania, LTU
58.0855, 1904, Oct Average, Lithuania, LTU
66.2147, 1904, Nov Average, Lithuania, LTU
71.5663, 1904, Dec Average, Lithuania, LTU
51.3601, 1905, Jan Average, Lithuania, LTU
27.0219, 1905, Feb Average, Lithuania, LTU
33.1886, 1905, Mar Average, Lithuania, LTU
49.6855, 1905, Apr Average, Lithuania, LTU
49.4147, 1905, May Average, Lithuania, LTU
42.2539, 1905, Jun Average, Lithuania, LTU
83.5909, 1905, Jul Average, Lithuania, LTU
73.1796, 1905, Aug Average, Lithuania, LTU
74.535, 1905, Sep Average, Lithuania, LTU
82.2011, 1905, Oct Average, Lithuania, LTU
68.5071, 1905, Nov Average, Lithuania, LTU
30.1282, 1905, Dec Average, Lithuania, LTU
46.3054, 1906, Jan Average, Lithuania, LTU
28.8311, 1906, Feb Average, Lithuania, LTU
57.8903, 1906, Mar Average, Lithuania, LTU
29.7382, 1906, Apr Average, Lithuania, LTU
53.6771, 1906, May Average, Lithuania, LTU
107.947, 1906, Jun Average, Lithuania, LTU
72.549, 1906, Jul Average, Lithuania, LTU
110.419, 1906, Aug Average, Lithuania, LTU
44.7347, 1906, Sep Average, Lithuania, LTU
35.2972, 1906, Oct Average, Lithuania, LTU
62.6368, 1906, Nov Average, Lithuania, LTU
52.303, 1906, Dec Average, Lithuania, LTU
37.6165, 1907, Jan Average, Lithuania, LTU
29.629, 1907, Feb Average, Lithuania, LTU
29.5405, 1907, Mar Average, Lithuania, LTU
30.9718, 1907, Apr Average, Lithuania, LTU
32.325, 1907, May Average, Lithuania, LTU
76.4864, 1907, Jun Average, Lithuania, LTU
109.666, 1907, Jul Average, Lithuania, LTU
95.1909, 1907, Aug Average, Lithuania, LTU
47.2489, 1907, Sep Average, Lithuania, LTU
18.5375, 1907, Oct Average, Lithuania, LTU
25.555, 1907, Nov Average, Lithuania, LTU
71.5884, 1907, Dec Average, Lithuania, LTU
62.8015, 1908, Jan Average, Lithuania, LTU
46.1898, 1908, Feb Average, Lithuania, LTU
45.7106, 1908, Mar Average, Lithuania, LTU
31.8053, 1908, Apr Average, Lithuania, LTU
61.4073, 1908, May Average, Lithuania, LTU
49.9272, 1908, Jun Average, Lithuania, LTU
44.1707, 1908, Jul Average, Lithuania, LTU
130.017, 1908, Aug Average, Lithuania, LTU
66.1516, 1908, Sep Average, Lithuania, LTU
25.434, 1908, Oct Average, Lithuania, LTU
46.3575, 1908, Nov Average, Lithuania, LTU
22.2695, 1908, Dec Average, Lithuania, LTU
23.1553, 1909, Jan Average, Lithuania, LTU
23.8496, 1909, Feb Average, Lithuania, LTU
30.7025, 1909, Mar Average, Lithuania, LTU
43.0401, 1909, Apr Average, Lithuania, LTU
22.5913, 1909, May Average, Lithuania, LTU
48.8704, 1909, Jun Average, Lithuania, LTU
116.306, 1909, Jul Average, Lithuania, LTU
46.777, 1909, Aug Average, Lithuania, LTU
23.7331, 1909, Sep Average, Lithuania, LTU
24.1565, 1909, Oct Average, Lithuania, LTU
79.8895, 1909, Nov Average, Lithuania, LTU
65.442, 1909, Dec Average, Lithuania, LTU
46.8084, 1910, Jan Average, Lithuania, LTU
31.7567, 1910, Feb Average, Lithuania, LTU
19.3539, 1910, Mar Average, Lithuania, LTU
38.6226, 1910, Apr Average, Lithuania, LTU
41.1821, 1910, May Average, Lithuania, LTU
63.9665, 1910, Jun Average, Lithuania, LTU
110.935, 1910, Jul Average, Lithuania, LTU
114.661, 1910, Aug Average, Lithuania, LTU
44.2427, 1910, Sep Average, Lithuania, LTU
21.7629, 1910, Oct Average, Lithuania, LTU
71.4845, 1910, Nov Average, Lithuania, LTU
50.0943, 1910, Dec Average, Lithuania, LTU
48.8763, 1911, Jan Average, Lithuania, LTU
48.9723, 1911, Feb Average, Lithuania, LTU
25.5901, 1911, Mar Average, Lithuania, LTU
26.5554, 1911, Apr Average, Lithuania, LTU
28.7628, 1911, May Average, Lithuania, LTU
65.1268, 1911, Jun Average, Lithuania, LTU
70.6627, 1911, Jul Average, Lithuania, LTU
47.5122, 1911, Aug Average, Lithuania, LTU
31.8038, 1911, Sep Average, Lithuania, LTU
60.6888, 1911, Oct Average, Lithuania, LTU
44.0073, 1911, Nov Average, Lithuania, LTU
31.2674, 1911, Dec Average, Lithuania, LTU
27.5406, 1912, Jan Average, Lithuania, LTU
37.3371, 1912, Feb Average, Lithuania, LTU
59.2817, 1912, Mar Average, Lithuania, LTU
37.7453, 1912, Apr Average, Lithuania, LTU
61.8511, 1912, May Average, Lithuania, LTU
53.7708, 1912, Jun Average, Lithuania, LTU
60.4921, 1912, Jul Average, Lithuania, LTU
114.435, 1912, Aug Average, Lithuania, LTU
72.6117, 1912, Sep Average, Lithuania, LTU
55.7721, 1912, Oct Average, Lithuania, LTU
58.9005, 1912, Nov Average, Lithuania, LTU
72.0441, 1912, Dec Average, Lithuania, LTU
23.332, 1913, Jan Average, Lithuania, LTU
27.4214, 1913, Feb Average, Lithuania, LTU
38.5205, 1913, Mar Average, Lithuania, LTU
59.0123, 1913, Apr Average, Lithuania, LTU
36.414, 1913, May Average, Lithuania, LTU
59.7005, 1913, Jun Average, Lithuania, LTU
109.388, 1913, Jul Average, Lithuania, LTU
85.5594, 1913, Aug Average, Lithuania, LTU
57.7326, 1913, Sep Average, Lithuania, LTU
38.9728, 1913, Oct Average, Lithuania, LTU
59.6908, 1913, Nov Average, Lithuania, LTU
94.5123, 1913, Dec Average, Lithuania, LTU
51.2698, 1914, Jan Average, Lithuania, LTU
19.9326, 1914, Feb Average, Lithuania, LTU
59.4907, 1914, Mar Average, Lithuania, LTU
31.5938, 1914, Apr Average, Lithuania, LTU
51.8419, 1914, May Average, Lithuania, LTU
34.4861, 1914, Jun Average, Lithuania, LTU
65.6762, 1914, Jul Average, Lithuania, LTU
40.7493, 1914, Aug Average, Lithuania, LTU
101.994, 1914, Sep Average, Lithuania, LTU
57.4025, 1914, Oct Average, Lithuania, LTU
40.6557, 1914, Nov Average, Lithuania, LTU
52.3181, 1914, Dec Average, Lithuania, LTU
54.6833, 1915, Jan Average, Lithuania, LTU
47.8646, 1915, Feb Average, Lithuania, LTU
52.8304, 1915, Mar Average, Lithuania, LTU
32.9126, 1915, Apr Average, Lithuania, LTU
33.1579, 1915, May Average, Lithuania, LTU
18.4502, 1915, Jun Average, Lithuania, LTU
91.9492, 1915, Jul Average, Lithuania, LTU
45.3145, 1915, Aug Average, Lithuania, LTU
67.538, 1915, Sep Average, Lithuania, LTU
29.6037, 1915, Oct Average, Lithuania, LTU
66.6357, 1915, Nov Average, Lithuania, LTU
81.2802, 1915, Dec Average, Lithuania, LTU
78.1458, 1916, Jan Average, Lithuania, LTU
35.7299, 1916, Feb Average, Lithuania, LTU
32.3703, 1916, Mar Average, Lithuania, LTU
44.7984, 1916, Apr Average, Lithuania, LTU
37.9957, 1916, May Average, Lithuania, LTU
88.6678, 1916, Jun Average, Lithuania, LTU
112.997, 1916, Jul Average, Lithuania, LTU
101.086, 1916, Aug Average, Lithuania, LTU
49.4156, 1916, Sep Average, Lithuania, LTU
75.9587, 1916, Oct Average, Lithuania, LTU
44.311, 1916, Nov Average, Lithuania, LTU
51.622, 1916, Dec Average, Lithuania, LTU
35.4498, 1917, Jan Average, Lithuania, LTU
28.7669, 1917, Feb Average, Lithuania, LTU
34.4294, 1917, Mar Average, Lithuania, LTU
69.821, 1917, Apr Average, Lithuania, LTU
27.8857, 1917, May Average, Lithuania, LTU
45.7007, 1917, Jun Average, Lithuania, LTU
74.7368, 1917, Jul Average, Lithuania, LTU
