Rainfall - (MM), Year, Statistics, Country, ISO3
54.1053, 1901, Jan Average, Luxembourg, LUX
36.9644, 1901, Feb Average, Luxembourg, LUX
74.0909, 1901, Mar Average, Luxembourg, LUX
80.9687, 1901, Apr Average, Luxembourg, LUX
43.569, 1901, May Average, Luxembourg, LUX
63.0678, 1901, Jun Average, Luxembourg, LUX
46.8778, 1901, Jul Average, Luxembourg, LUX
79.2399, 1901, Aug Average, Luxembourg, LUX
112.494, 1901, Sep Average, Luxembourg, LUX
102.27, 1901, Oct Average, Luxembourg, LUX
43.3572, 1901, Nov Average, Luxembourg, LUX
88.4037, 1901, Dec Average, Luxembourg, LUX
58.8552, 1902, Jan Average, Luxembourg, LUX
48.2912, 1902, Feb Average, Luxembourg, LUX
57.6311, 1902, Mar Average, Luxembourg, LUX
49.4535, 1902, Apr Average, Luxembourg, LUX
93.6093, 1902, May Average, Luxembourg, LUX
73.0817, 1902, Jun Average, Luxembourg, LUX
56.7365, 1902, Jul Average, Luxembourg, LUX
99.0971, 1902, Aug Average, Luxembourg, LUX
78.833, 1902, Sep Average, Luxembourg, LUX
62.1889, 1902, Oct Average, Luxembourg, LUX
40.8473, 1902, Nov Average, Luxembourg, LUX
107.663, 1902, Dec Average, Luxembourg, LUX
82.2218, 1903, Jan Average, Luxembourg, LUX
42.7646, 1903, Feb Average, Luxembourg, LUX
82.8696, 1903, Mar Average, Luxembourg, LUX
126.018, 1903, Apr Average, Luxembourg, LUX
54.7209, 1903, May Average, Luxembourg, LUX
59.5818, 1903, Jun Average, Luxembourg, LUX
99.1117, 1903, Jul Average, Luxembourg, LUX
106.497, 1903, Aug Average, Luxembourg, LUX
76.3196, 1903, Sep Average, Luxembourg, LUX
134.72, 1903, Oct Average, Luxembourg, LUX
92.2495, 1903, Nov Average, Luxembourg, LUX
32.5357, 1903, Dec Average, Luxembourg, LUX
65.868, 1904, Jan Average, Luxembourg, LUX
107.759, 1904, Feb Average, Luxembourg, LUX
69.2556, 1904, Mar Average, Luxembourg, LUX
32.229, 1904, Apr Average, Luxembourg, LUX
65.0236, 1904, May Average, Luxembourg, LUX
57.4506, 1904, Jun Average, Luxembourg, LUX
49.1884, 1904, Jul Average, Luxembourg, LUX
50.8751, 1904, Aug Average, Luxembourg, LUX
52.4935, 1904, Sep Average, Luxembourg, LUX
61.2769, 1904, Oct Average, Luxembourg, LUX
76.5046, 1904, Nov Average, Luxembourg, LUX
93.5957, 1904, Dec Average, Luxembourg, LUX
60.379, 1905, Jan Average, Luxembourg, LUX
39.518, 1905, Feb Average, Luxembourg, LUX
105.336, 1905, Mar Average, Luxembourg, LUX
50.6439, 1905, Apr Average, Luxembourg, LUX
46.667, 1905, May Average, Luxembourg, LUX
108.907, 1905, Jun Average, Luxembourg, LUX
82.8152, 1905, Jul Average, Luxembourg, LUX
85.622, 1905, Aug Average, Luxembourg, LUX
93.6834, 1905, Sep Average, Luxembourg, LUX
89.9337, 1905, Oct Average, Luxembourg, LUX
97.1525, 1905, Nov Average, Luxembourg, LUX
36.3662, 1905, Dec Average, Luxembourg, LUX
123.999, 1906, Jan Average, Luxembourg, LUX
72.2918, 1906, Feb Average, Luxembourg, LUX
94.7812, 1906, Mar Average, Luxembourg, LUX
42.2745, 1906, Apr Average, Luxembourg, LUX
95.531, 1906, May Average, Luxembourg, LUX
59.6124, 1906, Jun Average, Luxembourg, LUX
67.8635, 1906, Jul Average, Luxembourg, LUX
73.8879, 1906, Aug Average, Luxembourg, LUX
31.1752, 1906, Sep Average, Luxembourg, LUX
65.6522, 1906, Oct Average, Luxembourg, LUX
101.766, 1906, Nov Average, Luxembourg, LUX
75.6748, 1906, Dec Average, Luxembourg, LUX
51.6171, 1907, Jan Average, Luxembourg, LUX
36.9911, 1907, Feb Average, Luxembourg, LUX
58.4234, 1907, Mar Average, Luxembourg, LUX
62.6543, 1907, Apr Average, Luxembourg, LUX
72.2296, 1907, May Average, Luxembourg, LUX
75.7999, 1907, Jun Average, Luxembourg, LUX
84.1644, 1907, Jul Average, Luxembourg, LUX
66.5777, 1907, Aug Average, Luxembourg, LUX
38.361, 1907, Sep Average, Luxembourg, LUX
81.1997, 1907, Oct Average, Luxembourg, LUX
58.7722, 1907, Nov Average, Luxembourg, LUX
81.48, 1907, Dec Average, Luxembourg, LUX
45.6628, 1908, Jan Average, Luxembourg, LUX
86.4951, 1908, Feb Average, Luxembourg, LUX
60.0988, 1908, Mar Average, Luxembourg, LUX
61.8828, 1908, Apr Average, Luxembourg, LUX
93.76, 1908, May Average, Luxembourg, LUX
66.5806, 1908, Jun Average, Luxembourg, LUX
88.0579, 1908, Jul Average, Luxembourg, LUX
117.115, 1908, Aug Average, Luxembourg, LUX
58.473, 1908, Sep Average, Luxembourg, LUX
2.78467, 1908, Oct Average, Luxembourg, LUX
71.8412, 1908, Nov Average, Luxembourg, LUX
40.2712, 1908, Dec Average, Luxembourg, LUX
49.4892, 1909, Jan Average, Luxembourg, LUX
43.523, 1909, Feb Average, Luxembourg, LUX
74.9091, 1909, Mar Average, Luxembourg, LUX
62.912, 1909, Apr Average, Luxembourg, LUX
34.2848, 1909, May Average, Luxembourg, LUX
103.558, 1909, Jun Average, Luxembourg, LUX
132.657, 1909, Jul Average, Luxembourg, LUX
59.3689, 1909, Aug Average, Luxembourg, LUX
