Rainfall - (MM), Year, Statistics, Country, ISO3
24.1533, 1901, Jan Average, Latvia, LVA
38.222, 1901, Feb Average, Latvia, LVA
27.4691, 1901, Mar Average, Latvia, LVA
50.7011, 1901, Apr Average, Latvia, LVA
15.5957, 1901, May Average, Latvia, LVA
83.2408, 1901, Jun Average, Latvia, LVA
30.1556, 1901, Jul Average, Latvia, LVA
67.6369, 1901, Aug Average, Latvia, LVA
35.0766, 1901, Sep Average, Latvia, LVA
27.8696, 1901, Oct Average, Latvia, LVA
65.4968, 1901, Nov Average, Latvia, LVA
62.2703, 1901, Dec Average, Latvia, LVA
62.1956, 1902, Jan Average, Latvia, LVA
23.028, 1902, Feb Average, Latvia, LVA
41.8133, 1902, Mar Average, Latvia, LVA
19.5201, 1902, Apr Average, Latvia, LVA
72.61, 1902, May Average, Latvia, LVA
84.6118, 1902, Jun Average, Latvia, LVA
97.7198, 1902, Jul Average, Latvia, LVA
99.3133, 1902, Aug Average, Latvia, LVA
52.5708, 1902, Sep Average, Latvia, LVA
55.3523, 1902, Oct Average, Latvia, LVA
19.9545, 1902, Nov Average, Latvia, LVA
41.7468, 1902, Dec Average, Latvia, LVA
33.6774, 1903, Jan Average, Latvia, LVA
48.6304, 1903, Feb Average, Latvia, LVA
21.8849, 1903, Mar Average, Latvia, LVA
67.101, 1903, Apr Average, Latvia, LVA
70.394, 1903, May Average, Latvia, LVA
80.6746, 1903, Jun Average, Latvia, LVA
83.2361, 1903, Jul Average, Latvia, LVA
140.316, 1903, Aug Average, Latvia, LVA
26.3366, 1903, Sep Average, Latvia, LVA
66.5969, 1903, Oct Average, Latvia, LVA
61.1041, 1903, Nov Average, Latvia, LVA
23.1516, 1903, Dec Average, Latvia, LVA
23.9154, 1904, Jan Average, Latvia, LVA
55.6489, 1904, Feb Average, Latvia, LVA
10.3351, 1904, Mar Average, Latvia, LVA
51.6314, 1904, Apr Average, Latvia, LVA
56.0358, 1904, May Average, Latvia, LVA
66.6956, 1904, Jun Average, Latvia, LVA
56.4047, 1904, Jul Average, Latvia, LVA
114.918, 1904, Aug Average, Latvia, LVA
26.3282, 1904, Sep Average, Latvia, LVA
53.9524, 1904, Oct Average, Latvia, LVA
63.9664, 1904, Nov Average, Latvia, LVA
73.8081, 1904, Dec Average, Latvia, LVA
52.031, 1905, Jan Average, Latvia, LVA
24.3284, 1905, Feb Average, Latvia, LVA
34.9561, 1905, Mar Average, Latvia, LVA
41.7402, 1905, Apr Average, Latvia, LVA
36.3258, 1905, May Average, Latvia, LVA
31.8152, 1905, Jun Average, Latvia, LVA
85.4608, 1905, Jul Average, Latvia, LVA
86.4223, 1905, Aug Average, Latvia, LVA
64.3824, 1905, Sep Average, Latvia, LVA
95.0784, 1905, Oct Average, Latvia, LVA
57.7292, 1905, Nov Average, Latvia, LVA
30.8567, 1905, Dec Average, Latvia, LVA
45.1513, 1906, Jan Average, Latvia, LVA
32.4178, 1906, Feb Average, Latvia, LVA
47.2624, 1906, Mar Average, Latvia, LVA
35.9455, 1906, Apr Average, Latvia, LVA
49.0494, 1906, May Average, Latvia, LVA
