Rainfall - (MM), Year, Statistics, Country, ISO3
61.5168, 1901, Jan Average, Morocco, MAR
67.3824, 1901, Feb Average, Morocco, MAR
66.5839, 1901, Mar Average, Morocco, MAR
33.0434, 1901, Apr Average, Morocco, MAR
15.6459, 1901, May Average, Morocco, MAR
7.53335, 1901, Jun Average, Morocco, MAR
4.99577, 1901, Jul Average, Morocco, MAR
5.74814, 1901, Aug Average, Morocco, MAR
40.1015, 1901, Sep Average, Morocco, MAR
40.8689, 1901, Oct Average, Morocco, MAR
48.961, 1901, Nov Average, Morocco, MAR
72.9815, 1901, Dec Average, Morocco, MAR
20.5074, 1902, Jan Average, Morocco, MAR
65.4778, 1902, Feb Average, Morocco, MAR
47.8676, 1902, Mar Average, Morocco, MAR
40.985, 1902, Apr Average, Morocco, MAR
21.6347, 1902, May Average, Morocco, MAR
8.53929, 1902, Jun Average, Morocco, MAR
10.891, 1902, Jul Average, Morocco, MAR
10.0619, 1902, Aug Average, Morocco, MAR
12.5581, 1902, Sep Average, Morocco, MAR
44.7014, 1902, Oct Average, Morocco, MAR
68.9368, 1902, Nov Average, Morocco, MAR
31.682, 1902, Dec Average, Morocco, MAR
22.0531, 1903, Jan Average, Morocco, MAR
5.22773, 1903, Feb Average, Morocco, MAR
35.9976, 1903, Mar Average, Morocco, MAR
31.3204, 1903, Apr Average, Morocco, MAR
35.6678, 1903, May Average, Morocco, MAR
9.21271, 1903, Jun Average, Morocco, MAR
1.30309, 1903, Jul Average, Morocco, MAR
2.98376, 1903, Aug Average, Morocco, MAR
18.3393, 1903, Sep Average, Morocco, MAR
11.867, 1903, Oct Average, Morocco, MAR
14.9179, 1903, Nov Average, Morocco, MAR
93.7097, 1903, Dec Average, Morocco, MAR
51.5564, 1904, Jan Average, Morocco, MAR
78.1297, 1904, Feb Average, Morocco, MAR
93.4264, 1904, Mar Average, Morocco, MAR
69.3772, 1904, Apr Average, Morocco, MAR
18.1893, 1904, May Average, Morocco, MAR
20.4004, 1904, Jun Average, Morocco, MAR
1.06646, 1904, Jul Average, Morocco, MAR
3.25031, 1904, Aug Average, Morocco, MAR
21.5461, 1904, Sep Average, Morocco, MAR
20.7661, 1904, Oct Average, Morocco, MAR
40.4796, 1904, Nov Average, Morocco, MAR
38.5303, 1904, Dec Average, Morocco, MAR
17.092, 1905, Jan Average, Morocco, MAR
10.2866, 1905, Feb Average, Morocco, MAR
11.1611, 1905, Mar Average, Morocco, MAR
37.0804, 1905, Apr Average, Morocco, MAR
51.3865, 1905, May Average, Morocco, MAR
9.23124, 1905, Jun Average, Morocco, MAR
3.89652, 1905, Jul Average, Morocco, MAR
0.21431, 1905, Aug Average, Morocco, MAR
3.48871, 1905, Sep Average, Morocco, MAR
80.018, 1905, Oct Average, Morocco, MAR
92.6514, 1905, Nov Average, Morocco, MAR
23.7624, 1905, Dec Average, Morocco, MAR
14.4223, 1906, Jan Average, Morocco, MAR
13.6958, 1906, Feb Average, Morocco, MAR
43.0583, 1906, Mar Average, Morocco, MAR
56.2433, 1906, Apr Average, Morocco, MAR
44.1347, 1906, May Average, Morocco, MAR
9.74027, 1906, Jun Average, Morocco, MAR
5.08778, 1906, Jul Average, Morocco, MAR
10.8833, 1906, Aug Average, Morocco, MAR
17.3366, 1906, Sep Average, Morocco, MAR
28.2727, 1906, Oct Average, Morocco, MAR
34.8387, 1906, Nov Average, Morocco, MAR
45.343, 1906, Dec Average, Morocco, MAR
25.3834, 1907, Jan Average, Morocco, MAR
49.1063, 1907, Feb Average, Morocco, MAR
57.8435, 1907, Mar Average, Morocco, MAR
16.9304, 1907, Apr Average, Morocco, MAR
23.5839, 1907, May Average, Morocco, MAR
1.71327, 1907, Jun Average, Morocco, MAR
2.18846, 1907, Jul Average, Morocco, MAR
8.13221, 1907, Aug Average, Morocco, MAR
28.2001, 1907, Sep Average, Morocco, MAR
30.8947, 1907, Oct Average, Morocco, MAR
91.1685, 1907, Nov Average, Morocco, MAR
29.428, 1907, Dec Average, Morocco, MAR
46.0586, 1908, Jan Average, Morocco, MAR
36.7759, 1908, Feb Average, Morocco, MAR
50.0136, 1908, Mar Average, Morocco, MAR
24.3321, 1908, Apr Average, Morocco, MAR
16.473, 1908, May Average, Morocco, MAR
21.6015, 1908, Jun Average, Morocco, MAR
0.82384, 1908, Jul Average, Morocco, MAR
4.41595, 1908, Aug Average, Morocco, MAR
8.49455, 1908, Sep Average, Morocco, MAR
14.1642, 1908, Oct Average, Morocco, MAR
56.9341, 1908, Nov Average, Morocco, MAR
32.3817, 1908, Dec Average, Morocco, MAR
33.5677, 1909, Jan Average, Morocco, MAR
37.6852, 1909, Feb Average, Morocco, MAR
62.1889, 1909, Mar Average, Morocco, MAR
42.4948, 1909, Apr Average, Morocco, MAR
32.8503, 1909, May Average, Morocco, MAR
2.57679, 1909, Jun Average, Morocco, MAR
1.22483, 1909, Jul Average, Morocco, MAR
0.85844, 1909, Aug Average, Morocco, MAR
