Rainfall - (MM), Year, Statistics, Country, ISO3
47.5794, 1901, Jan Average, Moldova, MDA
52.4969, 1901, Feb Average, Moldova, MDA
52.7491, 1901, Mar Average, Moldova, MDA
65.4266, 1901, Apr Average, Moldova, MDA
25.9287, 1901, May Average, Moldova, MDA
114.507, 1901, Jun Average, Moldova, MDA
71.7706, 1901, Jul Average, Moldova, MDA
60.0249, 1901, Aug Average, Moldova, MDA
28.9754, 1901, Sep Average, Moldova, MDA
48.9202, 1901, Oct Average, Moldova, MDA
6.60519, 1901, Nov Average, Moldova, MDA
36.9451, 1901, Dec Average, Moldova, MDA
13.784, 1902, Jan Average, Moldova, MDA
22.1543, 1902, Feb Average, Moldova, MDA
34.5785, 1902, Mar Average, Moldova, MDA
28.7981, 1902, Apr Average, Moldova, MDA
63.4621, 1902, May Average, Moldova, MDA
44.162, 1902, Jun Average, Moldova, MDA
47.3469, 1902, Jul Average, Moldova, MDA
38.9293, 1902, Aug Average, Moldova, MDA
30.4148, 1902, Sep Average, Moldova, MDA
43.6393, 1902, Oct Average, Moldova, MDA
1.85895, 1902, Nov Average, Moldova, MDA
52.9162, 1902, Dec Average, Moldova, MDA
17.0625, 1903, Jan Average, Moldova, MDA
7.03659, 1903, Feb Average, Moldova, MDA
13.3461, 1903, Mar Average, Moldova, MDA
68.9945, 1903, Apr Average, Moldova, MDA
62.7393, 1903, May Average, Moldova, MDA
75.8768, 1903, Jun Average, Moldova, MDA
38.0788, 1903, Jul Average, Moldova, MDA
24.3786, 1903, Aug Average, Moldova, MDA
2.50602, 1903, Sep Average, Moldova, MDA
23.7653, 1903, Oct Average, Moldova, MDA
19.2945, 1903, Nov Average, Moldova, MDA
31.0712, 1903, Dec Average, Moldova, MDA
9.68639, 1904, Jan Average, Moldova, MDA
18.0778, 1904, Feb Average, Moldova, MDA
35.287, 1904, Mar Average, Moldova, MDA
14.9153, 1904, Apr Average, Moldova, MDA
46.1727, 1904, May Average, Moldova, MDA
44.6722, 1904, Jun Average, Moldova, MDA
20.86, 1904, Jul Average, Moldova, MDA
43.1472, 1904, Aug Average, Moldova, MDA
99.8784, 1904, Sep Average, Moldova, MDA
27.3136, 1904, Oct Average, Moldova, MDA
47.6037, 1904, Nov Average, Moldova, MDA
12.9384, 1904, Dec Average, Moldova, MDA
20.4879, 1905, Jan Average, Moldova, MDA
30.7548, 1905, Feb Average, Moldova, MDA
5.81043, 1905, Mar Average, Moldova, MDA
47.3937, 1905, Apr Average, Moldova, MDA
33.1228, 1905, May Average, Moldova, MDA
56.1516, 1905, Jun Average, Moldova, MDA
33.6941, 1905, Jul Average, Moldova, MDA
14.4927, 1905, Aug Average, Moldova, MDA
37.9348, 1905, Sep Average, Moldova, MDA
72.9961, 1905, Oct Average, Moldova, MDA
69.1591, 1905, Nov Average, Moldova, MDA
22.2867, 1905, Dec Average, Moldova, MDA
43.6442, 1906, Jan Average, Moldova, MDA
24.5855, 1906, Feb Average, Moldova, MDA
25.3483, 1906, Mar Average, Moldova, MDA
43.7864, 1906, Apr Average, Moldova, MDA
75.4701, 1906, May Average, Moldova, MDA
70.2073, 1906, Jun Average, Moldova, MDA
99.0111, 1906, Jul Average, Moldova, MDA
39.9148, 1906, Aug Average, Moldova, MDA
19.8269, 1906, Sep Average, Moldova, MDA
18.6215, 1906, Oct Average, Moldova, MDA
25.8589, 1906, Nov Average, Moldova, MDA
53.0716, 1906, Dec Average, Moldova, MDA
22.9561, 1907, Jan Average, Moldova, MDA
23.0966, 1907, Feb Average, Moldova, MDA
42.2838, 1907, Mar Average, Moldova, MDA
30.3823, 1907, Apr Average, Moldova, MDA
21.3548, 1907, May Average, Moldova, MDA
107.955, 1907, Jun Average, Moldova, MDA
69.9261, 1907, Jul Average, Moldova, MDA
16.6735, 1907, Aug Average, Moldova, MDA
40.5589, 1907, Sep Average, Moldova, MDA
5.08498, 1907, Oct Average, Moldova, MDA
45.4342, 1907, Nov Average, Moldova, MDA
30.6333, 1907, Dec Average, Moldova, MDA
25.0599, 1908, Jan Average, Moldova, MDA
39.4837, 1908, Feb Average, Moldova, MDA
