Rainfall - (MM), Year, Statistics, Country, ISO3
286.617, 1901, Jan Average, Madagascar, MDG
244.935, 1901, Feb Average, Madagascar, MDG
190.743, 1901, Mar Average, Madagascar, MDG
65.9753, 1901, Apr Average, Madagascar, MDG
31.9035, 1901, May Average, Madagascar, MDG
41.9302, 1901, Jun Average, Madagascar, MDG
42.8713, 1901, Jul Average, Madagascar, MDG
40.0398, 1901, Aug Average, Madagascar, MDG
26.0232, 1901, Sep Average, Madagascar, MDG
43.704, 1901, Oct Average, Madagascar, MDG
63.776, 1901, Nov Average, Madagascar, MDG
348.478, 1901, Dec Average, Madagascar, MDG
162.059, 1902, Jan Average, Madagascar, MDG
317.062, 1902, Feb Average, Madagascar, MDG
170.784, 1902, Mar Average, Madagascar, MDG
77.5514, 1902, Apr Average, Madagascar, MDG
34.7052, 1902, May Average, Madagascar, MDG
26.8378, 1902, Jun Average, Madagascar, MDG
41.2178, 1902, Jul Average, Madagascar, MDG
16.8122, 1902, Aug Average, Madagascar, MDG
31.1096, 1902, Sep Average, Madagascar, MDG
46.5979, 1902, Oct Average, Madagascar, MDG
164.31, 1902, Nov Average, Madagascar, MDG
179.963, 1902, Dec Average, Madagascar, MDG
297.083, 1903, Jan Average, Madagascar, MDG
274.264, 1903, Feb Average, Madagascar, MDG
253.374, 1903, Mar Average, Madagascar, MDG
67.3661, 1903, Apr Average, Madagascar, MDG
24.0022, 1903, May Average, Madagascar, MDG
43.0474, 1903, Jun Average, Madagascar, MDG
24.776, 1903, Jul Average, Madagascar, MDG
94.6296, 1903, Aug Average, Madagascar, MDG
89.1977, 1903, Sep Average, Madagascar, MDG
42.0427, 1903, Oct Average, Madagascar, MDG
138.23, 1903, Nov Average, Madagascar, MDG
171.405, 1903, Dec Average, Madagascar, MDG
347.905, 1904, Jan Average, Madagascar, MDG
317.436, 1904, Feb Average, Madagascar, MDG
230.485, 1904, Mar Average, Madagascar, MDG
35.2306, 1904, Apr Average, Madagascar, MDG
62.1021, 1904, May Average, Madagascar, MDG
75.249, 1904, Jun Average, Madagascar, MDG
42.3336, 1904, Jul Average, Madagascar, MDG
77.4421, 1904, Aug Average, Madagascar, MDG
39.2835, 1904, Sep Average, Madagascar, MDG
51.8872, 1904, Oct Average, Madagascar, MDG
61.6075, 1904, Nov Average, Madagascar, MDG
255.438, 1904, Dec Average, Madagascar, MDG
272.207, 1905, Jan Average, Madagascar, MDG
317.509, 1905, Feb Average, Madagascar, MDG
147.103, 1905, Mar Average, Madagascar, MDG
143.283, 1905, Apr Average, Madagascar, MDG
57.2025, 1905, May Average, Madagascar, MDG
25.2946, 1905, Jun Average, Madagascar, MDG
49.1221, 1905, Jul Average, Madagascar, MDG
64.3982, 1905, Aug Average, Madagascar, MDG
35.0115, 1905, Sep Average, Madagascar, MDG
49.0801, 1905, Oct Average, Madagascar, MDG
233.996, 1905, Nov Average, Madagascar, MDG
241.329, 1905, Dec Average, Madagascar, MDG
111.817, 1906, Jan Average, Madagascar, MDG
576.008, 1906, Feb Average, Madagascar, MDG
215.713, 1906, Mar Average, Madagascar, MDG
172.924, 1906, Apr Average, Madagascar, MDG
28.4901, 1906, May Average, Madagascar, MDG
28.525, 1906, Jun Average, Madagascar, MDG
44.2028, 1906, Jul Average, Madagascar, MDG
21.3396, 1906, Aug Average, Madagascar, MDG
55.4249, 1906, Sep Average, Madagascar, MDG
97.4926, 1906, Oct Average, Madagascar, MDG
69.8665, 1906, Nov Average, Madagascar, MDG
186.676, 1906, Dec Average, Madagascar, MDG
188.644, 1907, Jan Average, Madagascar, MDG
187.433, 1907, Feb Average, Madagascar, MDG
308.492, 1907, Mar Average, Madagascar, MDG
120.936, 1907, Apr Average, Madagascar, MDG
34.0703, 1907, May Average, Madagascar, MDG
52.24, 1907, Jun Average, Madagascar, MDG
64.1288, 1907, Jul Average, Madagascar, MDG
22.363, 1907, Aug Average, Madagascar, MDG
51.9689, 1907, Sep Average, Madagascar, MDG
32.097, 1907, Oct Average, Madagascar, MDG
65.506, 1907, Nov Average, Madagascar, MDG
231.292, 1907, Dec Average, Madagascar, MDG
201.766, 1908, Jan Average, Madagascar, MDG
367.846, 1908, Feb Average, Madagascar, MDG
159.905, 1908, Mar Average, Madagascar, MDG
78.1293, 1908, Apr Average, Madagascar, MDG
61.4288, 1908, May Average, Madagascar, MDG
18.0133, 1908, Jun Average, Madagascar, MDG
54.6746, 1908, Jul Average, Madagascar, MDG
13.0058, 1908, Aug Average, Madagascar, MDG
20.1779, 1908, Sep Average, Madagascar, MDG
51.4522, 1908, Oct Average, Madagascar, MDG
110.531, 1908, Nov Average, Madagascar, MDG
204.415, 1908, Dec Average, Madagascar, MDG
214.626, 1909, Jan Average, Madagascar, MDG
193.978, 1909, Feb Average, Madagascar, MDG
73.1503, 1909, Mar Average, Madagascar, MDG
47.8868, 1909, Apr Average, Madagascar, MDG
24.0784, 1909, May Average, Madagascar, MDG
45.6328, 1909, Jun Average, Madagascar, MDG
19.6977, 1909, Jul Average, Madagascar, MDG
49.644, 1909, Aug Average, Madagascar, MDG
53.3805, 1909, Sep Average, Madagascar, MDG
48.1114, 1909, Oct Average, Madagascar, MDG
