Rainfall - (MM), Year, Statistics, Country, ISO3
197, 1901, Jan Average, Maldives, MDV
139, 1901, Feb Average, Maldives, MDV
143, 1901, Mar Average, Maldives, MDV
171, 1901, Apr Average, Maldives, MDV
223, 1901, May Average, Maldives, MDV
185, 1901, Jun Average, Maldives, MDV
174, 1901, Jul Average, Maldives, MDV
191, 1901, Aug Average, Maldives, MDV
217, 1901, Sep Average, Maldives, MDV
276, 1901, Oct Average, Maldives, MDV
202, 1901, Nov Average, Maldives, MDV
247, 1901, Dec Average, Maldives, MDV
197, 1902, Jan Average, Maldives, MDV
139, 1902, Feb Average, Maldives, MDV
143, 1902, Mar Average, Maldives, MDV
171, 1902, Apr Average, Maldives, MDV
223, 1902, May Average, Maldives, MDV
185, 1902, Jun Average, Maldives, MDV
174, 1902, Jul Average, Maldives, MDV
191, 1902, Aug Average, Maldives, MDV
217, 1902, Sep Average, Maldives, MDV
276, 1902, Oct Average, Maldives, MDV
202, 1902, Nov Average, Maldives, MDV
247, 1902, Dec Average, Maldives, MDV
197, 1903, Jan Average, Maldives, MDV
139, 1903, Feb Average, Maldives, MDV
143, 1903, Mar Average, Maldives, MDV
171, 1903, Apr Average, Maldives, MDV
223, 1903, May Average, Maldives, MDV
185, 1903, Jun Average, Maldives, MDV
174, 1903, Jul Average, Maldives, MDV
191, 1903, Aug Average, Maldives, MDV
217, 1903, Sep Average, Maldives, MDV
276, 1903, Oct Average, Maldives, MDV
202, 1903, Nov Average, Maldives, MDV
247, 1903, Dec Average, Maldives, MDV
197, 1904, Jan Average, Maldives, MDV
139, 1904, Feb Average, Maldives, MDV
143, 1904, Mar Average, Maldives, MDV
171, 1904, Apr Average, Maldives, MDV
223, 1904, May Average, Maldives, MDV
185, 1904, Jun Average, Maldives, MDV
174, 1904, Jul Average, Maldives, MDV
191, 1904, Aug Average, Maldives, MDV
217, 1904, Sep Average, Maldives, MDV
276, 1904, Oct Average, Maldives, MDV
202, 1904, Nov Average, Maldives, MDV
247, 1904, Dec Average, Maldives, MDV
197, 1905, Jan Average, Maldives, MDV
139, 1905, Feb Average, Maldives, MDV
143, 1905, Mar Average, Maldives, MDV
171, 1905, Apr Average, Maldives, MDV
223, 1905, May Average, Maldives, MDV
185, 1905, Jun Average, Maldives, MDV
174, 1905, Jul Average, Maldives, MDV
191, 1905, Aug Average, Maldives, MDV
217, 1905, Sep Average, Maldives, MDV
276, 1905, Oct Average, Maldives, MDV
202, 1905, Nov Average, Maldives, MDV
247, 1905, Dec Average, Maldives, MDV
197, 1906, Jan Average, Maldives, MDV
139, 1906, Feb Average, Maldives, MDV
143, 1906, Mar Average, Maldives, MDV
171, 1906, Apr Average, Maldives, MDV
223, 1906, May Average, Maldives, MDV
185, 1906, Jun Average, Maldives, MDV
174, 1906, Jul Average, Maldives, MDV
191, 1906, Aug Average, Maldives, MDV
217, 1906, Sep Average, Maldives, MDV
276, 1906, Oct Average, Maldives, MDV
202, 1906, Nov Average, Maldives, MDV
247, 1906, Dec Average, Maldives, MDV
197, 1907, Jan Average, Maldives, MDV
139, 1907, Feb Average, Maldives, MDV
143, 1907, Mar Average, Maldives, MDV
171, 1907, Apr Average, Maldives, MDV
223, 1907, May Average, Maldives, MDV
185, 1907, Jun Average, Maldives, MDV
174, 1907, Jul Average, Maldives, MDV
191, 1907, Aug Average, Maldives, MDV
217, 1907, Sep Average, Maldives, MDV
276, 1907, Oct Average, Maldives, MDV
202, 1907, Nov Average, Maldives, MDV
247, 1907, Dec Average, Maldives, MDV
197, 1908, Jan Average, Maldives, MDV
139, 1908, Feb Average, Maldives, MDV
143, 1908, Mar Average, Maldives, MDV
171, 1908, Apr Average, Maldives, MDV
223, 1908, May Average, Maldives, MDV
185, 1908, Jun Average, Maldives, MDV
174, 1908, Jul Average, Maldives, MDV
191, 1908, Aug Average, Maldives, MDV
217, 1908, Sep Average, Maldives, MDV
276, 1908, Oct Average, Maldives, MDV
202, 1908, Nov Average, Maldives, MDV
247, 1908, Dec Average, Maldives, MDV
197, 1909, Jan Average, Maldives, MDV
139, 1909, Feb Average, Maldives, MDV
143, 1909, Mar Average, Maldives, MDV
171, 1909, Apr Average, Maldives, MDV
223, 1909, May Average, Maldives, MDV
185, 1909, Jun Average, Maldives, MDV
174, 1909, Jul Average, Maldives, MDV
191, 1909, Aug Average, Maldives, MDV
217, 1909, Sep Average, Maldives, MDV
276, 1909, Oct Average, Maldives, MDV
202, 1909, Nov Average, Maldives, MDV
247, 1909, Dec Average, Maldives, MDV
197, 1910, Jan Average, Maldives, MDV
139, 1910, Feb Average, Maldives, MDV
143, 1910, Mar Average, Maldives, MDV
171, 1910, Apr Average, Maldives, MDV
223, 1910, May Average, Maldives, MDV
185, 1910, Jun Average, Maldives, MDV
174, 1910, Jul Average, Maldives, MDV
191, 1910, Aug Average, Maldives, MDV
217, 1910, Sep Average, Maldives, MDV
276, 1910, Oct Average, Maldives, MDV
202, 1910, Nov Average, Maldives, MDV
247, 1910, Dec Average, Maldives, MDV
197, 1911, Jan Average, Maldives, MDV
139, 1911, Feb Average, Maldives, MDV
143, 1911, Mar Average, Maldives, MDV
171, 1911, Apr Average, Maldives, MDV
223, 1911, May Average, Maldives, MDV
185, 1911, Jun Average, Maldives, MDV
174, 1911, Jul Average, Maldives, MDV
191, 1911, Aug Average, Maldives, MDV
217, 1911, Sep Average, Maldives, MDV
276, 1911, Oct Average, Maldives, MDV
202, 1911, Nov Average, Maldives, MDV
247, 1911, Dec Average, Maldives, MDV
197, 1912, Jan Average, Maldives, MDV
139, 1912, Feb Average, Maldives, MDV
143, 1912, Mar Average, Maldives, MDV
171, 1912, Apr Average, Maldives, MDV
223, 1912, May Average, Maldives, MDV
185, 1912, Jun Average, Maldives, MDV
174, 1912, Jul Average, Maldives, MDV
191, 1912, Aug Average, Maldives, MDV
217, 1912, Sep Average, Maldives, MDV
276, 1912, Oct Average, Maldives, MDV
202, 1912, Nov Average, Maldives, MDV
247, 1912, Dec Average, Maldives, MDV
197, 1913, Jan Average, Maldives, MDV
139, 1913, Feb Average, Maldives, MDV
143, 1913, Mar Average, Maldives, MDV
171, 1913, Apr Average, Maldives, MDV
223, 1913, May Average, Maldives, MDV
185, 1913, Jun Average, Maldives, MDV
174, 1913, Jul Average, Maldives, MDV
191, 1913, Aug Average, Maldives, MDV
217, 1913, Sep Average, Maldives, MDV
276, 1913, Oct Average, Maldives, MDV
202, 1913, Nov Average, Maldives, MDV
247, 1913, Dec Average, Maldives, MDV
197, 1914, Jan Average, Maldives, MDV
139, 1914, Feb Average, Maldives, MDV
143, 1914, Mar Average, Maldives, MDV
171, 1914, Apr Average, Maldives, MDV
223, 1914, May Average, Maldives, MDV
185, 1914, Jun Average, Maldives, MDV
174, 1914, Jul Average, Maldives, MDV
191, 1914, Aug Average, Maldives, MDV
217, 1914, Sep Average, Maldives, MDV
276, 1914, Oct Average, Maldives, MDV
202, 1914, Nov Average, Maldives, MDV
247, 1914, Dec Average, Maldives, MDV
197, 1915, Jan Average, Maldives, MDV
139, 1915, Feb Average, Maldives, MDV
143, 1915, Mar Average, Maldives, MDV
