Rainfall - (MM), Year, Statistics, Country, ISO3
11.7908, 1901, Jan Average, Mexico, MEX
34.2592, 1901, Feb Average, Mexico, MEX
6.69704, 1901, Mar Average, Mexico, MEX
11.4709, 1901, Apr Average, Mexico, MEX
24.4775, 1901, May Average, Mexico, MEX
64.7816, 1901, Jun Average, Mexico, MEX
150.542, 1901, Jul Average, Mexico, MEX
134.635, 1901, Aug Average, Mexico, MEX
136.395, 1901, Sep Average, Mexico, MEX
47.6962, 1901, Oct Average, Mexico, MEX
24.5388, 1901, Nov Average, Mexico, MEX
8.80012, 1901, Dec Average, Mexico, MEX
22.5038, 1902, Jan Average, Mexico, MEX
6.09607, 1902, Feb Average, Mexico, MEX
4.62796, 1902, Mar Average, Mexico, MEX
9.24681, 1902, Apr Average, Mexico, MEX
32.3214, 1902, May Average, Mexico, MEX
75.806, 1902, Jun Average, Mexico, MEX
131.667, 1902, Jul Average, Mexico, MEX
90.7668, 1902, Aug Average, Mexico, MEX
118.416, 1902, Sep Average, Mexico, MEX
64.7864, 1902, Oct Average, Mexico, MEX
26.9084, 1902, Nov Average, Mexico, MEX
32.3553, 1902, Dec Average, Mexico, MEX
21.4599, 1903, Jan Average, Mexico, MEX
19.5343, 1903, Feb Average, Mexico, MEX
18.4715, 1903, Mar Average, Mexico, MEX
12.3215, 1903, Apr Average, Mexico, MEX
22.0758, 1903, May Average, Mexico, MEX
131.748, 1903, Jun Average, Mexico, MEX
94.7304, 1903, Jul Average, Mexico, MEX
144.293, 1903, Aug Average, Mexico, MEX
131.095, 1903, Sep Average, Mexico, MEX
47.9985, 1903, Oct Average, Mexico, MEX
12.0927, 1903, Nov Average, Mexico, MEX
8.70131, 1903, Dec Average, Mexico, MEX
6.58713, 1904, Jan Average, Mexico, MEX
7.81254, 1904, Feb Average, Mexico, MEX
14.6309, 1904, Mar Average, Mexico, MEX
21.8934, 1904, Apr Average, Mexico, MEX
64.594, 1904, May Average, Mexico, MEX
93.9635, 1904, Jun Average, Mexico, MEX
127.422, 1904, Jul Average, Mexico, MEX
104.888, 1904, Aug Average, Mexico, MEX
120.645, 1904, Sep Average, Mexico, MEX
87.818, 1904, Oct Average, Mexico, MEX
40.0042, 1904, Nov Average, Mexico, MEX
32.8125, 1904, Dec Average, Mexico, MEX
23.5117, 1905, Jan Average, Mexico, MEX
38.5286, 1905, Feb Average, Mexico, MEX
26.6979, 1905, Mar Average, Mexico, MEX
16.3015, 1905, Apr Average, Mexico, MEX
