Rainfall - (MM), Year, Statistics, Country, ISO3
189.3, 1901, Jan Average, Marshall Islands, MHL
140.199, 1901, Feb Average, Marshall Islands, MHL
174.6, 1901, Mar Average, Marshall Islands, MHL
229.5, 1901, Apr Average, Marshall Islands, MHL
245.6, 1901, May Average, Marshall Islands, MHL
262.399, 1901, Jun Average, Marshall Islands, MHL
287.5, 1901, Jul Average, Marshall Islands, MHL
270.7, 1901, Aug Average, Marshall Islands, MHL
288.2, 1901, Sep Average, Marshall Islands, MHL
303.899, 1901, Oct Average, Marshall Islands, MHL
293.399, 1901, Nov Average, Marshall Islands, MHL
271.2, 1901, Dec Average, Marshall Islands, MHL
189.3, 1902, Jan Average, Marshall Islands, MHL
140.199, 1902, Feb Average, Marshall Islands, MHL
174.6, 1902, Mar Average, Marshall Islands, MHL
229.5, 1902, Apr Average, Marshall Islands, MHL
245.6, 1902, May Average, Marshall Islands, MHL
262.399, 1902, Jun Average, Marshall Islands, MHL
287.5, 1902, Jul Average, Marshall Islands, MHL
270.7, 1902, Aug Average, Marshall Islands, MHL
288.2, 1902, Sep Average, Marshall Islands, MHL
303.899, 1902, Oct Average, Marshall Islands, MHL
293.399, 1902, Nov Average, Marshall Islands, MHL
271.2, 1902, Dec Average, Marshall Islands, MHL
189.3, 1903, Jan Average, Marshall Islands, MHL
140.199, 1903, Feb Average, Marshall Islands, MHL
174.6, 1903, Mar Average, Marshall Islands, MHL
229.5, 1903, Apr Average, Marshall Islands, MHL
245.6, 1903, May Average, Marshall Islands, MHL
262.399, 1903, Jun Average, Marshall Islands, MHL
287.5, 1903, Jul Average, Marshall Islands, MHL
270.7, 1903, Aug Average, Marshall Islands, MHL
288.2, 1903, Sep Average, Marshall Islands, MHL
303.899, 1903, Oct Average, Marshall Islands, MHL
293.399, 1903, Nov Average, Marshall Islands, MHL
271.2, 1903, Dec Average, Marshall Islands, MHL
189.3, 1904, Jan Average, Marshall Islands, MHL
140.199, 1904, Feb Average, Marshall Islands, MHL
174.6, 1904, Mar Average, Marshall Islands, MHL
229.5, 1904, Apr Average, Marshall Islands, MHL
245.6, 1904, May Average, Marshall Islands, MHL
262.399, 1904, Jun Average, Marshall Islands, MHL
287.5, 1904, Jul Average, Marshall Islands, MHL
270.7, 1904, Aug Average, Marshall Islands, MHL
288.2, 1904, Sep Average, Marshall Islands, MHL
303.899, 1904, Oct Average, Marshall Islands, MHL
293.399, 1904, Nov Average, Marshall Islands, MHL
271.2, 1904, Dec Average, Marshall Islands, MHL
189.3, 1905, Jan Average, Marshall Islands, MHL
140.199, 1905, Feb Average, Marshall Islands, MHL
174.6, 1905, Mar Average, Marshall Islands, MHL
229.5, 1905, Apr Average, Marshall Islands, MHL
245.6, 1905, May Average, Marshall Islands, MHL
262.399, 1905, Jun Average, Marshall Islands, MHL
287.5, 1905, Jul Average, Marshall Islands, MHL
270.7, 1905, Aug Average, Marshall Islands, MHL
288.2, 1905, Sep Average, Marshall Islands, MHL
303.899, 1905, Oct Average, Marshall Islands, MHL
293.399, 1905, Nov Average, Marshall Islands, MHL
271.2, 1905, Dec Average, Marshall Islands, MHL
189.3, 1906, Jan Average, Marshall Islands, MHL
140.199, 1906, Feb Average, Marshall Islands, MHL
174.6, 1906, Mar Average, Marshall Islands, MHL
229.5, 1906, Apr Average, Marshall Islands, MHL
245.6, 1906, May Average, Marshall Islands, MHL
262.399, 1906, Jun Average, Marshall Islands, MHL
287.5, 1906, Jul Average, Marshall Islands, MHL
270.7, 1906, Aug Average, Marshall Islands, MHL
288.2, 1906, Sep Average, Marshall Islands, MHL
303.899, 1906, Oct Average, Marshall Islands, MHL
293.399, 1906, Nov Average, Marshall Islands, MHL
271.2, 1906, Dec Average, Marshall Islands, MHL
189.3, 1907, Jan Average, Marshall Islands, MHL
140.199, 1907, Feb Average, Marshall Islands, MHL
174.6, 1907, Mar Average, Marshall Islands, MHL
229.5, 1907, Apr Average, Marshall Islands, MHL
245.6, 1907, May Average, Marshall Islands, MHL
262.399, 1907, Jun Average, Marshall Islands, MHL
287.5, 1907, Jul Average, Marshall Islands, MHL
270.7, 1907, Aug Average, Marshall Islands, MHL
288.2, 1907, Sep Average, Marshall Islands, MHL
