Rainfall - (MM), Year, Statistics, Country, ISO3
48.8434, 1901, Jan Average, Macedonia, MKD
68.298, 1901, Feb Average, Macedonia, MKD
63.1442, 1901, Mar Average, Macedonia, MKD
28.9253, 1901, Apr Average, Macedonia, MKD
74.3998, 1901, May Average, Macedonia, MKD
141.37, 1901, Jun Average, Macedonia, MKD
51.7706, 1901, Jul Average, Macedonia, MKD
52.1089, 1901, Aug Average, Macedonia, MKD
37.7354, 1901, Sep Average, Macedonia, MKD
112.155, 1901, Oct Average, Macedonia, MKD
69.1206, 1901, Nov Average, Macedonia, MKD
83.7563, 1901, Dec Average, Macedonia, MKD
35.6929, 1902, Jan Average, Macedonia, MKD
90.5355, 1902, Feb Average, Macedonia, MKD
62.1065, 1902, Mar Average, Macedonia, MKD
42.429, 1902, Apr Average, Macedonia, MKD
101.01, 1902, May Average, Macedonia, MKD
34.5705, 1902, Jun Average, Macedonia, MKD
22.3125, 1902, Jul Average, Macedonia, MKD
54.666, 1902, Aug Average, Macedonia, MKD
58.2568, 1902, Sep Average, Macedonia, MKD
73.0183, 1902, Oct Average, Macedonia, MKD
46.4772, 1902, Nov Average, Macedonia, MKD
67.0169, 1902, Dec Average, Macedonia, MKD
25.4469, 1903, Jan Average, Macedonia, MKD
16.5773, 1903, Feb Average, Macedonia, MKD
45.66, 1903, Mar Average, Macedonia, MKD
95.1385, 1903, Apr Average, Macedonia, MKD
68.1477, 1903, May Average, Macedonia, MKD
69.8414, 1903, Jun Average, Macedonia, MKD
44.2018, 1903, Jul Average, Macedonia, MKD
15.076, 1903, Aug Average, Macedonia, MKD
18.4834, 1903, Sep Average, Macedonia, MKD
80.5454, 1903, Oct Average, Macedonia, MKD
54.486, 1903, Nov Average, Macedonia, MKD
75.5254, 1903, Dec Average, Macedonia, MKD
45.6727, 1904, Jan Average, Macedonia, MKD
53.3107, 1904, Feb Average, Macedonia, MKD
38.8602, 1904, Mar Average, Macedonia, MKD
43.5651, 1904, Apr Average, Macedonia, MKD
62.3139, 1904, May Average, Macedonia, MKD
82.05, 1904, Jun Average, Macedonia, MKD
22.1593, 1904, Jul Average, Macedonia, MKD
22.7644, 1904, Aug Average, Macedonia, MKD
68.3215, 1904, Sep Average, Macedonia, MKD
93.6231, 1904, Oct Average, Macedonia, MKD
45.5069, 1904, Nov Average, Macedonia, MKD
46.3295, 1904, Dec Average, Macedonia, MKD
53.1686, 1905, Jan Average, Macedonia, MKD
33.4589, 1905, Feb Average, Macedonia, MKD
50.0664, 1905, Mar Average, Macedonia, MKD
43.8387, 1905, Apr Average, Macedonia, MKD
76.009, 1905, May Average, Macedonia, MKD
69.6259, 1905, Jun Average, Macedonia, MKD
49.3857, 1905, Jul Average, Macedonia, MKD
45.8209, 1905, Aug Average, Macedonia, MKD
31.3733, 1905, Sep Average, Macedonia, MKD
142.48, 1905, Oct Average, Macedonia, MKD
53.5476, 1905, Nov Average, Macedonia, MKD
18.5208, 1905, Dec Average, Macedonia, MKD
56.1474, 1906, Jan Average, Macedonia, MKD
52.5094, 1906, Feb Average, Macedonia, MKD
43.0686, 1906, Mar Average, Macedonia, MKD
24.2286, 1906, Apr Average, Macedonia, MKD
101.994, 1906, May Average, Macedonia, MKD
162.585, 1906, Jun Average, Macedonia, MKD
27.7638, 1906, Jul Average, Macedonia, MKD
31.1065, 1906, Aug Average, Macedonia, MKD
49.9974, 1906, Sep Average, Macedonia, MKD
59.1494, 1906, Oct Average, Macedonia, MKD
51.8391, 1906, Nov Average, Macedonia, MKD
98.9544, 1906, Dec Average, Macedonia, MKD
63.8558, 1907, Jan Average, Macedonia, MKD
56.2184, 1907, Feb Average, Macedonia, MKD
34.5017, 1907, Mar Average, Macedonia, MKD
68.7998, 1907, Apr Average, Macedonia, MKD
27.4021, 1907, May Average, Macedonia, MKD
82.8799, 1907, Jun Average, Macedonia, MKD
14.8865, 1907, Jul Average, Macedonia, MKD
34.8079, 1907, Aug Average, Macedonia, MKD
10.9347, 1907, Sep Average, Macedonia, MKD
42.0684, 1907, Oct Average, Macedonia, MKD
61.9785, 1907, Nov Average, Macedonia, MKD
59.0103, 1907, Dec Average, Macedonia, MKD
41.4093, 1908, Jan Average, Macedonia, MKD
47.8269, 1908, Feb Average, Macedonia, MKD
37.5928, 1908, Mar Average, Macedonia, MKD
59.353, 1908, Apr Average, Macedonia, MKD
32.2267, 1908, May Average, Macedonia, MKD
16.9909, 1908, Jun Average, Macedonia, MKD
36.231, 1908, Jul Average, Macedonia, MKD
17.403, 1908, Aug Average, Macedonia, MKD
