Rainfall - (MM), Year, Statistics, Country, ISO3
0.06535, 1901, Jan Average, Mali, MLI
0.54644, 1901, Feb Average, Mali, MLI
1.29206, 1901, Mar Average, Mali, MLI
6.03755, 1901, Apr Average, Mali, MLI
32.192, 1901, May Average, Mali, MLI
36.9761, 1901, Jun Average, Mali, MLI
72.361, 1901, Jul Average, Mali, MLI
108.731, 1901, Aug Average, Mali, MLI
59.5408, 1901, Sep Average, Mali, MLI
16.6906, 1901, Oct Average, Mali, MLI
0.77644, 1901, Nov Average, Mali, MLI
0.17642, 1901, Dec Average, Mali, MLI
0.06526, 1902, Jan Average, Mali, MLI
0.39087, 1902, Feb Average, Mali, MLI
1.35798, 1902, Mar Average, Mali, MLI
6.75217, 1902, Apr Average, Mali, MLI
23.9208, 1902, May Average, Mali, MLI
31.461, 1902, Jun Average, Mali, MLI
70.3035, 1902, Jul Average, Mali, MLI
103.641, 1902, Aug Average, Mali, MLI
32.2715, 1902, Sep Average, Mali, MLI
21.1478, 1902, Oct Average, Mali, MLI
0.94879, 1902, Nov Average, Mali, MLI
0.12439, 1902, Dec Average, Mali, MLI
0.18221, 1903, Jan Average, Mali, MLI
0.39087, 1903, Feb Average, Mali, MLI
1.27922, 1903, Mar Average, Mali, MLI
5.13029, 1903, Apr Average, Mali, MLI
19.1713, 1903, May Average, Mali, MLI
40.0989, 1903, Jun Average, Mali, MLI
91.3645, 1903, Jul Average, Mali, MLI
112.941, 1903, Aug Average, Mali, MLI
52.1149, 1903, Sep Average, Mali, MLI
12.6138, 1903, Oct Average, Mali, MLI
1.76664, 1903, Nov Average, Mali, MLI
0.20068, 1903, Dec Average, Mali, MLI
0.10525, 1904, Jan Average, Mali, MLI
0.39087, 1904, Feb Average, Mali, MLI
1.20746, 1904, Mar Average, Mali, MLI
3.6727, 1904, Apr Average, Mali, MLI
16.258, 1904, May Average, Mali, MLI
51.477, 1904, Jun Average, Mali, MLI
91.082, 1904, Jul Average, Mali, MLI
103.406, 1904, Aug Average, Mali, MLI
47.2613, 1904, Sep Average, Mali, MLI
18.1981, 1904, Oct Average, Mali, MLI
0.70011, 1904, Nov Average, Mali, MLI
0.12439, 1904, Dec Average, Mali, MLI
0.0547, 1905, Jan Average, Mali, MLI
0.36606, 1905, Feb Average, Mali, MLI
2.5489, 1905, Mar Average, Mali, MLI
5.32133, 1905, Apr Average, Mali, MLI
20.2788, 1905, May Average, Mali, MLI
52.474, 1905, Jun Average, Mali, MLI
104.143, 1905, Jul Average, Mali, MLI
103.562, 1905, Aug Average, Mali, MLI
82.4892, 1905, Sep Average, Mali, MLI
35.0474, 1905, Oct Average, Mali, MLI
0.75583, 1905, Nov Average, Mali, MLI
0.0306, 1905, Dec Average, Mali, MLI
0.28487, 1906, Jan Average, Mali, MLI
0.69162, 1906, Feb Average, Mali, MLI
0.67046, 1906, Mar Average, Mali, MLI
6.72825, 1906, Apr Average, Mali, MLI
34.6024, 1906, May Average, Mali, MLI
41.425, 1906, Jun Average, Mali, MLI
119.535, 1906, Jul Average, Mali, MLI
154.661, 1906, Aug Average, Mali, MLI
60.3677, 1906, Sep Average, Mali, MLI
17.1833, 1906, Oct Average, Mali, MLI
3.53749, 1906, Nov Average, Mali, MLI
0.14511, 1906, Dec Average, Mali, MLI
0.02425, 1907, Jan Average, Mali, MLI
0.27229, 1907, Feb Average, Mali, MLI
0.97189, 1907, Mar Average, Mali, MLI
3.87255, 1907, Apr Average, Mali, MLI
14.7284, 1907, May Average, Mali, MLI
