Rainfall - (MM), Year, Statistics, Country, ISO3
92.4131, 1901, Jan Average, Malta, MLT
88.8784, 1901, Feb Average, Malta, MLT
14.2842, 1901, Mar Average, Malta, MLT
13.6425, 1901, Apr Average, Malta, MLT
26.4834, 1901, May Average, Malta, MLT
0.89784, 1901, Jun Average, Malta, MLT
0.18598, 1901, Jul Average, Malta, MLT
1.98228, 1901, Aug Average, Malta, MLT
7.17457, 1901, Sep Average, Malta, MLT
107.585, 1901, Oct Average, Malta, MLT
111.378, 1901, Nov Average, Malta, MLT
15.7745, 1901, Dec Average, Malta, MLT
30.7111, 1902, Jan Average, Malta, MLT
49.6648, 1902, Feb Average, Malta, MLT
27.3541, 1902, Mar Average, Malta, MLT
37.609, 1902, Apr Average, Malta, MLT
14.761, 1902, May Average, Malta, MLT
0.11841, 1902, Jun Average, Malta, MLT
0.01094, 1902, Jul Average, Malta, MLT
0.19237, 1902, Aug Average, Malta, MLT
35.5249, 1902, Sep Average, Malta, MLT
83.7292, 1902, Oct Average, Malta, MLT
123.087, 1902, Nov Average, Malta, MLT
81.9731, 1902, Dec Average, Malta, MLT
53.7759, 1903, Jan Average, Malta, MLT
31.4329, 1903, Feb Average, Malta, MLT
22.6288, 1903, Mar Average, Malta, MLT
13.5949, 1903, Apr Average, Malta, MLT
1.1829, 1903, May Average, Malta, MLT
0.84145, 1903, Jun Average, Malta, MLT
0.06017, 1903, Jul Average, Malta, MLT
0, 1903, Aug Average, Malta, MLT
20.2341, 1903, Sep Average, Malta, MLT
11.946, 1903, Oct Average, Malta, MLT
56.8727, 1903, Nov Average, Malta, MLT
80.5357, 1903, Dec Average, Malta, MLT
127.896, 1904, Jan Average, Malta, MLT
15.9189, 1904, Feb Average, Malta, MLT
43.5743, 1904, Mar Average, Malta, MLT
6.02111, 1904, Apr Average, Malta, MLT
2.52951, 1904, May Average, Malta, MLT
1.13459, 1904, Jun Average, Malta, MLT
0.14769, 1904, Jul Average, Malta, MLT
12.9521, 1904, Aug Average, Malta, MLT
36.1789, 1904, Sep Average, Malta, MLT
90.3269, 1904, Oct Average, Malta, MLT
75.6401, 1904, Nov Average, Malta, MLT
54.7494, 1904, Dec Average, Malta, MLT
56.657, 1905, Jan Average, Malta, MLT
39.8907, 1905, Feb Average, Malta, MLT
17.4147, 1905, Mar Average, Malta, MLT
9.09198, 1905, Apr Average, Malta, MLT
21.518, 1905, May Average, Malta, MLT
0.29106, 1905, Jun Average, Malta, MLT
0.69469, 1905, Jul Average, Malta, MLT
0.85624, 1905, Aug Average, Malta, MLT
17.1452, 1905, Sep Average, Malta, MLT
63.1517, 1905, Oct Average, Malta, MLT
13.7768, 1905, Nov Average, Malta, MLT
181.573, 1905, Dec Average, Malta, MLT
112.025, 1906, Jan Average, Malta, MLT
92.4252, 1906, Feb Average, Malta, MLT
8.22296, 1906, Mar Average, Malta, MLT
19.1637, 1906, Apr Average, Malta, MLT
12.3538, 1906, May Average, Malta, MLT
0.50501, 1906, Jun Average, Malta, MLT
0.12034, 1906, Jul Average, Malta, MLT
2.85562, 1906, Aug Average, Malta, MLT
42.3093, 1906, Sep Average, Malta, MLT
113.65, 1906, Oct Average, Malta, MLT
53.2648, 1906, Nov Average, Malta, MLT
67.806, 1906, Dec Average, Malta, MLT
84.3814, 1907, Jan Average, Malta, MLT
57.1091, 1907, Feb Average, Malta, MLT
58.0679, 1907, Mar Average, Malta, MLT
24.9654, 1907, Apr Average, Malta, MLT
2.27758, 1907, May Average, Malta, MLT
0.20439, 1907, Jun Average, Malta, MLT
0.02188, 1907, Jul Average, Malta, MLT
17.4903, 1907, Aug Average, Malta, MLT
41.1667, 1907, Sep Average, Malta, MLT
43.3647, 1907, Oct Average, Malta, MLT
71.7431, 1907, Nov Average, Malta, MLT
14.808, 1907, Dec Average, Malta, MLT
36.0255, 1908, Jan Average, Malta, MLT
37.2088, 1908, Feb Average, Malta, MLT
64.8698, 1908, Mar Average, Malta, MLT
19.3357, 1908, Apr Average, Malta, MLT
0, 1908, May Average, Malta, MLT
0.40385, 1908, Jun Average, Malta, MLT
0.00547, 1908, Jul Average, Malta, MLT
0.23043, 1908, Aug Average, Malta, MLT
35.2856, 1908, Sep Average, Malta, MLT
22.2432, 1908, Oct Average, Malta, MLT
99.2737, 1908, Nov Average, Malta, MLT
