Rainfall - (MM), Year, Statistics, Country, ISO3
7.54945, 1901, Jan Average, Myanmar (Burma), MMR
12.1824, 1901, Feb Average, Myanmar (Burma), MMR
23.6747, 1901, Mar Average, Myanmar (Burma), MMR
35.174, 1901, Apr Average, Myanmar (Burma), MMR
248.897, 1901, May Average, Myanmar (Burma), MMR
457.964, 1901, Jun Average, Myanmar (Burma), MMR
289.024, 1901, Jul Average, Myanmar (Burma), MMR
243.381, 1901, Aug Average, Myanmar (Burma), MMR
270.85, 1901, Sep Average, Myanmar (Burma), MMR
227.015, 1901, Oct Average, Myanmar (Burma), MMR
54.1157, 1901, Nov Average, Myanmar (Burma), MMR
1.9424, 1901, Dec Average, Myanmar (Burma), MMR
2.58039, 1902, Jan Average, Myanmar (Burma), MMR
3.76155, 1902, Feb Average, Myanmar (Burma), MMR
10.4374, 1902, Mar Average, Myanmar (Burma), MMR
65.9059, 1902, Apr Average, Myanmar (Burma), MMR
150.198, 1902, May Average, Myanmar (Burma), MMR
478.527, 1902, Jun Average, Myanmar (Burma), MMR
461.737, 1902, Jul Average, Myanmar (Burma), MMR
390.717, 1902, Aug Average, Myanmar (Burma), MMR
342.188, 1902, Sep Average, Myanmar (Burma), MMR
131.864, 1902, Oct Average, Myanmar (Burma), MMR
23.6242, 1902, Nov Average, Myanmar (Burma), MMR
9.48967, 1902, Dec Average, Myanmar (Burma), MMR
4.44248, 1903, Jan Average, Myanmar (Burma), MMR
6.1561, 1903, Feb Average, Myanmar (Burma), MMR
28.5529, 1903, Mar Average, Myanmar (Burma), MMR
20.1355, 1903, Apr Average, Myanmar (Burma), MMR
173.266, 1903, May Average, Myanmar (Burma), MMR
344.381, 1903, Jun Average, Myanmar (Burma), MMR
189.841, 1903, Jul Average, Myanmar (Burma), MMR
411.916, 1903, Aug Average, Myanmar (Burma), MMR
293.444, 1903, Sep Average, Myanmar (Burma), MMR
280.589, 1903, Oct Average, Myanmar (Burma), MMR
71.183, 1903, Nov Average, Myanmar (Burma), MMR
7.70414, 1903, Dec Average, Myanmar (Burma), MMR
3.7785, 1904, Jan Average, Myanmar (Burma), MMR
7.37917, 1904, Feb Average, Myanmar (Burma), MMR
13.6057, 1904, Mar Average, Myanmar (Burma), MMR
133.176, 1904, Apr Average, Myanmar (Burma), MMR
198.702, 1904, May Average, Myanmar (Burma), MMR
364.042, 1904, Jun Average, Myanmar (Burma), MMR
712.397, 1904, Jul Average, Myanmar (Burma), MMR
