Rainfall - (MM), Year, Statistics, Country, ISO3
56.8314, 1901, Jan Average, Republic of Montenegro, MNE
98.2344, 1901, Feb Average, Republic of Montenegro, MNE
136.869, 1901, Mar Average, Republic of Montenegro, MNE
55.2851, 1901, Apr Average, Republic of Montenegro, MNE
77.0863, 1901, May Average, Republic of Montenegro, MNE
120.889, 1901, Jun Average, Republic of Montenegro, MNE
98.666, 1901, Jul Average, Republic of Montenegro, MNE
62.2489, 1901, Aug Average, Republic of Montenegro, MNE
160.152, 1901, Sep Average, Republic of Montenegro, MNE
173.048, 1901, Oct Average, Republic of Montenegro, MNE
69.4964, 1901, Nov Average, Republic of Montenegro, MNE
163.443, 1901, Dec Average, Republic of Montenegro, MNE
53.6863, 1902, Jan Average, Republic of Montenegro, MNE
150.318, 1902, Feb Average, Republic of Montenegro, MNE
164.686, 1902, Mar Average, Republic of Montenegro, MNE
119.978, 1902, Apr Average, Republic of Montenegro, MNE
146.973, 1902, May Average, Republic of Montenegro, MNE
92.8671, 1902, Jun Average, Republic of Montenegro, MNE
41.0409, 1902, Jul Average, Republic of Montenegro, MNE
42.8269, 1902, Aug Average, Republic of Montenegro, MNE
145.609, 1902, Sep Average, Republic of Montenegro, MNE
197.661, 1902, Oct Average, Republic of Montenegro, MNE
51.4008, 1902, Nov Average, Republic of Montenegro, MNE
87.6012, 1902, Dec Average, Republic of Montenegro, MNE
46.2978, 1903, Jan Average, Republic of Montenegro, MNE
49.1238, 1903, Feb Average, Republic of Montenegro, MNE
65.9306, 1903, Mar Average, Republic of Montenegro, MNE
144.82, 1903, Apr Average, Republic of Montenegro, MNE
91.2188, 1903, May Average, Republic of Montenegro, MNE
79.797, 1903, Jun Average, Republic of Montenegro, MNE
80.5976, 1903, Jul Average, Republic of Montenegro, MNE
26.7166, 1903, Aug Average, Republic of Montenegro, MNE
46.1684, 1903, Sep Average, Republic of Montenegro, MNE
135.557, 1903, Oct Average, Republic of Montenegro, MNE
153.171, 1903, Nov Average, Republic of Montenegro, MNE
136.167, 1903, Dec Average, Republic of Montenegro, MNE
72.1502, 1904, Jan Average, Republic of Montenegro, MNE
101.463, 1904, Feb Average, Republic of Montenegro, MNE
112.217, 1904, Mar Average, Republic of Montenegro, MNE
54.4076, 1904, Apr Average, Republic of Montenegro, MNE
58.4372, 1904, May Average, Republic of Montenegro, MNE
79.9293, 1904, Jun Average, Republic of Montenegro, MNE
45.9498, 1904, Jul Average, Republic of Montenegro, MNE
35.4063, 1904, Aug Average, Republic of Montenegro, MNE
92.4515, 1904, Sep Average, Republic of Montenegro, MNE
158.516, 1904, Oct Average, Republic of Montenegro, MNE
76.0962, 1904, Nov Average, Republic of Montenegro, MNE
90.8192, 1904, Dec Average, Republic of Montenegro, MNE
73.6164, 1905, Jan Average, Republic of Montenegro, MNE
102.847, 1905, Feb Average, Republic of Montenegro, MNE
85.9674, 1905, Mar Average, Republic of Montenegro, MNE
112.491, 1905, Apr Average, Republic of Montenegro, MNE
91.8104, 1905, May Average, Republic of Montenegro, MNE
113.611, 1905, Jun Average, Republic of Montenegro, MNE
48.1685, 1905, Jul Average, Republic of Montenegro, MNE
30.8941, 1905, Aug Average, Republic of Montenegro, MNE
59.3389, 1905, Sep Average, Republic of Montenegro, MNE
249.923, 1905, Oct Average, Republic of Montenegro, MNE
151.414, 1905, Nov Average, Republic of Montenegro, MNE
25.9354, 1905, Dec Average, Republic of Montenegro, MNE
93.6982, 1906, Jan Average, Republic of Montenegro, MNE
86.033, 1906, Feb Average, Republic of Montenegro, MNE
93.1752, 1906, Mar Average, Republic of Montenegro, MNE
44.0734, 1906, Apr Average, Republic of Montenegro, MNE
98.9932, 1906, May Average, Republic of Montenegro, MNE
126.202, 1906, Jun Average, Republic of Montenegro, MNE
68.582, 1906, Jul Average, Republic of Montenegro, MNE
66.0371, 1906, Aug Average, Republic of Montenegro, MNE
119.285, 1906, Sep Average, Republic of Montenegro, MNE
63.1579, 1906, Oct Average, Republic of Montenegro, MNE
104.588, 1906, Nov Average, Republic of Montenegro, MNE
193.193, 1906, Dec Average, Republic of Montenegro, MNE
103.547, 1907, Jan Average, Republic of Montenegro, MNE
83.1012, 1907, Feb Average, Republic of Montenegro, MNE
42.5719, 1907, Mar Average, Republic of Montenegro, MNE
154.797, 1907, Apr Average, Republic of Montenegro, MNE
56.4763, 1907, May Average, Republic of Montenegro, MNE
80.2755, 1907, Jun Average, Republic of Montenegro, MNE
54.4297, 1907, Jul Average, Republic of Montenegro, MNE
26.7061, 1907, Aug Average, Republic of Montenegro, MNE
48.5035, 1907, Sep Average, Republic of Montenegro, MNE
107.04, 1907, Oct Average, Republic of Montenegro, MNE
99.8795, 1907, Nov Average, Republic of Montenegro, MNE
176.46, 1907, Dec Average, Republic of Montenegro, MNE
112.38, 1908, Jan Average, Republic of Montenegro, MNE
98.9279, 1908, Feb Average, Republic of Montenegro, MNE
101.361, 1908, Mar Average, Republic of Montenegro, MNE
146.469, 1908, Apr Average, Republic of Montenegro, MNE
29.431, 1908, May Average, Republic of Montenegro, MNE
41.9797, 1908, Jun Average, Republic of Montenegro, MNE
74.0159, 1908, Jul Average, Republic of Montenegro, MNE
48.0586, 1908, Aug Average, Republic of Montenegro, MNE
34.1114, 1908, Sep Average, Republic of Montenegro, MNE
67.4144, 1908, Oct Average, Republic of Montenegro, MNE
143.103, 1908, Nov Average, Republic of Montenegro, MNE
116.523, 1908, Dec Average, Republic of Montenegro, MNE
64.2467, 1909, Jan Average, Republic of Montenegro, MNE
50.8563, 1909, Feb Average, Republic of Montenegro, MNE
123.724, 1909, Mar Average, Republic of Montenegro, MNE
52.8626, 1909, Apr Average, Republic of Montenegro, MNE
146.964, 1909, May Average, Republic of Montenegro, MNE
74.3156, 1909, Jun Average, Republic of Montenegro, MNE
57.3754, 1909, Jul Average, Republic of Montenegro, MNE
117.844, 1909, Aug Average, Republic of Montenegro, MNE
185.079, 1909, Sep Average, Republic of Montenegro, MNE
87.8331, 1909, Oct Average, Republic of Montenegro, MNE
183.454, 1909, Nov Average, Republic of Montenegro, MNE
118.188, 1909, Dec Average, Republic of Montenegro, MNE
131.623, 1910, Jan Average, Republic of Montenegro, MNE
102.504, 1910, Feb Average, Republic of Montenegro, MNE
61.6585, 1910, Mar Average, Republic of Montenegro, MNE
148.131, 1910, Apr Average, Republic of Montenegro, MNE
117.796, 1910, May Average, Republic of Montenegro, MNE
116.381, 1910, Jun Average, Republic of Montenegro, MNE
147.025, 1910, Jul Average, Republic of Montenegro, MNE
57.7505, 1910, Aug Average, Republic of Montenegro, MNE
168.165, 1910, Sep Average, Republic of Montenegro, MNE
135.168, 1910, Oct Average, Republic of Montenegro, MNE
166.101, 1910, Nov Average, Republic of Montenegro, MNE
110.894, 1910, Dec Average, Republic of Montenegro, MNE
83.041, 1911, Jan Average, Republic of Montenegro, MNE
42.1473, 1911, Feb Average, Republic of Montenegro, MNE
24.5189, 1911, Mar Average, Republic of Montenegro, MNE
101.086, 1911, Apr Average, Republic of Montenegro, MNE
153.637, 1911, May Average, Republic of Montenegro, MNE
67.1206, 1911, Jun Average, Republic of Montenegro, MNE
52.9605, 1911, Jul Average, Republic of Montenegro, MNE
59.2776, 1911, Aug Average, Republic of Montenegro, MNE
147.845, 1911, Sep Average, Republic of Montenegro, MNE
104.919, 1911, Oct Average, Republic of Montenegro, MNE
77.5211, 1911, Nov Average, Republic of Montenegro, MNE
106.727, 1911, Dec Average, Republic of Montenegro, MNE
122.349, 1912, Jan Average, Republic of Montenegro, MNE
64.5021, 1912, Feb Average, Republic of Montenegro, MNE
120.367, 1912, Mar Average, Republic of Montenegro, MNE
149.648, 1912, Apr Average, Republic of Montenegro, MNE
122.353, 1912, May Average, Republic of Montenegro, MNE
54.8823, 1912, Jun Average, Republic of Montenegro, MNE
60.4643, 1912, Jul Average, Republic of Montenegro, MNE
78.3372, 1912, Aug Average, Republic of Montenegro, MNE
125.793, 1912, Sep Average, Republic of Montenegro, MNE
102.987, 1912, Oct Average, Republic of Montenegro, MNE
126.197, 1912, Nov Average, Republic of Montenegro, MNE
82.5814, 1912, Dec Average, Republic of Montenegro, MNE
88.034, 1913, Jan Average, Republic of Montenegro, MNE
44.8358, 1913, Feb Average, Republic of Montenegro, MNE
24.72, 1913, Mar Average, Republic of Montenegro, MNE
84.3304, 1913, Apr Average, Republic of Montenegro, MNE
128.032, 1913, May Average, Republic of Montenegro, MNE
119.538, 1913, Jun Average, Republic of Montenegro, MNE
171.173, 1913, Jul Average, Republic of Montenegro, MNE
112.935, 1913, Aug Average, Republic of Montenegro, MNE
122.381, 1913, Sep Average, Republic of Montenegro, MNE
47.7999, 1913, Oct Average, Republic of Montenegro, MNE
67.7611, 1913, Nov Average, Republic of Montenegro, MNE
141.592, 1913, Dec Average, Republic of Montenegro, MNE
83.0758, 1914, Jan Average, Republic of Montenegro, MNE
37.9967, 1914, Feb Average, Republic of Montenegro, MNE
162.693, 1914, Mar Average, Republic of Montenegro, MNE
54.9784, 1914, Apr Average, Republic of Montenegro, MNE
101.297, 1914, May Average, Republic of Montenegro, MNE
103.592, 1914, Jun Average, Republic of Montenegro, MNE
121.911, 1914, Jul Average, Republic of Montenegro, MNE
32.3795, 1914, Aug Average, Republic of Montenegro, MNE
111.124, 1914, Sep Average, Republic of Montenegro, MNE
125.035, 1914, Oct Average, Republic of Montenegro, MNE
131.19, 1914, Nov Average, Republic of Montenegro, MNE
141.94, 1914, Dec Average, Republic of Montenegro, MNE
196.852, 1915, Jan Average, Republic of Montenegro, MNE
142.411, 1915, Feb Average, Republic of Montenegro, MNE
116.947, 1915, Mar Average, Republic of Montenegro, MNE
97.4133, 1915, Apr Average, Republic of Montenegro, MNE
101.48, 1915, May Average, Republic of Montenegro, MNE
163.323, 1915, Jun Average, Republic of Montenegro, MNE
194.477, 1915, Jul Average, Republic of Montenegro, MNE
94.4435, 1915, Aug Average, Republic of Montenegro, MNE
118.352, 1915, Sep Average, Republic of Montenegro, MNE
250.927, 1915, Oct Average, Republic of Montenegro, MNE
123.06, 1915, Nov Average, Republic of Montenegro, MNE
124.127, 1915, Dec Average, Republic of Montenegro, MNE
41.3804, 1916, Jan Average, Republic of Montenegro, MNE
62.0358, 1916, Feb Average, Republic of Montenegro, MNE
127.508, 1916, Mar Average, Republic of Montenegro, MNE
75.7488, 1916, Apr Average, Republic of Montenegro, MNE
92.0548, 1916, May Average, Republic of Montenegro, MNE
28.2628, 1916, Jun Average, Republic of Montenegro, MNE
68.5349, 1916, Jul Average, Republic of Montenegro, MNE
96.3331, 1916, Aug Average, Republic of Montenegro, MNE
151.078, 1916, Sep Average, Republic of Montenegro, MNE
181.806, 1916, Oct Average, Republic of Montenegro, MNE
134.253, 1916, Nov Average, Republic of Montenegro, MNE
