Rainfall - (MM), Year, Statistics, Country, ISO3
1.43837, 1901, Jan Average, Mongolia, MNG
1.59135, 1901, Feb Average, Mongolia, MNG
3.54489, 1901, Mar Average, Mongolia, MNG
9.32641, 1901, Apr Average, Mongolia, MNG
15.1184, 1901, May Average, Mongolia, MNG
29.2665, 1901, Jun Average, Mongolia, MNG
59.0579, 1901, Jul Average, Mongolia, MNG
60.54, 1901, Aug Average, Mongolia, MNG
17.4521, 1901, Sep Average, Mongolia, MNG
9.06725, 1901, Oct Average, Mongolia, MNG
5.06341, 1901, Nov Average, Mongolia, MNG
2.70832, 1901, Dec Average, Mongolia, MNG
2.80512, 1902, Jan Average, Mongolia, MNG
1.51592, 1902, Feb Average, Mongolia, MNG
4.17426, 1902, Mar Average, Mongolia, MNG
10.35, 1902, Apr Average, Mongolia, MNG
22.8153, 1902, May Average, Mongolia, MNG
33.222, 1902, Jun Average, Mongolia, MNG
48.4975, 1902, Jul Average, Mongolia, MNG
54.1358, 1902, Aug Average, Mongolia, MNG
17.6165, 1902, Sep Average, Mongolia, MNG
8.40838, 1902, Oct Average, Mongolia, MNG
4.71552, 1902, Nov Average, Mongolia, MNG
3.31676, 1902, Dec Average, Mongolia, MNG
1.74952, 1903, Jan Average, Mongolia, MNG
1.5604, 1903, Feb Average, Mongolia, MNG
2.64825, 1903, Mar Average, Mongolia, MNG
9.39711, 1903, Apr Average, Mongolia, MNG
19.485, 1903, May Average, Mongolia, MNG
30.1293, 1903, Jun Average, Mongolia, MNG
57.2396, 1903, Jul Average, Mongolia, MNG
44.9566, 1903, Aug Average, Mongolia, MNG
19.1155, 1903, Sep Average, Mongolia, MNG
7.12292, 1903, Oct Average, Mongolia, MNG
4.51685, 1903, Nov Average, Mongolia, MNG
3.29094, 1903, Dec Average, Mongolia, MNG
1.57382, 1904, Jan Average, Mongolia, MNG
2.56218, 1904, Feb Average, Mongolia, MNG
3.2422, 1904, Mar Average, Mongolia, MNG
11.289, 1904, Apr Average, Mongolia, MNG
21.4055, 1904, May Average, Mongolia, MNG
29.8849, 1904, Jun Average, Mongolia, MNG
53.6847, 1904, Jul Average, Mongolia, MNG
54.8713, 1904, Aug Average, Mongolia, MNG
19.8182, 1904, Sep Average, Mongolia, MNG
7.63398, 1904, Oct Average, Mongolia, MNG
3.85869, 1904, Nov Average, Mongolia, MNG
3.25776, 1904, Dec Average, Mongolia, MNG
2.06056, 1905, Jan Average, Mongolia, MNG
1.39951, 1905, Feb Average, Mongolia, MNG
5.49562, 1905, Mar Average, Mongolia, MNG
12.0007, 1905, Apr Average, Mongolia, MNG
15.0965, 1905, May Average, Mongolia, MNG
31.7931, 1905, Jun Average, Mongolia, MNG
52.5989, 1905, Jul Average, Mongolia, MNG
53.8, 1905, Aug Average, Mongolia, MNG
21.6207, 1905, Sep Average, Mongolia, MNG
8.25171, 1905, Oct Average, Mongolia, MNG
4.6143, 1905, Nov Average, Mongolia, MNG
1.96622, 1905, Dec Average, Mongolia, MNG
1.7995, 1906, Jan Average, Mongolia, MNG
1.94669, 1906, Feb Average, Mongolia, MNG
3.88472, 1906, Mar Average, Mongolia, MNG
8.64896, 1906, Apr Average, Mongolia, MNG
19.6918, 1906, May Average, Mongolia, MNG
42.1074, 1906, Jun Average, Mongolia, MNG
77.9059, 1906, Jul Average, Mongolia, MNG
53.0797, 1906, Aug Average, Mongolia, MNG
23.0452, 1906, Sep Average, Mongolia, MNG
7.0694, 1906, Oct Average, Mongolia, MNG
4.15776, 1906, Nov Average, Mongolia, MNG
2.29861, 1906, Dec Average, Mongolia, MNG
1.98474, 1907, Jan Average, Mongolia, MNG
1.39222, 1907, Feb Average, Mongolia, MNG
2.66731, 1907, Mar Average, Mongolia, MNG
12.6074, 1907, Apr Average, Mongolia, MNG
17.2538, 1907, May Average, Mongolia, MNG
31.3787, 1907, Jun Average, Mongolia, MNG
59.7967, 1907, Jul Average, Mongolia, MNG
66.2354, 1907, Aug Average, Mongolia, MNG
19.9698, 1907, Sep Average, Mongolia, MNG
10.068, 1907, Oct Average, Mongolia, MNG
4.02473, 1907, Nov Average, Mongolia, MNG
3.85613, 1907, Dec Average, Mongolia, MNG
1.59305, 1908, Jan Average, Mongolia, MNG
2.01276, 1908, Feb Average, Mongolia, MNG
3.96553, 1908, Mar Average, Mongolia, MNG
9.03043, 1908, Apr Average, Mongolia, MNG
14.659, 1908, May Average, Mongolia, MNG
46.7547, 1908, Jun Average, Mongolia, MNG
55.2995, 1908, Jul Average, Mongolia, MNG
50.4026, 1908, Aug Average, Mongolia, MNG
28.3519, 1908, Sep Average, Mongolia, MNG
8.23037, 1908, Oct Average, Mongolia, MNG
5.3033, 1908, Nov Average, Mongolia, MNG
2.69772, 1908, Dec Average, Mongolia, MNG
1.92338, 1909, Jan Average, Mongolia, MNG
2.06972, 1909, Feb Average, Mongolia, MNG
3.66009, 1909, Mar Average, Mongolia, MNG
8.79859, 1909, Apr Average, Mongolia, MNG
16.3993, 1909, May Average, Mongolia, MNG
31.4174, 1909, Jun Average, Mongolia, MNG
58.5232, 1909, Jul Average, Mongolia, MNG
40.2604, 1909, Aug Average, Mongolia, MNG
29.2521, 1909, Sep Average, Mongolia, MNG
7.80053, 1909, Oct Average, Mongolia, MNG
6.08648, 1909, Nov Average, Mongolia, MNG
2.36048, 1909, Dec Average, Mongolia, MNG
1.4842, 1910, Jan Average, Mongolia, MNG
1.27102, 1910, Feb Average, Mongolia, MNG
2.88358, 1910, Mar Average, Mongolia, MNG
9.47677, 1910, Apr Average, Mongolia, MNG
13.9563, 1910, May Average, Mongolia, MNG
38.356, 1910, Jun Average, Mongolia, MNG
62.2053, 1910, Jul Average, Mongolia, MNG
56.4321, 1910, Aug Average, Mongolia, MNG
17.1677, 1910, Sep Average, Mongolia, MNG
7.40657, 1910, Oct Average, Mongolia, MNG
4.47532, 1910, Nov Average, Mongolia, MNG
2.12858, 1910, Dec Average, Mongolia, MNG
1.71124, 1911, Jan Average, Mongolia, MNG
1.5374, 1911, Feb Average, Mongolia, MNG
3.72541, 1911, Mar Average, Mongolia, MNG
6.64171, 1911, Apr Average, Mongolia, MNG
19.4903, 1911, May Average, Mongolia, MNG
41.5279, 1911, Jun Average, Mongolia, MNG
56.9387, 1911, Jul Average, Mongolia, MNG
64.3605, 1911, Aug Average, Mongolia, MNG
23.3341, 1911, Sep Average, Mongolia, MNG
6.79504, 1911, Oct Average, Mongolia, MNG
3.87737, 1911, Nov Average, Mongolia, MNG
2.50011, 1911, Dec Average, Mongolia, MNG
1.42184, 1912, Jan Average, Mongolia, MNG
2.35217, 1912, Feb Average, Mongolia, MNG
3.54902, 1912, Mar Average, Mongolia, MNG
9.09563, 1912, Apr Average, Mongolia, MNG
19.1874, 1912, May Average, Mongolia, MNG
36.5402, 1912, Jun Average, Mongolia, MNG
77.6765, 1912, Jul Average, Mongolia, MNG
54.2805, 1912, Aug Average, Mongolia, MNG
14.4155, 1912, Sep Average, Mongolia, MNG
6.18008, 1912, Oct Average, Mongolia, MNG
4.7024, 1912, Nov Average, Mongolia, MNG
1.55185, 1912, Dec Average, Mongolia, MNG
1.53072, 1913, Jan Average, Mongolia, MNG
1.476, 1913, Feb Average, Mongolia, MNG
3.59369, 1913, Mar Average, Mongolia, MNG
7.03012, 1913, Apr Average, Mongolia, MNG
15.1476, 1913, May Average, Mongolia, MNG
37.1228, 1913, Jun Average, Mongolia, MNG
69.1872, 1913, Jul Average, Mongolia, MNG
49.4817, 1913, Aug Average, Mongolia, MNG
24.4077, 1913, Sep Average, Mongolia, MNG
5.72499, 1913, Oct Average, Mongolia, MNG
4.13746, 1913, Nov Average, Mongolia, MNG
2.47647, 1913, Dec Average, Mongolia, MNG
2.61593, 1914, Jan Average, Mongolia, MNG
2.3187, 1914, Feb Average, Mongolia, MNG
4.8089, 1914, Mar Average, Mongolia, MNG
8.25822, 1914, Apr Average, Mongolia, MNG
19.9438, 1914, May Average, Mongolia, MNG
44.7693, 1914, Jun Average, Mongolia, MNG
54.8758, 1914, Jul Average, Mongolia, MNG
66.3221, 1914, Aug Average, Mongolia, MNG
19.7825, 1914, Sep Average, Mongolia, MNG
5.77852, 1914, Oct Average, Mongolia, MNG
5.9417, 1914, Nov Average, Mongolia, MNG
2.40065, 1914, Dec Average, Mongolia, MNG
2.20763, 1915, Jan Average, Mongolia, MNG
2.13096, 1915, Feb Average, Mongolia, MNG
4.13259, 1915, Mar Average, Mongolia, MNG
7.65932, 1915, Apr Average, Mongolia, MNG
28.6319, 1915, May Average, Mongolia, MNG
27.4561, 1915, Jun Average, Mongolia, MNG
75.8675, 1915, Jul Average, Mongolia, MNG
59.0372, 1915, Aug Average, Mongolia, MNG
19.6875, 1915, Sep Average, Mongolia, MNG
8.54657, 1915, Oct Average, Mongolia, MNG
4.22824, 1915, Nov Average, Mongolia, MNG
2.88087, 1915, Dec Average, Mongolia, MNG
1.81829, 1916, Jan Average, Mongolia, MNG
2.28042, 1916, Feb Average, Mongolia, MNG
2.99729, 1916, Mar Average, Mongolia, MNG
7.44761, 1916, Apr Average, Mongolia, MNG
13.23, 1916, May Average, Mongolia, MNG
42.1283, 1916, Jun Average, Mongolia, MNG
65.2794, 1916, Jul Average, Mongolia, MNG
59.0299, 1916, Aug Average, Mongolia, MNG
17.6666, 1916, Sep Average, Mongolia, MNG
5.67546, 1916, Oct Average, Mongolia, MNG
5.44289, 1916, Nov Average, Mongolia, MNG
2.98027, 1916, Dec Average, Mongolia, MNG
1.32793, 1917, Jan Average, Mongolia, MNG
1.55115, 1917, Feb Average, Mongolia, MNG
3.46325, 1917, Mar Average, Mongolia, MNG
8.25594, 1917, Apr Average, Mongolia, MNG
14.4202, 1917, May Average, Mongolia, MNG
36.1795, 1917, Jun Average, Mongolia, MNG
61.809, 1917, Jul Average, Mongolia, MNG
58.4233, 1917, Aug Average, Mongolia, MNG
25.3316, 1917, Sep Average, Mongolia, MNG
6.52278, 1917, Oct Average, Mongolia, MNG
2.882, 1917, Nov Average, Mongolia, MNG
2.72796, 1917, Dec Average, Mongolia, MNG
1.23147, 1918, Jan Average, Mongolia, MNG
1.71642, 1918, Feb Average, Mongolia, MNG
3.09616, 1918, Mar Average, Mongolia, MNG
7.1278, 1918, Apr Average, Mongolia, MNG
14.5314, 1918, May Average, Mongolia, MNG
30.7043, 1918, Jun Average, Mongolia, MNG
60.2144, 1918, Jul Average, Mongolia, MNG
49.7532, 1918, Aug Average, Mongolia, MNG
22.3439, 1918, Sep Average, Mongolia, MNG
7.23676, 1918, Oct Average, Mongolia, MNG
4.49579, 1918, Nov Average, Mongolia, MNG
2.43284, 1918, Dec Average, Mongolia, MNG
1.65943, 1919, Jan Average, Mongolia, MNG
2.32561, 1919, Feb Average, Mongolia, MNG
4.79391, 1919, Mar Average, Mongolia, MNG
9.85638, 1919, Apr Average, Mongolia, MNG
14.4043, 1919, May Average, Mongolia, MNG
38.3223, 1919, Jun Average, Mongolia, MNG
68.3448, 1919, Jul Average, Mongolia, MNG
56.6525, 1919, Aug Average, Mongolia, MNG
27.1087, 1919, Sep Average, Mongolia, MNG
8.10434, 1919, Oct Average, Mongolia, MNG
4.14231, 1919, Nov Average, Mongolia, MNG
2.21246, 1919, Dec Average, Mongolia, MNG
1.60634, 1920, Jan Average, Mongolia, MNG
2.43544, 1920, Feb Average, Mongolia, MNG
4.44036, 1920, Mar Average, Mongolia, MNG
8.7125, 1920, Apr Average, Mongolia, MNG
15.2269, 1920, May Average, Mongolia, MNG
43.0734, 1920, Jun Average, Mongolia, MNG
54.6733, 1920, Jul Average, Mongolia, MNG
53.0863, 1920, Aug Average, Mongolia, MNG
18.1839, 1920, Sep Average, Mongolia, MNG
7.42267, 1920, Oct Average, Mongolia, MNG
6.80545, 1920, Nov Average, Mongolia, MNG
2.51365, 1920, Dec Average, Mongolia, MNG
1.14033, 1921, Jan Average, Mongolia, MNG
1.7941, 1921, Feb Average, Mongolia, MNG
6.71033, 1921, Mar Average, Mongolia, MNG
10.2139, 1921, Apr Average, Mongolia, MNG
18.041, 1921, May Average, Mongolia, MNG
43.6344, 1921, Jun Average, Mongolia, MNG
53.4035, 1921, Jul Average, Mongolia, MNG
47.7005, 1921, Aug Average, Mongolia, MNG
18.6542, 1921, Sep Average, Mongolia, MNG
9.6514, 1921, Oct Average, Mongolia, MNG
3.78679, 1921, Nov Average, Mongolia, MNG
2.23666, 1921, Dec Average, Mongolia, MNG
2.12117, 1922, Jan Average, Mongolia, MNG
2.59582, 1922, Feb Average, Mongolia, MNG
5.52839, 1922, Mar Average, Mongolia, MNG
8.90758, 1922, Apr Average, Mongolia, MNG
18.3052, 1922, May Average, Mongolia, MNG
37.9009, 1922, Jun Average, Mongolia, MNG
63.2175, 1922, Jul Average, Mongolia, MNG
53.6521, 1922, Aug Average, Mongolia, MNG
21.9132, 1922, Sep Average, Mongolia, MNG
6.9523, 1922, Oct Average, Mongolia, MNG
5.79509, 1922, Nov Average, Mongolia, MNG
1.6734, 1922, Dec Average, Mongolia, MNG
1.216, 1923, Jan Average, Mongolia, MNG
1.53312, 1923, Feb Average, Mongolia, MNG
4.03701, 1923, Mar Average, Mongolia, MNG
7.75703, 1923, Apr Average, Mongolia, MNG
13.4078, 1923, May Average, Mongolia, MNG
36.2765, 1923, Jun Average, Mongolia, MNG
49.1487, 1923, Jul Average, Mongolia, MNG
49.589, 1923, Aug Average, Mongolia, MNG
18.4903, 1923, Sep Average, Mongolia, MNG
7.54438, 1923, Oct Average, Mongolia, MNG
4.77368, 1923, Nov Average, Mongolia, MNG
3.10968, 1923, Dec Average, Mongolia, MNG
1.69059, 1924, Jan Average, Mongolia, MNG
1.44076, 1924, Feb Average, Mongolia, MNG
3.20511, 1924, Mar Average, Mongolia, MNG
10.1557, 1924, Apr Average, Mongolia, MNG
14.2291, 1924, May Average, Mongolia, MNG
43.6863, 1924, Jun Average, Mongolia, MNG
58.7032, 1924, Jul Average, Mongolia, MNG
54.2694, 1924, Aug Average, Mongolia, MNG
21.3609, 1924, Sep Average, Mongolia, MNG
9.68601, 1924, Oct Average, Mongolia, MNG
4.59889, 1924, Nov Average, Mongolia, MNG
1.76179, 1924, Dec Average, Mongolia, MNG
1.13205, 1925, Jan Average, Mongolia, MNG
1.62335, 1925, Feb Average, Mongolia, MNG
5.65944, 1925, Mar Average, Mongolia, MNG
9.31238, 1925, Apr Average, Mongolia, MNG
17.5558, 1925, May Average, Mongolia, MNG
34.0411, 1925, Jun Average, Mongolia, MNG
75.7701, 1925, Jul Average, Mongolia, MNG
58.6531, 1925, Aug Average, Mongolia, MNG
21.6227, 1925, Sep Average, Mongolia, MNG
5.09782, 1925, Oct Average, Mongolia, MNG
5.96222, 1925, Nov Average, Mongolia, MNG
3.03274, 1925, Dec Average, Mongolia, MNG
1.21346, 1926, Jan Average, Mongolia, MNG
1.4529, 1926, Feb Average, Mongolia, MNG
2.41582, 1926, Mar Average, Mongolia, MNG
8.07041, 1926, Apr Average, Mongolia, MNG
18.4558, 1926, May Average, Mongolia, MNG
34.673, 1926, Jun Average, Mongolia, MNG
53.4882, 1926, Jul Average, Mongolia, MNG
60.8251, 1926, Aug Average, Mongolia, MNG
30.2488, 1926, Sep Average, Mongolia, MNG
7.21834, 1926, Oct Average, Mongolia, MNG
4.39642, 1926, Nov Average, Mongolia, MNG
2.42772, 1926, Dec Average, Mongolia, MNG
1.44242, 1927, Jan Average, Mongolia, MNG
1.5092, 1927, Feb Average, Mongolia, MNG
3.80118, 1927, Mar Average, Mongolia, MNG
8.3579, 1927, Apr Average, Mongolia, MNG
25.1344, 1927, May Average, Mongolia, MNG
46.3251, 1927, Jun Average, Mongolia, MNG
57.756, 1927, Jul Average, Mongolia, MNG
51.1653, 1927, Aug Average, Mongolia, MNG
21.3089, 1927, Sep Average, Mongolia, MNG
7.73563, 1927, Oct Average, Mongolia, MNG
5.65318, 1927, Nov Average, Mongolia, MNG
2.9129, 1927, Dec Average, Mongolia, MNG
2.63151, 1928, Jan Average, Mongolia, MNG
2.34591, 1928, Feb Average, Mongolia, MNG
4.33585, 1928, Mar Average, Mongolia, MNG
10.1927, 1928, Apr Average, Mongolia, MNG
16.8309, 1928, May Average, Mongolia, MNG
36.3788, 1928, Jun Average, Mongolia, MNG
50.552, 1928, Jul Average, Mongolia, MNG
56.1347, 1928, Aug Average, Mongolia, MNG
22.0735, 1928, Sep Average, Mongolia, MNG
5.30827, 1928, Oct Average, Mongolia, MNG
6.23935, 1928, Nov Average, Mongolia, MNG
2.47425, 1928, Dec Average, Mongolia, MNG
1.97447, 1929, Jan Average, Mongolia, MNG
2.01404, 1929, Feb Average, Mongolia, MNG
4.29797, 1929, Mar Average, Mongolia, MNG
10.715, 1929, Apr Average, Mongolia, MNG
23.2902, 1929, May Average, Mongolia, MNG
37.1126, 1929, Jun Average, Mongolia, MNG
61.7344, 1929, Jul Average, Mongolia, MNG
