Rainfall - (MM), Year, Statistics, Country, ISO3
286.736, 1901, Jan Average, Northern Mariana Islands, MNP
247.229, 1901, Feb Average, Northern Mariana Islands, MNP
237.031, 1901, Mar Average, Northern Mariana Islands, MNP
309.004, 1901, Apr Average, Northern Mariana Islands, MNP
460.09, 1901, May Average, Northern Mariana Islands, MNP
512.233, 1901, Jun Average, Northern Mariana Islands, MNP
784.421, 1901, Jul Average, Northern Mariana Islands, MNP
1090.75, 1901, Aug Average, Northern Mariana Islands, MNP
1041.49, 1901, Sep Average, Northern Mariana Islands, MNP
916.467, 1901, Oct Average, Northern Mariana Islands, MNP
656.701, 1901, Nov Average, Northern Mariana Islands, MNP
441.133, 1901, Dec Average, Northern Mariana Islands, MNP
286.736, 1902, Jan Average, Northern Mariana Islands, MNP
247.229, 1902, Feb Average, Northern Mariana Islands, MNP
237.031, 1902, Mar Average, Northern Mariana Islands, MNP
309.004, 1902, Apr Average, Northern Mariana Islands, MNP
460.09, 1902, May Average, Northern Mariana Islands, MNP
512.233, 1902, Jun Average, Northern Mariana Islands, MNP
784.421, 1902, Jul Average, Northern Mariana Islands, MNP
1090.75, 1902, Aug Average, Northern Mariana Islands, MNP
1041.49, 1902, Sep Average, Northern Mariana Islands, MNP
916.467, 1902, Oct Average, Northern Mariana Islands, MNP
656.701, 1902, Nov Average, Northern Mariana Islands, MNP
441.133, 1902, Dec Average, Northern Mariana Islands, MNP
286.736, 1903, Jan Average, Northern Mariana Islands, MNP
247.229, 1903, Feb Average, Northern Mariana Islands, MNP
237.031, 1903, Mar Average, Northern Mariana Islands, MNP
309.004, 1903, Apr Average, Northern Mariana Islands, MNP
460.09, 1903, May Average, Northern Mariana Islands, MNP
512.233, 1903, Jun Average, Northern Mariana Islands, MNP
784.421, 1903, Jul Average, Northern Mariana Islands, MNP
1090.75, 1903, Aug Average, Northern Mariana Islands, MNP
1041.49, 1903, Sep Average, Northern Mariana Islands, MNP
916.467, 1903, Oct Average, Northern Mariana Islands, MNP
656.701, 1903, Nov Average, Northern Mariana Islands, MNP
441.133, 1903, Dec Average, Northern Mariana Islands, MNP
286.736, 1904, Jan Average, Northern Mariana Islands, MNP
247.229, 1904, Feb Average, Northern Mariana Islands, MNP
237.031, 1904, Mar Average, Northern Mariana Islands, MNP
309.004, 1904, Apr Average, Northern Mariana Islands, MNP
460.09, 1904, May Average, Northern Mariana Islands, MNP
512.233, 1904, Jun Average, Northern Mariana Islands, MNP
784.421, 1904, Jul Average, Northern Mariana Islands, MNP
1090.75, 1904, Aug Average, Northern Mariana Islands, MNP
1041.49, 1904, Sep Average, Northern Mariana Islands, MNP
