Rainfall - (MM), Year, Statistics, Country, ISO3
200.741, 1901, Jan Average, Mozambique, MOZ
234.559, 1901, Feb Average, Mozambique, MOZ
143.11, 1901, Mar Average, Mozambique, MOZ
118.877, 1901, Apr Average, Mozambique, MOZ
30.5943, 1901, May Average, Mozambique, MOZ
46.886, 1901, Jun Average, Mozambique, MOZ
10.5544, 1901, Jul Average, Mozambique, MOZ
11.6046, 1901, Aug Average, Mozambique, MOZ
37.3478, 1901, Sep Average, Mozambique, MOZ
54.2858, 1901, Oct Average, Mozambique, MOZ
64.7276, 1901, Nov Average, Mozambique, MOZ
189.068, 1901, Dec Average, Mozambique, MOZ
268.744, 1902, Jan Average, Mozambique, MOZ
140.458, 1902, Feb Average, Mozambique, MOZ
229.141, 1902, Mar Average, Mozambique, MOZ
38.8182, 1902, Apr Average, Mozambique, MOZ
20.677, 1902, May Average, Mozambique, MOZ
5.71117, 1902, Jun Average, Mozambique, MOZ
7.44279, 1902, Jul Average, Mozambique, MOZ
6.36268, 1902, Aug Average, Mozambique, MOZ
14.2367, 1902, Sep Average, Mozambique, MOZ
29.6227, 1902, Oct Average, Mozambique, MOZ
88.5535, 1902, Nov Average, Mozambique, MOZ
62.3895, 1902, Dec Average, Mozambique, MOZ
233.477, 1903, Jan Average, Mozambique, MOZ
88.9708, 1903, Feb Average, Mozambique, MOZ
89.8343, 1903, Mar Average, Mozambique, MOZ
49.3749, 1903, Apr Average, Mozambique, MOZ
34.0373, 1903, May Average, Mozambique, MOZ
5.07014, 1903, Jun Average, Mozambique, MOZ
8.47203, 1903, Jul Average, Mozambique, MOZ
14.6133, 1903, Aug Average, Mozambique, MOZ
9.44577, 1903, Sep Average, Mozambique, MOZ
22.2879, 1903, Oct Average, Mozambique, MOZ
91.364, 1903, Nov Average, Mozambique, MOZ
167.841, 1903, Dec Average, Mozambique, MOZ
265.221, 1904, Jan Average, Mozambique, MOZ
190.999, 1904, Feb Average, Mozambique, MOZ
220.447, 1904, Mar Average, Mozambique, MOZ
83.511, 1904, Apr Average, Mozambique, MOZ
50.983, 1904, May Average, Mozambique, MOZ
26.6103, 1904, Jun Average, Mozambique, MOZ
14.6943, 1904, Jul Average, Mozambique, MOZ
9.00712, 1904, Aug Average, Mozambique, MOZ
7.73282, 1904, Sep Average, Mozambique, MOZ
42.0856, 1904, Oct Average, Mozambique, MOZ
67.2635, 1904, Nov Average, Mozambique, MOZ
267.647, 1904, Dec Average, Mozambique, MOZ
128.779, 1905, Jan Average, Mozambique, MOZ
219.792, 1905, Feb Average, Mozambique, MOZ
161.004, 1905, Mar Average, Mozambique, MOZ
38.3932, 1905, Apr Average, Mozambique, MOZ
10.2929, 1905, May Average, Mozambique, MOZ
4.3036, 1905, Jun Average, Mozambique, MOZ
18.8089, 1905, Jul Average, Mozambique, MOZ
6.91429, 1905, Aug Average, Mozambique, MOZ
6.6644, 1905, Sep Average, Mozambique, MOZ
15.4735, 1905, Oct Average, Mozambique, MOZ
103.598, 1905, Nov Average, Mozambique, MOZ
163.949, 1905, Dec Average, Mozambique, MOZ
215.064, 1906, Jan Average, Mozambique, MOZ
248.581, 1906, Feb Average, Mozambique, MOZ
139.479, 1906, Mar Average, Mozambique, MOZ
29.8591, 1906, Apr Average, Mozambique, MOZ
22.8874, 1906, May Average, Mozambique, MOZ
6.72493, 1906, Jun Average, Mozambique, MOZ
16.6499, 1906, Jul Average, Mozambique, MOZ
5.70352, 1906, Aug Average, Mozambique, MOZ
12.0386, 1906, Sep Average, Mozambique, MOZ
48.9062, 1906, Oct Average, Mozambique, MOZ
81.848, 1906, Nov Average, Mozambique, MOZ
128.761, 1906, Dec Average, Mozambique, MOZ
189.525, 1907, Jan Average, Mozambique, MOZ
299.513, 1907, Feb Average, Mozambique, MOZ
164.512, 1907, Mar Average, Mozambique, MOZ
143.795, 1907, Apr Average, Mozambique, MOZ
15.0176, 1907, May Average, Mozambique, MOZ
17.2574, 1907, Jun Average, Mozambique, MOZ
37.9998, 1907, Jul Average, Mozambique, MOZ
3.18844, 1907, Aug Average, Mozambique, MOZ
9.22296, 1907, Sep Average, Mozambique, MOZ
27.0845, 1907, Oct Average, Mozambique, MOZ
122.869, 1907, Nov Average, Mozambique, MOZ
206.007, 1907, Dec Average, Mozambique, MOZ
142.747, 1908, Jan Average, Mozambique, MOZ
231.218, 1908, Feb Average, Mozambique, MOZ
141.716, 1908, Mar Average, Mozambique, MOZ
101.109, 1908, Apr Average, Mozambique, MOZ
26.3224, 1908, May Average, Mozambique, MOZ
8.54452, 1908, Jun Average, Mozambique, MOZ
21.0886, 1908, Jul Average, Mozambique, MOZ
5.45146, 1908, Aug Average, Mozambique, MOZ
6.28539, 1908, Sep Average, Mozambique, MOZ
17.449, 1908, Oct Average, Mozambique, MOZ
95.9946, 1908, Nov Average, Mozambique, MOZ
193.272, 1908, Dec Average, Mozambique, MOZ
265.334, 1909, Jan Average, Mozambique, MOZ
188.287, 1909, Feb Average, Mozambique, MOZ
138.149, 1909, Mar Average, Mozambique, MOZ
65.754, 1909, Apr Average, Mozambique, MOZ
33.805, 1909, May Average, Mozambique, MOZ
25.5933, 1909, Jun Average, Mozambique, MOZ
19.7575, 1909, Jul Average, Mozambique, MOZ
9.94368, 1909, Aug Average, Mozambique, MOZ
13.0623, 1909, Sep Average, Mozambique, MOZ
20.4723, 1909, Oct Average, Mozambique, MOZ
37.4238, 1909, Nov Average, Mozambique, MOZ
95.0078, 1909, Dec Average, Mozambique, MOZ
140.012, 1910, Jan Average, Mozambique, MOZ
209.07, 1910, Feb Average, Mozambique, MOZ
222.31, 1910, Mar Average, Mozambique, MOZ
92.5041, 1910, Apr Average, Mozambique, MOZ
20.1999, 1910, May Average, Mozambique, MOZ
28.0156, 1910, Jun Average, Mozambique, MOZ
20.7901, 1910, Jul Average, Mozambique, MOZ
4.40483, 1910, Aug Average, Mozambique, MOZ
7.56309, 1910, Sep Average, Mozambique, MOZ
38.0084, 1910, Oct Average, Mozambique, MOZ
56.319, 1910, Nov Average, Mozambique, MOZ
177.224, 1910, Dec Average, Mozambique, MOZ
261.765, 1911, Jan Average, Mozambique, MOZ
211.052, 1911, Feb Average, Mozambique, MOZ
166.275, 1911, Mar Average, Mozambique, MOZ
78.2655, 1911, Apr Average, Mozambique, MOZ
92.2553, 1911, May Average, Mozambique, MOZ
27.991, 1911, Jun Average, Mozambique, MOZ
18.3177, 1911, Jul Average, Mozambique, MOZ
17.5718, 1911, Aug Average, Mozambique, MOZ
12.6281, 1911, Sep Average, Mozambique, MOZ
18.9405, 1911, Oct Average, Mozambique, MOZ
38.1094, 1911, Nov Average, Mozambique, MOZ
122.234, 1911, Dec Average, Mozambique, MOZ
191.094, 1912, Jan Average, Mozambique, MOZ
124.344, 1912, Feb Average, Mozambique, MOZ
90.6085, 1912, Mar Average, Mozambique, MOZ
39.029, 1912, Apr Average, Mozambique, MOZ
26.8194, 1912, May Average, Mozambique, MOZ
25.4669, 1912, Jun Average, Mozambique, MOZ
25.1069, 1912, Jul Average, Mozambique, MOZ
9.18592, 1912, Aug Average, Mozambique, MOZ
6.37677, 1912, Sep Average, Mozambique, MOZ
12.2502, 1912, Oct Average, Mozambique, MOZ
32.3105, 1912, Nov Average, Mozambique, MOZ
233.445, 1912, Dec Average, Mozambique, MOZ
192.434, 1913, Jan Average, Mozambique, MOZ
175.624, 1913, Feb Average, Mozambique, MOZ
189.338, 1913, Mar Average, Mozambique, MOZ
102.466, 1913, Apr Average, Mozambique, MOZ
51.9454, 1913, May Average, Mozambique, MOZ
17.4562, 1913, Jun Average, Mozambique, MOZ
3.61192, 1913, Jul Average, Mozambique, MOZ
4.41794, 1913, Aug Average, Mozambique, MOZ
9.48046, 1913, Sep Average, Mozambique, MOZ
18.0124, 1913, Oct Average, Mozambique, MOZ
101.168, 1913, Nov Average, Mozambique, MOZ
119.474, 1913, Dec Average, Mozambique, MOZ
194.961, 1914, Jan Average, Mozambique, MOZ
186.091, 1914, Feb Average, Mozambique, MOZ
201.616, 1914, Mar Average, Mozambique, MOZ
107.352, 1914, Apr Average, Mozambique, MOZ
24.2733, 1914, May Average, Mozambique, MOZ
20.6119, 1914, Jun Average, Mozambique, MOZ
25.3929, 1914, Jul Average, Mozambique, MOZ
12.7289, 1914, Aug Average, Mozambique, MOZ
1.69985, 1914, Sep Average, Mozambique, MOZ
8.56945, 1914, Oct Average, Mozambique, MOZ
61.6696, 1914, Nov Average, Mozambique, MOZ
157.501, 1914, Dec Average, Mozambique, MOZ
213.527, 1915, Jan Average, Mozambique, MOZ
203.064, 1915, Feb Average, Mozambique, MOZ
149.193, 1915, Mar Average, Mozambique, MOZ
43.9581, 1915, Apr Average, Mozambique, MOZ
34.4302, 1915, May Average, Mozambique, MOZ
18.836, 1915, Jun Average, Mozambique, MOZ
10.7997, 1915, Jul Average, Mozambique, MOZ
7.2965, 1915, Aug Average, Mozambique, MOZ
17.3344, 1915, Sep Average, Mozambique, MOZ
24.0834, 1915, Oct Average, Mozambique, MOZ
49.9368, 1915, Nov Average, Mozambique, MOZ
129.795, 1915, Dec Average, Mozambique, MOZ
185.915, 1916, Jan Average, Mozambique, MOZ
129.704, 1916, Feb Average, Mozambique, MOZ
149.943, 1916, Mar Average, Mozambique, MOZ
99.02, 1916, Apr Average, Mozambique, MOZ
29.7729, 1916, May Average, Mozambique, MOZ
8.69744, 1916, Jun Average, Mozambique, MOZ
3.45656, 1916, Jul Average, Mozambique, MOZ
11.0389, 1916, Aug Average, Mozambique, MOZ
3.95525, 1916, Sep Average, Mozambique, MOZ
18.6645, 1916, Oct Average, Mozambique, MOZ
138.347, 1916, Nov Average, Mozambique, MOZ
279.059, 1916, Dec Average, Mozambique, MOZ
140.774, 1917, Jan Average, Mozambique, MOZ
141.821, 1917, Feb Average, Mozambique, MOZ
201.242, 1917, Mar Average, Mozambique, MOZ
74.2769, 1917, Apr Average, Mozambique, MOZ
30.9509, 1917, May Average, Mozambique, MOZ
18.9113, 1917, Jun Average, Mozambique, MOZ
6.39916, 1917, Jul Average, Mozambique, MOZ
27.2155, 1917, Aug Average, Mozambique, MOZ
13.0074, 1917, Sep Average, Mozambique, MOZ
19.6676, 1917, Oct Average, Mozambique, MOZ
97.3901, 1917, Nov Average, Mozambique, MOZ
220.105, 1917, Dec Average, Mozambique, MOZ
253.157, 1918, Jan Average, Mozambique, MOZ
248.36, 1918, Feb Average, Mozambique, MOZ
219.725, 1918, Mar Average, Mozambique, MOZ
87.0042, 1918, Apr Average, Mozambique, MOZ
39.4026, 1918, May Average, Mozambique, MOZ
9.53957, 1918, Jun Average, Mozambique, MOZ
11.6688, 1918, Jul Average, Mozambique, MOZ
20.3682, 1918, Aug Average, Mozambique, MOZ
1.50709, 1918, Sep Average, Mozambique, MOZ
6.30515, 1918, Oct Average, Mozambique, MOZ
110.227, 1918, Nov Average, Mozambique, MOZ
103.543, 1918, Dec Average, Mozambique, MOZ
215.389, 1919, Jan Average, Mozambique, MOZ
201.687, 1919, Feb Average, Mozambique, MOZ
98.7547, 1919, Mar Average, Mozambique, MOZ
78.3787, 1919, Apr Average, Mozambique, MOZ
48.2132, 1919, May Average, Mozambique, MOZ
13.0836, 1919, Jun Average, Mozambique, MOZ
7.42397, 1919, Jul Average, Mozambique, MOZ
7.6752, 1919, Aug Average, Mozambique, MOZ
8.35291, 1919, Sep Average, Mozambique, MOZ
26.6854, 1919, Oct Average, Mozambique, MOZ
60.363, 1919, Nov Average, Mozambique, MOZ
113.546, 1919, Dec Average, Mozambique, MOZ
210.392, 1920, Jan Average, Mozambique, MOZ
222.638, 1920, Feb Average, Mozambique, MOZ
306.333, 1920, Mar Average, Mozambique, MOZ
41.9295, 1920, Apr Average, Mozambique, MOZ
41.8714, 1920, May Average, Mozambique, MOZ
7.98496, 1920, Jun Average, Mozambique, MOZ
12.9167, 1920, Jul Average, Mozambique, MOZ
6.8585, 1920, Aug Average, Mozambique, MOZ
3.33945, 1920, Sep Average, Mozambique, MOZ
48.4654, 1920, Oct Average, Mozambique, MOZ
62.7624, 1920, Nov Average, Mozambique, MOZ
142.396, 1920, Dec Average, Mozambique, MOZ
186.126, 1921, Jan Average, Mozambique, MOZ
171.79, 1921, Feb Average, Mozambique, MOZ
194.773, 1921, Mar Average, Mozambique, MOZ
85.9967, 1921, Apr Average, Mozambique, MOZ
47.2194, 1921, May Average, Mozambique, MOZ
6.91819, 1921, Jun Average, Mozambique, MOZ
31.1159, 1921, Jul Average, Mozambique, MOZ
12.8233, 1921, Aug Average, Mozambique, MOZ
10.0339, 1921, Sep Average, Mozambique, MOZ
40.0403, 1921, Oct Average, Mozambique, MOZ
93.0112, 1921, Nov Average, Mozambique, MOZ
166.114, 1921, Dec Average, Mozambique, MOZ
73.169, 1922, Jan Average, Mozambique, MOZ
171.041, 1922, Feb Average, Mozambique, MOZ
92.319, 1922, Mar Average, Mozambique, MOZ
41.3258, 1922, Apr Average, Mozambique, MOZ
33.5631, 1922, May Average, Mozambique, MOZ
14.6131, 1922, Jun Average, Mozambique, MOZ
11.6131, 1922, Jul Average, Mozambique, MOZ
5.09642, 1922, Aug Average, Mozambique, MOZ
8.07169, 1922, Sep Average, Mozambique, MOZ
57.3778, 1922, Oct Average, Mozambique, MOZ
87.1147, 1922, Nov Average, Mozambique, MOZ
186.038, 1922, Dec Average, Mozambique, MOZ
202.535, 1923, Jan Average, Mozambique, MOZ
286.594, 1923, Feb Average, Mozambique, MOZ
244.07, 1923, Mar Average, Mozambique, MOZ
95.0069, 1923, Apr Average, Mozambique, MOZ
36.2679, 1923, May Average, Mozambique, MOZ
6.91912, 1923, Jun Average, Mozambique, MOZ
13.3754, 1923, Jul Average, Mozambique, MOZ
11.6632, 1923, Aug Average, Mozambique, MOZ
8.28473, 1923, Sep Average, Mozambique, MOZ
16.7606, 1923, Oct Average, Mozambique, MOZ
