Rainfall - (MM), Year, Statistics, Country, ISO3
0.58961, 1901, Jan Average, Mauritania, MRT
0.56181, 1901, Feb Average, Mauritania, MRT
0.26122, 1901, Mar Average, Mauritania, MRT
0.78251, 1901, Apr Average, Mauritania, MRT
2.43371, 1901, May Average, Mauritania, MRT
6.59029, 1901, Jun Average, Mauritania, MRT
23.2929, 1901, Jul Average, Mauritania, MRT
42.8777, 1901, Aug Average, Mauritania, MRT
27.5077, 1901, Sep Average, Mauritania, MRT
4.28284, 1901, Oct Average, Mauritania, MRT
1.01025, 1901, Nov Average, Mauritania, MRT
0.86054, 1901, Dec Average, Mauritania, MRT
0.54617, 1902, Jan Average, Mauritania, MRT
0.50361, 1902, Feb Average, Mauritania, MRT
0.23283, 1902, Mar Average, Mauritania, MRT
0.3977, 1902, Apr Average, Mauritania, MRT
1.51844, 1902, May Average, Mauritania, MRT
4.8487, 1902, Jun Average, Mauritania, MRT
20.3077, 1902, Jul Average, Mauritania, MRT
32.7057, 1902, Aug Average, Mauritania, MRT
14.1772, 1902, Sep Average, Mauritania, MRT
6.03327, 1902, Oct Average, Mauritania, MRT
1.03101, 1902, Nov Average, Mauritania, MRT
0.75456, 1902, Dec Average, Mauritania, MRT
0.57875, 1903, Jan Average, Mauritania, MRT
0.47736, 1903, Feb Average, Mauritania, MRT
0.27182, 1903, Mar Average, Mauritania, MRT
0.73039, 1903, Apr Average, Mauritania, MRT
0.99637, 1903, May Average, Mauritania, MRT
8.20287, 1903, Jun Average, Mauritania, MRT
24.3424, 1903, Jul Average, Mauritania, MRT
43.0667, 1903, Aug Average, Mauritania, MRT
20.8342, 1903, Sep Average, Mauritania, MRT
2.06618, 1903, Oct Average, Mauritania, MRT
0.90958, 1903, Nov Average, Mauritania, MRT
1.00611, 1903, Dec Average, Mauritania, MRT
0.58706, 1904, Jan Average, Mauritania, MRT
0.50222, 1904, Feb Average, Mauritania, MRT
0.23967, 1904, Mar Average, Mauritania, MRT
0.38373, 1904, Apr Average, Mauritania, MRT
0.81602, 1904, May Average, Mauritania, MRT
10.0451, 1904, Jun Average, Mauritania, MRT
20.4261, 1904, Jul Average, Mauritania, MRT
38.1439, 1904, Aug Average, Mauritania, MRT
17.8947, 1904, Sep Average, Mauritania, MRT
4.52571, 1904, Oct Average, Mauritania, MRT
1.07083, 1904, Nov Average, Mauritania, MRT
0.85379, 1904, Dec Average, Mauritania, MRT
0.43934, 1905, Jan Average, Mauritania, MRT
0.3988, 1905, Feb Average, Mauritania, MRT
0.648, 1905, Mar Average, Mauritania, MRT
0.37003, 1905, Apr Average, Mauritania, MRT
2.03868, 1905, May Average, Mauritania, MRT
11.9665, 1905, Jun Average, Mauritania, MRT
