Rainfall - (MM), Year, Statistics, Country, ISO3
276.989, 1901, Jan Average, Mauritius, MUS
291.185, 1901, Feb Average, Mauritius, MUS
246.483, 1901, Mar Average, Mauritius, MUS
217.759, 1901, Apr Average, Mauritius, MUS
146.387, 1901, May Average, Mauritius, MUS
120.168, 1901, Jun Average, Mauritius, MUS
121.142, 1901, Jul Average, Mauritius, MUS
109.812, 1901, Aug Average, Mauritius, MUS
72.7899, 1901, Sep Average, Mauritius, MUS
70.4649, 1901, Oct Average, Mauritius, MUS
90.737, 1901, Nov Average, Mauritius, MUS
198.84, 1901, Dec Average, Mauritius, MUS
276.989, 1902, Jan Average, Mauritius, MUS
291.185, 1902, Feb Average, Mauritius, MUS
246.483, 1902, Mar Average, Mauritius, MUS
217.759, 1902, Apr Average, Mauritius, MUS
146.387, 1902, May Average, Mauritius, MUS
120.168, 1902, Jun Average, Mauritius, MUS
121.142, 1902, Jul Average, Mauritius, MUS
109.812, 1902, Aug Average, Mauritius, MUS
72.7899, 1902, Sep Average, Mauritius, MUS
70.4649, 1902, Oct Average, Mauritius, MUS
90.737, 1902, Nov Average, Mauritius, MUS
198.84, 1902, Dec Average, Mauritius, MUS
276.989, 1903, Jan Average, Mauritius, MUS
291.185, 1903, Feb Average, Mauritius, MUS
246.483, 1903, Mar Average, Mauritius, MUS
217.759, 1903, Apr Average, Mauritius, MUS
146.387, 1903, May Average, Mauritius, MUS
120.168, 1903, Jun Average, Mauritius, MUS
121.142, 1903, Jul Average, Mauritius, MUS
109.812, 1903, Aug Average, Mauritius, MUS
72.7899, 1903, Sep Average, Mauritius, MUS
70.4649, 1903, Oct Average, Mauritius, MUS
90.737, 1903, Nov Average, Mauritius, MUS
198.84, 1903, Dec Average, Mauritius, MUS
276.989, 1904, Jan Average, Mauritius, MUS
291.185, 1904, Feb Average, Mauritius, MUS
246.483, 1904, Mar Average, Mauritius, MUS
217.759, 1904, Apr Average, Mauritius, MUS
146.387, 1904, May Average, Mauritius, MUS
120.168, 1904, Jun Average, Mauritius, MUS
121.142, 1904, Jul Average, Mauritius, MUS
109.812, 1904, Aug Average, Mauritius, MUS
72.7899, 1904, Sep Average, Mauritius, MUS
70.4649, 1904, Oct Average, Mauritius, MUS
90.737, 1904, Nov Average, Mauritius, MUS
198.84, 1904, Dec Average, Mauritius, MUS
