Rainfall - (MM), Year, Statistics, Country, ISO3
25.6379, 1901, Jan Average, Namibia, NAM
57.8439, 1901, Feb Average, Namibia, NAM
57.2506, 1901, Mar Average, Namibia, NAM
24.4841, 1901, Apr Average, Namibia, NAM
1.32088, 1901, May Average, Namibia, NAM
0.07419, 1901, Jun Average, Namibia, NAM
0.22981, 1901, Jul Average, Namibia, NAM
0.16578, 1901, Aug Average, Namibia, NAM
2.40254, 1901, Sep Average, Namibia, NAM
9.54992, 1901, Oct Average, Namibia, NAM
19.6155, 1901, Nov Average, Namibia, NAM
70.0042, 1901, Dec Average, Namibia, NAM
71.3952, 1902, Jan Average, Namibia, NAM
50.8218, 1902, Feb Average, Namibia, NAM
46.2226, 1902, Mar Average, Namibia, NAM
11.4255, 1902, Apr Average, Namibia, NAM
0.20974, 1902, May Average, Namibia, NAM
1.45472, 1902, Jun Average, Namibia, NAM
0.58499, 1902, Jul Average, Namibia, NAM
0.42976, 1902, Aug Average, Namibia, NAM
5.60944, 1902, Sep Average, Namibia, NAM
1.3969, 1902, Oct Average, Namibia, NAM
20.606, 1902, Nov Average, Namibia, NAM
53.4304, 1902, Dec Average, Namibia, NAM
17.7108, 1903, Jan Average, Namibia, NAM
77.5036, 1903, Feb Average, Namibia, NAM
25.3808, 1903, Mar Average, Namibia, NAM
3.31031, 1903, Apr Average, Namibia, NAM
0.92206, 1903, May Average, Namibia, NAM
0.59415, 1903, Jun Average, Namibia, NAM
0.1539, 1903, Jul Average, Namibia, NAM
0.26908, 1903, Aug Average, Namibia, NAM
2.62913, 1903, Sep Average, Namibia, NAM
0.76235, 1903, Oct Average, Namibia, NAM
13.3708, 1903, Nov Average, Namibia, NAM
69.5054, 1903, Dec Average, Namibia, NAM
153.926, 1904, Jan Average, Namibia, NAM
58.9847, 1904, Feb Average, Namibia, NAM
39.0739, 1904, Mar Average, Namibia, NAM
16.474, 1904, Apr Average, Namibia, NAM
3.48928, 1904, May Average, Namibia, NAM
0.70056, 1904, Jun Average, Namibia, NAM
0.92935, 1904, Jul Average, Namibia, NAM
0.11576, 1904, Aug Average, Namibia, NAM
1.70763, 1904, Sep Average, Namibia, NAM
3.02709, 1904, Oct Average, Namibia, NAM
7.65936, 1904, Nov Average, Namibia, NAM
8.46161, 1904, Dec Average, Namibia, NAM
77.111, 1905, Jan Average, Namibia, NAM
77.2859, 1905, Feb Average, Namibia, NAM
38.6481, 1905, Mar Average, Namibia, NAM
3.02504, 1905, Apr Average, Namibia, NAM
1.79099, 1905, May Average, Namibia, NAM
0.59829, 1905, Jun Average, Namibia, NAM
