Rainfall - (MM), Year, Statistics, Country, ISO3
48.0687, 1901, Jan Average, New Caledonia, NCL
101.892, 1901, Feb Average, New Caledonia, NCL
456.49, 1901, Mar Average, New Caledonia, NCL
51.8829, 1901, Apr Average, New Caledonia, NCL
76.5883, 1901, May Average, New Caledonia, NCL
45.8486, 1901, Jun Average, New Caledonia, NCL
79.406, 1901, Jul Average, New Caledonia, NCL
33.1188, 1901, Aug Average, New Caledonia, NCL
55.3574, 1901, Sep Average, New Caledonia, NCL
94.8625, 1901, Oct Average, New Caledonia, NCL
29.9809, 1901, Nov Average, New Caledonia, NCL
20.2348, 1901, Dec Average, New Caledonia, NCL
214.306, 1902, Jan Average, New Caledonia, NCL
58.3846, 1902, Feb Average, New Caledonia, NCL
170.977, 1902, Mar Average, New Caledonia, NCL
238.168, 1902, Apr Average, New Caledonia, NCL
39.24, 1902, May Average, New Caledonia, NCL
60.0411, 1902, Jun Average, New Caledonia, NCL
109.532, 1902, Jul Average, New Caledonia, NCL
37.8277, 1902, Aug Average, New Caledonia, NCL
26.0022, 1902, Sep Average, New Caledonia, NCL
44.7693, 1902, Oct Average, New Caledonia, NCL
22.41, 1902, Nov Average, New Caledonia, NCL
0, 1902, Dec Average, New Caledonia, NCL
35.6623, 1903, Jan Average, New Caledonia, NCL
75.6917, 1903, Feb Average, New Caledonia, NCL
62.5118, 1903, Mar Average, New Caledonia, NCL
37.0628, 1903, Apr Average, New Caledonia, NCL
86.1504, 1903, May Average, New Caledonia, NCL
133.603, 1903, Jun Average, New Caledonia, NCL
41.5896, 1903, Jul Average, New Caledonia, NCL
40.7441, 1903, Aug Average, New Caledonia, NCL
48.637, 1903, Sep Average, New Caledonia, NCL
51.8745, 1903, Oct Average, New Caledonia, NCL
74.1454, 1903, Nov Average, New Caledonia, NCL
175.363, 1903, Dec Average, New Caledonia, NCL
133.359, 1904, Jan Average, New Caledonia, NCL
560.438, 1904, Feb Average, New Caledonia, NCL
305.294, 1904, Mar Average, New Caledonia, NCL
172.947, 1904, Apr Average, New Caledonia, NCL
181.885, 1904, May Average, New Caledonia, NCL
155.57, 1904, Jun Average, New Caledonia, NCL
107.133, 1904, Jul Average, New Caledonia, NCL
131.204, 1904, Aug Average, New Caledonia, NCL
31.8647, 1904, Sep Average, New Caledonia, NCL
13.34, 1904, Oct Average, New Caledonia, NCL
45.7513, 1904, Nov Average, New Caledonia, NCL
21.9188, 1904, Dec Average, New Caledonia, NCL
89.954, 1905, Jan Average, New Caledonia, NCL
116.459, 1905, Feb Average, New Caledonia, NCL
106.134, 1905, Mar Average, New Caledonia, NCL
51.8829, 1905, Apr Average, New Caledonia, NCL
14.3564, 1905, May Average, New Caledonia, NCL
71.8027, 1905, Jun Average, New Caledonia, NCL
17.6475, 1905, Jul Average, New Caledonia, NCL
43.3075, 1905, Aug Average, New Caledonia, NCL
20.143, 1905, Sep Average, New Caledonia, NCL
90.4192, 1905, Oct Average, New Caledonia, NCL
96.2424, 1905, Nov Average, New Caledonia, NCL
8.41142, 1905, Dec Average, New Caledonia, NCL
13.9535, 1906, Jan Average, New Caledonia, NCL
68.4175, 1906, Feb Average, New Caledonia, NCL
196.264, 1906, Mar Average, New Caledonia, NCL
27.1934, 1906, Apr Average, New Caledonia, NCL
151.95, 1906, May Average, New Caledonia, NCL
49.8556, 1906, Jun Average, New Caledonia, NCL
73.1129, 1906, Jul Average, New Caledonia, NCL
31.861, 1906, Aug Average, New Caledonia, NCL
30.201, 1906, Sep Average, New Caledonia, NCL
74.1166, 1906, Oct Average, New Caledonia, NCL
97.815, 1906, Nov Average, New Caledonia, NCL
37.0956, 1906, Dec Average, New Caledonia, NCL
148.882, 1907, Jan Average, New Caledonia, NCL
161.585, 1907, Feb Average, New Caledonia, NCL
49.4321, 1907, Mar Average, New Caledonia, NCL
169.263, 1907, Apr Average, New Caledonia, NCL
26.3198, 1907, May Average, New Caledonia, NCL
95.7363, 1907, Jun Average, New Caledonia, NCL
98.3047, 1907, Jul Average, New Caledonia, NCL
68.7938, 1907, Aug Average, New Caledonia, NCL
21.8167, 1907, Sep Average, New Caledonia, NCL
10.3862, 1907, Oct Average, New Caledonia, NCL
15.7742, 1907, Nov Average, New Caledonia, NCL
57.3339, 1907, Dec Average, New Caledonia, NCL
27.913, 1908, Jan Average, New Caledonia, NCL
149.936, 1908, Feb Average, New Caledonia, NCL
90.13, 1908, Mar Average, New Caledonia, NCL
155.644, 1908, Apr Average, New Caledonia, NCL
165.129, 1908, May Average, New Caledonia, NCL
372.925, 1908, Jun Average, New Caledonia, NCL
90.7429, 1908, Jul Average, New Caledonia, NCL
77.6974, 1908, Aug Average, New Caledonia, NCL
65.4212, 1908, Sep Average, New Caledonia, NCL
5.92743, 1908, Oct Average, New Caledonia, NCL
377.044, 1908, Nov Average, New Caledonia, NCL
18.5423, 1908, Dec Average, New Caledonia, NCL
203.148, 1909, Jan Average, New Caledonia, NCL
142.663, 1909, Feb Average, New Caledonia, NCL
286.402, 1909, Mar Average, New Caledonia, NCL
97.6139, 1909, Apr Average, New Caledonia, NCL
177.105, 1909, May Average, New Caledonia, NCL
54.8448, 1909, Jun Average, New Caledonia, NCL
75.6311, 1909, Jul Average, New Caledonia, NCL
105.742, 1909, Aug Average, New Caledonia, NCL
204.649, 1909, Sep Average, New Caledonia, NCL
50.4009, 1909, Oct Average, New Caledonia, NCL
29.9809, 1909, Nov Average, New Caledonia, NCL
116.346, 1909, Dec Average, New Caledonia, NCL
283.793, 1910, Jan Average, New Caledonia, NCL
289.702, 1910, Feb Average, New Caledonia, NCL
527.717, 1910, Mar Average, New Caledonia, NCL
381.74, 1910, Apr Average, New Caledonia, NCL
248.907, 1910, May Average, New Caledonia, NCL
183.478, 1910, Jun Average, New Caledonia, NCL
151.239, 1910, Jul Average, New Caledonia, NCL
86.6082, 1910, Aug Average, New Caledonia, NCL
0, 1910, Sep Average, New Caledonia, NCL
65.2338, 1910, Oct Average, New Caledonia, NCL
279.234, 1910, Nov Average, New Caledonia, NCL
305.178, 1910, Dec Average, New Caledonia, NCL
72.8846, 1911, Jan Average, New Caledonia, NCL
160.141, 1911, Feb Average, New Caledonia, NCL
168.638, 1911, Mar Average, New Caledonia, NCL
153.173, 1911, Apr Average, New Caledonia, NCL
111.288, 1911, May Average, New Caledonia, NCL
21.9453, 1911, Jun Average, New Caledonia, NCL
148.736, 1911, Jul Average, New Caledonia, NCL
187.243, 1911, Aug Average, New Caledonia, NCL
30.201, 1911, Sep Average, New Caledonia, NCL
51.8745, 1911, Oct Average, New Caledonia, NCL
7.90141, 1911, Nov Average, New Caledonia, NCL
28.6496, 1911, Dec Average, New Caledonia, NCL
274.5, 1912, Jan Average, New Caledonia, NCL
88.7879, 1912, Feb Average, New Caledonia, NCL
279.114, 1912, Mar Average, New Caledonia, NCL
202.608, 1912, Apr Average, New Caledonia, NCL
181.885, 1912, May Average, New Caledonia, NCL
34.9029, 1912, Jun Average, New Caledonia, NCL
70.5719, 1912, Jul Average, New Caledonia, NCL
113.355, 1912, Aug Average, New Caledonia, NCL
35.2342, 1912, Sep Average, New Caledonia, NCL
53.3635, 1912, Oct Average, New Caledonia, NCL
67.8454, 1912, Nov Average, New Caledonia, NCL
209.082, 1912, Dec Average, New Caledonia, NCL
308.598, 1913, Jan Average, New Caledonia, NCL
74.2423, 1913, Feb Average, New Caledonia, NCL
157.008, 1913, Mar Average, New Caledonia, NCL
79.0833, 1913, Apr Average, New Caledonia, NCL
40.6843, 1913, May Average, New Caledonia, NCL
32.9044, 1913, Jun Average, New Caledonia, NCL
263.436, 1913, Jul Average, New Caledonia, NCL
173.225, 1913, Aug Average, New Caledonia, NCL
167.75, 1913, Sep Average, New Caledonia, NCL
57.8068, 1913, Oct Average, New Caledonia, NCL
23.6706, 1913, Nov Average, New Caledonia, NCL
42.1378, 1913, Dec Average, New Caledonia, NCL
133.359, 1914, Jan Average, New Caledonia, NCL
521.134, 1914, Feb Average, New Caledonia, NCL
139.575, 1914, Mar Average, New Caledonia, NCL
18.5316, 1914, Apr Average, New Caledonia, NCL
210.611, 1914, May Average, New Caledonia, NCL
38.8841, 1914, Jun Average, New Caledonia, NCL
146.2, 1914, Jul Average, New Caledonia, NCL
56.0516, 1914, Aug Average, New Caledonia, NCL
36.8941, 1914, Sep Average, New Caledonia, NCL
22.2163, 1914, Oct Average, New Caledonia, NCL
36.2876, 1914, Nov Average, New Caledonia, NCL
170.289, 1914, Dec Average, New Caledonia, NCL
24.8065, 1915, Jan Average, New Caledonia, NCL
117.914, 1915, Feb Average, New Caledonia, NCL
139.575, 1915, Mar Average, New Caledonia, NCL
95.1278, 1915, Apr Average, New Caledonia, NCL
47.8675, 1915, May Average, New Caledonia, NCL
400.848, 1915, Jun Average, New Caledonia, NCL
137.379, 1915, Jul Average, New Caledonia, NCL
47.1424, 1915, Aug Average, New Caledonia, NCL
45.2779, 1915, Sep Average, New Caledonia, NCL
121.547, 1915, Oct Average, New Caledonia, NCL
187.725, 1915, Nov Average, New Caledonia, NCL
200.641, 1915, Dec Average, New Caledonia, NCL
280.699, 1916, Jan Average, New Caledonia, NCL
96.0741, 1916, Feb Average, New Caledonia, NCL
126.472, 1916, Mar Average, New Caledonia, NCL
64.2315, 1916, Apr Average, New Caledonia, NCL
179.5, 1916, May Average, New Caledonia, NCL
31.8997, 1916, Jun Average, New Caledonia, NCL
153.761, 1916, Jul Average, New Caledonia, NCL
38.2011, 1916, Aug Average, New Caledonia, NCL
127.475, 1916, Sep Average, New Caledonia, NCL
114.134, 1916, Oct Average, New Caledonia, NCL
298.174, 1916, Nov Average, New Caledonia, NCL
84.2945, 1916, Dec Average, New Caledonia, NCL
57.3775, 1917, Jan Average, New Caledonia, NCL
409.054, 1917, Feb Average, New Caledonia, NCL
409.974, 1917, Mar Average, New Caledonia, NCL
168.025, 1917, Apr Average, New Caledonia, NCL
76.5883, 1917, May Average, New Caledonia, NCL
97.7184, 1917, Jun Average, New Caledonia, NCL
151.239, 1917, Jul Average, New Caledonia, NCL
89.4598, 1917, Aug Average, New Caledonia, NCL
102.318, 1917, Sep Average, New Caledonia, NCL
176.395, 1917, Oct Average, New Caledonia, NCL
14.1974, 1917, Nov Average, New Caledonia, NCL
145.008, 1917, Dec Average, New Caledonia, NCL
227.959, 1918, Jan Average, New Caledonia, NCL
78.6133, 1918, Feb Average, New Caledonia, NCL
238.41, 1918, Mar Average, New Caledonia, NCL
124.782, 1918, Apr Average, New Caledonia, NCL
120.867, 1918, May Average, New Caledonia, NCL
18.9528, 1918, Jun Average, New Caledonia, NCL
45.3761, 1918, Jul Average, New Caledonia, NCL
14.0062, 1918, Aug Average, New Caledonia, NCL
65.4212, 1918, Sep Average, New Caledonia, NCL
0, 1918, Oct Average, New Caledonia, NCL
143.546, 1918, Nov Average, New Caledonia, NCL
276.538, 1918, Dec Average, New Caledonia, NCL
248.121, 1919, Jan Average, New Caledonia, NCL
45.1124, 1919, Feb Average, New Caledonia, NCL
174.461, 1919, Mar Average, New Caledonia, NCL
45.7012, 1919, Apr Average, New Caledonia, NCL
138.806, 1919, May Average, New Caledonia, NCL
42.8739, 1919, Jun Average, New Caledonia, NCL
92.0953, 1919, Jul Average, New Caledonia, NCL
52.2156, 1919, Aug Average, New Caledonia, NCL
92.2548, 1919, Sep Average, New Caledonia, NCL
90.4192, 1919, Oct Average, New Caledonia, NCL
28.3961, 1919, Nov Average, New Caledonia, NCL
85.9949, 1919, Dec Average, New Caledonia, NCL
116.317, 1920, Jan Average, New Caledonia, NCL
179.199, 1920, Feb Average, New Caledonia, NCL
213.699, 1920, Mar Average, New Caledonia, NCL
107.467, 1920, Apr Average, New Caledonia, NCL
74.2, 1920, May Average, New Caledonia, NCL
61.8248, 1920, Jun Average, New Caledonia, NCL
90.7429, 1920, Jul Average, New Caledonia, NCL
62.4219, 1920, Aug Average, New Caledonia, NCL
60.3837, 1920, Sep Average, New Caledonia, NCL
34.0912, 1920, Oct Average, New Caledonia, NCL
173.539, 1920, Nov Average, New Caledonia, NCL
308.553, 1920, Dec Average, New Caledonia, NCL
255.883, 1921, Jan Average, New Caledonia, NCL
72.7857, 1921, Feb Average, New Caledonia, NCL
74.1598, 1921, Mar Average, New Caledonia, NCL
64.2315, 1921, Apr Average, New Caledonia, NCL
62.2239, 1921, May Average, New Caledonia, NCL
47.8662, 1921, Jun Average, New Caledonia, NCL
45.3761, 1921, Jul Average, New Caledonia, NCL
94.2528, 1921, Aug Average, New Caledonia, NCL
78.838, 1921, Sep Average, New Caledonia, NCL
157.126, 1921, Oct Average, New Caledonia, NCL
25.2416, 1921, Nov Average, New Caledonia, NCL
158.507, 1921, Dec Average, New Caledonia, NCL
241.929, 1922, Jan Average, New Caledonia, NCL
358.111, 1922, Feb Average, New Caledonia, NCL
209.34, 1922, Mar Average, New Caledonia, NCL
7.42206, 1922, Apr Average, New Caledonia, NCL
122.059, 1922, May Average, New Caledonia, NCL
71.8027, 1922, Jun Average, New Caledonia, NCL
139.921, 1922, Jul Average, New Caledonia, NCL
145.205, 1922, Aug Average, New Caledonia, NCL
159.344, 1922, Sep Average, New Caledonia, NCL
17.8019, 1922, Oct Average, New Caledonia, NCL
66.2615, 1922, Nov Average, New Caledonia, NCL
436.706, 1922, Dec Average, New Caledonia, NCL
297.737, 1923, Jan Average, New Caledonia, NCL
272.216, 1923, Feb Average, New Caledonia, NCL
31.9899, 1923, Mar Average, New Caledonia, NCL
160.619, 1923, Apr Average, New Caledonia, NCL
108.887, 1923, May Average, New Caledonia, NCL
77.7642, 1923, Jun Average, New Caledonia, NCL
218.041, 1923, Jul Average, New Caledonia, NCL
105.742, 1923, Aug Average, New Caledonia, NCL
70.4434, 1923, Sep Average, New Caledonia, NCL
0, 1923, Oct Average, New Caledonia, NCL
0, 1923, Nov Average, New Caledonia, NCL
94.4186, 1923, Dec Average, New Caledonia, NCL
46.5198, 1924, Jan Average, New Caledonia, NCL
21.8463, 1924, Feb Average, New Caledonia, NCL
141.021, 1924, Mar Average, New Caledonia, NCL
165.547, 1924, Apr Average, New Caledonia, NCL
126.853, 1924, May Average, New Caledonia, NCL
167.529, 1924, Jun Average, New Caledonia, NCL
155.04, 1924, Jul Average, New Caledonia, NCL
53.4759, 1924, Aug Average, New Caledonia, NCL
13.4167, 1924, Sep Average, New Caledonia, NCL
63.7375, 1924, Oct Average, New Caledonia, NCL
124.626, 1924, Nov Average, New Caledonia, NCL
69.1347, 1924, Dec Average, New Caledonia, NCL
182.999, 1925, Jan Average, New Caledonia, NCL
107.719, 1925, Feb Average, New Caledonia, NCL
130.835, 1925, Mar Average, New Caledonia, NCL
70.4137, 1925, Apr Average, New Caledonia, NCL
129.245, 1925, May Average, New Caledonia, NCL
102.72, 1925, Jun Average, New Caledonia, NCL
119.723, 1925, Jul Average, New Caledonia, NCL
44.5737, 1925, Aug Average, New Caledonia, NCL
92.2548, 1925, Sep Average, New Caledonia, NCL
32.599, 1925, Oct Average, New Caledonia, NCL
20.5127, 1925, Nov Average, New Caledonia, NCL
40.4648, 1925, Dec Average, New Caledonia, NCL
182.999, 1926, Jan Average, New Caledonia, NCL
107.719, 1926, Feb Average, New Caledonia, NCL
43.6201, 1926, Mar Average, New Caledonia, NCL
117.366, 1926, Apr Average, New Caledonia, NCL
45.4697, 1926, May Average, New Caledonia, NCL
176.494, 1926, Jun Average, New Caledonia, NCL
129.824, 1926, Jul Average, New Caledonia, NCL
24.1951, 1926, Aug Average, New Caledonia, NCL
67.0981, 1926, Sep Average, New Caledonia, NCL
112.66, 1926, Oct Average, New Caledonia, NCL
41.017, 1926, Nov Average, New Caledonia, NCL
55.6397, 1926, Dec Average, New Caledonia, NCL
43.4056, 1927, Jan Average, New Caledonia, NCL
74.2423, 1927, Feb Average, New Caledonia, NCL
26.1631, 1927, Mar Average, New Caledonia, NCL
58.0525, 1927, Apr Average, New Caledonia, NCL
119.663, 1927, May Average, New Caledonia, NCL
71.8027, 1927, Jun Average, New Caledonia, NCL
64.2714, 1927, Jul Average, New Caledonia, NCL
64.9588, 1927, Aug Average, New Caledonia, NCL
53.6823, 1927, Sep Average, New Caledonia, NCL
28.1589, 1927, Oct Average, New Caledonia, NCL
6.31377, 1927, Nov Average, New Caledonia, NCL
222.558, 1927, Dec Average, New Caledonia, NCL
66.6877, 1928, Jan Average, New Caledonia, NCL
199.439, 1928, Feb Average, New Caledonia, NCL
164.272, 1928, Mar Average, New Caledonia, NCL
86.4747, 1928, Apr Average, New Caledonia, NCL
143.596, 1928, May Average, New Caledonia, NCL
108.68, 1928, Jun Average, New Caledonia, NCL
92.0953, 1928, Jul Average, New Caledonia, NCL
22.9354, 1928, Aug Average, New Caledonia, NCL
130.839, 1928, Sep Average, New Caledonia, NCL
53.3635, 1928, Oct Average, New Caledonia, NCL
28.3961, 1928, Nov Average, New Caledonia, NCL
202.335, 1928, Dec Average, New Caledonia, NCL
24.8065, 1929, Jan Average, New Caledonia, NCL
314.441, 1929, Feb Average, New Caledonia, NCL
308.212, 1929, Mar Average, New Caledonia, NCL
265.598, 1929, Apr Average, New Caledonia, NCL
25.1283, 1929, May Average, New Caledonia, NCL
323.076, 1929, Jun Average, New Caledonia, NCL
94.5558, 1929, Jul Average, New Caledonia, NCL
39.4821, 1929, Aug Average, New Caledonia, NCL
0, 1929, Sep Average, New Caledonia, NCL
5.92743, 1929, Oct Average, New Caledonia, NCL
15.7742, 1929, Nov Average, New Caledonia, NCL
1.68221, 1929, Dec Average, New Caledonia, NCL
113.202, 1930, Jan Average, New Caledonia, NCL
177.605, 1930, Feb Average, New Caledonia, NCL
376.54, 1930, Mar Average, New Caledonia, NCL
114.899, 1930, Apr Average, New Caledonia, NCL
80.177, 1930, May Average, New Caledonia, NCL
98.7063, 1930, Jun Average, New Caledonia, NCL
98.3047, 1930, Jul Average, New Caledonia, NCL
73.8851, 1930, Aug Average, New Caledonia, NCL
50.3371, 1930, Sep Average, New Caledonia, NCL
14.8322, 1930, Oct Average, New Caledonia, NCL
25.2416, 1930, Nov Average, New Caledonia, NCL
11.7987, 1930, Dec Average, New Caledonia, NCL
6.20075, 1931, Jan Average, New Caledonia, NCL
53.8599, 1931, Feb Average, New Caledonia, NCL
56.6979, 1931, Mar Average, New Caledonia, NCL
24.7189, 1931, Apr Average, New Caledonia, NCL
33.5157, 1931, May Average, New Caledonia, NCL
78.7647, 1931, Jun Average, New Caledonia, NCL
156.305, 1931, Jul Average, New Caledonia, NCL
147.747, 1931, Aug Average, New Caledonia, NCL
8.39458, 1931, Sep Average, New Caledonia, NCL
112.66, 1931, Oct Average, New Caledonia, NCL
26.8286, 1931, Nov Average, New Caledonia, NCL
138.268, 1931, Dec Average, New Caledonia, NCL
18.6002, 1932, Jan Average, New Caledonia, NCL
308.627, 1932, Feb Average, New Caledonia, NCL
157.008, 1932, Mar Average, New Caledonia, NCL
106.233, 1932, Apr Average, New Caledonia, NCL
113.684, 1932, May Average, New Caledonia, NCL
176.494, 1932, Jun Average, New Caledonia, NCL
64.2714, 1932, Jul Average, New Caledonia, NCL
78.9822, 1932, Aug Average, New Caledonia, NCL
275.097, 1932, Sep Average, New Caledonia, NCL
219.372, 1932, Oct Average, New Caledonia, NCL
22.0791, 1932, Nov Average, New Caledonia, NCL
30.3553, 1932, Dec Average, New Caledonia, NCL
144.22, 1933, Jan Average, New Caledonia, NCL
84.4238, 1933, Feb Average, New Caledonia, NCL
504.449, 1933, Mar Average, New Caledonia, NCL
170.51, 1933, Apr Average, New Caledonia, NCL
140.025, 1933, May Average, New Caledonia, NCL
109.7, 1933, Jun Average, New Caledonia, NCL
94.5558, 1933, Jul Average, New Caledonia, NCL
96.8107, 1933, Aug Average, New Caledonia, NCL
93.9213, 1933, Sep Average, New Caledonia, NCL
149.703, 1933, Oct Average, New Caledonia, NCL
74.1454, 1933, Nov Average, New Caledonia, NCL
310.259, 1933, Dec Average, New Caledonia, NCL
179.902, 1934, Jan Average, New Caledonia, NCL
122.291, 1934, Feb Average, New Caledonia, NCL
113.404, 1934, Mar Average, New Caledonia, NCL
69.1793, 1934, Apr Average, New Caledonia, NCL
278.811, 1934, May Average, New Caledonia, NCL
98.7063, 1934, Jun Average, New Caledonia, NCL
36.5465, 1934, Jul Average, New Caledonia, NCL
108.273, 1934, Aug Average, New Caledonia, NCL
16.7656, 1934, Sep Average, New Caledonia, NCL
69.6476, 1934, Oct Average, New Caledonia, NCL
28.3961, 1934, Nov Average, New Caledonia, NCL
102.858, 1934, Dec Average, New Caledonia, NCL
158.192, 1935, Jan Average, New Caledonia, NCL
170.319, 1935, Feb Average, New Caledonia, NCL
328.56, 1935, Mar Average, New Caledonia, NCL
305.15, 1935, Apr Average, New Caledonia, NCL
88.5639, 1935, May Average, New Caledonia, NCL
15.9718, 1935, Jun Average, New Caledonia, NCL
242.008, 1935, Jul Average, New Caledonia, NCL
70.0584, 1935, Aug Average, New Caledonia, NCL
15.0833, 1935, Sep Average, New Caledonia, NCL
53.3635, 1935, Oct Average, New Caledonia, NCL
29.9809, 1935, Nov Average, New Caledonia, NCL
134.903, 1935, Dec Average, New Caledonia, NCL
156.622, 1936, Jan Average, New Caledonia, NCL
88.7879, 1936, Feb Average, New Caledonia, NCL
91.5816, 1936, Mar Average, New Caledonia, NCL
92.6557, 1936, Apr Average, New Caledonia, NCL
46.6794, 1936, May Average, New Caledonia, NCL
54.8448, 1936, Jun Average, New Caledonia, NCL
69.322, 1936, Jul Average, New Caledonia, NCL
29.2856, 1936, Aug Average, New Caledonia, NCL
30.201, 1936, Sep Average, New Caledonia, NCL
59.3169, 1936, Oct Average, New Caledonia, NCL
93.0757, 1936, Nov Average, New Caledonia, NCL
178.732, 1936, Dec Average, New Caledonia, NCL
86.8363, 1937, Jan Average, New Caledonia, NCL
231.439, 1937, Feb Average, New Caledonia, NCL
