Rainfall - (MM), Year, Statistics, Country, ISO3
0.01006, 1901, Jan Average, Niger, NER
0.49189, 1901, Feb Average, Niger, NER
0.50459, 1901, Mar Average, Niger, NER
1.99679, 1901, Apr Average, Niger, NER
6.37822, 1901, May Average, Niger, NER
19.9993, 1901, Jun Average, Niger, NER
44.7743, 1901, Jul Average, Niger, NER
68.1351, 1901, Aug Average, Niger, NER
22.0635, 1901, Sep Average, Niger, NER
2.43575, 1901, Oct Average, Niger, NER
0.06763, 1901, Nov Average, Niger, NER
0.00117, 1901, Dec Average, Niger, NER
0.01006, 1902, Jan Average, Niger, NER
0.50703, 1902, Feb Average, Niger, NER
0.73803, 1902, Mar Average, Niger, NER
2.38097, 1902, Apr Average, Niger, NER
6.31312, 1902, May Average, Niger, NER
17.0116, 1902, Jun Average, Niger, NER
49.7045, 1902, Jul Average, Niger, NER
65.1471, 1902, Aug Average, Niger, NER
20.6008, 1902, Sep Average, Niger, NER
1.8892, 1902, Oct Average, Niger, NER
0.0246, 1902, Nov Average, Niger, NER
0.00695, 1902, Dec Average, Niger, NER
0.01006, 1903, Jan Average, Niger, NER
0.50636, 1903, Feb Average, Niger, NER
0.56336, 1903, Mar Average, Niger, NER
1.80128, 1903, Apr Average, Niger, NER
7.63033, 1903, May Average, Niger, NER
16.5058, 1903, Jun Average, Niger, NER
45.2728, 1903, Jul Average, Niger, NER
68.5176, 1903, Aug Average, Niger, NER
20.0264, 1903, Sep Average, Niger, NER
1.87383, 1903, Oct Average, Niger, NER
0.0323, 1903, Nov Average, Niger, NER
0.0023, 1903, Dec Average, Niger, NER
0.01006, 1904, Jan Average, Niger, NER
0.50643, 1904, Feb Average, Niger, NER
0.5827, 1904, Mar Average, Niger, NER
1.61976, 1904, Apr Average, Niger, NER
7.09704, 1904, May Average, Niger, NER
17.4811, 1904, Jun Average, Niger, NER
51.5098, 1904, Jul Average, Niger, NER
64.5912, 1904, Aug Average, Niger, NER
19.473, 1904, Sep Average, Niger, NER
1.98271, 1904, Oct Average, Niger, NER
0.02734, 1904, Nov Average, Niger, NER
0.00225, 1904, Dec Average, Niger, NER
0.01006, 1905, Jan Average, Niger, NER
0.499, 1905, Feb Average, Niger, NER
1.29204, 1905, Mar Average, Niger, NER
2.32717, 1905, Apr Average, Niger, NER
4.90591, 1905, May Average, Niger, NER
27.2189, 1905, Jun Average, Niger, NER
39.8302, 1905, Jul Average, Niger, NER
64.1257, 1905, Aug Average, Niger, NER
25.1747, 1905, Sep Average, Niger, NER
3.07997, 1905, Oct Average, Niger, NER
0.0012, 1905, Nov Average, Niger, NER
0.01573, 1905, Dec Average, Niger, NER
0.01006, 1906, Jan Average, Niger, NER
0.45857, 1906, Feb Average, Niger, NER
0.29958, 1906, Mar Average, Niger, NER
0.64052, 1906, Apr Average, Niger, NER
4.83244, 1906, May Average, Niger, NER
19.9156, 1906, Jun Average, Niger, NER
80.5313, 1906, Jul Average, Niger, NER
54.2113, 1906, Aug Average, Niger, NER
20.716, 1906, Sep Average, Niger, NER
2.9638, 1906, Oct Average, Niger, NER
0.01407, 1906, Nov Average, Niger, NER
0.00867, 1906, Dec Average, Niger, NER
0.01006, 1907, Jan Average, Niger, NER
0.58543, 1907, Feb Average, Niger, NER
0.31174, 1907, Mar Average, Niger, NER
0.51986, 1907, Apr Average, Niger, NER
2.67964, 1907, May Average, Niger, NER
17.8156, 1907, Jun Average, Niger, NER
47.3031, 1907, Jul Average, Niger, NER
95.2875, 1907, Aug Average, Niger, NER
21.1596, 1907, Sep Average, Niger, NER
0.22718, 1907, Oct Average, Niger, NER
0.00183, 1907, Nov Average, Niger, NER
0.00309, 1907, Dec Average, Niger, NER
0.01006, 1908, Jan Average, Niger, NER
0.45954, 1908, Feb Average, Niger, NER
2.10201, 1908, Mar Average, Niger, NER
0.64482, 1908, Apr Average, Niger, NER
1.73884, 1908, May Average, Niger, NER
11.081, 1908, Jun Average, Niger, NER
40.558, 1908, Jul Average, Niger, NER
79.8108, 1908, Aug Average, Niger, NER
21.6107, 1908, Sep Average, Niger, NER
1.04921, 1908, Oct Average, Niger, NER
0.00457, 1908, Nov Average, Niger, NER
0.00122, 1908, Dec Average, Niger, NER
0.01006, 1909, Jan Average, Niger, NER
0.49505, 1909, Feb Average, Niger, NER
0.33665, 1909, Mar Average, Niger, NER
7.89379, 1909, Apr Average, Niger, NER
5.7501, 1909, May Average, Niger, NER
23.0374, 1909, Jun Average, Niger, NER
50.6222, 1909, Jul Average, Niger, NER
86.4702, 1909, Aug Average, Niger, NER
30.353, 1909, Sep Average, Niger, NER
1.54457, 1909, Oct Average, Niger, NER
0.00112, 1909, Nov Average, Niger, NER
0.00978, 1909, Dec Average, Niger, NER
0.01006, 1910, Jan Average, Niger, NER
0.4588, 1910, Feb Average, Niger, NER
0.3044, 1910, Mar Average, Niger, NER
0.54006, 1910, Apr Average, Niger, NER
