Rainfall - (MM), Year, Statistics, Country, ISO3
3.89261, 1901, Jan Average, Nigeria, NGA
6.48883, 1901, Feb Average, Nigeria, NGA
38.0317, 1901, Mar Average, Nigeria, NGA
79.15, 1901, Apr Average, Nigeria, NGA
118.404, 1901, May Average, Nigeria, NGA
171.567, 1901, Jun Average, Nigeria, NGA
274.617, 1901, Jul Average, Nigeria, NGA
287.288, 1901, Aug Average, Nigeria, NGA
257.268, 1901, Sep Average, Nigeria, NGA
117.344, 1901, Oct Average, Nigeria, NGA
24.1816, 1901, Nov Average, Nigeria, NGA
2.39508, 1901, Dec Average, Nigeria, NGA
1.08234, 1902, Jan Average, Nigeria, NGA
15.6483, 1902, Feb Average, Nigeria, NGA
32.4224, 1902, Mar Average, Nigeria, NGA
79.2438, 1902, Apr Average, Nigeria, NGA
124.38, 1902, May Average, Nigeria, NGA
169.147, 1902, Jun Average, Nigeria, NGA
209.21, 1902, Jul Average, Nigeria, NGA
214.633, 1902, Aug Average, Nigeria, NGA
174.638, 1902, Sep Average, Nigeria, NGA
95.3555, 1902, Oct Average, Nigeria, NGA
8.23604, 1902, Nov Average, Nigeria, NGA
4.48029, 1902, Dec Average, Nigeria, NGA
5.46408, 1903, Jan Average, Nigeria, NGA
13.8391, 1903, Feb Average, Nigeria, NGA
17.6837, 1903, Mar Average, Nigeria, NGA
81.2173, 1903, Apr Average, Nigeria, NGA
103.824, 1903, May Average, Nigeria, NGA
136.887, 1903, Jun Average, Nigeria, NGA
239.364, 1903, Jul Average, Nigeria, NGA
245.983, 1903, Aug Average, Nigeria, NGA
238.818, 1903, Sep Average, Nigeria, NGA
121.269, 1903, Oct Average, Nigeria, NGA
17.7101, 1903, Nov Average, Nigeria, NGA
5.58821, 1903, Dec Average, Nigeria, NGA
10.3365, 1904, Jan Average, Nigeria, NGA
4.46495, 1904, Feb Average, Nigeria, NGA
51.1532, 1904, Mar Average, Nigeria, NGA
57.6732, 1904, Apr Average, Nigeria, NGA
140.28, 1904, May Average, Nigeria, NGA
166.195, 1904, Jun Average, Nigeria, NGA
247.893, 1904, Jul Average, Nigeria, NGA
168.073, 1904, Aug Average, Nigeria, NGA
169.247, 1904, Sep Average, Nigeria, NGA
71.6499, 1904, Oct Average, Nigeria, NGA
7.165, 1904, Nov Average, Nigeria, NGA
4.21398, 1904, Dec Average, Nigeria, NGA
0.68481, 1905, Jan Average, Nigeria, NGA
7.68633, 1905, Feb Average, Nigeria, NGA
30.4681, 1905, Mar Average, Nigeria, NGA
57.3595, 1905, Apr Average, Nigeria, NGA
125.252, 1905, May Average, Nigeria, NGA
223.414, 1905, Jun Average, Nigeria, NGA
203.873, 1905, Jul Average, Nigeria, NGA
233.686, 1905, Aug Average, Nigeria, NGA
