Rainfall - (MM), Year, Statistics, Country, ISO3
52.2173, 1901, Jan Average, Nicaragua, NIC
54.7575, 1901, Feb Average, Nicaragua, NIC
71.908, 1901, Mar Average, Nicaragua, NIC
13.9926, 1901, Apr Average, Nicaragua, NIC
140.815, 1901, May Average, Nicaragua, NIC
343.682, 1901, Jun Average, Nicaragua, NIC
565.21, 1901, Jul Average, Nicaragua, NIC
334.977, 1901, Aug Average, Nicaragua, NIC
349.144, 1901, Sep Average, Nicaragua, NIC
422.903, 1901, Oct Average, Nicaragua, NIC
248.225, 1901, Nov Average, Nicaragua, NIC
111.466, 1901, Dec Average, Nicaragua, NIC
61.5732, 1902, Jan Average, Nicaragua, NIC
95.5425, 1902, Feb Average, Nicaragua, NIC
73.4427, 1902, Mar Average, Nicaragua, NIC
130.51, 1902, Apr Average, Nicaragua, NIC
272.362, 1902, May Average, Nicaragua, NIC
248.182, 1902, Jun Average, Nicaragua, NIC
286.562, 1902, Jul Average, Nicaragua, NIC
156.392, 1902, Aug Average, Nicaragua, NIC
236.696, 1902, Sep Average, Nicaragua, NIC
209.804, 1902, Oct Average, Nicaragua, NIC
150.387, 1902, Nov Average, Nicaragua, NIC
40.0387, 1902, Dec Average, Nicaragua, NIC
59.4142, 1903, Jan Average, Nicaragua, NIC
15.8364, 1903, Feb Average, Nicaragua, NIC
17.0446, 1903, Mar Average, Nicaragua, NIC
34.1689, 1903, Apr Average, Nicaragua, NIC
310.149, 1903, May Average, Nicaragua, NIC
396.126, 1903, Jun Average, Nicaragua, NIC
349.919, 1903, Jul Average, Nicaragua, NIC
374.784, 1903, Aug Average, Nicaragua, NIC
231.489, 1903, Sep Average, Nicaragua, NIC
292.484, 1903, Oct Average, Nicaragua, NIC
117.95, 1903, Nov Average, Nicaragua, NIC
450.456, 1903, Dec Average, Nicaragua, NIC
475.92, 1904, Jan Average, Nicaragua, NIC
95.5425, 1904, Feb Average, Nicaragua, NIC
149.639, 1904, Mar Average, Nicaragua, NIC
79.3183, 1904, Apr Average, Nicaragua, NIC
214.489, 1904, May Average, Nicaragua, NIC
408.597, 1904, Jun Average, Nicaragua, NIC
243.569, 1904, Jul Average, Nicaragua, NIC
207.81, 1904, Aug Average, Nicaragua, NIC
201.18, 1904, Sep Average, Nicaragua, NIC
220.401, 1904, Oct Average, Nicaragua, NIC
124.058, 1904, Nov Average, Nicaragua, NIC
154.7, 1904, Dec Average, Nicaragua, NIC
42.1583, 1905, Jan Average, Nicaragua, NIC
14.4318, 1905, Feb Average, Nicaragua, NIC
84.0996, 1905, Mar Average, Nicaragua, NIC
29.97, 1905, Apr Average, Nicaragua, NIC
240.115, 1905, May Average, Nicaragua, NIC
321.003, 1905, Jun Average, Nicaragua, NIC
724.33, 1905, Jul Average, Nicaragua, NIC
225.33, 1905, Aug Average, Nicaragua, NIC
246.014, 1905, Sep Average, Nicaragua, NIC
314.4, 1905, Oct Average, Nicaragua, NIC
130.17, 1905, Nov Average, Nicaragua, NIC
198.253, 1905, Dec Average, Nicaragua, NIC
81.7103, 1906, Jan Average, Nicaragua, NIC
35.9974, 1906, Feb Average, Nicaragua, NIC
11.9661, 1906, Mar Average, Nicaragua, NIC
103.269, 1906, Apr Average, Nicaragua, NIC
152.206, 1906, May Average, Nicaragua, NIC
529.68, 1906, Jun Average, Nicaragua, NIC
389.993, 1906, Jul Average, Nicaragua, NIC
236.635, 1906, Aug Average, Nicaragua, NIC
207.501, 1906, Sep Average, Nicaragua, NIC
271.927, 1906, Oct Average, Nicaragua, NIC
108.402, 1906, Nov Average, Nicaragua, NIC
90.7909, 1906, Dec Average, Nicaragua, NIC
24.163, 1907, Jan Average, Nicaragua, NIC
21.4672, 1907, Feb Average, Nicaragua, NIC
14.5008, 1907, Mar Average, Nicaragua, NIC
13.3211, 1907, Apr Average, Nicaragua, NIC
121.078, 1907, May Average, Nicaragua, NIC
342.288, 1907, Jun Average, Nicaragua, NIC
335.335, 1907, Jul Average, Nicaragua, NIC
167.444, 1907, Aug Average, Nicaragua, NIC
197.309, 1907, Sep Average, Nicaragua, NIC
253.257, 1907, Oct Average, Nicaragua, NIC
157.273, 1907, Nov Average, Nicaragua, NIC
111.787, 1907, Dec Average, Nicaragua, NIC
24.163, 1908, Jan Average, Nicaragua, NIC
14.4318, 1908, Feb Average, Nicaragua, NIC
24.9114, 1908, Mar Average, Nicaragua, NIC
51.486, 1908, Apr Average, Nicaragua, NIC
271.809, 1908, May Average, Nicaragua, NIC
456.318, 1908, Jun Average, Nicaragua, NIC
380.897, 1908, Jul Average, Nicaragua, NIC
211.442, 1908, Aug Average, Nicaragua, NIC
223.135, 1908, Sep Average, Nicaragua, NIC
400.101, 1908, Oct Average, Nicaragua, NIC
136.938, 1908, Nov Average, Nicaragua, NIC
149.252, 1908, Dec Average, Nicaragua, NIC
150.773, 1909, Jan Average, Nicaragua, NIC
38.3421, 1909, Feb Average, Nicaragua, NIC
9.93095, 1909, Mar Average, Nicaragua, NIC
94.277, 1909, Apr Average, Nicaragua, NIC
188.263, 1909, May Average, Nicaragua, NIC
291.934, 1909, Jun Average, Nicaragua, NIC
551.278, 1909, Jul Average, Nicaragua, NIC
401.559, 1909, Aug Average, Nicaragua, NIC
295.629, 1909, Sep Average, Nicaragua, NIC
276.919, 1909, Oct Average, Nicaragua, NIC
173.934, 1909, Nov Average, Nicaragua, NIC
278.138, 1909, Dec Average, Nicaragua, NIC
232.056, 1910, Jan Average, Nicaragua, NIC
14.4318, 1910, Feb Average, Nicaragua, NIC
44.477, 1910, Mar Average, Nicaragua, NIC
37.1105, 1910, Apr Average, Nicaragua, NIC
136.054, 1910, May Average, Nicaragua, NIC
237.286, 1910, Jun Average, Nicaragua, NIC
439.149, 1910, Jul Average, Nicaragua, NIC
217.058, 1910, Aug Average, Nicaragua, NIC
295.838, 1910, Sep Average, Nicaragua, NIC
279.278, 1910, Oct Average, Nicaragua, NIC
154.706, 1910, Nov Average, Nicaragua, NIC
122.738, 1910, Dec Average, Nicaragua, NIC
24.163, 1911, Jan Average, Nicaragua, NIC
14.4318, 1911, Feb Average, Nicaragua, NIC
9.93095, 1911, Mar Average, Nicaragua, NIC
92.7696, 1911, Apr Average, Nicaragua, NIC
344.152, 1911, May Average, Nicaragua, NIC
386.423, 1911, Jun Average, Nicaragua, NIC
240.494, 1911, Jul Average, Nicaragua, NIC
213.812, 1911, Aug Average, Nicaragua, NIC
161.185, 1911, Sep Average, Nicaragua, NIC
248.543, 1911, Oct Average, Nicaragua, NIC
150.265, 1911, Nov Average, Nicaragua, NIC
132.154, 1911, Dec Average, Nicaragua, NIC
24.163, 1912, Jan Average, Nicaragua, NIC
14.4318, 1912, Feb Average, Nicaragua, NIC
9.93095, 1912, Mar Average, Nicaragua, NIC
28.0351, 1912, Apr Average, Nicaragua, NIC
195.117, 1912, May Average, Nicaragua, NIC
305.421, 1912, Jun Average, Nicaragua, NIC
216.04, 1912, Jul Average, Nicaragua, NIC
266.014, 1912, Aug Average, Nicaragua, NIC
337.264, 1912, Sep Average, Nicaragua, NIC
280.518, 1912, Oct Average, Nicaragua, NIC
215.804, 1912, Nov Average, Nicaragua, NIC
97.0665, 1912, Dec Average, Nicaragua, NIC
121.273, 1913, Jan Average, Nicaragua, NIC
15.3735, 1913, Feb Average, Nicaragua, NIC
35.8379, 1913, Mar Average, Nicaragua, NIC
64.269, 1913, Apr Average, Nicaragua, NIC
181.814, 1913, May Average, Nicaragua, NIC
297.151, 1913, Jun Average, Nicaragua, NIC
377.453, 1913, Jul Average, Nicaragua, NIC
366.244, 1913, Aug Average, Nicaragua, NIC
244.852, 1913, Sep Average, Nicaragua, NIC
288.513, 1913, Oct Average, Nicaragua, NIC
219.248, 1913, Nov Average, Nicaragua, NIC
160.026, 1913, Dec Average, Nicaragua, NIC
74.5212, 1914, Jan Average, Nicaragua, NIC
21.4672, 1914, Feb Average, Nicaragua, NIC
10.9442, 1914, Mar Average, Nicaragua, NIC
61.071, 1914, Apr Average, Nicaragua, NIC
146.129, 1914, May Average, Nicaragua, NIC
191.231, 1914, Jun Average, Nicaragua, NIC
134.136, 1914, Jul Average, Nicaragua, NIC
152.039, 1914, Aug Average, Nicaragua, NIC
227.418, 1914, Sep Average, Nicaragua, NIC
303.596, 1914, Oct Average, Nicaragua, NIC
238.126, 1914, Nov Average, Nicaragua, NIC
78.5699, 1914, Dec Average, Nicaragua, NIC
27.7585, 1915, Jan Average, Nicaragua, NIC
35.9974, 1915, Feb Average, Nicaragua, NIC
149.388, 1915, Mar Average, Nicaragua, NIC
33.9211, 1915, Apr Average, Nicaragua, NIC
229.75, 1915, May Average, Nicaragua, NIC
353.672, 1915, Jun Average, Nicaragua, NIC
356.207, 1915, Jul Average, Nicaragua, NIC
290.735, 1915, Aug Average, Nicaragua, NIC
311.656, 1915, Sep Average, Nicaragua, NIC
342.338, 1915, Oct Average, Nicaragua, NIC
289.432, 1915, Nov Average, Nicaragua, NIC
222.058, 1915, Dec Average, Nicaragua, NIC
204.732, 1916, Jan Average, Nicaragua, NIC
17.7127, 1916, Feb Average, Nicaragua, NIC
30.7603, 1916, Mar Average, Nicaragua, NIC
78.8093, 1916, Apr Average, Nicaragua, NIC
262.837, 1916, May Average, Nicaragua, NIC
306.434, 1916, Jun Average, Nicaragua, NIC
504.941, 1916, Jul Average, Nicaragua, NIC
459.765, 1916, Aug Average, Nicaragua, NIC
190.979, 1916, Sep Average, Nicaragua, NIC
230.013, 1916, Oct Average, Nicaragua, NIC
431.48, 1916, Nov Average, Nicaragua, NIC
174.131, 1916, Dec Average, Nicaragua, NIC
136.39, 1917, Jan Average, Nicaragua, NIC
14.8987, 1917, Feb Average, Nicaragua, NIC
11.7111, 1917, Mar Average, Nicaragua, NIC
58.9703, 1917, Apr Average, Nicaragua, NIC
293.436, 1917, May Average, Nicaragua, NIC
373.002, 1917, Jun Average, Nicaragua, NIC
485.857, 1917, Jul Average, Nicaragua, NIC
302.346, 1917, Aug Average, Nicaragua, NIC
275.101, 1917, Sep Average, Nicaragua, NIC
393.944, 1917, Oct Average, Nicaragua, NIC
141.834, 1917, Nov Average, Nicaragua, NIC
189.796, 1917, Dec Average, Nicaragua, NIC
39.986, 1918, Jan Average, Nicaragua, NIC
15.8364, 1918, Feb Average, Nicaragua, NIC
41.4353, 1918, Mar Average, Nicaragua, NIC
107.895, 1918, Apr Average, Nicaragua, NIC
166.151, 1918, May Average, Nicaragua, NIC
331.087, 1918, Jun Average, Nicaragua, NIC
246.006, 1918, Jul Average, Nicaragua, NIC
193.285, 1918, Aug Average, Nicaragua, NIC
338.737, 1918, Sep Average, Nicaragua, NIC
223.69, 1918, Oct Average, Nicaragua, NIC
91.296, 1918, Nov Average, Nicaragua, NIC
37.2193, 1918, Dec Average, Nicaragua, NIC
24.163, 1919, Jan Average, Nicaragua, NIC
14.4318, 1919, Feb Average, Nicaragua, NIC
9.93095, 1919, Mar Average, Nicaragua, NIC
103.436, 1919, Apr Average, Nicaragua, NIC
202.037, 1919, May Average, Nicaragua, NIC
