Rainfall - (MM), Year, Statistics, Country, ISO3
38.685, 1901, Jan Average, Netherlands, NLD
31.1014, 1901, Feb Average, Netherlands, NLD
58.381, 1901, Mar Average, Netherlands, NLD
67.4936, 1901, Apr Average, Netherlands, NLD
28.1055, 1901, May Average, Netherlands, NLD
62.8613, 1901, Jun Average, Netherlands, NLD
60.758, 1901, Jul Average, Netherlands, NLD
64.9466, 1901, Aug Average, Netherlands, NLD
70.676, 1901, Sep Average, Netherlands, NLD
78.1914, 1901, Oct Average, Netherlands, NLD
61.8196, 1901, Nov Average, Netherlands, NLD
81.2118, 1901, Dec Average, Netherlands, NLD
50.7752, 1902, Jan Average, Netherlands, NLD
28.718, 1902, Feb Average, Netherlands, NLD
44.8613, 1902, Mar Average, Netherlands, NLD
44.8495, 1902, Apr Average, Netherlands, NLD
78.1992, 1902, May Average, Netherlands, NLD
43.1284, 1902, Jun Average, Netherlands, NLD
62.7319, 1902, Jul Average, Netherlands, NLD
105.51, 1902, Aug Average, Netherlands, NLD
46.2558, 1902, Sep Average, Netherlands, NLD
50.3933, 1902, Oct Average, Netherlands, NLD
26.2997, 1902, Nov Average, Netherlands, NLD
65.4803, 1902, Dec Average, Netherlands, NLD
46.5483, 1903, Jan Average, Netherlands, NLD
33.8479, 1903, Feb Average, Netherlands, NLD
55.7384, 1903, Mar Average, Netherlands, NLD
104.631, 1903, Apr Average, Netherlands, NLD
51.5124, 1903, May Average, Netherlands, NLD
71.6893, 1903, Jun Average, Netherlands, NLD
100.858, 1903, Jul Average, Netherlands, NLD
85.9635, 1903, Aug Average, Netherlands, NLD
88.6587, 1903, Sep Average, Netherlands, NLD
108.749, 1903, Oct Average, Netherlands, NLD
74.0495, 1903, Nov Average, Netherlands, NLD
25.9061, 1903, Dec Average, Netherlands, NLD
52.2054, 1904, Jan Average, Netherlands, NLD
65.3689, 1904, Feb Average, Netherlands, NLD
44.2378, 1904, Mar Average, Netherlands, NLD
26.8886, 1904, Apr Average, Netherlands, NLD
54.3445, 1904, May Average, Netherlands, NLD
58.7914, 1904, Jun Average, Netherlands, NLD
39.0995, 1904, Jul Average, Netherlands, NLD
47.1384, 1904, Aug Average, Netherlands, NLD
39.0611, 1904, Sep Average, Netherlands, NLD
45.6572, 1904, Oct Average, Netherlands, NLD
66.009, 1904, Nov Average, Netherlands, NLD
68.0693, 1904, Dec Average, Netherlands, NLD
39.2121, 1905, Jan Average, Netherlands, NLD
34.3351, 1905, Feb Average, Netherlands, NLD
75.5287, 1905, Mar Average, Netherlands, NLD
52.3458, 1905, Apr Average, Netherlands, NLD
36.8028, 1905, May Average, Netherlands, NLD
72.6568, 1905, Jun Average, Netherlands, NLD
59.1173, 1905, Jul Average, Netherlands, NLD
98.7193, 1905, Aug Average, Netherlands, NLD
61.8897, 1905, Sep Average, Netherlands, NLD
125.365, 1905, Oct Average, Netherlands, NLD
56.4655, 1905, Nov Average, Netherlands, NLD
31.2412, 1905, Dec Average, Netherlands, NLD
105.364, 1906, Jan Average, Netherlands, NLD
57.9394, 1906, Feb Average, Netherlands, NLD
59.13, 1906, Mar Average, Netherlands, NLD
26.998, 1906, Apr Average, Netherlands, NLD
84.9202, 1906, May Average, Netherlands, NLD
43.8877, 1906, Jun Average, Netherlands, NLD
64.2077, 1906, Jul Average, Netherlands, NLD
65.7983, 1906, Aug Average, Netherlands, NLD
34.5108, 1906, Sep Average, Netherlands, NLD
63.0007, 1906, Oct Average, Netherlands, NLD
72.5731, 1906, Nov Average, Netherlands, NLD
73.8908, 1906, Dec Average, Netherlands, NLD
46.4012, 1907, Jan Average, Netherlands, NLD
37.7719, 1907, Feb Average, Netherlands, NLD
45.8612, 1907, Mar Average, Netherlands, NLD
39.7041, 1907, Apr Average, Netherlands, NLD
63.4298, 1907, May Average, Netherlands, NLD
83.7305, 1907, Jun Average, Netherlands, NLD
44.8055, 1907, Jul Average, Netherlands, NLD
49.1884, 1907, Aug Average, Netherlands, NLD
26.3799, 1907, Sep Average, Netherlands, NLD
68.4786, 1907, Oct Average, Netherlands, NLD
40.4245, 1907, Nov Average, Netherlands, NLD
69.049, 1907, Dec Average, Netherlands, NLD
47.6516, 1908, Jan Average, Netherlands, NLD
61.4759, 1908, Feb Average, Netherlands, NLD
47.454, 1908, Mar Average, Netherlands, NLD
43.1907, 1908, Apr Average, Netherlands, NLD
60.0056, 1908, May Average, Netherlands, NLD
55.358, 1908, Jun Average, Netherlands, NLD
78.8931, 1908, Jul Average, Netherlands, NLD
88.0299, 1908, Aug Average, Netherlands, NLD
52.8919, 1908, Sep Average, Netherlands, NLD
9.1612, 1908, Oct Average, Netherlands, NLD
55.7487, 1908, Nov Average, Netherlands, NLD
33.9701, 1908, Dec Average, Netherlands, NLD
33.4224, 1909, Jan Average, Netherlands, NLD
35.5097, 1909, Feb Average, Netherlands, NLD
59.413, 1909, Mar Average, Netherlands, NLD
62.1817, 1909, Apr Average, Netherlands, NLD
32.8288, 1909, May Average, Netherlands, NLD
58.5855, 1909, Jun Average, Netherlands, NLD
105.585, 1909, Jul Average, Netherlands, NLD
85.7993, 1909, Aug Average, Netherlands, NLD
65.8935, 1909, Sep Average, Netherlands, NLD
75.7976, 1909, Oct Average, Netherlands, NLD
51.3454, 1909, Nov Average, Netherlands, NLD
104.926, 1909, Dec Average, Netherlands, NLD
70.6114, 1910, Jan Average, Netherlands, NLD
74.5569, 1910, Feb Average, Netherlands, NLD
30.3773, 1910, Mar Average, Netherlands, NLD
46.7082, 1910, Apr Average, Netherlands, NLD
56.2288, 1910, May Average, Netherlands, NLD
71.6863, 1910, Jun Average, Netherlands, NLD
119.518, 1910, Jul Average, Netherlands, NLD
47.6417, 1910, Aug Average, Netherlands, NLD
73.3031, 1910, Sep Average, Netherlands, NLD
28.8621, 1910, Oct Average, Netherlands, NLD
105.767, 1910, Nov Average, Netherlands, NLD
70.0271, 1910, Dec Average, Netherlands, NLD
32.3278, 1911, Jan Average, Netherlands, NLD
47.5525, 1911, Feb Average, Netherlands, NLD
59.6271, 1911, Mar Average, Netherlands, NLD
28.099, 1911, Apr Average, Netherlands, NLD
31.1365, 1911, May Average, Netherlands, NLD
75.16, 1911, Jun Average, Netherlands, NLD
19.0191, 1911, Jul Average, Netherlands, NLD
15.4446, 1911, Aug Average, Netherlands, NLD
56.1406, 1911, Sep Average, Netherlands, NLD
92.5037, 1911, Oct Average, Netherlands, NLD
72.1621, 1911, Nov Average, Netherlands, NLD
73.9936, 1911, Dec Average, Netherlands, NLD
56.2305, 1912, Jan Average, Netherlands, NLD
45.4022, 1912, Feb Average, Netherlands, NLD
73.8881, 1912, Mar Average, Netherlands, NLD
25.5739, 1912, Apr Average, Netherlands, NLD
44.2193, 1912, May Average, Netherlands, NLD
88.7746, 1912, Jun Average, Netherlands, NLD
49.6516, 1912, Jul Average, Netherlands, NLD
147.605, 1912, Aug Average, Netherlands, NLD
93.787, 1912, Sep Average, Netherlands, NLD
68.2338, 1912, Oct Average, Netherlands, NLD
84.6847, 1912, Nov Average, Netherlands, NLD
72.0264, 1912, Dec Average, Netherlands, NLD
65.219, 1913, Jan Average, Netherlands, NLD
25.8759, 1913, Feb Average, Netherlands, NLD
65.9095, 1913, Mar Average, Netherlands, NLD
35.8948, 1913, Apr Average, Netherlands, NLD
