Rainfall - (MM), Year, Statistics, Country, ISO3
80.9998, 1901, Jan Average, Norway, NOR
55.0161, 1901, Feb Average, Norway, NOR
58.4559, 1901, Mar Average, Norway, NOR
36.5333, 1901, Apr Average, Norway, NOR
45.303, 1901, May Average, Norway, NOR
63.5989, 1901, Jun Average, Norway, NOR
39.1038, 1901, Jul Average, Norway, NOR
117.19, 1901, Aug Average, Norway, NOR
47.003, 1901, Sep Average, Norway, NOR
123.415, 1901, Oct Average, Norway, NOR
112.301, 1901, Nov Average, Norway, NOR
69.81, 1901, Dec Average, Norway, NOR
142.318, 1902, Jan Average, Norway, NOR
58.2956, 1902, Feb Average, Norway, NOR
61.6915, 1902, Mar Average, Norway, NOR
19.82, 1902, Apr Average, Norway, NOR
41.4831, 1902, May Average, Norway, NOR
30.866, 1902, Jun Average, Norway, NOR
83.4026, 1902, Jul Average, Norway, NOR
110.644, 1902, Aug Average, Norway, NOR
89.0633, 1902, Sep Average, Norway, NOR
97.1482, 1902, Oct Average, Norway, NOR
59.7284, 1902, Nov Average, Norway, NOR
79.4024, 1902, Dec Average, Norway, NOR
72.7002, 1903, Jan Average, Norway, NOR
124.999, 1903, Feb Average, Norway, NOR
96.0228, 1903, Mar Average, Norway, NOR
51.3553, 1903, Apr Average, Norway, NOR
52.3657, 1903, May Average, Norway, NOR
56.5728, 1903, Jun Average, Norway, NOR
79.9217, 1903, Jul Average, Norway, NOR
124.82, 1903, Aug Average, Norway, NOR
69.0738, 1903, Sep Average, Norway, NOR
93.5773, 1903, Oct Average, Norway, NOR
104.974, 1903, Nov Average, Norway, NOR
61.7494, 1903, Dec Average, Norway, NOR
74.4052, 1904, Jan Average, Norway, NOR
34.1715, 1904, Feb Average, Norway, NOR
47.4513, 1904, Mar Average, Norway, NOR
52.0197, 1904, Apr Average, Norway, NOR
48.7283, 1904, May Average, Norway, NOR
56.5987, 1904, Jun Average, Norway, NOR
63.4358, 1904, Jul Average, Norway, NOR
77.7298, 1904, Aug Average, Norway, NOR
53.2117, 1904, Sep Average, Norway, NOR
89.9802, 1904, Oct Average, Norway, NOR
83.8728, 1904, Nov Average, Norway, NOR
101.593, 1904, Dec Average, Norway, NOR
127.594, 1905, Jan Average, Norway, NOR
101.954, 1905, Feb Average, Norway, NOR
41.7391, 1905, Mar Average, Norway, NOR
51.1598, 1905, Apr Average, Norway, NOR
53.5028, 1905, May Average, Norway, NOR
54.5676, 1905, Jun Average, Norway, NOR
97.3178, 1905, Jul Average, Norway, NOR
82.1698, 1905, Aug Average, Norway, NOR
106.51, 1905, Sep Average, Norway, NOR
78.8234, 1905, Oct Average, Norway, NOR
70.6141, 1905, Nov Average, Norway, NOR
111.629, 1905, Dec Average, Norway, NOR
89.8422, 1906, Jan Average, Norway, NOR
58.5106, 1906, Feb Average, Norway, NOR
105.623, 1906, Mar Average, Norway, NOR
56.5774, 1906, Apr Average, Norway, NOR
75.594, 1906, May Average, Norway, NOR
47.0192, 1906, Jun Average, Norway, NOR
77.3934, 1906, Jul Average, Norway, NOR
115.676, 1906, Aug Average, Norway, NOR
77.2926, 1906, Sep Average, Norway, NOR
84.7314, 1906, Oct Average, Norway, NOR
97.2749, 1906, Nov Average, Norway, NOR
79.531, 1906, Dec Average, Norway, NOR
116.845, 1907, Jan Average, Norway, NOR
85.3865, 1907, Feb Average, Norway, NOR
73.8834, 1907, Mar Average, Norway, NOR
34.4085, 1907, Apr Average, Norway, NOR
52.2295, 1907, May Average, Norway, NOR
77.2755, 1907, Jun Average, Norway, NOR
85.693, 1907, Jul Average, Norway, NOR
101.27, 1907, Aug Average, Norway, NOR
111.275, 1907, Sep Average, Norway, NOR
94.6783, 1907, Oct Average, Norway, NOR
50.4305, 1907, Nov Average, Norway, NOR
65.3625, 1907, Dec Average, Norway, NOR
114.176, 1908, Jan Average, Norway, NOR
97.8094, 1908, Feb Average, Norway, NOR
35.696, 1908, Mar Average, Norway, NOR
37.1323, 1908, Apr Average, Norway, NOR
49.4391, 1908, May Average, Norway, NOR
57.8969, 1908, Jun Average, Norway, NOR
86.6967, 1908, Jul Average, Norway, NOR
81.6094, 1908, Aug Average, Norway, NOR
74.3572, 1908, Sep Average, Norway, NOR
86.7455, 1908, Oct Average, Norway, NOR
95.612, 1908, Nov Average, Norway, NOR
79.597, 1908, Dec Average, Norway, NOR
114.106, 1909, Jan Average, Norway, NOR
51.2942, 1909, Feb Average, Norway, NOR
39.7616, 1909, Mar Average, Norway, NOR
45.353, 1909, Apr Average, Norway, NOR
49.3351, 1909, May Average, Norway, NOR
48.7789, 1909, Jun Average, Norway, NOR
87.5777, 1909, Jul Average, Norway, NOR
149.1, 1909, Aug Average, Norway, NOR
83.9436, 1909, Sep Average, Norway, NOR
141.864, 1909, Oct Average, Norway, NOR
86.7247, 1909, Nov Average, Norway, NOR
102.661, 1909, Dec Average, Norway, NOR
102.887, 1910, Jan Average, Norway, NOR
63.0194, 1910, Feb Average, Norway, NOR
60.0016, 1910, Mar Average, Norway, NOR
78.0355, 1910, Apr Average, Norway, NOR
50.8849, 1910, May Average, Norway, NOR
66.6132, 1910, Jun Average, Norway, NOR
61.658, 1910, Jul Average, Norway, NOR
65.54, 1910, Aug Average, Norway, NOR
90.3792, 1910, Sep Average, Norway, NOR
90.8851, 1910, Oct Average, Norway, NOR
69.582, 1910, Nov Average, Norway, NOR
71.4196, 1910, Dec Average, Norway, NOR
112.551, 1911, Jan Average, Norway, NOR
89.8762, 1911, Feb Average, Norway, NOR
54.7509, 1911, Mar Average, Norway, NOR
72.5222, 1911, Apr Average, Norway, NOR
24.4913, 1911, May Average, Norway, NOR
68.8569, 1911, Jun Average, Norway, NOR
69.9493, 1911, Jul Average, Norway, NOR
68.7498, 1911, Aug Average, Norway, NOR
115.402, 1911, Sep Average, Norway, NOR
97.8981, 1911, Oct Average, Norway, NOR
71.8033, 1911, Nov Average, Norway, NOR
65.3501, 1911, Dec Average, Norway, NOR
59.1726, 1912, Jan Average, Norway, NOR
47.674, 1912, Feb Average, Norway, NOR
56.1399, 1912, Mar Average, Norway, NOR
44.1989, 1912, Apr Average, Norway, NOR
57.8593, 1912, May Average, Norway, NOR
62.11, 1912, Jun Average, Norway, NOR
45.9729, 1912, Jul Average, Norway, NOR
118.498, 1912, Aug Average, Norway, NOR
94.77, 1912, Sep Average, Norway, NOR
76.5821, 1912, Oct Average, Norway, NOR
107.354, 1912, Nov Average, Norway, NOR
108.37, 1912, Dec Average, Norway, NOR
51.1241, 1913, Jan Average, Norway, NOR
80.109, 1913, Feb Average, Norway, NOR
89.1579, 1913, Mar Average, Norway, NOR
48.7083, 1913, Apr Average, Norway, NOR
50.7951, 1913, May Average, Norway, NOR
52.9021, 1913, Jun Average, Norway, NOR
74.9538, 1913, Jul Average, Norway, NOR
74.1695, 1913, Aug Average, Norway, NOR
52.7861, 1913, Sep Average, Norway, NOR
99.3322, 1913, Oct Average, Norway, NOR
110.809, 1913, Nov Average, Norway, NOR
128.768, 1913, Dec Average, Norway, NOR
122.293, 1914, Jan Average, Norway, NOR
79.11, 1914, Feb Average, Norway, NOR
61.0409, 1914, Mar Average, Norway, NOR
85.4556, 1914, Apr Average, Norway, NOR
60.7568, 1914, May Average, Norway, NOR
56.3371, 1914, Jun Average, Norway, NOR
51.8917, 1914, Jul Average, Norway, NOR
70.3007, 1914, Aug Average, Norway, NOR
124.217, 1914, Sep Average, Norway, NOR
51.833, 1914, Oct Average, Norway, NOR
78.9669, 1914, Nov Average, Norway, NOR
97.0094, 1914, Dec Average, Norway, NOR
68.169, 1915, Jan Average, Norway, NOR
47.697, 1915, Feb Average, Norway, NOR
60.2391, 1915, Mar Average, Norway, NOR
65.4484, 1915, Apr Average, Norway, NOR
53.7471, 1915, May Average, Norway, NOR
47.7963, 1915, Jun Average, Norway, NOR
122.58, 1915, Jul Average, Norway, NOR
89.6442, 1915, Aug Average, Norway, NOR
73.5672, 1915, Sep Average, Norway, NOR
22.812, 1915, Oct Average, Norway, NOR
98.3422, 1915, Nov Average, Norway, NOR
50.5289, 1915, Dec Average, Norway, NOR
131.605, 1916, Jan Average, Norway, NOR
50.4499, 1916, Feb Average, Norway, NOR
43.5629, 1916, Mar Average, Norway, NOR
45.4203, 1916, Apr Average, Norway, NOR
50.1937, 1916, May Average, Norway, NOR
65.5873, 1916, Jun Average, Norway, NOR
83.5759, 1916, Jul Average, Norway, NOR
66.4083, 1916, Aug Average, Norway, NOR
99.5789, 1916, Sep Average, Norway, NOR
114.213, 1916, Oct Average, Norway, NOR
120.432, 1916, Nov Average, Norway, NOR
65.9037, 1916, Dec Average, Norway, NOR
37.3348, 1917, Jan Average, Norway, NOR
70.2354, 1917, Feb Average, Norway, NOR
46.6998, 1917, Mar Average, Norway, NOR
51.403, 1917, Apr Average, Norway, NOR
52.2884, 1917, May Average, Norway, NOR
79.4351, 1917, Jun Average, Norway, NOR
59.2218, 1917, Jul Average, Norway, NOR
104.156, 1917, Aug Average, Norway, NOR
146.014, 1917, Sep Average, Norway, NOR
97.22, 1917, Oct Average, Norway, NOR
114.119, 1917, Nov Average, Norway, NOR
105.232, 1917, Dec Average, Norway, NOR
108.085, 1918, Jan Average, Norway, NOR
68.2244, 1918, Feb Average, Norway, NOR
55.8159, 1918, Mar Average, Norway, NOR
21.1206, 1918, Apr Average, Norway, NOR
42.9093, 1918, May Average, Norway, NOR
90.8343, 1918, Jun Average, Norway, NOR
67.5299, 1918, Jul Average, Norway, NOR
86.9039, 1918, Aug Average, Norway, NOR
130.007, 1918, Sep Average, Norway, NOR
87.3318, 1918, Oct Average, Norway, NOR
85.0313, 1918, Nov Average, Norway, NOR
60.8503, 1918, Dec Average, Norway, NOR
52.4906, 1919, Jan Average, Norway, NOR
48.1003, 1919, Feb Average, Norway, NOR
55.6261, 1919, Mar Average, Norway, NOR
72.8186, 1919, Apr Average, Norway, NOR
19.3356, 1919, May Average, Norway, NOR
77.1927, 1919, Jun Average, Norway, NOR
48.9922, 1919, Jul Average, Norway, NOR
105.633, 1919, Aug Average, Norway, NOR
163.529, 1919, Sep Average, Norway, NOR
76.7312, 1919, Oct Average, Norway, NOR
48.0153, 1919, Nov Average, Norway, NOR
40.9852, 1919, Dec Average, Norway, NOR
108.367, 1920, Jan Average, Norway, NOR
114.322, 1920, Feb Average, Norway, NOR
107.723, 1920, Mar Average, Norway, NOR
56.7773, 1920, Apr Average, Norway, NOR
66.1198, 1920, May Average, Norway, NOR
61.5607, 1920, Jun Average, Norway, NOR
126.567, 1920, Jul Average, Norway, NOR
104.054, 1920, Aug Average, Norway, NOR
83.3252, 1920, Sep Average, Norway, NOR
