Rainfall - (MM), Year, Statistics, Country, ISO3
67.7564, 1901, Jan Average, Nepal, NPL
33.2029, 1901, Feb Average, Nepal, NPL
36.1449, 1901, Mar Average, Nepal, NPL
5.62341, 1901, Apr Average, Nepal, NPL
129.396, 1901, May Average, Nepal, NPL
130.646, 1901, Jun Average, Nepal, NPL
236.364, 1901, Jul Average, Nepal, NPL
403.27, 1901, Aug Average, Nepal, NPL
138.641, 1901, Sep Average, Nepal, NPL
7.81165, 1901, Oct Average, Nepal, NPL
6.16747, 1901, Nov Average, Nepal, NPL
8.33715, 1901, Dec Average, Nepal, NPL
2.39998, 1902, Jan Average, Nepal, NPL
4.40933, 1902, Feb Average, Nepal, NPL
64.3459, 1902, Mar Average, Nepal, NPL
66.6599, 1902, Apr Average, Nepal, NPL
91.2047, 1902, May Average, Nepal, NPL
135.259, 1902, Jun Average, Nepal, NPL
397.991, 1902, Jul Average, Nepal, NPL
251.943, 1902, Aug Average, Nepal, NPL
352.086, 1902, Sep Average, Nepal, NPL
32.4947, 1902, Oct Average, Nepal, NPL
0.5778, 1902, Nov Average, Nepal, NPL
0.01857, 1902, Dec Average, Nepal, NPL
16.6495, 1903, Jan Average, Nepal, NPL
5.58102, 1903, Feb Average, Nepal, NPL
25.3259, 1903, Mar Average, Nepal, NPL
11.3717, 1903, Apr Average, Nepal, NPL
27.0122, 1903, May Average, Nepal, NPL
216.06, 1903, Jun Average, Nepal, NPL
152.506, 1903, Jul Average, Nepal, NPL
292.379, 1903, Aug Average, Nepal, NPL
161.843, 1903, Sep Average, Nepal, NPL
127.024, 1903, Oct Average, Nepal, NPL
0.38536, 1903, Nov Average, Nepal, NPL
1.59363, 1903, Dec Average, Nepal, NPL
9.29696, 1904, Jan Average, Nepal, NPL
6.89835, 1904, Feb Average, Nepal, NPL
28.9924, 1904, Mar Average, Nepal, NPL
6.28594, 1904, Apr Average, Nepal, NPL
146.818, 1904, May Average, Nepal, NPL
196.147, 1904, Jun Average, Nepal, NPL
345.973, 1904, Jul Average, Nepal, NPL
533.163, 1904, Aug Average, Nepal, NPL
131.615, 1904, Sep Average, Nepal, NPL
86.5318, 1904, Oct Average, Nepal, NPL
13.7588, 1904, Nov Average, Nepal, NPL
14.528, 1904, Dec Average, Nepal, NPL
48.4625, 1905, Jan Average, Nepal, NPL
50.8713, 1905, Feb Average, Nepal, NPL
95.8957, 1905, Mar Average, Nepal, NPL
43.6693, 1905, Apr Average, Nepal, NPL
90.4579, 1905, May Average, Nepal, NPL
50.4223, 1905, Jun Average, Nepal, NPL
386.946, 1905, Jul Average, Nepal, NPL
512.981, 1905, Aug Average, Nepal, NPL
283.996, 1905, Sep Average, Nepal, NPL
4.67483, 1905, Oct Average, Nepal, NPL
0.09864, 1905, Nov Average, Nepal, NPL
9.83713, 1905, Dec Average, Nepal, NPL
16.8906, 1906, Jan Average, Nepal, NPL
103.727, 1906, Feb Average, Nepal, NPL
24.5843, 1906, Mar Average, Nepal, NPL
5.83459, 1906, Apr Average, Nepal, NPL
53.117, 1906, May Average, Nepal, NPL
216.005, 1906, Jun Average, Nepal, NPL
352.822, 1906, Jul Average, Nepal, NPL
447.528, 1906, Aug Average, Nepal, NPL
152.476, 1906, Sep Average, Nepal, NPL
23.4133, 1906, Oct Average, Nepal, NPL
0.72747, 1906, Nov Average, Nepal, NPL
2.11895, 1906, Dec Average, Nepal, NPL
8.1898, 1907, Jan Average, Nepal, NPL
87.4712, 1907, Feb Average, Nepal, NPL
110.002, 1907, Mar Average, Nepal, NPL
111.007, 1907, Apr Average, Nepal, NPL
30.9931, 1907, May Average, Nepal, NPL
266.823, 1907, Jun Average, Nepal, NPL
233.752, 1907, Jul Average, Nepal, NPL
241.697, 1907, Aug Average, Nepal, NPL
171.116, 1907, Sep Average, Nepal, NPL
1.48568, 1907, Oct Average, Nepal, NPL
0.08087, 1907, Nov Average, Nepal, NPL
0.90805, 1907, Dec Average, Nepal, NPL
26.6443, 1908, Jan Average, Nepal, NPL
52.8837, 1908, Feb Average, Nepal, NPL
12.2352, 1908, Mar Average, Nepal, NPL
7.89168, 1908, Apr Average, Nepal, NPL
38.2577, 1908, May Average, Nepal, NPL
133.943, 1908, Jun Average, Nepal, NPL
290.405, 1908, Jul Average, Nepal, NPL
262.043, 1908, Aug Average, Nepal, NPL
159.476, 1908, Sep Average, Nepal, NPL
8.46377, 1908, Oct Average, Nepal, NPL
0.71957, 1908, Nov Average, Nepal, NPL
2.18511, 1908, Dec Average, Nepal, NPL
21.3534, 1909, Jan Average, Nepal, NPL
17.7771, 1909, Feb Average, Nepal, NPL
0.56831, 1909, Mar Average, Nepal, NPL
196.272, 1909, Apr Average, Nepal, NPL
34.2481, 1909, May Average, Nepal, NPL
516.28, 1909, Jun Average, Nepal, NPL
443.832, 1909, Jul Average, Nepal, NPL
314.855, 1909, Aug Average, Nepal, NPL
128.685, 1909, Sep Average, Nepal, NPL
17.2223, 1909, Oct Average, Nepal, NPL
0.08649, 1909, Nov Average, Nepal, NPL
31.4735, 1909, Dec Average, Nepal, NPL
9.73789, 1910, Jan Average, Nepal, NPL
14.4146, 1910, Feb Average, Nepal, NPL
10.3073, 1910, Mar Average, Nepal, NPL
31.9742, 1910, Apr Average, Nepal, NPL
68.911, 1910, May Average, Nepal, NPL
314.341, 1910, Jun Average, Nepal, NPL
405.468, 1910, Jul Average, Nepal, NPL
300.099, 1910, Aug Average, Nepal, NPL
286.73, 1910, Sep Average, Nepal, NPL
77.8413, 1910, Oct Average, Nepal, NPL
17.3781, 1910, Nov Average, Nepal, NPL
2.22952, 1910, Dec Average, Nepal, NPL
38.064, 1911, Jan Average, Nepal, NPL
0.75472, 1911, Feb Average, Nepal, NPL
122.36, 1911, Mar Average, Nepal, NPL
48.4357, 1911, Apr Average, Nepal, NPL
52.8275, 1911, May Average, Nepal, NPL
350.202, 1911, Jun Average, Nepal, NPL
178.157, 1911, Jul Average, Nepal, NPL
374.913, 1911, Aug Average, Nepal, NPL
252.853, 1911, Sep Average, Nepal, NPL
73.4256, 1911, Oct Average, Nepal, NPL
39.9952, 1911, Nov Average, Nepal, NPL
0.70231, 1911, Dec Average, Nepal, NPL
16.4857, 1912, Jan Average, Nepal, NPL
16.3619, 1912, Feb Average, Nepal, NPL
51.9442, 1912, Mar Average, Nepal, NPL
47.9566, 1912, Apr Average, Nepal, NPL
67.9144, 1912, May Average, Nepal, NPL
159.658, 1912, Jun Average, Nepal, NPL
342.332, 1912, Jul Average, Nepal, NPL
267.218, 1912, Aug Average, Nepal, NPL
164.608, 1912, Sep Average, Nepal, NPL
6.66511, 1912, Oct Average, Nepal, NPL
66.0755, 1912, Nov Average, Nepal, NPL
4.00176, 1912, Dec Average, Nepal, NPL
2.17294, 1913, Jan Average, Nepal, NPL
78.6854, 1913, Feb Average, Nepal, NPL
68.3326, 1913, Mar Average, Nepal, NPL
11.1419, 1913, Apr Average, Nepal, NPL
162.277, 1913, May Average, Nepal, NPL
508.003, 1913, Jun Average, Nepal, NPL
215.195, 1913, Jul Average, Nepal, NPL
400.985, 1913, Aug Average, Nepal, NPL
164.007, 1913, Sep Average, Nepal, NPL
25.5032, 1913, Oct Average, Nepal, NPL
6.73828, 1913, Nov Average, Nepal, NPL
58.0431, 1913, Dec Average, Nepal, NPL
1.12379, 1914, Jan Average, Nepal, NPL
49.1324, 1914, Feb Average, Nepal, NPL
49.6162, 1914, Mar Average, Nepal, NPL
77.6448, 1914, Apr Average, Nepal, NPL
147.034, 1914, May Average, Nepal, NPL
144.593, 1914, Jun Average, Nepal, NPL
376.91, 1914, Jul Average, Nepal, NPL
605.224, 1914, Aug Average, Nepal, NPL
224.014, 1914, Sep Average, Nepal, NPL
