Rainfall - (MM), Year, Statistics, Country, ISO3
171.369, 1901, Jan Average, New Zealand, NZL
130.815, 1901, Feb Average, New Zealand, NZL
142.61, 1901, Mar Average, New Zealand, NZL
115.615, 1901, Apr Average, New Zealand, NZL
120.336, 1901, May Average, New Zealand, NZL
148.789, 1901, Jun Average, New Zealand, NZL
197.941, 1901, Jul Average, New Zealand, NZL
115.429, 1901, Aug Average, New Zealand, NZL
126.619, 1901, Sep Average, New Zealand, NZL
142.649, 1901, Oct Average, New Zealand, NZL
84.796, 1901, Nov Average, New Zealand, NZL
208.405, 1901, Dec Average, New Zealand, NZL
130.646, 1902, Jan Average, New Zealand, NZL
76.8951, 1902, Feb Average, New Zealand, NZL
160.805, 1902, Mar Average, New Zealand, NZL
140.575, 1902, Apr Average, New Zealand, NZL
164.076, 1902, May Average, New Zealand, NZL
133.78, 1902, Jun Average, New Zealand, NZL
72.5876, 1902, Jul Average, New Zealand, NZL
91.9619, 1902, Aug Average, New Zealand, NZL
171.925, 1902, Sep Average, New Zealand, NZL
126.045, 1902, Oct Average, New Zealand, NZL
95.4058, 1902, Nov Average, New Zealand, NZL
146.862, 1902, Dec Average, New Zealand, NZL
214.455, 1903, Jan Average, New Zealand, NZL
113.904, 1903, Feb Average, New Zealand, NZL
93.7612, 1903, Mar Average, New Zealand, NZL
121.482, 1903, Apr Average, New Zealand, NZL
207.947, 1903, May Average, New Zealand, NZL
88.6155, 1903, Jun Average, New Zealand, NZL
146.128, 1903, Jul Average, New Zealand, NZL
162.486, 1903, Aug Average, New Zealand, NZL
118.493, 1903, Sep Average, New Zealand, NZL
125.646, 1903, Oct Average, New Zealand, NZL
143.329, 1903, Nov Average, New Zealand, NZL
105.116, 1903, Dec Average, New Zealand, NZL
82.042, 1904, Jan Average, New Zealand, NZL
112.144, 1904, Feb Average, New Zealand, NZL
292.608, 1904, Mar Average, New Zealand, NZL
97.7505, 1904, Apr Average, New Zealand, NZL
146.89, 1904, May Average, New Zealand, NZL
211.6, 1904, Jun Average, New Zealand, NZL
112.741, 1904, Jul Average, New Zealand, NZL
154.157, 1904, Aug Average, New Zealand, NZL
218.534, 1904, Sep Average, New Zealand, NZL
247.979, 1904, Oct Average, New Zealand, NZL
126.883, 1904, Nov Average, New Zealand, NZL
225.396, 1904, Dec Average, New Zealand, NZL
96.6719, 1905, Jan Average, New Zealand, NZL
77.47, 1905, Feb Average, New Zealand, NZL
132.766, 1905, Mar Average, New Zealand, NZL
107.673, 1905, Apr Average, New Zealand, NZL
111.757, 1905, May Average, New Zealand, NZL
237.523, 1905, Jun Average, New Zealand, NZL
134.696, 1905, Jul Average, New Zealand, NZL
97.9272, 1905, Aug Average, New Zealand, NZL
243.084, 1905, Sep Average, New Zealand, NZL
213.279, 1905, Oct Average, New Zealand, NZL
132.567, 1905, Nov Average, New Zealand, NZL
123.313, 1905, Dec Average, New Zealand, NZL
152.254, 1906, Jan Average, New Zealand, NZL
166.686, 1906, Feb Average, New Zealand, NZL
127.707, 1906, Mar Average, New Zealand, NZL
139.468, 1906, Apr Average, New Zealand, NZL
195.408, 1906, May Average, New Zealand, NZL
152.173, 1906, Jun Average, New Zealand, NZL
200.095, 1906, Jul Average, New Zealand, NZL
114.679, 1906, Aug Average, New Zealand, NZL
138.655, 1906, Sep Average, New Zealand, NZL
80.6077, 1906, Oct Average, New Zealand, NZL
163.193, 1906, Nov Average, New Zealand, NZL
67.0455, 1906, Dec Average, New Zealand, NZL
126.215, 1907, Jan Average, New Zealand, NZL
140.882, 1907, Feb Average, New Zealand, NZL
120.251, 1907, Mar Average, New Zealand, NZL
122.222, 1907, Apr Average, New Zealand, NZL
147.491, 1907, May Average, New Zealand, NZL
87.4266, 1907, Jun Average, New Zealand, NZL
133.506, 1907, Jul Average, New Zealand, NZL
150.222, 1907, Aug Average, New Zealand, NZL
214.125, 1907, Sep Average, New Zealand, NZL
188.26, 1907, Oct Average, New Zealand, NZL
