Rainfall - (MM), Year, Statistics, Country, ISO3
1.45488, 1901, Jan Average, Oman, OMN
10.0936, 1901, Feb Average, Oman, OMN
27.345, 1901, Mar Average, Oman, OMN
7.64297, 1901, Apr Average, Oman, OMN
6.09534, 1901, May Average, Oman, OMN
5.40132, 1901, Jun Average, Oman, OMN
8.38219, 1901, Jul Average, Oman, OMN
7.84949, 1901, Aug Average, Oman, OMN
3.79056, 1901, Sep Average, Oman, OMN
2.25051, 1901, Oct Average, Oman, OMN
2.78187, 1901, Nov Average, Oman, OMN
6.31701, 1901, Dec Average, Oman, OMN
1.45488, 1902, Jan Average, Oman, OMN
7.69333, 1902, Feb Average, Oman, OMN
4.68996, 1902, Mar Average, Oman, OMN
12.4059, 1902, Apr Average, Oman, OMN
6.09534, 1902, May Average, Oman, OMN
5.40132, 1902, Jun Average, Oman, OMN
8.38219, 1902, Jul Average, Oman, OMN
7.84949, 1902, Aug Average, Oman, OMN
3.79056, 1902, Sep Average, Oman, OMN
3.67566, 1902, Oct Average, Oman, OMN
2.78187, 1902, Nov Average, Oman, OMN
6.317, 1902, Dec Average, Oman, OMN
4.22354, 1903, Jan Average, Oman, OMN
4.39975, 1903, Feb Average, Oman, OMN
4.68997, 1903, Mar Average, Oman, OMN
15.2004, 1903, Apr Average, Oman, OMN
6.09534, 1903, May Average, Oman, OMN
43.3795, 1903, Jun Average, Oman, OMN
8.38219, 1903, Jul Average, Oman, OMN
7.84949, 1903, Aug Average, Oman, OMN
3.79056, 1903, Sep Average, Oman, OMN
2.25051, 1903, Oct Average, Oman, OMN
3.60933, 1903, Nov Average, Oman, OMN
2.45254, 1903, Dec Average, Oman, OMN
1.45489, 1904, Jan Average, Oman, OMN
5.8131, 1904, Feb Average, Oman, OMN
7.1095, 1904, Mar Average, Oman, OMN
7.64297, 1904, Apr Average, Oman, OMN
6.09535, 1904, May Average, Oman, OMN
5.40132, 1904, Jun Average, Oman, OMN
8.38219, 1904, Jul Average, Oman, OMN
7.84949, 1904, Aug Average, Oman, OMN
3.79056, 1904, Sep Average, Oman, OMN
2.25051, 1904, Oct Average, Oman, OMN
17.8238, 1904, Nov Average, Oman, OMN
1.69324, 1904, Dec Average, Oman, OMN
10.0008, 1905, Jan Average, Oman, OMN
26.1352, 1905, Feb Average, Oman, OMN
50.0953, 1905, Mar Average, Oman, OMN
7.64297, 1905, Apr Average, Oman, OMN
6.09534, 1905, May Average, Oman, OMN
5.40132, 1905, Jun Average, Oman, OMN
8.38219, 1905, Jul Average, Oman, OMN
7.84949, 1905, Aug Average, Oman, OMN
3.79056, 1905, Sep Average, Oman, OMN
2.25051, 1905, Oct Average, Oman, OMN
6.92766, 1905, Nov Average, Oman, OMN
2.07419, 1905, Dec Average, Oman, OMN
5.58997, 1906, Jan Average, Oman, OMN
20.0273, 1906, Feb Average, Oman, OMN
34.6909, 1906, Mar Average, Oman, OMN
7.64297, 1906, Apr Average, Oman, OMN
6.09535, 1906, May Average, Oman, OMN
10.8717, 1906, Jun Average, Oman, OMN
8.38219, 1906, Jul Average, Oman, OMN
20.1733, 1906, Aug Average, Oman, OMN
3.79056, 1906, Sep Average, Oman, OMN
2.25051, 1906, Oct Average, Oman, OMN
2.78187, 1906, Nov Average, Oman, OMN
16.6927, 1906, Dec Average, Oman, OMN
3.09173, 1907, Jan Average, Oman, OMN
41.7572, 1907, Feb Average, Oman, OMN
4.68996, 1907, Mar Average, Oman, OMN
22.6859, 1907, Apr Average, Oman, OMN
6.09534, 1907, May Average, Oman, OMN
5.40132, 1907, Jun Average, Oman, OMN
8.38219, 1907, Jul Average, Oman, OMN
7.84949, 1907, Aug Average, Oman, OMN
3.79056, 1907, Sep Average, Oman, OMN
2.25051, 1907, Oct Average, Oman, OMN
6.92766, 1907, Nov Average, Oman, OMN
2.831, 1907, Dec Average, Oman, OMN
3.09173, 1908, Jan Average, Oman, OMN
4.39969, 1908, Feb Average, Oman, OMN
12.8366, 1908, Mar Average, Oman, OMN
9.67943, 1908, Apr Average, Oman, OMN
6.09534, 1908, May Average, Oman, OMN
5.40132, 1908, Jun Average, Oman, OMN
8.38219, 1908, Jul Average, Oman, OMN
7.84949, 1908, Aug Average, Oman, OMN
