Rainfall - (MM), Year, Statistics, Country, ISO3
40.4258, 1901, Jan Average, Pakistan, PAK
12.3022, 1901, Feb Average, Pakistan, PAK
25.5119, 1901, Mar Average, Pakistan, PAK
14.2942, 1901, Apr Average, Pakistan, PAK
38.3046, 1901, May Average, Pakistan, PAK
12.8813, 1901, Jun Average, Pakistan, PAK
68.093, 1901, Jul Average, Pakistan, PAK
16.5836, 1901, Aug Average, Pakistan, PAK
13.3391, 1901, Sep Average, Pakistan, PAK
3.10757, 1901, Oct Average, Pakistan, PAK
0.21419, 1901, Nov Average, Pakistan, PAK
3.27559, 1901, Dec Average, Pakistan, PAK
2.31336, 1902, Jan Average, Pakistan, PAK
3.17559, 1902, Feb Average, Pakistan, PAK
13.3201, 1902, Mar Average, Pakistan, PAK
16.6064, 1902, Apr Average, Pakistan, PAK
17.0574, 1902, May Average, Pakistan, PAK
19.3449, 1902, Jun Average, Pakistan, PAK
25.7954, 1902, Jul Average, Pakistan, PAK
34.1203, 1902, Aug Average, Pakistan, PAK
17.5, 1902, Sep Average, Pakistan, PAK
7.08495, 1902, Oct Average, Pakistan, PAK
14.5744, 1902, Nov Average, Pakistan, PAK
4.73243, 1902, Dec Average, Pakistan, PAK
22.6658, 1903, Jan Average, Pakistan, PAK
10.2447, 1903, Feb Average, Pakistan, PAK
40.695, 1903, Mar Average, Pakistan, PAK
12.3373, 1903, Apr Average, Pakistan, PAK
35.182, 1903, May Average, Pakistan, PAK
7.95537, 1903, Jun Average, Pakistan, PAK
75.6535, 1903, Jul Average, Pakistan, PAK
34.1329, 1903, Aug Average, Pakistan, PAK
24.1921, 1903, Sep Average, Pakistan, PAK
1.82323, 1903, Oct Average, Pakistan, PAK
1.2238, 1903, Nov Average, Pakistan, PAK
10.0793, 1903, Dec Average, Pakistan, PAK
61.2916, 1904, Jan Average, Pakistan, PAK
10.9565, 1904, Feb Average, Pakistan, PAK
68.4706, 1904, Mar Average, Pakistan, PAK
10.8674, 1904, Apr Average, Pakistan, PAK
9.80757, 1904, May Average, Pakistan, PAK
6.63728, 1904, Jun Average, Pakistan, PAK
22.9002, 1904, Jul Average, Pakistan, PAK
26.1663, 1904, Aug Average, Pakistan, PAK
17.5644, 1904, Sep Average, Pakistan, PAK
8.62059, 1904, Oct Average, Pakistan, PAK
12.2084, 1904, Nov Average, Pakistan, PAK
6.44073, 1904, Dec Average, Pakistan, PAK
53.5866, 1905, Jan Average, Pakistan, PAK
37.0232, 1905, Feb Average, Pakistan, PAK
41.1089, 1905, Mar Average, Pakistan, PAK
14.3762, 1905, Apr Average, Pakistan, PAK
12.9388, 1905, May Average, Pakistan, PAK
7.47864, 1905, Jun Average, Pakistan, PAK
17.6693, 1905, Jul Average, Pakistan, PAK
8.42186, 1905, Aug Average, Pakistan, PAK
36.4692, 1905, Sep Average, Pakistan, PAK
2.22197, 1905, Oct Average, Pakistan, PAK
0.23152, 1905, Nov Average, Pakistan, PAK
27.6909, 1905, Dec Average, Pakistan, PAK
7.44133, 1906, Jan Average, Pakistan, PAK
78.1301, 1906, Feb Average, Pakistan, PAK
37.7996, 1906, Mar Average, Pakistan, PAK
11.4353, 1906, Apr Average, Pakistan, PAK
19.8325, 1906, May Average, Pakistan, PAK
12.6819, 1906, Jun Average, Pakistan, PAK
25.2715, 1906, Jul Average, Pakistan, PAK
44.5472, 1906, Aug Average, Pakistan, PAK
28.7101, 1906, Sep Average, Pakistan, PAK
2.93003, 1906, Oct Average, Pakistan, PAK
0.2753, 1906, Nov Average, Pakistan, PAK
