Rainfall - (MM), Year, Statistics, Country, ISO3
52.4096, 1901, Jan Average, Panama, PAN
44.9197, 1901, Feb Average, Panama, PAN
79.2158, 1901, Mar Average, Panama, PAN
60.9309, 1901, Apr Average, Panama, PAN
245.331, 1901, May Average, Panama, PAN
265.992, 1901, Jun Average, Panama, PAN
332.493, 1901, Jul Average, Panama, PAN
300.43, 1901, Aug Average, Panama, PAN
315.833, 1901, Sep Average, Panama, PAN
506.231, 1901, Oct Average, Panama, PAN
402.493, 1901, Nov Average, Panama, PAN
146.118, 1901, Dec Average, Panama, PAN
57.1856, 1902, Jan Average, Panama, PAN
67.3413, 1902, Feb Average, Panama, PAN
81.2264, 1902, Mar Average, Panama, PAN
263.81, 1902, Apr Average, Panama, PAN
376.088, 1902, May Average, Panama, PAN
218.669, 1902, Jun Average, Panama, PAN
214.004, 1902, Jul Average, Panama, PAN
193.951, 1902, Aug Average, Panama, PAN
243.526, 1902, Sep Average, Panama, PAN
318.979, 1902, Oct Average, Panama, PAN
291.3, 1902, Nov Average, Panama, PAN
97.4076, 1902, Dec Average, Panama, PAN
55.2994, 1903, Jan Average, Panama, PAN
23.3796, 1903, Feb Average, Panama, PAN
28.5545, 1903, Mar Average, Panama, PAN
96.4119, 1903, Apr Average, Panama, PAN
414.122, 1903, May Average, Panama, PAN
294.308, 1903, Jun Average, Panama, PAN
240.508, 1903, Jul Average, Panama, PAN
323.328, 1903, Aug Average, Panama, PAN
239.937, 1903, Sep Average, Panama, PAN
390.744, 1903, Oct Average, Panama, PAN
255.443, 1903, Nov Average, Panama, PAN
375.874, 1903, Dec Average, Panama, PAN
213.4, 1904, Jan Average, Panama, PAN
67.5871, 1904, Feb Average, Panama, PAN
151.392, 1904, Mar Average, Panama, PAN
175.446, 1904, Apr Average, Panama, PAN
319.375, 1904, May Average, Panama, PAN
298.445, 1904, Jun Average, Panama, PAN
197.106, 1904, Jul Average, Panama, PAN
223.914, 1904, Aug Average, Panama, PAN
220.258, 1904, Sep Average, Panama, PAN
329.22, 1904, Oct Average, Panama, PAN
260.789, 1904, Nov Average, Panama, PAN
174.885, 1904, Dec Average, Panama, PAN
49.1946, 1905, Jan Average, Panama, PAN
22.4031, 1905, Feb Average, Panama, PAN
90.385, 1905, Mar Average, Panama, PAN
89.1808, 1905, Apr Average, Panama, PAN
344.605, 1905, May Average, Panama, PAN
255.509, 1905, Jun Average, Panama, PAN
397.586, 1905, Jul Average, Panama, PAN
233.46, 1905, Aug Average, Panama, PAN
250.574, 1905, Sep Average, Panama, PAN
410.742, 1905, Oct Average, Panama, PAN
269.802, 1905, Nov Average, Panama, PAN
206.045, 1905, Dec Average, Panama, PAN
63.6081, 1906, Jan Average, Panama, PAN
34.7395, 1906, Feb Average, Panama, PAN
24.0395, 1906, Mar Average, Panama, PAN
217.129, 1906, Apr Average, Panama, PAN
257.182, 1906, May Average, Panama, PAN
360.138, 1906, Jun Average, Panama, PAN
258.844, 1906, Jul Average, Panama, PAN
240.737, 1906, Aug Average, Panama, PAN
223.785, 1906, Sep Average, Panama, PAN
373.856, 1906, Oct Average, Panama, PAN
244.057, 1906, Nov Average, Panama, PAN
132.032, 1906, Dec Average, Panama, PAN
41.9204, 1907, Jan Average, Panama, PAN
27.061, 1907, Feb Average, Panama, PAN
27.2669, 1907, Mar Average, Panama, PAN
60.8389, 1907, Apr Average, Panama, PAN
225.886, 1907, May Average, Panama, PAN
266.406, 1907, Jun Average, Panama, PAN
236.931, 1907, Jul Average, Panama, PAN
200.85, 1907, Aug Average, Panama, PAN
218.653, 1907, Sep Average, Panama, PAN
357.148, 1907, Oct Average, Panama, PAN
298.814, 1907, Nov Average, Panama, PAN
146.483, 1907, Dec Average, Panama, PAN
42.5312, 1908, Jan Average, Panama, PAN
22.7078, 1908, Feb Average, Panama, PAN
36.3345, 1908, Mar Average, Panama, PAN
126.428, 1908, Apr Average, Panama, PAN
375.275, 1908, May Average, Panama, PAN
322.451, 1908, Jun Average, Panama, PAN
254.688, 1908, Jul Average, Panama, PAN
226.974, 1908, Aug Average, Panama, PAN
235.437, 1908, Sep Average, Panama, PAN
487.406, 1908, Oct Average, Panama, PAN
276.196, 1908, Nov Average, Panama, PAN
172.56, 1908, Dec Average, Panama, PAN
90.0518, 1909, Jan Average, Panama, PAN
36.3879, 1909, Feb Average, Panama, PAN
21.8665, 1909, Mar Average, Panama, PAN
201.009, 1909, Apr Average, Panama, PAN
293.547, 1909, May Average, Panama, PAN
241.586, 1909, Jun Average, Panama, PAN
328.007, 1909, Jul Average, Panama, PAN
337.09, 1909, Aug Average, Panama, PAN
281.459, 1909, Sep Average, Panama, PAN
377.848, 1909, Oct Average, Panama, PAN
317.479, 1909, Nov Average, Panama, PAN
258.683, 1909, Dec Average, Panama, PAN
122.067, 1910, Jan Average, Panama, PAN
22.6928, 1910, Feb Average, Panama, PAN
54.9416, 1910, Mar Average, Panama, PAN
101.361, 1910, Apr Average, Panama, PAN
243.028, 1910, May Average, Panama, PAN
214.735, 1910, Jun Average, Panama, PAN
278.796, 1910, Jul Average, Panama, PAN
229.296, 1910, Aug Average, Panama, PAN
282.327, 1910, Sep Average, Panama, PAN
381.301, 1910, Oct Average, Panama, PAN
295.782, 1910, Nov Average, Panama, PAN
154.681, 1910, Dec Average, Panama, PAN
42.1558, 1911, Jan Average, Panama, PAN
23.3044, 1911, Feb Average, Panama, PAN
22.3671, 1911, Mar Average, Panama, PAN
198.857, 1911, Apr Average, Panama, PAN
448.423, 1911, May Average, Panama, PAN
288.094, 1911, Jun Average, Panama, PAN
195.842, 1911, Jul Average, Panama, PAN
226.93, 1911, Aug Average, Panama, PAN
193.802, 1911, Sep Average, Panama, PAN
352.2, 1911, Oct Average, Panama, PAN
290.916, 1911, Nov Average, Panama, PAN
159.779, 1911, Dec Average, Panama, PAN
42.2185, 1912, Jan Average, Panama, PAN
22.7438, 1912, Feb Average, Panama, PAN
22.1374, 1912, Mar Average, Panama, PAN
85.7618, 1912, Apr Average, Panama, PAN
299.12, 1912, May Average, Panama, PAN
247.222, 1912, Jun Average, Panama, PAN
186.089, 1912, Jul Average, Panama, PAN
260.772, 1912, Aug Average, Panama, PAN
308.565, 1912, Sep Average, Panama, PAN
380.828, 1912, Oct Average, Panama, PAN
365.838, 1912, Nov Average, Panama, PAN
136.849, 1912, Dec Average, Panama, PAN
78.6037, 1913, Jan Average, Panama, PAN
23.0715, 1913, Feb Average, Panama, PAN
46.1448, 1913, Mar Average, Panama, PAN
149.791, 1913, Apr Average, Panama, PAN
286.56, 1913, May Average, Panama, PAN
243.598, 1913, Jun Average, Panama, PAN
252.315, 1913, Jul Average, Panama, PAN
315.124, 1913, Aug Average, Panama, PAN
251.768, 1913, Sep Average, Panama, PAN
388.186, 1913, Oct Average, Panama, PAN
368.976, 1913, Nov Average, Panama, PAN
179.315, 1913, Dec Average, Panama, PAN
61.0047, 1914, Jan Average, Panama, PAN
26.408, 1914, Feb Average, Panama, PAN
22.891, 1914, Mar Average, Panama, PAN
143.697, 1914, Apr Average, Panama, PAN
249.854, 1914, May Average, Panama, PAN
190.299, 1914, Jun Average, Panama, PAN
150.435, 1914, Jul Average, Panama, PAN
192.012, 1914, Aug Average, Panama, PAN
236.7, 1914, Sep Average, Panama, PAN
401.454, 1914, Oct Average, Panama, PAN
391.183, 1914, Nov Average, Panama, PAN
124.549, 1914, Dec Average, Panama, PAN
43.443, 1915, Jan Average, Panama, PAN
34.8626, 1915, Feb Average, Panama, PAN
150.359, 1915, Mar Average, Panama, PAN
96.2187, 1915, Apr Average, Panama, PAN
334.851, 1915, May Average, Panama, PAN
272.204, 1915, Jun Average, Panama, PAN
244.827, 1915, Jul Average, Panama, PAN
275.094, 1915, Aug Average, Panama, PAN
291.788, 1915, Sep Average, Panama, PAN
435.378, 1915, Oct Average, Panama, PAN
447.343, 1915, Nov Average, Panama, PAN
220.887, 1915, Dec Average, Panama, PAN
110.567, 1916, Jan Average, Panama, PAN
24.345, 1916, Feb Average, Panama, PAN
41.7418, 1916, Mar Average, Panama, PAN
174.399, 1916, Apr Average, Panama, PAN
366.337, 1916, May Average, Panama, PAN
249.771, 1916, Jun Average, Panama, PAN
306.768, 1916, Jul Average, Panama, PAN
370.398, 1916, Aug Average, Panama, PAN
214.021, 1916, Sep Average, Panama, PAN
337.389, 1916, Oct Average, Panama, PAN
606.451, 1916, Nov Average, Panama, PAN
188.613, 1916, Dec Average, Panama, PAN
85.4057, 1917, Jan Average, Panama, PAN
23.0214, 1917, Feb Average, Panama, PAN
24.18, 1917, Mar Average, Panama, PAN
140.243, 1917, Apr Average, Panama, PAN
399.136, 1917, May Average, Panama, PAN
281.855, 1917, Jun Average, Panama, PAN
298.592, 1917, Jul Average, Panama, PAN
281.142, 1917, Aug Average, Panama, PAN
268.167, 1917, Sep Average, Panama, PAN
479.289, 1917, Oct Average, Panama, PAN
282.316, 1917, Nov Average, Panama, PAN
199.426, 1917, Dec Average, Panama, PAN
48.3286, 1918, Jan Average, Panama, PAN
23.5363, 1918, Feb Average, Panama, PAN
51.3585, 1918, Mar Average, Panama, PAN
225.608, 1918, Apr Average, Panama, PAN
270.938, 1918, May Average, Panama, PAN
259.918, 1918, Jun Average, Panama, PAN
197.543, 1918, Jul Average, Panama, PAN
215.057, 1918, Aug Average, Panama, PAN
308.968, 1918, Sep Average, Panama, PAN
332.262, 1918, Oct Average, Panama, PAN
225.977, 1918, Nov Average, Panama, PAN
95.3681, 1918, Dec Average, Panama, PAN
42.2748, 1919, Jan Average, Panama, PAN
22.5223, 1919, Feb Average, Panama, PAN
22.0816, 1919, Mar Average, Panama, PAN
216.986, 1919, Apr Average, Panama, PAN
306.337, 1919, May Average, Panama, PAN
229.439, 1919, Jun Average, Panama, PAN
226.984, 1919, Jul Average, Panama, PAN
205.005, 1919, Aug Average, Panama, PAN
407.551, 1919, Sep Average, Panama, PAN
401.606, 1919, Oct Average, Panama, PAN
311.779, 1919, Nov Average, Panama, PAN
102.455, 1919, Dec Average, Panama, PAN
43.2702, 1920, Jan Average, Panama, PAN
23.0762, 1920, Feb Average, Panama, PAN
80.1528, 1920, Mar Average, Panama, PAN
118.007, 1920, Apr Average, Panama, PAN
282.656, 1920, May Average, Panama, PAN
226.707, 1920, Jun Average, Panama, PAN
196.83, 1920, Jul Average, Panama, PAN
267.751, 1920, Aug Average, Panama, PAN
265.12, 1920, Sep Average, Panama, PAN
473.575, 1920, Oct Average, Panama, PAN
244.381, 1920, Nov Average, Panama, PAN
147.531, 1920, Dec Average, Panama, PAN
42.7301, 1921, Jan Average, Panama, PAN
71.4863, 1921, Feb Average, Panama, PAN
23.4888, 1921, Mar Average, Panama, PAN
151.933, 1921, Apr Average, Panama, PAN
238.245, 1921, May Average, Panama, PAN
230.184, 1921, Jun Average, Panama, PAN
186.517, 1921, Jul Average, Panama, PAN
249.123, 1921, Aug Average, Panama, PAN
275.347, 1921, Sep Average, Panama, PAN
441.479, 1921, Oct Average, Panama, PAN
259.375, 1921, Nov Average, Panama, PAN
150.078, 1921, Dec Average, Panama, PAN
106.198, 1922, Jan Average, Panama, PAN
23.8722, 1922, Feb Average, Panama, PAN
22.8201, 1922, Mar Average, Panama, PAN
67.9366, 1922, Apr Average, Panama, PAN
330.829, 1922, May Average, Panama, PAN
258.902, 1922, Jun Average, Panama, PAN
148.521, 1922, Jul Average, Panama, PAN
213.837, 1922, Aug Average, Panama, PAN
246.803, 1922, Sep Average, Panama, PAN
540.823, 1922, Oct Average, Panama, PAN
173.714, 1922, Nov Average, Panama, PAN
145.986, 1922, Dec Average, Panama, PAN
41.6273, 1923, Jan Average, Panama, PAN
22.3727, 1923, Feb Average, Panama, PAN
22.1168, 1923, Mar Average, Panama, PAN
114.897, 1923, Apr Average, Panama, PAN
294.011, 1923, May Average, Panama, PAN
293.046, 1923, Jun Average, Panama, PAN
215.945, 1923, Jul Average, Panama, PAN
190.542, 1923, Aug Average, Panama, PAN
178.412, 1923, Sep Average, Panama, PAN
407.613, 1923, Oct Average, Panama, PAN
190.295, 1923, Nov Average, Panama, PAN
136.789, 1923, Dec Average, Panama, PAN
41.537, 1924, Jan Average, Panama, PAN
85.1839, 1924, Feb Average, Panama, PAN
43.6518, 1924, Mar Average, Panama, PAN
125.797, 1924, Apr Average, Panama, PAN
244.368, 1924, May Average, Panama, PAN
330.756, 1924, Jun Average, Panama, PAN
298.842, 1924, Jul Average, Panama, PAN
362.804, 1924, Aug Average, Panama, PAN
271.24, 1924, Sep Average, Panama, PAN
433.342, 1924, Oct Average, Panama, PAN
357.309, 1924, Nov Average, Panama, PAN
123.408, 1924, Dec Average, Panama, PAN
52.997, 1925, Jan Average, Panama, PAN
22.9693, 1925, Feb Average, Panama, PAN
23.0351, 1925, Mar Average, Panama, PAN
241.178, 1925, Apr Average, Panama, PAN
225.211, 1925, May Average, Panama, PAN
245.249, 1925, Jun Average, Panama, PAN
214.474, 1925, Jul Average, Panama, PAN
220.422, 1925, Aug Average, Panama, PAN
349.287, 1925, Sep Average, Panama, PAN
345.027, 1925, Oct Average, Panama, PAN
297.22, 1925, Nov Average, Panama, PAN
139.273, 1925, Dec Average, Panama, PAN
49.2829, 1926, Jan Average, Panama, PAN
23.0964, 1926, Feb Average, Panama, PAN
19.2557, 1926, Mar Average, Panama, PAN
59.445, 1926, Apr Average, Panama, PAN
224.075, 1926, May Average, Panama, PAN
171.483, 1926, Jun Average, Panama, PAN
199.272, 1926, Jul Average, Panama, PAN
207.08, 1926, Aug Average, Panama, PAN
251.277, 1926, Sep Average, Panama, PAN
439.912, 1926, Oct Average, Panama, PAN
387.986, 1926, Nov Average, Panama, PAN
247.209, 1926, Dec Average, Panama, PAN
89.1336, 1927, Jan Average, Panama, PAN
33.6494, 1927, Feb Average, Panama, PAN
29.4689, 1927, Mar Average, Panama, PAN
119.705, 1927, Apr Average, Panama, PAN
325.611, 1927, May Average, Panama, PAN
247.299, 1927, Jun Average, Panama, PAN
229.978, 1927, Jul Average, Panama, PAN
181.455, 1927, Aug Average, Panama, PAN
341.824, 1927, Sep Average, Panama, PAN
450.283, 1927, Oct Average, Panama, PAN
231.868, 1927, Nov Average, Panama, PAN
98.9042, 1927, Dec Average, Panama, PAN
49.5968, 1928, Jan Average, Panama, PAN
51.5612, 1928, Feb Average, Panama, PAN
56.2717, 1928, Mar Average, Panama, PAN
78.8381, 1928, Apr Average, Panama, PAN
258.394, 1928, May Average, Panama, PAN
264.327, 1928, Jun Average, Panama, PAN
260.112, 1928, Jul Average, Panama, PAN
249.312, 1928, Aug Average, Panama, PAN
173.926, 1928, Sep Average, Panama, PAN
255.384, 1928, Oct Average, Panama, PAN
345.098, 1928, Nov Average, Panama, PAN
153.091, 1928, Dec Average, Panama, PAN
66.4878, 1929, Jan Average, Panama, PAN
46.1187, 1929, Feb Average, Panama, PAN
36.5752, 1929, Mar Average, Panama, PAN
69.6277, 1929, Apr Average, Panama, PAN
248.447, 1929, May Average, Panama, PAN
249.776, 1929, Jun Average, Panama, PAN
200.175, 1929, Jul Average, Panama, PAN
197.887, 1929, Aug Average, Panama, PAN
189.159, 1929, Sep Average, Panama, PAN
265.48, 1929, Oct Average, Panama, PAN
219.873, 1929, Nov Average, Panama, PAN
107.632, 1929, Dec Average, Panama, PAN
45.7207, 1930, Jan Average, Panama, PAN
34.7712, 1930, Feb Average, Panama, PAN
61.5805, 1930, Mar Average, Panama, PAN
163.921, 1930, Apr Average, Panama, PAN
218.644, 1930, May Average, Panama, PAN
236.592, 1930, Jun Average, Panama, PAN
180.826, 1930, Jul Average, Panama, PAN
219.404, 1930, Aug Average, Panama, PAN
182.585, 1930, Sep Average, Panama, PAN
252.258, 1930, Oct Average, Panama, PAN
159.882, 1930, Nov Average, Panama, PAN
106.229, 1930, Dec Average, Panama, PAN
54.0515, 1931, Jan Average, Panama, PAN
39.8011, 1931, Feb Average, Panama, PAN
46.9733, 1931, Mar Average, Panama, PAN
76.5574, 1931, Apr Average, Panama, PAN
320.845, 1931, May Average, Panama, PAN
245.95, 1931, Jun Average, Panama, PAN
234.72, 1931, Jul Average, Panama, PAN
179.719, 1931, Aug Average, Panama, PAN
258.271, 1931, Sep Average, Panama, PAN
270.478, 1931, Oct Average, Panama, PAN
256.237, 1931, Nov Average, Panama, PAN
147.129, 1931, Dec Average, Panama, PAN
62.1092, 1932, Jan Average, Panama, PAN
37.1998, 1932, Feb Average, Panama, PAN
43.0565, 1932, Mar Average, Panama, PAN
116.537, 1932, Apr Average, Panama, PAN
282.659, 1932, May Average, Panama, PAN
239.633, 1932, Jun Average, Panama, PAN
262.981, 1932, Jul Average, Panama, PAN
263.402, 1932, Aug Average, Panama, PAN
204.415, 1932, Sep Average, Panama, PAN
301.636, 1932, Oct Average, Panama, PAN
316.875, 1932, Nov Average, Panama, PAN
140.285, 1932, Dec Average, Panama, PAN
71.6094, 1933, Jan Average, Panama, PAN
35.2339, 1933, Feb Average, Panama, PAN
35.1163, 1933, Mar Average, Panama, PAN
81.7943, 1933, Apr Average, Panama, PAN
301.393, 1933, May Average, Panama, PAN
251.683, 1933, Jun Average, Panama, PAN
320.745, 1933, Jul Average, Panama, PAN
