Rainfall - (MM), Year, Statistics, Country, ISO3
150.559, 1901, Jan Average, Peru, PER
172.574, 1901, Feb Average, Peru, PER
209.748, 1901, Mar Average, Peru, PER
127.112, 1901, Apr Average, Peru, PER
112.877, 1901, May Average, Peru, PER
97.6111, 1901, Jun Average, Peru, PER
95.1431, 1901, Jul Average, Peru, PER
80.1371, 1901, Aug Average, Peru, PER
103.668, 1901, Sep Average, Peru, PER
144.812, 1901, Oct Average, Peru, PER
124.194, 1901, Nov Average, Peru, PER
137.402, 1901, Dec Average, Peru, PER
167.48, 1902, Jan Average, Peru, PER
214.119, 1902, Feb Average, Peru, PER
172.345, 1902, Mar Average, Peru, PER
142.77, 1902, Apr Average, Peru, PER
106.954, 1902, May Average, Peru, PER
76.4581, 1902, Jun Average, Peru, PER
67.7817, 1902, Jul Average, Peru, PER
66.4755, 1902, Aug Average, Peru, PER
82.0897, 1902, Sep Average, Peru, PER
166.445, 1902, Oct Average, Peru, PER
131.035, 1902, Nov Average, Peru, PER
172.133, 1902, Dec Average, Peru, PER
179.429, 1903, Jan Average, Peru, PER
166.503, 1903, Feb Average, Peru, PER
197.15, 1903, Mar Average, Peru, PER
132.708, 1903, Apr Average, Peru, PER
132.561, 1903, May Average, Peru, PER
93.8581, 1903, Jun Average, Peru, PER
67.458, 1903, Jul Average, Peru, PER
64.5679, 1903, Aug Average, Peru, PER
100.685, 1903, Sep Average, Peru, PER
114.845, 1903, Oct Average, Peru, PER
161.643, 1903, Nov Average, Peru, PER
141.899, 1903, Dec Average, Peru, PER
205.131, 1904, Jan Average, Peru, PER
189.559, 1904, Feb Average, Peru, PER
160.131, 1904, Mar Average, Peru, PER
148.442, 1904, Apr Average, Peru, PER
109.214, 1904, May Average, Peru, PER
74.074, 1904, Jun Average, Peru, PER
64.5406, 1904, Jul Average, Peru, PER
63.4243, 1904, Aug Average, Peru, PER
89.3943, 1904, Sep Average, Peru, PER
156.563, 1904, Oct Average, Peru, PER
123.762, 1904, Nov Average, Peru, PER
130.096, 1904, Dec Average, Peru, PER
152.352, 1905, Jan Average, Peru, PER
154.421, 1905, Feb Average, Peru, PER
165.734, 1905, Mar Average, Peru, PER
132.236, 1905, Apr Average, Peru, PER
115.631, 1905, May Average, Peru, PER
67.482, 1905, Jun Average, Peru, PER
