Rainfall - (MM), Year, Statistics, Country, ISO3
84.8271, 1901, Jan Average, Philippines, PHL
130.146, 1901, Feb Average, Philippines, PHL
113.285, 1901, Mar Average, Philippines, PHL
82.0298, 1901, Apr Average, Philippines, PHL
153.515, 1901, May Average, Philippines, PHL
191.357, 1901, Jun Average, Philippines, PHL
235.544, 1901, Jul Average, Philippines, PHL
286.227, 1901, Aug Average, Philippines, PHL
182.644, 1901, Sep Average, Philippines, PHL
431.892, 1901, Oct Average, Philippines, PHL
452.221, 1901, Nov Average, Philippines, PHL
247.594, 1901, Dec Average, Philippines, PHL
228.098, 1902, Jan Average, Philippines, PHL
77.0102, 1902, Feb Average, Philippines, PHL
87.9955, 1902, Mar Average, Philippines, PHL
108.79, 1902, Apr Average, Philippines, PHL
169.797, 1902, May Average, Philippines, PHL
235.084, 1902, Jun Average, Philippines, PHL
316.454, 1902, Jul Average, Philippines, PHL
336.541, 1902, Aug Average, Philippines, PHL
304.583, 1902, Sep Average, Philippines, PHL
170.598, 1902, Oct Average, Philippines, PHL
156.351, 1902, Nov Average, Philippines, PHL
158.788, 1902, Dec Average, Philippines, PHL
108.811, 1903, Jan Average, Philippines, PHL
81.7573, 1903, Feb Average, Philippines, PHL
29.6247, 1903, Mar Average, Philippines, PHL
66.8856, 1903, Apr Average, Philippines, PHL
152.552, 1903, May Average, Philippines, PHL
206.134, 1903, Jun Average, Philippines, PHL
241.052, 1903, Jul Average, Philippines, PHL
186.475, 1903, Aug Average, Philippines, PHL
225.016, 1903, Sep Average, Philippines, PHL
323.011, 1903, Oct Average, Philippines, PHL
270.393, 1903, Nov Average, Philippines, PHL
254.738, 1903, Dec Average, Philippines, PHL
230.432, 1904, Jan Average, Philippines, PHL
167.868, 1904, Feb Average, Philippines, PHL
77.7468, 1904, Mar Average, Philippines, PHL
175.88, 1904, Apr Average, Philippines, PHL
174.21, 1904, May Average, Philippines, PHL
319.629, 1904, Jun Average, Philippines, PHL
320.697, 1904, Jul Average, Philippines, PHL
317.769, 1904, Aug Average, Philippines, PHL
235.234, 1904, Sep Average, Philippines, PHL
279.757, 1904, Oct Average, Philippines, PHL
252.547, 1904, Nov Average, Philippines, PHL
104.164, 1904, Dec Average, Philippines, PHL
43.1627, 1905, Jan Average, Philippines, PHL
45.7115, 1905, Feb Average, Philippines, PHL
75.7852, 1905, Mar Average, Philippines, PHL
70.9413, 1905, Apr Average, Philippines, PHL
154.31, 1905, May Average, Philippines, PHL
321.152, 1905, Jun Average, Philippines, PHL
373.126, 1905, Jul Average, Philippines, PHL
305.097, 1905, Aug Average, Philippines, PHL
312.652, 1905, Sep Average, Philippines, PHL
213.795, 1905, Oct Average, Philippines, PHL
117.311, 1905, Nov Average, Philippines, PHL
144.744, 1905, Dec Average, Philippines, PHL
124.667, 1906, Jan Average, Philippines, PHL
53.8727, 1906, Feb Average, Philippines, PHL
95.2109, 1906, Mar Average, Philippines, PHL
87.056, 1906, Apr Average, Philippines, PHL
287.551, 1906, May Average, Philippines, PHL
254.016, 1906, Jun Average, Philippines, PHL
226.104, 1906, Jul Average, Philippines, PHL
302.484, 1906, Aug Average, Philippines, PHL
378.428, 1906, Sep Average, Philippines, PHL
303.821, 1906, Oct Average, Philippines, PHL
355.523, 1906, Nov Average, Philippines, PHL
149.284, 1906, Dec Average, Philippines, PHL
169.69, 1907, Jan Average, Philippines, PHL
152.576, 1907, Feb Average, Philippines, PHL
94.4348, 1907, Mar Average, Philippines, PHL
76.8141, 1907, Apr Average, Philippines, PHL
113.534, 1907, May Average, Philippines, PHL
190.454, 1907, Jun Average, Philippines, PHL
310.639, 1907, Jul Average, Philippines, PHL
317.836, 1907, Aug Average, Philippines, PHL
239.076, 1907, Sep Average, Philippines, PHL
223.074, 1907, Oct Average, Philippines, PHL
164.783, 1907, Nov Average, Philippines, PHL
278.27, 1907, Dec Average, Philippines, PHL
137.741, 1908, Jan Average, Philippines, PHL
197.617, 1908, Feb Average, Philippines, PHL
122.998, 1908, Mar Average, Philippines, PHL
76.5703, 1908, Apr Average, Philippines, PHL
268.495, 1908, May Average, Philippines, PHL
278.382, 1908, Jun Average, Philippines, PHL
299.518, 1908, Jul Average, Philippines, PHL
264.829, 1908, Aug Average, Philippines, PHL
320.381, 1908, Sep Average, Philippines, PHL
303.188, 1908, Oct Average, Philippines, PHL
363.898, 1908, Nov Average, Philippines, PHL
335.438, 1908, Dec Average, Philippines, PHL
118.441, 1909, Jan Average, Philippines, PHL
113.46, 1909, Feb Average, Philippines, PHL
156.789, 1909, Mar Average, Philippines, PHL
64.4346, 1909, Apr Average, Philippines, PHL
179.671, 1909, May Average, Philippines, PHL
223.807, 1909, Jun Average, Philippines, PHL
367.313, 1909, Jul Average, Philippines, PHL
198.336, 1909, Aug Average, Philippines, PHL
318.264, 1909, Sep Average, Philippines, PHL
327.256, 1909, Oct Average, Philippines, PHL
320.256, 1909, Nov Average, Philippines, PHL
312.176, 1909, Dec Average, Philippines, PHL
154.448, 1910, Jan Average, Philippines, PHL
184.381, 1910, Feb Average, Philippines, PHL
149.892, 1910, Mar Average, Philippines, PHL
193.839, 1910, Apr Average, Philippines, PHL
237.784, 1910, May Average, Philippines, PHL
254.756, 1910, Jun Average, Philippines, PHL
