Rainfall - (MM), Year, Statistics, Country, ISO3
347.576, 1901, Jan Average, Palau, PLW
509.375, 1901, Feb Average, Palau, PLW
239.927, 1901, Mar Average, Palau, PLW
201.12, 1901, Apr Average, Palau, PLW
262.147, 1901, May Average, Palau, PLW
205.851, 1901, Jun Average, Palau, PLW
308.673, 1901, Jul Average, Palau, PLW
351.148, 1901, Aug Average, Palau, PLW
176.1, 1901, Sep Average, Palau, PLW
561.339, 1901, Oct Average, Palau, PLW
331.573, 1901, Nov Average, Palau, PLW
261.023, 1901, Dec Average, Palau, PLW
513.258, 1902, Jan Average, Palau, PLW
212.308, 1902, Feb Average, Palau, PLW
377.312, 1902, Mar Average, Palau, PLW
188.6, 1902, Apr Average, Palau, PLW
323.884, 1902, May Average, Palau, PLW
235.909, 1902, Jun Average, Palau, PLW
423.739, 1902, Jul Average, Palau, PLW
374.117, 1902, Aug Average, Palau, PLW
316.937, 1902, Sep Average, Palau, PLW
150.812, 1902, Oct Average, Palau, PLW
169.164, 1902, Nov Average, Palau, PLW
164.544, 1902, Dec Average, Palau, PLW
135.919, 1903, Jan Average, Palau, PLW
91.1738, 1903, Feb Average, Palau, PLW
80.3299, 1903, Mar Average, Palau, PLW
198.255, 1903, Apr Average, Palau, PLW
193.357, 1903, May Average, Palau, PLW
271.963, 1903, Jun Average, Palau, PLW
369.883, 1903, Jul Average, Palau, PLW
245.127, 1903, Aug Average, Palau, PLW
286.575, 1903, Sep Average, Palau, PLW
504.761, 1903, Oct Average, Palau, PLW
519.555, 1903, Nov Average, Palau, PLW
461.939, 1903, Dec Average, Palau, PLW
322.005, 1904, Jan Average, Palau, PLW
188.172, 1904, Feb Average, Palau, PLW
361.398, 1904, Mar Average, Palau, PLW
382.287, 1904, Apr Average, Palau, PLW
326.222, 1904, May Average, Palau, PLW
288.821, 1904, Jun Average, Palau, PLW
167.885, 1904, Jul Average, Palau, PLW
335.42, 1904, Aug Average, Palau, PLW
522.95, 1904, Sep Average, Palau, PLW
268.078, 1904, Oct Average, Palau, PLW
242.184, 1904, Nov Average, Palau, PLW
130.75, 1904, Dec Average, Palau, PLW
144.858, 1905, Jan Average, Palau, PLW
175.689, 1905, Feb Average, Palau, PLW
109.33, 1905, Mar Average, Palau, PLW
115.779, 1905, Apr Average, Palau, PLW
220.737, 1905, May Average, Palau, PLW
380.691, 1905, Jun Average, Palau, PLW
444.407, 1905, Jul Average, Palau, PLW
344.057, 1905, Aug Average, Palau, PLW
281.068, 1905, Sep Average, Palau, PLW
315.604, 1905, Oct Average, Palau, PLW
232.943, 1905, Nov Average, Palau, PLW
289.424, 1905, Dec Average, Palau, PLW
233.978, 1906, Jan Average, Palau, PLW
301.575, 1906, Feb Average, Palau, PLW
115.213, 1906, Mar Average, Palau, PLW
137.388, 1906, Apr Average, Palau, PLW
354.243, 1906, May Average, Palau, PLW
223.727, 1906, Jun Average, Palau, PLW
309.804, 1906, Jul Average, Palau, PLW
244.825, 1906, Aug Average, Palau, PLW
304.641, 1906, Sep Average, Palau, PLW
231.492, 1906, Oct Average, Palau, PLW
349.149, 1906, Nov Average, Palau, PLW
358.03, 1906, Dec Average, Palau, PLW
221.457, 1907, Jan Average, Palau, PLW
407.776, 1907, Feb Average, Palau, PLW
296.646, 1907, Mar Average, Palau, PLW
75.6548, 1907, Apr Average, Palau, PLW
258.526, 1907, May Average, Palau, PLW
390.685, 1907, Jun Average, Palau, PLW
284.875, 1907, Jul Average, Palau, PLW
545.312, 1907, Aug Average, Palau, PLW
322.633, 1907, Sep Average, Palau, PLW
150.812, 1907, Oct Average, Palau, PLW
265.229, 1907, Nov Average, Palau, PLW
313.6, 1907, Dec Average, Palau, PLW
462.569, 1908, Jan Average, Palau, PLW
115.762, 1908, Feb Average, Palau, PLW
262.893, 1908, Mar Average, Palau, PLW
161.863, 1908, Apr Average, Palau, PLW
269.991, 1908, May Average, Palau, PLW
293.535, 1908, Jun Average, Palau, PLW
268.62, 1908, Jul Average, Palau, PLW
397.539, 1908, Aug Average, Palau, PLW
265.604, 1908, Sep Average, Palau, PLW
275.66, 1908, Oct Average, Palau, PLW
279.863, 1908, Nov Average, Palau, PLW
287.764, 1908, Dec Average, Palau, PLW
237.863, 1909, Jan Average, Palau, PLW
101.582, 1909, Feb Average, Palau, PLW
188.035, 1909, Mar Average, Palau, PLW
200.253, 1909, Apr Average, Palau, PLW
255.17, 1909, May Average, Palau, PLW
298.174, 1909, Jun Average, Palau, PLW
353.063, 1909, Jul Average, Palau, PLW
308.906, 1909, Aug Average, Palau, PLW
280.993, 1909, Sep Average, Palau, PLW
304.892, 1909, Oct Average, Palau, PLW
381.775, 1909, Nov Average, Palau, PLW
315.787, 1909, Dec Average, Palau, PLW
267.545, 1910, Jan Average, Palau, PLW
187.154, 1910, Feb Average, Palau, PLW
186.904, 1910, Mar Average, Palau, PLW
259.423, 1910, Apr Average, Palau, PLW
255.17, 1910, May Average, Palau, PLW
237.719, 1910, Jun Average, Palau, PLW
222.119, 1910, Jul Average, Palau, PLW
212.578, 1910, Aug Average, Palau, PLW
308.828, 1910, Sep Average, Palau, PLW
228.21, 1910, Oct Average, Palau, PLW
309.773, 1910, Nov Average, Palau, PLW
254.008, 1910, Dec Average, Palau, PLW
122.531, 1911, Jan Average, Palau, PLW
385.073, 1911, Feb Average, Palau, PLW
359.55, 1911, Mar Average, Palau, PLW
222.692, 1911, Apr Average, Palau, PLW
265.126, 1911, May Average, Palau, PLW
298.174, 1911, Jun Average, Palau, PLW
203.789, 1911, Jul Average, Palau, PLW
291.518, 1911, Aug Average, Palau, PLW
233.204, 1911, Sep Average, Palau, PLW
299.347, 1911, Oct Average, Palau, PLW
139.782, 1911, Nov Average, Palau, PLW
184.308, 1911, Dec Average, Palau, PLW
145.839, 1912, Jan Average, Palau, PLW
121.684, 1912, Feb Average, Palau, PLW
71.5809, 1912, Mar Average, Palau, PLW
131.317, 1912, Apr Average, Palau, PLW
254.264, 1912, May Average, Palau, PLW
174.587, 1912, Jun Average, Palau, PLW
387.948, 1912, Jul Average, Palau, PLW
311.998, 1912, Aug Average, Palau, PLW
276.051, 1912, Sep Average, Palau, PLW
317.075, 1912, Oct Average, Palau, PLW
371.629, 1912, Nov Average, Palau, PLW
238.054, 1912, Dec Average, Palau, PLW
113.14, 1913, Jan Average, Palau, PLW
141.181, 1913, Feb Average, Palau, PLW
91.4926, 1913, Mar Average, Palau, PLW
283.407, 1913, Apr Average, Palau, PLW
152.173, 1913, May Average, Palau, PLW
134.611, 1913, Jun Average, Palau, PLW
395.68, 1913, Jul Average, Palau, PLW
342.963, 1913, Aug Average, Palau, PLW
301.586, 1913, Sep Average, Palau, PLW
357.094, 1913, Oct Average, Palau, PLW
98.256, 1913, Nov Average, Palau, PLW
193.699, 1913, Dec Average, Palau, PLW
134.109, 1914, Jan Average, Palau, PLW
294.41, 1914, Feb Average, Palau, PLW
134.673, 1914, Mar Average, Palau, PLW
117.552, 1914, Apr Average, Palau, PLW
174.877, 1914, May Average, Palau, PLW
209.623, 1914, Jun Average, Palau, PLW
286.535, 1914, Jul Average, Palau, PLW
238.338, 1914, Aug Average, Palau, PLW
197.938, 1914, Sep Average, Palau, PLW
178.384, 1914, Oct Average, Palau, PLW
173.69, 1914, Nov Average, Palau, PLW
142.518, 1914, Dec Average, Palau, PLW
162.056, 1915, Jan Average, Palau, PLW
71.1481, 1915, Feb Average, Palau, PLW
115.213, 1915, Mar Average, Palau, PLW
122.831, 1915, Apr Average, Palau, PLW
315.021, 1915, May Average, Palau, PLW
349.238, 1915, Jun Average, Palau, PLW
308.145, 1915, Jul Average, Palau, PLW
364.877, 1915, Aug Average, Palau, PLW
161.73, 1915, Sep Average, Palau, PLW
320.997, 1915, Oct Average, Palau, PLW
269.906, 1915, Nov Average, Palau, PLW
419.47, 1915, Dec Average, Palau, PLW
474.826, 1916, Jan Average, Palau, PLW
521.896, 1916, Feb Average, Palau, PLW
331.529, 1916, Mar Average, Palau, PLW
249.806, 1916, Apr Average, Palau, PLW
342.778, 1916, May Average, Palau, PLW
353.16, 1916, Jun Average, Palau, PLW
260.059, 1916, Jul Average, Palau, PLW
225.099, 1916, Aug Average, Palau, PLW
352.731, 1916, Sep Average, Palau, PLW
369.466, 1916, Oct Average, Palau, PLW
386.074, 1916, Nov Average, Palau, PLW
224.853, 1916, Dec Average, Palau, PLW
324.306, 1917, Jan Average, Palau, PLW
165.242, 1917, Feb Average, Palau, PLW
208.513, 1917, Mar Average, Palau, PLW
122.002, 1917, Apr Average, Palau, PLW
322.903, 1917, May Average, Palau, PLW
213.507, 1917, Jun Average, Palau, PLW
340.768, 1917, Jul Average, Palau, PLW
213.671, 1917, Aug Average, Palau, PLW
350.921, 1917, Sep Average, Palau, PLW
233, 1917, Oct Average, Palau, PLW
347.49, 1917, Nov Average, Palau, PLW
297.419, 1917, Dec Average, Palau, PLW
371.185, 1918, Jan Average, Palau, PLW
256.395, 1918, Feb Average, Palau, PLW
144.214, 1918, Mar Average, Palau, PLW
380.439, 1918, Apr Average, Palau, PLW
140.973, 1918, May Average, Palau, PLW
223.878, 1918, Jun Average, Palau, PLW
444.935, 1918, Jul Average, Palau, PLW
350.054, 1918, Aug Average, Palau, PLW
197.335, 1918, Sep Average, Palau, PLW
241.563, 1918, Oct Average, Palau, PLW
252.179, 1918, Nov Average, Palau, PLW
214.217, 1918, Dec Average, Palau, PLW
143.161, 1919, Jan Average, Palau, PLW
113.688, 1919, Feb Average, Palau, PLW
104.578, 1919, Mar Average, Palau, PLW
113.705, 1919, Apr Average, Palau, PLW
227.789, 1919, May Average, Palau, PLW
328.91, 1919, Jun Average, Palau, PLW
393.115, 1919, Jul Average, Palau, PLW
368.385, 1919, Aug Average, Palau, PLW
235.958, 1919, Sep Average, Palau, PLW
296.971, 1919, Oct Average, Palau, PLW
309.471, 1919, Nov Average, Palau, PLW
235.866, 1919, Dec Average, Palau, PLW
339.467, 1920, Jan Average, Palau, PLW
306.403, 1920, Feb Average, Palau, PLW
135.125, 1920, Mar Average, Palau, PLW
122.831, 1920, Apr Average, Palau, PLW
244.497, 1920, May Average, Palau, PLW
259.102, 1920, Jun Average, Palau, PLW
657.003, 1920, Jul Average, Palau, PLW
257.008, 1920, Aug Average, Palau, PLW
198.278, 1920, Sep Average, Palau, PLW
272.944, 1920, Oct Average, Palau, PLW
280.354, 1920, Nov Average, Palau, PLW
547.631, 1920, Dec Average, Palau, PLW
180.083, 1921, Jan Average, Palau, PLW
95.2472, 1921, Feb Average, Palau, PLW
188.035, 1921, Mar Average, Palau, PLW
289.252, 1921, Apr Average, Palau, PLW
342.062, 1921, May Average, Palau, PLW
212.602, 1921, Jun Average, Palau, PLW
245.464, 1921, Jul Average, Palau, PLW
242.336, 1921, Aug Average, Palau, PLW
240.182, 1921, Sep Average, Palau, PLW
270.04, 1921, Oct Average, Palau, PLW
400.256, 1921, Nov Average, Palau, PLW
365.913, 1921, Dec Average, Palau, PLW
334.639, 1922, Jan Average, Palau, PLW
126.209, 1922, Feb Average, Palau, PLW
245.508, 1922, Mar Average, Palau, PLW
127.96, 1922, Apr Average, Palau, PLW
175.632, 1922, May Average, Palau, PLW
235.041, 1922, Jun Average, Palau, PLW
302.261, 1922, Jul Average, Palau, PLW
368.497, 1922, Aug Average, Palau, PLW
379.963, 1922, Sep Average, Palau, PLW
182.872, 1922, Oct Average, Palau, PLW
278.845, 1922, Nov Average, Palau, PLW
314.505, 1922, Dec Average, Palau, PLW
401.244, 1923, Jan Average, Palau, PLW
217.362, 1923, Feb Average, Palau, PLW
203.723, 1923, Mar Average, Palau, PLW
183.283, 1923, Apr Average, Palau, PLW
297.069, 1923, May Average, Palau, PLW
440.806, 1923, Jun Average, Palau, PLW
542.389, 1923, Jul Average, Palau, PLW
507.747, 1923, Aug Average, Palau, PLW
265.189, 1923, Sep Average, Palau, PLW
216.14, 1923, Oct Average, Palau, PLW
241.052, 1923, Nov Average, Palau, PLW
227.606, 1923, Dec Average, Palau, PLW
142.772, 1924, Jan Average, Palau, PLW
133.875, 1924, Feb Average, Palau, PLW
130.489, 1924, Mar Average, Palau, PLW
262.829, 1924, Apr Average, Palau, PLW
387.507, 1924, May Average, Palau, PLW
236.1, 1924, Jun Average, Palau, PLW
456.886, 1924, Jul Average, Palau, PLW
166.081, 1924, Aug Average, Palau, PLW
313.29, 1924, Sep Average, Palau, PLW
354.684, 1924, Oct Average, Palau, PLW
475.555, 1924, Nov Average, Palau, PLW
349.213, 1924, Dec Average, Palau, PLW
352.419, 1925, Jan Average, Palau, PLW
180.245, 1925, Feb Average, Palau, PLW
213.908, 1925, Mar Average, Palau, PLW
87.6998, 1925, Apr Average, Palau, PLW
367.303, 1925, May Average, Palau, PLW
261.597, 1925, Jun Average, Palau, PLW
370.183, 1925, Jul Average, Palau, PLW
243.873, 1925, Aug Average, Palau, PLW
216.507, 1925, Sep Average, Palau, PLW
372.979, 1925, Oct Average, Palau, PLW
196.001, 1925, Nov Average, Palau, PLW
193.654, 1925, Dec Average, Palau, PLW
580.051, 1926, Jan Average, Palau, PLW
96.5534, 1926, Feb Average, Palau, PLW
90.7003, 1926, Mar Average, Palau, PLW
85.3048, 1926, Apr Average, Palau, PLW
203.469, 1926, May Average, Palau, PLW
215.914, 1926, Jun Average, Palau, PLW
328.104, 1926, Jul Average, Palau, PLW
488.54, 1926, Aug Average, Palau, PLW
390.154, 1926, Sep Average, Palau, PLW
297.342, 1926, Oct Average, Palau, PLW
311.736, 1926, Nov Average, Palau, PLW
274.175, 1926, Dec Average, Palau, PLW
395.329, 1927, Jan Average, Palau, PLW
141.979, 1927, Feb Average, Palau, PLW
183.409, 1927, Mar Average, Palau, PLW
234.056, 1927, Apr Average, Palau, PLW
540.438, 1927, May Average, Palau, PLW
233.302, 1927, Jun Average, Palau, PLW
641.447, 1927, Jul Average, Palau, PLW
360.12, 1927, Aug Average, Palau, PLW
267.414, 1927, Sep Average, Palau, PLW
355.236, 1927, Oct Average, Palau, PLW
126.896, 1927, Nov Average, Palau, PLW
276.357, 1927, Dec Average, Palau, PLW
292.704, 1928, Jan Average, Palau, PLW
373.588, 1928, Feb Average, Palau, PLW
172.871, 1928, Mar Average, Palau, PLW
142.564, 1928, Apr Average, Palau, PLW
315.216, 1928, May Average, Palau, PLW
270.641, 1928, Jun Average, Palau, PLW
471.652, 1928, Jul Average, Palau, PLW
352.287, 1928, Aug Average, Palau, PLW
295.168, 1928, Sep Average, Palau, PLW
203.325, 1928, Oct Average, Palau, PLW
138.299, 1928, Nov Average, Palau, PLW
443.841, 1928, Dec Average, Palau, PLW
726.112, 1929, Jan Average, Palau, PLW
229.422, 1929, Feb Average, Palau, PLW
126.254, 1929, Mar Average, Palau, PLW
297.574, 1929, Apr Average, Palau, PLW
365.541, 1929, May Average, Palau, PLW
136.361, 1929, Jun Average, Palau, PLW
588.439, 1929, Jul Average, Palau, PLW
285.426, 1929, Aug Average, Palau, PLW
345.545, 1929, Sep Average, Palau, PLW
435.938, 1929, Oct Average, Palau, PLW
276.439, 1929, Nov Average, Palau, PLW
410.537, 1929, Dec Average, Palau, PLW
216.226, 1930, Jan Average, Palau, PLW
392.488, 1930, Feb Average, Palau, PLW
103.535, 1930, Mar Average, Palau, PLW
153.362, 1930, Apr Average, Palau, PLW
286.348, 1930, May Average, Palau, PLW
173.989, 1930, Jun Average, Palau, PLW
347.594, 1930, Jul Average, Palau, PLW
124.76, 1930, Aug Average, Palau, PLW
488.462, 1930, Sep Average, Palau, PLW
145.36, 1930, Oct Average, Palau, PLW
201.598, 1930, Nov Average, Palau, PLW
368.873, 1930, Dec Average, Palau, PLW
237.25, 1931, Jan Average, Palau, PLW
166.16, 1931, Feb Average, Palau, PLW
88.8804, 1931, Mar Average, Palau, PLW
119.374, 1931, Apr Average, Palau, PLW
213.03, 1931, May Average, Palau, PLW
176.633, 1931, Jun Average, Palau, PLW
235.02, 1931, Jul Average, Palau, PLW
369.707, 1931, Aug Average, Palau, PLW
308.77, 1931, Sep Average, Palau, PLW
629.559, 1931, Oct Average, Palau, PLW
280.659, 1931, Nov Average, Palau, PLW
232.124, 1931, Dec Average, Palau, PLW
803.975, 1932, Jan Average, Palau, PLW
311.239, 1932, Feb Average, Palau, PLW
198.898, 1932, Mar Average, Palau, PLW
188.137, 1932, Apr Average, Palau, PLW
388.292, 1932, May Average, Palau, PLW
164.063, 1932, Jun Average, Palau, PLW
290.798, 1932, Jul Average, Palau, PLW
234.569, 1932, Aug Average, Palau, PLW
488.648, 1932, Sep Average, Palau, PLW
215.955, 1932, Oct Average, Palau, PLW
594.281, 1932, Nov Average, Palau, PLW
340.822, 1932, Dec Average, Palau, PLW
282.082, 1933, Jan Average, Palau, PLW
103.543, 1933, Feb Average, Palau, PLW
165.659, 1933, Mar Average, Palau, PLW
88.2513, 1933, Apr Average, Palau, PLW
321.971, 1933, May Average, Palau, PLW
247.829, 1933, Jun Average, Palau, PLW
358.311, 1933, Jul Average, Palau, PLW
196.941, 1933, Aug Average, Palau, PLW
427.995, 1933, Sep Average, Palau, PLW
398.806, 1933, Oct Average, Palau, PLW
279.788, 1933, Nov Average, Palau, PLW
169.48, 1933, Dec Average, Palau, PLW
400.431, 1934, Jan Average, Palau, PLW
259.174, 1934, Feb Average, Palau, PLW
224.02, 1934, Mar Average, Palau, PLW
271.698, 1934, Apr Average, Palau, PLW
219.038, 1934, May Average, Palau, PLW
240.77, 1934, Jun Average, Palau, PLW
215.693, 1934, Jul Average, Palau, PLW
373.191, 1934, Aug Average, Palau, PLW
524.966, 1934, Sep Average, Palau, PLW
187.581, 1934, Oct Average, Palau, PLW
415.223, 1934, Nov Average, Palau, PLW
278.459, 1934, Dec Average, Palau, PLW
