Rainfall - (MM), Year, Statistics, Country, ISO3
23.9815, 1901, Jan Average, Poland, POL
20.3868, 1901, Feb Average, Poland, POL
45.0815, 1901, Mar Average, Poland, POL
51.3196, 1901, Apr Average, Poland, POL
36.5032, 1901, May Average, Poland, POL
90.2493, 1901, Jun Average, Poland, POL
60.8941, 1901, Jul Average, Poland, POL
75.4656, 1901, Aug Average, Poland, POL
34.725, 1901, Sep Average, Poland, POL
40.4668, 1901, Oct Average, Poland, POL
54.2283, 1901, Nov Average, Poland, POL
58.3764, 1901, Dec Average, Poland, POL
44.8718, 1902, Jan Average, Poland, POL
24.0639, 1902, Feb Average, Poland, POL
45.8819, 1902, Mar Average, Poland, POL
35.8698, 1902, Apr Average, Poland, POL
55.3447, 1902, May Average, Poland, POL
83.1407, 1902, Jun Average, Poland, POL
85.6257, 1902, Jul Average, Poland, POL
73.5638, 1902, Aug Average, Poland, POL
39.6675, 1902, Sep Average, Poland, POL
59.8383, 1902, Oct Average, Poland, POL
10.2031, 1902, Nov Average, Poland, POL
44.6116, 1902, Dec Average, Poland, POL
36.5853, 1903, Jan Average, Poland, POL
34.118, 1903, Feb Average, Poland, POL
18.1682, 1903, Mar Average, Poland, POL
68.6975, 1903, Apr Average, Poland, POL
53.9836, 1903, May Average, Poland, POL
79.7757, 1903, Jun Average, Poland, POL
103.151, 1903, Jul Average, Poland, POL
89.2031, 1903, Aug Average, Poland, POL
29.5261, 1903, Sep Average, Poland, POL
59.5818, 1903, Oct Average, Poland, POL
52.9081, 1903, Nov Average, Poland, POL
29.7404, 1903, Dec Average, Poland, POL
19.4246, 1904, Jan Average, Poland, POL
43.2408, 1904, Feb Average, Poland, POL
14.242, 1904, Mar Average, Poland, POL
49.7856, 1904, Apr Average, Poland, POL
53.4008, 1904, May Average, Poland, POL
45.0585, 1904, Jun Average, Poland, POL
36.1765, 1904, Jul Average, Poland, POL
66.5539, 1904, Aug Average, Poland, POL
36.5706, 1904, Sep Average, Poland, POL
59.9408, 1904, Oct Average, Poland, POL
56.2736, 1904, Nov Average, Poland, POL
48.4627, 1904, Dec Average, Poland, POL
38.9659, 1905, Jan Average, Poland, POL
29.0818, 1905, Feb Average, Poland, POL
24.3883, 1905, Mar Average, Poland, POL
51.1095, 1905, Apr Average, Poland, POL
58.8478, 1905, May Average, Poland, POL
66.3935, 1905, Jun Average, Poland, POL
94.4555, 1905, Jul Average, Poland, POL
84.5353, 1905, Aug Average, Poland, POL
52.8829, 1905, Sep Average, Poland, POL
65.1305, 1905, Oct Average, Poland, POL
58.5226, 1905, Nov Average, Poland, POL
29.6506, 1905, Dec Average, Poland, POL
31.4145, 1906, Jan Average, Poland, POL
22.3528, 1906, Feb Average, Poland, POL
51.2909, 1906, Mar Average, Poland, POL
25.3443, 1906, Apr Average, Poland, POL
68.1079, 1906, May Average, Poland, POL
96.9621, 1906, Jun Average, Poland, POL
77.1012, 1906, Jul Average, Poland, POL
74.0249, 1906, Aug Average, Poland, POL
74.7559, 1906, Sep Average, Poland, POL
25.8693, 1906, Oct Average, Poland, POL
42.9898, 1906, Nov Average, Poland, POL
47.5375, 1906, Dec Average, Poland, POL
39.4001, 1907, Jan Average, Poland, POL
24.7954, 1907, Feb Average, Poland, POL
39.1526, 1907, Mar Average, Poland, POL
36.4053, 1907, Apr Average, Poland, POL
41.686, 1907, May Average, Poland, POL
77.0157, 1907, Jun Average, Poland, POL
114.648, 1907, Jul Average, Poland, POL
79.6271, 1907, Aug Average, Poland, POL
45.8191, 1907, Sep Average, Poland, POL
17.0209, 1907, Oct Average, Poland, POL
27.5184, 1907, Nov Average, Poland, POL
63.7129, 1907, Dec Average, Poland, POL
32.3071, 1908, Jan Average, Poland, POL
42.2302, 1908, Feb Average, Poland, POL
