Rainfall - (MM), Year, Statistics, Country, ISO3
169.461, 1901, Jan Average, Puerto Rico, PRI
26.1577, 1901, Feb Average, Puerto Rico, PRI
131.638, 1901, Mar Average, Puerto Rico, PRI
117.911, 1901, Apr Average, Puerto Rico, PRI
261.766, 1901, May Average, Puerto Rico, PRI
268.919, 1901, Jun Average, Puerto Rico, PRI
329.322, 1901, Jul Average, Puerto Rico, PRI
187.298, 1901, Aug Average, Puerto Rico, PRI
302.387, 1901, Sep Average, Puerto Rico, PRI
288.013, 1901, Oct Average, Puerto Rico, PRI
365.191, 1901, Nov Average, Puerto Rico, PRI
220.263, 1901, Dec Average, Puerto Rico, PRI
242.321, 1902, Jan Average, Puerto Rico, PRI
35.4221, 1902, Feb Average, Puerto Rico, PRI
67.7196, 1902, Mar Average, Puerto Rico, PRI
204.038, 1902, Apr Average, Puerto Rico, PRI
390.022, 1902, May Average, Puerto Rico, PRI
401.984, 1902, Jun Average, Puerto Rico, PRI
140.408, 1902, Jul Average, Puerto Rico, PRI
150.872, 1902, Aug Average, Puerto Rico, PRI
180.261, 1902, Sep Average, Puerto Rico, PRI
115.295, 1902, Oct Average, Puerto Rico, PRI
208.715, 1902, Nov Average, Puerto Rico, PRI
227.107, 1902, Dec Average, Puerto Rico, PRI
76.7848, 1903, Jan Average, Puerto Rico, PRI
30.7005, 1903, Feb Average, Puerto Rico, PRI
87.257, 1903, Mar Average, Puerto Rico, PRI
124.081, 1903, Apr Average, Puerto Rico, PRI
273.531, 1903, May Average, Puerto Rico, PRI
169.963, 1903, Jun Average, Puerto Rico, PRI
238.55, 1903, Jul Average, Puerto Rico, PRI
241.18, 1903, Aug Average, Puerto Rico, PRI
195.376, 1903, Sep Average, Puerto Rico, PRI
233.39, 1903, Oct Average, Puerto Rico, PRI
169.462, 1903, Nov Average, Puerto Rico, PRI
272.048, 1903, Dec Average, Puerto Rico, PRI
121.084, 1904, Jan Average, Puerto Rico, PRI
178.187, 1904, Feb Average, Puerto Rico, PRI
167.454, 1904, Mar Average, Puerto Rico, PRI
177.62, 1904, Apr Average, Puerto Rico, PRI
159.876, 1904, May Average, Puerto Rico, PRI
109.783, 1904, Jun Average, Puerto Rico, PRI
188.938, 1904, Jul Average, Puerto Rico, PRI
227.395, 1904, Aug Average, Puerto Rico, PRI
274.282, 1904, Sep Average, Puerto Rico, PRI
233.036, 1904, Oct Average, Puerto Rico, PRI
256.041, 1904, Nov Average, Puerto Rico, PRI
124.377, 1904, Dec Average, Puerto Rico, PRI
179.611, 1905, Jan Average, Puerto Rico, PRI
80.1467, 1905, Feb Average, Puerto Rico, PRI
134.236, 1905, Mar Average, Puerto Rico, PRI
112.625, 1905, Apr Average, Puerto Rico, PRI
265.755, 1905, May Average, Puerto Rico, PRI
