Rainfall - (MM), Year, Statistics, Country, ISO3
35.9591, 1901, Jan Average, Korea, Democratic People's Republic of, PRK
3.86172, 1901, Feb Average, Korea, Democratic People's Republic of, PRK
24.3571, 1901, Mar Average, Korea, Democratic People's Republic of, PRK
44.2846, 1901, Apr Average, Korea, Democratic People's Republic of, PRK
83.0365, 1901, May Average, Korea, Democratic People's Republic of, PRK
29.7788, 1901, Jun Average, Korea, Democratic People's Republic of, PRK
81.9358, 1901, Jul Average, Korea, Democratic People's Republic of, PRK
71.4698, 1901, Aug Average, Korea, Democratic People's Republic of, PRK
33.1889, 1901, Sep Average, Korea, Democratic People's Republic of, PRK
60.1656, 1901, Oct Average, Korea, Democratic People's Republic of, PRK
15.0591, 1901, Nov Average, Korea, Democratic People's Republic of, PRK
19.7537, 1901, Dec Average, Korea, Democratic People's Republic of, PRK
2.99528, 1902, Jan Average, Korea, Democratic People's Republic of, PRK
25.7921, 1902, Feb Average, Korea, Democratic People's Republic of, PRK
65.7459, 1902, Mar Average, Korea, Democratic People's Republic of, PRK
29.0757, 1902, Apr Average, Korea, Democratic People's Republic of, PRK
91.6451, 1902, May Average, Korea, Democratic People's Republic of, PRK
100.863, 1902, Jun Average, Korea, Democratic People's Republic of, PRK
202.611, 1902, Jul Average, Korea, Democratic People's Republic of, PRK
178.098, 1902, Aug Average, Korea, Democratic People's Republic of, PRK
140.387, 1902, Sep Average, Korea, Democratic People's Republic of, PRK
47.828, 1902, Oct Average, Korea, Democratic People's Republic of, PRK
28.7568, 1902, Nov Average, Korea, Democratic People's Republic of, PRK
19.6255, 1902, Dec Average, Korea, Democratic People's Republic of, PRK
38.7445, 1903, Jan Average, Korea, Democratic People's Republic of, PRK
26.9354, 1903, Feb Average, Korea, Democratic People's Republic of, PRK
40.0462, 1903, Mar Average, Korea, Democratic People's Republic of, PRK
50.0601, 1903, Apr Average, Korea, Democratic People's Republic of, PRK
225.522, 1903, May Average, Korea, Democratic People's Republic of, PRK
63.5406, 1903, Jun Average, Korea, Democratic People's Republic of, PRK
274.368, 1903, Jul Average, Korea, Democratic People's Republic of, PRK
322.211, 1903, Aug Average, Korea, Democratic People's Republic of, PRK
123.767, 1903, Sep Average, Korea, Democratic People's Republic of, PRK
31.8248, 1903, Oct Average, Korea, Democratic People's Republic of, PRK
19.0226, 1903, Nov Average, Korea, Democratic People's Republic of, PRK
15.529, 1903, Dec Average, Korea, Democratic People's Republic of, PRK
0.50585, 1904, Jan Average, Korea, Democratic People's Republic of, PRK
22.8475, 1904, Feb Average, Korea, Democratic People's Republic of, PRK
20.8715, 1904, Mar Average, Korea, Democratic People's Republic of, PRK
82.124, 1904, Apr Average, Korea, Democratic People's Republic of, PRK
64.8371, 1904, May Average, Korea, Democratic People's Republic of, PRK
104.455, 1904, Jun Average, Korea, Democratic People's Republic of, PRK
251.707, 1904, Jul Average, Korea, Democratic People's Republic of, PRK
137.337, 1904, Aug Average, Korea, Democratic People's Republic of, PRK
40.4528, 1904, Sep Average, Korea, Democratic People's Republic of, PRK
36.2866, 1904, Oct Average, Korea, Democratic People's Republic of, PRK
10.906, 1904, Nov Average, Korea, Democratic People's Republic of, PRK
14.4476, 1904, Dec Average, Korea, Democratic People's Republic of, PRK
5.5712, 1905, Jan Average, Korea, Democratic People's Republic of, PRK
1.83685, 1905, Feb Average, Korea, Democratic People's Republic of, PRK
30.0162, 1905, Mar Average, Korea, Democratic People's Republic of, PRK
27.0766, 1905, Apr Average, Korea, Democratic People's Republic of, PRK
152.24, 1905, May Average, Korea, Democratic People's Republic of, PRK
88.659, 1905, Jun Average, Korea, Democratic People's Republic of, PRK
298.803, 1905, Jul Average, Korea, Democratic People's Republic of, PRK
195.343, 1905, Aug Average, Korea, Democratic People's Republic of, PRK
187.986, 1905, Sep Average, Korea, Democratic People's Republic of, PRK
38.4199, 1905, Oct Average, Korea, Democratic People's Republic of, PRK
23.1456, 1905, Nov Average, Korea, Democratic People's Republic of, PRK
23.1747, 1905, Dec Average, Korea, Democratic People's Republic of, PRK
9.71974, 1906, Jan Average, Korea, Democratic People's Republic of, PRK
17.7485, 1906, Feb Average, Korea, Democratic People's Republic of, PRK
15.5445, 1906, Mar Average, Korea, Democratic People's Republic of, PRK
28.7518, 1906, Apr Average, Korea, Democratic People's Republic of, PRK
94.7603, 1906, May Average, Korea, Democratic People's Republic of, PRK
105.084, 1906, Jun Average, Korea, Democratic People's Republic of, PRK
164.746, 1906, Jul Average, Korea, Democratic People's Republic of, PRK
144.517, 1906, Aug Average, Korea, Democratic People's Republic of, PRK
83.4339, 1906, Sep Average, Korea, Democratic People's Republic of, PRK
54.5317, 1906, Oct Average, Korea, Democratic People's Republic of, PRK
7.96543, 1906, Nov Average, Korea, Democratic People's Republic of, PRK
22.0714, 1906, Dec Average, Korea, Democratic People's Republic of, PRK
8.15117, 1907, Jan Average, Korea, Democratic People's Republic of, PRK
7.43782, 1907, Feb Average, Korea, Democratic People's Republic of, PRK
12.4164, 1907, Mar Average, Korea, Democratic People's Republic of, PRK
64.6069, 1907, Apr Average, Korea, Democratic People's Republic of, PRK
171.758, 1907, May Average, Korea, Democratic People's Republic of, PRK
74.8237, 1907, Jun Average, Korea, Democratic People's Republic of, PRK
107.791, 1907, Jul Average, Korea, Democratic People's Republic of, PRK
206.416, 1907, Aug Average, Korea, Democratic People's Republic of, PRK
51.1571, 1907, Sep Average, Korea, Democratic People's Republic of, PRK
68.2041, 1907, Oct Average, Korea, Democratic People's Republic of, PRK
52.5642, 1907, Nov Average, Korea, Democratic People's Republic of, PRK
13.2748, 1907, Dec Average, Korea, Democratic People's Republic of, PRK
11.6127, 1908, Jan Average, Korea, Democratic People's Republic of, PRK
10.7159, 1908, Feb Average, Korea, Democratic People's Republic of, PRK
29.5369, 1908, Mar Average, Korea, Democratic People's Republic of, PRK
15.4943, 1908, Apr Average, Korea, Democratic People's Republic of, PRK
83.6688, 1908, May Average, Korea, Democratic People's Republic of, PRK
104.035, 1908, Jun Average, Korea, Democratic People's Republic of, PRK
266.441, 1908, Jul Average, Korea, Democratic People's Republic of, PRK
185.539, 1908, Aug Average, Korea, Democratic People's Republic of, PRK
153.672, 1908, Sep Average, Korea, Democratic People's Republic of, PRK
36.7701, 1908, Oct Average, Korea, Democratic People's Republic of, PRK
14.3564, 1908, Nov Average, Korea, Democratic People's Republic of, PRK
5.10784, 1908, Dec Average, Korea, Democratic People's Republic of, PRK
5.76023, 1909, Jan Average, Korea, Democratic People's Republic of, PRK
14.0388, 1909, Feb Average, Korea, Democratic People's Republic of, PRK
23.241, 1909, Mar Average, Korea, Democratic People's Republic of, PRK
74.5426, 1909, Apr Average, Korea, Democratic People's Republic of, PRK
63.2671, 1909, May Average, Korea, Democratic People's Republic of, PRK
121.808, 1909, Jun Average, Korea, Democratic People's Republic of, PRK
228.02, 1909, Jul Average, Korea, Democratic People's Republic of, PRK
305.003, 1909, Aug Average, Korea, Democratic People's Republic of, PRK
87.5733, 1909, Sep Average, Korea, Democratic People's Republic of, PRK
67.1333, 1909, Oct Average, Korea, Democratic People's Republic of, PRK
29.1172, 1909, Nov Average, Korea, Democratic People's Republic of, PRK
22.4035, 1909, Dec Average, Korea, Democratic People's Republic of, PRK
14.0476, 1910, Jan Average, Korea, Democratic People's Republic of, PRK
1.7018, 1910, Feb Average, Korea, Democratic People's Republic of, PRK
26.0675, 1910, Mar Average, Korea, Democratic People's Republic of, PRK
34.9523, 1910, Apr Average, Korea, Democratic People's Republic of, PRK
31.595, 1910, May Average, Korea, Democratic People's Republic of, PRK
202.574, 1910, Jun Average, Korea, Democratic People's Republic of, PRK
250.426, 1910, Jul Average, Korea, Democratic People's Republic of, PRK
219.116, 1910, Aug Average, Korea, Democratic People's Republic of, PRK
66.7775, 1910, Sep Average, Korea, Democratic People's Republic of, PRK
37.6557, 1910, Oct Average, Korea, Democratic People's Republic of, PRK
47.0648, 1910, Nov Average, Korea, Democratic People's Republic of, PRK
8.73388, 1910, Dec Average, Korea, Democratic People's Republic of, PRK
29.9226, 1911, Jan Average, Korea, Democratic People's Republic of, PRK
7.29116, 1911, Feb Average, Korea, Democratic People's Republic of, PRK
70.2749, 1911, Mar Average, Korea, Democratic People's Republic of, PRK
57.6755, 1911, Apr Average, Korea, Democratic People's Republic of, PRK
46.0628, 1911, May Average, Korea, Democratic People's Republic of, PRK
106.908, 1911, Jun Average, Korea, Democratic People's Republic of, PRK
283.501, 1911, Jul Average, Korea, Democratic People's Republic of, PRK
157.389, 1911, Aug Average, Korea, Democratic People's Republic of, PRK
270.005, 1911, Sep Average, Korea, Democratic People's Republic of, PRK
47.0294, 1911, Oct Average, Korea, Democratic People's Republic of, PRK
76.4448, 1911, Nov Average, Korea, Democratic People's Republic of, PRK
13.0593, 1911, Dec Average, Korea, Democratic People's Republic of, PRK
2.78792, 1912, Jan Average, Korea, Democratic People's Republic of, PRK
35.0016, 1912, Feb Average, Korea, Democratic People's Republic of, PRK
15.3568, 1912, Mar Average, Korea, Democratic People's Republic of, PRK
55.1388, 1912, Apr Average, Korea, Democratic People's Republic of, PRK
153.906, 1912, May Average, Korea, Democratic People's Republic of, PRK
115.544, 1912, Jun Average, Korea, Democratic People's Republic of, PRK
179.274, 1912, Jul Average, Korea, Democratic People's Republic of, PRK
237.608, 1912, Aug Average, Korea, Democratic People's Republic of, PRK
41.6861, 1912, Sep Average, Korea, Democratic People's Republic of, PRK
79.9862, 1912, Oct Average, Korea, Democratic People's Republic of, PRK
27.8991, 1912, Nov Average, Korea, Democratic People's Republic of, PRK
13.0537, 1912, Dec Average, Korea, Democratic People's Republic of, PRK
9.69598, 1913, Jan Average, Korea, Democratic People's Republic of, PRK
8.06927, 1913, Feb Average, Korea, Democratic People's Republic of, PRK
9.67345, 1913, Mar Average, Korea, Democratic People's Republic of, PRK
65.1232, 1913, Apr Average, Korea, Democratic People's Republic of, PRK
66.1695, 1913, May Average, Korea, Democratic People's Republic of, PRK
177.762, 1913, Jun Average, Korea, Democratic People's Republic of, PRK
199.383, 1913, Jul Average, Korea, Democratic People's Republic of, PRK
93.4935, 1913, Aug Average, Korea, Democratic People's Republic of, PRK
43.6342, 1913, Sep Average, Korea, Democratic People's Republic of, PRK
40.309, 1913, Oct Average, Korea, Democratic People's Republic of, PRK
30.3456, 1913, Nov Average, Korea, Democratic People's Republic of, PRK
6.83706, 1913, Dec Average, Korea, Democratic People's Republic of, PRK
33.5394, 1914, Jan Average, Korea, Democratic People's Republic of, PRK
6.98625, 1914, Feb Average, Korea, Democratic People's Republic of, PRK
69.8966, 1914, Mar Average, Korea, Democratic People's Republic of, PRK
23.2714, 1914, Apr Average, Korea, Democratic People's Republic of, PRK
41.8358, 1914, May Average, Korea, Democratic People's Republic of, PRK
144.154, 1914, Jun Average, Korea, Democratic People's Republic of, PRK
360.202, 1914, Jul Average, Korea, Democratic People's Republic of, PRK
213.786, 1914, Aug Average, Korea, Democratic People's Republic of, PRK
247.982, 1914, Sep Average, Korea, Democratic People's Republic of, PRK
64.8578, 1914, Oct Average, Korea, Democratic People's Republic of, PRK
72.175, 1914, Nov Average, Korea, Democratic People's Republic of, PRK
9.66966, 1914, Dec Average, Korea, Democratic People's Republic of, PRK
35.3162, 1915, Jan Average, Korea, Democratic People's Republic of, PRK
33.9007, 1915, Feb Average, Korea, Democratic People's Republic of, PRK
37.3344, 1915, Mar Average, Korea, Democratic People's Republic of, PRK
37.7864, 1915, Apr Average, Korea, Democratic People's Republic of, PRK
131.376, 1915, May Average, Korea, Democratic People's Republic of, PRK
131.411, 1915, Jun Average, Korea, Democratic People's Republic of, PRK
254.147, 1915, Jul Average, Korea, Democratic People's Republic of, PRK
198.327, 1915, Aug Average, Korea, Democratic People's Republic of, PRK
146.215, 1915, Sep Average, Korea, Democratic People's Republic of, PRK
64.5738, 1915, Oct Average, Korea, Democratic People's Republic of, PRK
34.5493, 1915, Nov Average, Korea, Democratic People's Republic of, PRK
6.11715, 1915, Dec Average, Korea, Democratic People's Republic of, PRK
21.8065, 1916, Jan Average, Korea, Democratic People's Republic of, PRK
23.2343, 1916, Feb Average, Korea, Democratic People's Republic of, PRK
14.4409, 1916, Mar Average, Korea, Democratic People's Republic of, PRK
69.2158, 1916, Apr Average, Korea, Democratic People's Republic of, PRK
124.823, 1916, May Average, Korea, Democratic People's Republic of, PRK
157.271, 1916, Jun Average, Korea, Democratic People's Republic of, PRK
167.604, 1916, Jul Average, Korea, Democratic People's Republic of, PRK
227.944, 1916, Aug Average, Korea, Democratic People's Republic of, PRK
153.081, 1916, Sep Average, Korea, Democratic People's Republic of, PRK
45.4441, 1916, Oct Average, Korea, Democratic People's Republic of, PRK
36.5028, 1916, Nov Average, Korea, Democratic People's Republic of, PRK
13.9127, 1916, Dec Average, Korea, Democratic People's Republic of, PRK
8.88802, 1917, Jan Average, Korea, Democratic People's Republic of, PRK
10.6624, 1917, Feb Average, Korea, Democratic People's Republic of, PRK
21.2175, 1917, Mar Average, Korea, Democratic People's Republic of, PRK
27.1353, 1917, Apr Average, Korea, Democratic People's Republic of, PRK
61.421, 1917, May Average, Korea, Democratic People's Republic of, PRK
48.0166, 1917, Jun Average, Korea, Democratic People's Republic of, PRK
227.139, 1917, Jul Average, Korea, Democratic People's Republic of, PRK
125.138, 1917, Aug Average, Korea, Democratic People's Republic of, PRK
203.017, 1917, Sep Average, Korea, Democratic People's Republic of, PRK
50.4724, 1917, Oct Average, Korea, Democratic People's Republic of, PRK
17.3327, 1917, Nov Average, Korea, Democratic People's Republic of, PRK
22.9651, 1917, Dec Average, Korea, Democratic People's Republic of, PRK
6.5403, 1918, Jan Average, Korea, Democratic People's Republic of, PRK
12.8712, 1918, Feb Average, Korea, Democratic People's Republic of, PRK
48.2812, 1918, Mar Average, Korea, Democratic People's Republic of, PRK
23.9219, 1918, Apr Average, Korea, Democratic People's Republic of, PRK
129.734, 1918, May Average, Korea, Democratic People's Republic of, PRK
121.724, 1918, Jun Average, Korea, Democratic People's Republic of, PRK
245.824, 1918, Jul Average, Korea, Democratic People's Republic of, PRK
244.805, 1918, Aug Average, Korea, Democratic People's Republic of, PRK
142.081, 1918, Sep Average, Korea, Democratic People's Republic of, PRK
37.0529, 1918, Oct Average, Korea, Democratic People's Republic of, PRK
38.4473, 1918, Nov Average, Korea, Democratic People's Republic of, PRK
10.6202, 1918, Dec Average, Korea, Democratic People's Republic of, PRK
23.3624, 1919, Jan Average, Korea, Democratic People's Republic of, PRK
3.54388, 1919, Feb Average, Korea, Democratic People's Republic of, PRK
22.7923, 1919, Mar Average, Korea, Democratic People's Republic of, PRK
38.6529, 1919, Apr Average, Korea, Democratic People's Republic of, PRK
129.81, 1919, May Average, Korea, Democratic People's Republic of, PRK
142.772, 1919, Jun Average, Korea, Democratic People's Republic of, PRK
89.9317, 1919, Jul Average, Korea, Democratic People's Republic of, PRK
206.072, 1919, Aug Average, Korea, Democratic People's Republic of, PRK
148.685, 1919, Sep Average, Korea, Democratic People's Republic of, PRK
99.2667, 1919, Oct Average, Korea, Democratic People's Republic of, PRK
23.1279, 1919, Nov Average, Korea, Democratic People's Republic of, PRK
10.4775, 1919, Dec Average, Korea, Democratic People's Republic of, PRK
15.0025, 1920, Jan Average, Korea, Democratic People's Republic of, PRK
19.166, 1920, Feb Average, Korea, Democratic People's Republic of, PRK
13.1561, 1920, Mar Average, Korea, Democratic People's Republic of, PRK
37.6414, 1920, Apr Average, Korea, Democratic People's Republic of, PRK
57.2891, 1920, May Average, Korea, Democratic People's Republic of, PRK
99.6914, 1920, Jun Average, Korea, Democratic People's Republic of, PRK
225.009, 1920, Jul Average, Korea, Democratic People's Republic of, PRK
263.351, 1920, Aug Average, Korea, Democratic People's Republic of, PRK
134.426, 1920, Sep Average, Korea, Democratic People's Republic of, PRK
17.1102, 1920, Oct Average, Korea, Democratic People's Republic of, PRK
56.1665, 1920, Nov Average, Korea, Democratic People's Republic of, PRK
17.0226, 1920, Dec Average, Korea, Democratic People's Republic of, PRK
7.63109, 1921, Jan Average, Korea, Democratic People's Republic of, PRK
14.5121, 1921, Feb Average, Korea, Democratic People's Republic of, PRK
30.3509, 1921, Mar Average, Korea, Democratic People's Republic of, PRK
50.237, 1921, Apr Average, Korea, Democratic People's Republic of, PRK
101.036, 1921, May Average, Korea, Democratic People's Republic of, PRK
99.9416, 1921, Jun Average, Korea, Democratic People's Republic of, PRK
188.615, 1921, Jul Average, Korea, Democratic People's Republic of, PRK
