Rainfall - (MM), Year, Statistics, Country, ISO3
95.4163, 1901, Jan Average, Portugal, PRT
94.8555, 1901, Feb Average, Portugal, PRT
167.218, 1901, Mar Average, Portugal, PRT
56.5306, 1901, Apr Average, Portugal, PRT
41.4389, 1901, May Average, Portugal, PRT
11.0804, 1901, Jun Average, Portugal, PRT
5.27905, 1901, Jul Average, Portugal, PRT
4.28003, 1901, Aug Average, Portugal, PRT
99.6753, 1901, Sep Average, Portugal, PRT
79.8795, 1901, Oct Average, Portugal, PRT
71.7913, 1901, Nov Average, Portugal, PRT
100.226, 1901, Dec Average, Portugal, PRT
14.0627, 1902, Jan Average, Portugal, PRT
255.037, 1902, Feb Average, Portugal, PRT
54.21, 1902, Mar Average, Portugal, PRT
106.13, 1902, Apr Average, Portugal, PRT
34.9859, 1902, May Average, Portugal, PRT
47.3475, 1902, Jun Average, Portugal, PRT
27.756, 1902, Jul Average, Portugal, PRT
20.6344, 1902, Aug Average, Portugal, PRT
27.6102, 1902, Sep Average, Portugal, PRT
94.108, 1902, Oct Average, Portugal, PRT
188.992, 1902, Nov Average, Portugal, PRT
71.506, 1902, Dec Average, Portugal, PRT
76.1415, 1903, Jan Average, Portugal, PRT
29.007, 1903, Feb Average, Portugal, PRT
52.3774, 1903, Mar Average, Portugal, PRT
66.2197, 1903, Apr Average, Portugal, PRT
129.129, 1903, May Average, Portugal, PRT
70.538, 1903, Jun Average, Portugal, PRT
24.1873, 1903, Jul Average, Portugal, PRT
9.13214, 1903, Aug Average, Portugal, PRT
80.7036, 1903, Sep Average, Portugal, PRT
79.4192, 1903, Oct Average, Portugal, PRT
28.6558, 1903, Nov Average, Portugal, PRT
184.546, 1903, Dec Average, Portugal, PRT
117.698, 1904, Jan Average, Portugal, PRT
159.736, 1904, Feb Average, Portugal, PRT
97.7319, 1904, Mar Average, Portugal, PRT
30.1268, 1904, Apr Average, Portugal, PRT
18.2799, 1904, May Average, Portugal, PRT
29.586, 1904, Jun Average, Portugal, PRT
3.49039, 1904, Jul Average, Portugal, PRT
