Rainfall - (MM), Year, Statistics, Country, ISO3
111.383, 1901, Jan Average, Paraguay, PRY
106.98, 1901, Feb Average, Paraguay, PRY
74.7206, 1901, Mar Average, Paraguay, PRY
97.593, 1901, Apr Average, Paraguay, PRY
80.9178, 1901, May Average, Paraguay, PRY
39.1274, 1901, Jun Average, Paraguay, PRY
34.7109, 1901, Jul Average, Paraguay, PRY
44.6719, 1901, Aug Average, Paraguay, PRY
77.7073, 1901, Sep Average, Paraguay, PRY
89.1752, 1901, Oct Average, Paraguay, PRY
121.094, 1901, Nov Average, Paraguay, PRY
40.7072, 1901, Dec Average, Paraguay, PRY
201.378, 1902, Jan Average, Paraguay, PRY
59.9403, 1902, Feb Average, Paraguay, PRY
84.1714, 1902, Mar Average, Paraguay, PRY
68.2091, 1902, Apr Average, Paraguay, PRY
130.648, 1902, May Average, Paraguay, PRY
22.9524, 1902, Jun Average, Paraguay, PRY
51.4393, 1902, Jul Average, Paraguay, PRY
11.9459, 1902, Aug Average, Paraguay, PRY
73.3565, 1902, Sep Average, Paraguay, PRY
123.819, 1902, Oct Average, Paraguay, PRY
133.329, 1902, Nov Average, Paraguay, PRY
150.932, 1902, Dec Average, Paraguay, PRY
77.6655, 1903, Jan Average, Paraguay, PRY
221.48, 1903, Feb Average, Paraguay, PRY
138.548, 1903, Mar Average, Paraguay, PRY
84.9545, 1903, Apr Average, Paraguay, PRY
26.8068, 1903, May Average, Paraguay, PRY
61.314, 1903, Jun Average, Paraguay, PRY
54.7059, 1903, Jul Average, Paraguay, PRY
67.4106, 1903, Aug Average, Paraguay, PRY
24.9081, 1903, Sep Average, Paraguay, PRY
168.354, 1903, Oct Average, Paraguay, PRY
84.8434, 1903, Nov Average, Paraguay, PRY
229.169, 1903, Dec Average, Paraguay, PRY
110.93, 1904, Jan Average, Paraguay, PRY
74.9659, 1904, Feb Average, Paraguay, PRY
69.8489, 1904, Mar Average, Paraguay, PRY
92.7959, 1904, Apr Average, Paraguay, PRY
83.5803, 1904, May Average, Paraguay, PRY
33.3165, 1904, Jun Average, Paraguay, PRY
75.8011, 1904, Jul Average, Paraguay, PRY
31.8447, 1904, Aug Average, Paraguay, PRY
102.666, 1904, Sep Average, Paraguay, PRY
144.371, 1904, Oct Average, Paraguay, PRY
110.788, 1904, Nov Average, Paraguay, PRY
135.929, 1904, Dec Average, Paraguay, PRY
65.7428, 1905, Jan Average, Paraguay, PRY
136.137, 1905, Feb Average, Paraguay, PRY
110.292, 1905, Mar Average, Paraguay, PRY
115.661, 1905, Apr Average, Paraguay, PRY
222.574, 1905, May Average, Paraguay, PRY
55.1432, 1905, Jun Average, Paraguay, PRY
75.4091, 1905, Jul Average, Paraguay, PRY
28.0319, 1905, Aug Average, Paraguay, PRY
63.5611, 1905, Sep Average, Paraguay, PRY
183.196, 1905, Oct Average, Paraguay, PRY
109.004, 1905, Nov Average, Paraguay, PRY
146.531, 1905, Dec Average, Paraguay, PRY
49.2533, 1906, Jan Average, Paraguay, PRY
41.3804, 1906, Feb Average, Paraguay, PRY
53.1544, 1906, Mar Average, Paraguay, PRY
76.7442, 1906, Apr Average, Paraguay, PRY
46.6017, 1906, May Average, Paraguay, PRY
72.9508, 1906, Jun Average, Paraguay, PRY
34.7686, 1906, Jul Average, Paraguay, PRY
22.2771, 1906, Aug Average, Paraguay, PRY
25.0244, 1906, Sep Average, Paraguay, PRY
68.5693, 1906, Oct Average, Paraguay, PRY
62.8845, 1906, Nov Average, Paraguay, PRY
90.295, 1906, Dec Average, Paraguay, PRY
135.279, 1907, Jan Average, Paraguay, PRY
90.6656, 1907, Feb Average, Paraguay, PRY
130.232, 1907, Mar Average, Paraguay, PRY
109.871, 1907, Apr Average, Paraguay, PRY
44.6859, 1907, May Average, Paraguay, PRY
33.9926, 1907, Jun Average, Paraguay, PRY
32.5784, 1907, Jul Average, Paraguay, PRY
38.3984, 1907, Aug Average, Paraguay, PRY
73.154, 1907, Sep Average, Paraguay, PRY
93.2003, 1907, Oct Average, Paraguay, PRY
145.449, 1907, Nov Average, Paraguay, PRY
215.358, 1907, Dec Average, Paraguay, PRY
119.458, 1908, Jan Average, Paraguay, PRY
109.631, 1908, Feb Average, Paraguay, PRY
70.6623, 1908, Mar Average, Paraguay, PRY
72.9694, 1908, Apr Average, Paraguay, PRY
135.031, 1908, May Average, Paraguay, PRY
49.4086, 1908, Jun Average, Paraguay, PRY
73.8673, 1908, Jul Average, Paraguay, PRY
27.798, 1908, Aug Average, Paraguay, PRY
51.908, 1908, Sep Average, Paraguay, PRY
155.931, 1908, Oct Average, Paraguay, PRY
131.853, 1908, Nov Average, Paraguay, PRY
197.521, 1908, Dec Average, Paraguay, PRY
64.4041, 1909, Jan Average, Paraguay, PRY
153.166, 1909, Feb Average, Paraguay, PRY
83.9201, 1909, Mar Average, Paraguay, PRY
77.4075, 1909, Apr Average, Paraguay, PRY
46.2669, 1909, May Average, Paraguay, PRY
40.8864, 1909, Jun Average, Paraguay, PRY
44.7133, 1909, Jul Average, Paraguay, PRY
13.0402, 1909, Aug Average, Paraguay, PRY
56.335, 1909, Sep Average, Paraguay, PRY
53.9067, 1909, Oct Average, Paraguay, PRY
71.0497, 1909, Nov Average, Paraguay, PRY
128.798, 1909, Dec Average, Paraguay, PRY
112.989, 1910, Jan Average, Paraguay, PRY
155.164, 1910, Feb Average, Paraguay, PRY
84.6792, 1910, Mar Average, Paraguay, PRY
164.786, 1910, Apr Average, Paraguay, PRY
61.0996, 1910, May Average, Paraguay, PRY
32.1701, 1910, Jun Average, Paraguay, PRY
20.9981, 1910, Jul Average, Paraguay, PRY
17.0277, 1910, Aug Average, Paraguay, PRY
54.7616, 1910, Sep Average, Paraguay, PRY
37.537, 1910, Oct Average, Paraguay, PRY
