Rainfall - (MM), Year, Statistics, Country, ISO3
7.92779, 1901, Jan Average, Qatar, QAT
4.81203, 1901, Feb Average, Qatar, QAT
18.205, 1901, Mar Average, Qatar, QAT
9.3432, 1901, Apr Average, Qatar, QAT
1.08177, 1901, May Average, Qatar, QAT
0.17513, 1901, Jun Average, Qatar, QAT
0.24276, 1901, Jul Average, Qatar, QAT
0.20859, 1901, Aug Average, Qatar, QAT
0, 1901, Sep Average, Qatar, QAT
0.03205, 1901, Oct Average, Qatar, QAT
0.8039, 1901, Nov Average, Qatar, QAT
6.48484, 1901, Dec Average, Qatar, QAT
0.2871, 1902, Jan Average, Qatar, QAT
0.2663, 1902, Feb Average, Qatar, QAT
1.22991, 1902, Mar Average, Qatar, QAT
8.95608, 1902, Apr Average, Qatar, QAT
0, 1902, May Average, Qatar, QAT
0.17513, 1902, Jun Average, Qatar, QAT
0, 1902, Jul Average, Qatar, QAT
0.20859, 1902, Aug Average, Qatar, QAT
0, 1902, Sep Average, Qatar, QAT
1.95198, 1902, Oct Average, Qatar, QAT
4.17824, 1902, Nov Average, Qatar, QAT
0.6377, 1902, Dec Average, Qatar, QAT
2.06769, 1903, Jan Average, Qatar, QAT
30.6057, 1903, Feb Average, Qatar, QAT
8.24833, 1903, Mar Average, Qatar, QAT
12.3485, 1903, Apr Average, Qatar, QAT
0, 1903, May Average, Qatar, QAT
0.17513, 1903, Jun Average, Qatar, QAT
0, 1903, Jul Average, Qatar, QAT
0.20859, 1903, Aug Average, Qatar, QAT
0, 1903, Sep Average, Qatar, QAT
0, 1903, Oct Average, Qatar, QAT
0, 1903, Nov Average, Qatar, QAT
4.7062, 1903, Dec Average, Qatar, QAT
5.73618, 1904, Jan Average, Qatar, QAT
3.63944, 1904, Feb Average, Qatar, QAT
22.3158, 1904, Mar Average, Qatar, QAT
3.51656, 1904, Apr Average, Qatar, QAT
10.7342, 1904, May Average, Qatar, QAT
0.17513, 1904, Jun Average, Qatar, QAT
0, 1904, Jul Average, Qatar, QAT
0.20859, 1904, Aug Average, Qatar, QAT
0, 1904, Sep Average, Qatar, QAT
0, 1904, Oct Average, Qatar, QAT
0, 1904, Nov Average, Qatar, QAT
1.16195, 1904, Dec Average, Qatar, QAT
2.24886, 1905, Jan Average, Qatar, QAT
10.2393, 1905, Feb Average, Qatar, QAT
10.9678, 1905, Mar Average, Qatar, QAT
0, 1905, Apr Average, Qatar, QAT
0.38192, 1905, May Average, Qatar, QAT
0.17513, 1905, Jun Average, Qatar, QAT
0, 1905, Jul Average, Qatar, QAT
0.20859, 1905, Aug Average, Qatar, QAT
0, 1905, Sep Average, Qatar, QAT
0, 1905, Oct Average, Qatar, QAT
0, 1905, Nov Average, Qatar, QAT
21.2653, 1905, Dec Average, Qatar, QAT
8.01477, 1906, Jan Average, Qatar, QAT
27.2847, 1906, Feb Average, Qatar, QAT
32.8019, 1906, Mar Average, Qatar, QAT
0.79609, 1906, Apr Average, Qatar, QAT
2.24826, 1906, May Average, Qatar, QAT
0.17513, 1906, Jun Average, Qatar, QAT
0, 1906, Jul Average, Qatar, QAT
0.20859, 1906, Aug Average, Qatar, QAT
0, 1906, Sep Average, Qatar, QAT
0, 1906, Oct Average, Qatar, QAT
1.70166, 1906, Nov Average, Qatar, QAT
0.04643, 1906, Dec Average, Qatar, QAT
0.10044, 1907, Jan Average, Qatar, QAT
42.7578, 1907, Feb Average, Qatar, QAT
0.20168, 1907, Mar Average, Qatar, QAT
9.23939, 1907, Apr Average, Qatar, QAT
1.97883, 1907, May Average, Qatar, QAT
0.17513, 1907, Jun Average, Qatar, QAT
0, 1907, Jul Average, Qatar, QAT
0.20859, 1907, Aug Average, Qatar, QAT
0, 1907, Sep Average, Qatar, QAT
0, 1907, Oct Average, Qatar, QAT
0.08638, 1907, Nov Average, Qatar, QAT
1.03617, 1907, Dec Average, Qatar, QAT
17.1471, 1908, Jan Average, Qatar, QAT
2.1319, 1908, Feb Average, Qatar, QAT
2.86083, 1908, Mar Average, Qatar, QAT
5.00102, 1908, Apr Average, Qatar, QAT
0.12653, 1908, May Average, Qatar, QAT
0.17513, 1908, Jun Average, Qatar, QAT
0, 1908, Jul Average, Qatar, QAT
0.20859, 1908, Aug Average, Qatar, QAT
0, 1908, Sep Average, Qatar, QAT
0, 1908, Oct Average, Qatar, QAT
0.08638, 1908, Nov Average, Qatar, QAT
1.64998, 1908, Dec Average, Qatar, QAT
17.4027, 1909, Jan Average, Qatar, QAT
0.25137, 1909, Feb Average, Qatar, QAT
0.47561, 1909, Mar Average, Qatar, QAT
13.5624, 1909, Apr Average, Qatar, QAT
0, 1909, May Average, Qatar, QAT
0.17513, 1909, Jun Average, Qatar, QAT
0, 1909, Jul Average, Qatar, QAT
0.20859, 1909, Aug Average, Qatar, QAT
0, 1909, Sep Average, Qatar, QAT
0, 1909, Oct Average, Qatar, QAT
9.33613, 1909, Nov Average, Qatar, QAT
24.5153, 1909, Dec Average, Qatar, QAT
25.4599, 1910, Jan Average, Qatar, QAT
2.44227, 1910, Feb Average, Qatar, QAT
13.4597, 1910, Mar Average, Qatar, QAT
1.27516, 1910, Apr Average, Qatar, QAT
2.5237, 1910, May Average, Qatar, QAT
0.17513, 1910, Jun Average, Qatar, QAT
0, 1910, Jul Average, Qatar, QAT
0.20859, 1910, Aug Average, Qatar, QAT
0, 1910, Sep Average, Qatar, QAT
0, 1910, Oct Average, Qatar, QAT
0.04906, 1910, Nov Average, Qatar, QAT
9.03456, 1910, Dec Average, Qatar, QAT
10.4133, 1911, Jan Average, Qatar, QAT
2.26134, 1911, Feb Average, Qatar, QAT
67.829, 1911, Mar Average, Qatar, QAT
3.03352, 1911, Apr Average, Qatar, QAT
0, 1911, May Average, Qatar, QAT
0.17513, 1911, Jun Average, Qatar, QAT
0, 1911, Jul Average, Qatar, QAT
0.20859, 1911, Aug Average, Qatar, QAT
0, 1911, Sep Average, Qatar, QAT
0, 1911, Oct Average, Qatar, QAT
7.44667, 1911, Nov Average, Qatar, QAT
9.06795, 1911, Dec Average, Qatar, QAT
14.683, 1912, Jan Average, Qatar, QAT
11.625, 1912, Feb Average, Qatar, QAT
6.77059, 1912, Mar Average, Qatar, QAT
35.7552, 1912, Apr Average, Qatar, QAT
0, 1912, May Average, Qatar, QAT
0.17513, 1912, Jun Average, Qatar, QAT
0, 1912, Jul Average, Qatar, QAT
0.20859, 1912, Aug Average, Qatar, QAT
0, 1912, Sep Average, Qatar, QAT
0, 1912, Oct Average, Qatar, QAT
0, 1912, Nov Average, Qatar, QAT
50.9958, 1912, Dec Average, Qatar, QAT
10.5081, 1913, Jan Average, Qatar, QAT
51.5254, 1913, Feb Average, Qatar, QAT
0.10414, 1913, Mar Average, Qatar, QAT
0.06395, 1913, Apr Average, Qatar, QAT
0.56823, 1913, May Average, Qatar, QAT
0.17513, 1913, Jun Average, Qatar, QAT
0, 1913, Jul Average, Qatar, QAT
0.20859, 1913, Aug Average, Qatar, QAT
0, 1913, Sep Average, Qatar, QAT
0, 1913, Oct Average, Qatar, QAT
0.26155, 1913, Nov Average, Qatar, QAT
15.9806, 1913, Dec Average, Qatar, QAT
7.78247, 1914, Jan Average, Qatar, QAT
22.5344, 1914, Feb Average, Qatar, QAT
12.7267, 1914, Mar Average, Qatar, QAT
20.095, 1914, Apr Average, Qatar, QAT
1.08177, 1914, May Average, Qatar, QAT
0.17513, 1914, Jun Average, Qatar, QAT
0.24276, 1914, Jul Average, Qatar, QAT
0.20859, 1914, Aug Average, Qatar, QAT
0, 1914, Sep Average, Qatar, QAT
0.03205, 1914, Oct Average, Qatar, QAT
6.54707, 1914, Nov Average, Qatar, QAT
5.64902, 1914, Dec Average, Qatar, QAT
4.96445, 1915, Jan Average, Qatar, QAT
10.5415, 1915, Feb Average, Qatar, QAT
52.5165, 1915, Mar Average, Qatar, QAT
28.5393, 1915, Apr Average, Qatar, QAT
1.08177, 1915, May Average, Qatar, QAT
0.17513, 1915, Jun Average, Qatar, QAT
0.24276, 1915, Jul Average, Qatar, QAT
0.20859, 1915, Aug Average, Qatar, QAT
0, 1915, Sep Average, Qatar, QAT
0.03205, 1915, Oct Average, Qatar, QAT
0.8039, 1915, Nov Average, Qatar, QAT
3.03535, 1915, Dec Average, Qatar, QAT
17.8614, 1916, Jan Average, Qatar, QAT
12.5474, 1916, Feb Average, Qatar, QAT
15.0176, 1916, Mar Average, Qatar, QAT
10.6152, 1916, Apr Average, Qatar, QAT
1.08177, 1916, May Average, Qatar, QAT
0.17513, 1916, Jun Average, Qatar, QAT
0.24276, 1916, Jul Average, Qatar, QAT
0.20859, 1916, Aug Average, Qatar, QAT
0, 1916, Sep Average, Qatar, QAT
0.03205, 1916, Oct Average, Qatar, QAT
0.8039, 1916, Nov Average, Qatar, QAT
6.80109, 1916, Dec Average, Qatar, QAT
20.2194, 1917, Jan Average, Qatar, QAT
15.3842, 1917, Feb Average, Qatar, QAT
5.88717, 1917, Mar Average, Qatar, QAT
3.93529, 1917, Apr Average, Qatar, QAT
1.08177, 1917, May Average, Qatar, QAT
0.17513, 1917, Jun Average, Qatar, QAT
0.24276, 1917, Jul Average, Qatar, QAT
0.20859, 1917, Aug Average, Qatar, QAT
0, 1917, Sep Average, Qatar, QAT
0.03205, 1917, Oct Average, Qatar, QAT
0.8039, 1917, Nov Average, Qatar, QAT
9.00769, 1917, Dec Average, Qatar, QAT
8.51944, 1918, Jan Average, Qatar, QAT
13.0955, 1918, Feb Average, Qatar, QAT
24.1481, 1918, Mar Average, Qatar, QAT
11.6475, 1918, Apr Average, Qatar, QAT
1.97883, 1918, May Average, Qatar, QAT
0.17513, 1918, Jun Average, Qatar, QAT
0.24276, 1918, Jul Average, Qatar, QAT
0.20859, 1918, Aug Average, Qatar, QAT
0, 1918, Sep Average, Qatar, QAT
0.03205, 1918, Oct Average, Qatar, QAT
1.48673, 1918, Nov Average, Qatar, QAT
9.96119, 1918, Dec Average, Qatar, QAT
12.831, 1919, Jan Average, Qatar, QAT
18.2464, 1919, Feb Average, Qatar, QAT
5.42241, 1919, Mar Average, Qatar, QAT
23.9112, 1919, Apr Average, Qatar, QAT
3.73588, 1919, May Average, Qatar, QAT
0.17513, 1919, Jun Average, Qatar, QAT
0.24276, 1919, Jul Average, Qatar, QAT
0.20859, 1919, Aug Average, Qatar, QAT
0, 1919, Sep Average, Qatar, QAT
0.03205, 1919, Oct Average, Qatar, QAT
0.8039, 1919, Nov Average, Qatar, QAT
6.90337, 1919, Dec Average, Qatar, QAT
20.8167, 1920, Jan Average, Qatar, QAT
38.2548, 1920, Feb Average, Qatar, QAT
5.42241, 1920, Mar Average, Qatar, QAT
3.93529, 1920, Apr Average, Qatar, QAT
1.08177, 1920, May Average, Qatar, QAT
0.17513, 1920, Jun Average, Qatar, QAT
0.24276, 1920, Jul Average, Qatar, QAT
0.20859, 1920, Aug Average, Qatar, QAT
0, 1920, Sep Average, Qatar, QAT
0.03205, 1920, Oct Average, Qatar, QAT
1.36399, 1920, Nov Average, Qatar, QAT
14.6535, 1920, Dec Average, Qatar, QAT
10.3095, 1921, Jan Average, Qatar, QAT
9.38164, 1921, Feb Average, Qatar, QAT
5.42241, 1921, Mar Average, Qatar, QAT
6.24292, 1921, Apr Average, Qatar, QAT
1.91846, 1921, May Average, Qatar, QAT
0.17513, 1921, Jun Average, Qatar, QAT
0.24276, 1921, Jul Average, Qatar, QAT
0.20859, 1921, Aug Average, Qatar, QAT
0, 1921, Sep Average, Qatar, QAT
0.03205, 1921, Oct Average, Qatar, QAT
2.67087, 1921, Nov Average, Qatar, QAT
10.5762, 1921, Dec Average, Qatar, QAT
3.91912, 1922, Jan Average, Qatar, QAT
10.5415, 1922, Feb Average, Qatar, QAT
5.42241, 1922, Mar Average, Qatar, QAT
3.93529, 1922, Apr Average, Qatar, QAT
1.08177, 1922, May Average, Qatar, QAT
0.17513, 1922, Jun Average, Qatar, QAT
0.24276, 1922, Jul Average, Qatar, QAT
0.20859, 1922, Aug Average, Qatar, QAT
0, 1922, Sep Average, Qatar, QAT
0.03205, 1922, Oct Average, Qatar, QAT
0.8039, 1922, Nov Average, Qatar, QAT
4.59789, 1922, Dec Average, Qatar, QAT
24.0827, 1923, Jan Average, Qatar, QAT
7.64885, 1923, Feb Average, Qatar, QAT
21.8572, 1923, Mar Average, Qatar, QAT
18.5672, 1923, Apr Average, Qatar, QAT
1.08177, 1923, May Average, Qatar, QAT
0.17513, 1923, Jun Average, Qatar, QAT
0.24276, 1923, Jul Average, Qatar, QAT
0.20859, 1923, Aug Average, Qatar, QAT
0, 1923, Sep Average, Qatar, QAT
0.2669, 1923, Oct Average, Qatar, QAT
7.10717, 1923, Nov Average, Qatar, QAT
11.4308, 1923, Dec Average, Qatar, QAT
33.4076, 1924, Jan Average, Qatar, QAT
15.6785, 1924, Feb Average, Qatar, QAT
5.88717, 1924, Mar Average, Qatar, QAT
3.93529, 1924, Apr Average, Qatar, QAT
1.08177, 1924, May Average, Qatar, QAT
0.17513, 1924, Jun Average, Qatar, QAT
0.24276, 1924, Jul Average, Qatar, QAT
0.20859, 1924, Aug Average, Qatar, QAT
0, 1924, Sep Average, Qatar, QAT
0.79531, 1924, Oct Average, Qatar, QAT
0.8039, 1924, Nov Average, Qatar, QAT
9.03456, 1924, Dec Average, Qatar, QAT
11.3374, 1925, Jan Average, Qatar, QAT
10.5415, 1925, Feb Average, Qatar, QAT
5.42241, 1925, Mar Average, Qatar, QAT
3.93529, 1925, Apr Average, Qatar, QAT
4.61915, 1925, May Average, Qatar, QAT
0.17513, 1925, Jun Average, Qatar, QAT
0.24276, 1925, Jul Average, Qatar, QAT
0.20859, 1925, Aug Average, Qatar, QAT
0, 1925, Sep Average, Qatar, QAT
0.22776, 1925, Oct Average, Qatar, QAT
6.40481, 1925, Nov Average, Qatar, QAT
2.50039, 1925, Dec Average, Qatar, QAT
13.8573, 1926, Jan Average, Qatar, QAT
17.9672, 1926, Feb Average, Qatar, QAT
20.4959, 1926, Mar Average, Qatar, QAT
3.93529, 1926, Apr Average, Qatar, QAT
1.08177, 1926, May Average, Qatar, QAT
0.17513, 1926, Jun Average, Qatar, QAT
0.24276, 1926, Jul Average, Qatar, QAT
0.20859, 1926, Aug Average, Qatar, QAT
0, 1926, Sep Average, Qatar, QAT
0.03205, 1926, Oct Average, Qatar, QAT
2.67087, 1926, Nov Average, Qatar, QAT
8.26269, 1926, Dec Average, Qatar, QAT
3.76771, 1927, Jan Average, Qatar, QAT
13.9494, 1927, Feb Average, Qatar, QAT
5.88717, 1927, Mar Average, Qatar, QAT
3.93529, 1927, Apr Average, Qatar, QAT
1.08177, 1927, May Average, Qatar, QAT
0.17513, 1927, Jun Average, Qatar, QAT
0.24276, 1927, Jul Average, Qatar, QAT
0.20859, 1927, Aug Average, Qatar, QAT
0, 1927, Sep Average, Qatar, QAT
0.03205, 1927, Oct Average, Qatar, QAT
1.92408, 1927, Nov Average, Qatar, QAT
15.5047, 1927, Dec Average, Qatar, QAT
4.58818, 1928, Jan Average, Qatar, QAT
0.06876, 1928, Feb Average, Qatar, QAT
3.81578, 1928, Mar Average, Qatar, QAT
0, 1928, Apr Average, Qatar, QAT
0, 1928, May Average, Qatar, QAT
0.17513, 1928, Jun Average, Qatar, QAT
0, 1928, Jul Average, Qatar, QAT
0.20859, 1928, Aug Average, Qatar, QAT
0, 1928, Sep Average, Qatar, QAT
0, 1928, Oct Average, Qatar, QAT
5.45695, 1928, Nov Average, Qatar, QAT
22.0034, 1928, Dec Average, Qatar, QAT
0.95384, 1929, Jan Average, Qatar, QAT
15.8322, 1929, Feb Average, Qatar, QAT
4.77698, 1929, Mar Average, Qatar, QAT
0, 1929, Apr Average, Qatar, QAT
0, 1929, May Average, Qatar, QAT
0.17513, 1929, Jun Average, Qatar, QAT
0, 1929, Jul Average, Qatar, QAT
0.20859, 1929, Aug Average, Qatar, QAT
0, 1929, Sep Average, Qatar, QAT
0, 1929, Oct Average, Qatar, QAT
0.08638, 1929, Nov Average, Qatar, QAT
38.187, 1929, Dec Average, Qatar, QAT
16.7256, 1930, Jan Average, Qatar, QAT
1.98611, 1930, Feb Average, Qatar, QAT
3.56873, 1930, Mar Average, Qatar, QAT
6.72686, 1930, Apr Average, Qatar, QAT
0, 1930, May Average, Qatar, QAT
0.17513, 1930, Jun Average, Qatar, QAT
0, 1930, Jul Average, Qatar, QAT
0.20859, 1930, Aug Average, Qatar, QAT
0, 1930, Sep Average, Qatar, QAT
0, 1930, Oct Average, Qatar, QAT
0, 1930, Nov Average, Qatar, QAT
23.5081, 1930, Dec Average, Qatar, QAT
28.0198, 1931, Jan Average, Qatar, QAT
60.4497, 1931, Feb Average, Qatar, QAT
0, 1931, Mar Average, Qatar, QAT
17.3085, 1931, Apr Average, Qatar, QAT
0, 1931, May Average, Qatar, QAT
0.17513, 1931, Jun Average, Qatar, QAT
0, 1931, Jul Average, Qatar, QAT
0.20859, 1931, Aug Average, Qatar, QAT
0, 1931, Sep Average, Qatar, QAT
0, 1931, Oct Average, Qatar, QAT
0, 1931, Nov Average, Qatar, QAT
1.44525, 1931, Dec Average, Qatar, QAT
0.12595, 1932, Jan Average, Qatar, QAT
0, 1932, Feb Average, Qatar, QAT
27.9064, 1932, Mar Average, Qatar, QAT
0, 1932, Apr Average, Qatar, QAT
11.9241, 1932, May Average, Qatar, QAT
0.17513, 1932, Jun Average, Qatar, QAT
0, 1932, Jul Average, Qatar, QAT
0.20859, 1932, Aug Average, Qatar, QAT
0, 1932, Sep Average, Qatar, QAT
0, 1932, Oct Average, Qatar, QAT
0, 1932, Nov Average, Qatar, QAT
57.0241, 1932, Dec Average, Qatar, QAT
8.94595, 1933, Jan Average, Qatar, QAT
12.7381, 1933, Feb Average, Qatar, QAT
1.66924, 1933, Mar Average, Qatar, QAT
22.8705, 1933, Apr Average, Qatar, QAT
1.66623, 1933, May Average, Qatar, QAT
0.17513, 1933, Jun Average, Qatar, QAT
0, 1933, Jul Average, Qatar, QAT
0.20859, 1933, Aug Average, Qatar, QAT
0, 1933, Sep Average, Qatar, QAT
0, 1933, Oct Average, Qatar, QAT
0.04442, 1933, Nov Average, Qatar, QAT
0, 1933, Dec Average, Qatar, QAT
0.5329, 1934, Jan Average, Qatar, QAT
1.17951, 1934, Feb Average, Qatar, QAT
45.1888, 1934, Mar Average, Qatar, QAT
9.36471, 1934, Apr Average, Qatar, QAT
0, 1934, May Average, Qatar, QAT
0.17513, 1934, Jun Average, Qatar, QAT
0, 1934, Jul Average, Qatar, QAT
0.20859, 1934, Aug Average, Qatar, QAT
0, 1934, Sep Average, Qatar, QAT
0, 1934, Oct Average, Qatar, QAT
12.238, 1934, Nov Average, Qatar, QAT
21.629, 1934, Dec Average, Qatar, QAT
0.23786, 1935, Jan Average, Qatar, QAT
29.9331, 1935, Feb Average, Qatar, QAT
11.4836, 1935, Mar Average, Qatar, QAT
8.76456, 1935, Apr Average, Qatar, QAT
0.3046, 1935, May Average, Qatar, QAT
0.17513, 1935, Jun Average, Qatar, QAT
0, 1935, Jul Average, Qatar, QAT
0.20859, 1935, Aug Average, Qatar, QAT
0, 1935, Sep Average, Qatar, QAT
0, 1935, Oct Average, Qatar, QAT
3.70291, 1935, Nov Average, Qatar, QAT
24.3261, 1935, Dec Average, Qatar, QAT
14.9195, 1936, Jan Average, Qatar, QAT
10.2127, 1936, Feb Average, Qatar, QAT
18.7733, 1936, Mar Average, Qatar, QAT
1.06152, 1936, Apr Average, Qatar, QAT
1.35013, 1936, May Average, Qatar, QAT
0.17513, 1936, Jun Average, Qatar, QAT
0, 1936, Jul Average, Qatar, QAT
0.20859, 1936, Aug Average, Qatar, QAT
0, 1936, Sep Average, Qatar, QAT
0, 1936, Oct Average, Qatar, QAT
4.7389, 1936, Nov Average, Qatar, QAT
6.59182, 1936, Dec Average, Qatar, QAT
9.106, 1937, Jan Average, Qatar, QAT
7.05216, 1937, Feb Average, Qatar, QAT
16.9414, 1937, Mar Average, Qatar, QAT
5.44999, 1937, Apr Average, Qatar, QAT
0, 1937, May Average, Qatar, QAT
0.17513, 1937, Jun Average, Qatar, QAT
0, 1937, Jul Average, Qatar, QAT
0.20859, 1937, Aug Average, Qatar, QAT
0, 1937, Sep Average, Qatar, QAT
0, 1937, Oct Average, Qatar, QAT
16.1464, 1937, Nov Average, Qatar, QAT
0, 1937, Dec Average, Qatar, QAT
13.2329, 1938, Jan Average, Qatar, QAT
23.9944, 1938, Feb Average, Qatar, QAT
0.58611, 1938, Mar Average, Qatar, QAT
0.28159, 1938, Apr Average, Qatar, QAT
0, 1938, May Average, Qatar, QAT
0.17513, 1938, Jun Average, Qatar, QAT
0, 1938, Jul Average, Qatar, QAT
0.20859, 1938, Aug Average, Qatar, QAT
0, 1938, Sep Average, Qatar, QAT
0, 1938, Oct Average, Qatar, QAT
0, 1938, Nov Average, Qatar, QAT
18.2268, 1938, Dec Average, Qatar, QAT
5.6325, 1939, Jan Average, Qatar, QAT
7.41465, 1939, Feb Average, Qatar, QAT
21.8605, 1939, Mar Average, Qatar, QAT
30.8469, 1939, Apr Average, Qatar, QAT
0, 1939, May Average, Qatar, QAT
0.17513, 1939, Jun Average, Qatar, QAT
0, 1939, Jul Average, Qatar, QAT
0.20859, 1939, Aug Average, Qatar, QAT
0, 1939, Sep Average, Qatar, QAT
0, 1939, Oct Average, Qatar, QAT
0, 1939, Nov Average, Qatar, QAT
13.594, 1939, Dec Average, Qatar, QAT
10.3388, 1940, Jan Average, Qatar, QAT
7.03643, 1940, Feb Average, Qatar, QAT
1.49133, 1940, Mar Average, Qatar, QAT
1.65808, 1940, Apr Average, Qatar, QAT
1.66623, 1940, May Average, Qatar, QAT
0.17513, 1940, Jun Average, Qatar, QAT
0, 1940, Jul Average, Qatar, QAT
0.20859, 1940, Aug Average, Qatar, QAT
0, 1940, Sep Average, Qatar, QAT
0, 1940, Oct Average, Qatar, QAT
8.56685, 1940, Nov Average, Qatar, QAT
0.27649, 1940, Dec Average, Qatar, QAT
0, 1941, Jan Average, Qatar, QAT
8.09192, 1941, Feb Average, Qatar, QAT
19.699, 1941, Mar Average, Qatar, QAT
14.4944, 1941, Apr Average, Qatar, QAT
0.1645, 1941, May Average, Qatar, QAT
0.17513, 1941, Jun Average, Qatar, QAT
0, 1941, Jul Average, Qatar, QAT
0.13235, 1941, Aug Average, Qatar, QAT
0, 1941, Sep Average, Qatar, QAT
0, 1941, Oct Average, Qatar, QAT
0, 1941, Nov Average, Qatar, QAT
1.71398, 1941, Dec Average, Qatar, QAT
0.48737, 1942, Jan Average, Qatar, QAT
50.6734, 1942, Feb Average, Qatar, QAT
0.07403, 1942, Mar Average, Qatar, QAT
3.09074, 1942, Apr Average, Qatar, QAT
0.20559, 1942, May Average, Qatar, QAT
0.17513, 1942, Jun Average, Qatar, QAT
0, 1942, Jul Average, Qatar, QAT
0.13235, 1942, Aug Average, Qatar, QAT
0, 1942, Sep Average, Qatar, QAT
0, 1942, Oct Average, Qatar, QAT
0, 1942, Nov Average, Qatar, QAT
5.34145, 1942, Dec Average, Qatar, QAT
11.6121, 1943, Jan Average, Qatar, QAT
7.25893, 1943, Feb Average, Qatar, QAT
12.1366, 1943, Mar Average, Qatar, QAT
1.11288, 1943, Apr Average, Qatar, QAT
0, 1943, May Average, Qatar, QAT
0.17513, 1943, Jun Average, Qatar, QAT
0, 1943, Jul Average, Qatar, QAT
0.45255, 1943, Aug Average, Qatar, QAT
0, 1943, Sep Average, Qatar, QAT
0, 1943, Oct Average, Qatar, QAT
0, 1943, Nov Average, Qatar, QAT
23.383, 1943, Dec Average, Qatar, QAT
0, 1944, Jan Average, Qatar, QAT
0.0627, 1944, Feb Average, Qatar, QAT
1.35539, 1944, Mar Average, Qatar, QAT
0.13005, 1944, Apr Average, Qatar, QAT
0, 1944, May Average, Qatar, QAT
0.17513, 1944, Jun Average, Qatar, QAT
0, 1944, Jul Average, Qatar, QAT
0.13235, 1944, Aug Average, Qatar, QAT
0, 1944, Sep Average, Qatar, QAT
0, 1944, Oct Average, Qatar, QAT
14.5192, 1944, Nov Average, Qatar, QAT
57.7728, 1944, Dec Average, Qatar, QAT
35.5731, 1945, Jan Average, Qatar, QAT
1.60909, 1945, Feb Average, Qatar, QAT
6.02487, 1945, Mar Average, Qatar, QAT
0.09957, 1945, Apr Average, Qatar, QAT
0, 1945, May Average, Qatar, QAT
0.17513, 1945, Jun Average, Qatar, QAT
0, 1945, Jul Average, Qatar, QAT
0.20859, 1945, Aug Average, Qatar, QAT
0, 1945, Sep Average, Qatar, QAT
0, 1945, Oct Average, Qatar, QAT
0.0867, 1945, Nov Average, Qatar, QAT
6.96763, 1945, Dec Average, Qatar, QAT
1.49637, 1946, Jan Average, Qatar, QAT
0.39396, 1946, Feb Average, Qatar, QAT
0.45395, 1946, Mar Average, Qatar, QAT
0.17663, 1946, Apr Average, Qatar, QAT
0.19184, 1946, May Average, Qatar, QAT
0.17513, 1946, Jun Average, Qatar, QAT
0, 1946, Jul Average, Qatar, QAT
0.20859, 1946, Aug Average, Qatar, QAT
0, 1946, Sep Average, Qatar, QAT
0, 1946, Oct Average, Qatar, QAT
0.15106, 1946, Nov Average, Qatar, QAT
0.24491, 1946, Dec Average, Qatar, QAT
14.0751, 1947, Jan Average, Qatar, QAT
9.74418, 1947, Feb Average, Qatar, QAT
11.2353, 1947, Mar Average, Qatar, QAT
0.14614, 1947, Apr Average, Qatar, QAT
17.4227, 1947, May Average, Qatar, QAT
0.17513, 1947, Jun Average, Qatar, QAT
0, 1947, Jul Average, Qatar, QAT
0.20859, 1947, Aug Average, Qatar, QAT
0, 1947, Sep Average, Qatar, QAT
0, 1947, Oct Average, Qatar, QAT
1.85431, 1947, Nov Average, Qatar, QAT
42.7224, 1947, Dec Average, Qatar, QAT
1.32931, 1948, Jan Average, Qatar, QAT
21.522, 1948, Feb Average, Qatar, QAT
34.1882, 1948, Mar Average, Qatar, QAT
22.2844, 1948, Apr Average, Qatar, QAT
0.19184, 1948, May Average, Qatar, QAT
0.17513, 1948, Jun Average, Qatar, QAT
0, 1948, Jul Average, Qatar, QAT
0.20859, 1948, Aug Average, Qatar, QAT
0, 1948, Sep Average, Qatar, QAT
0, 1948, Oct Average, Qatar, QAT
0, 1948, Nov Average, Qatar, QAT
21.4047, 1948, Dec Average, Qatar, QAT
5.2152, 1949, Jan Average, Qatar, QAT
8.35746, 1949, Feb Average, Qatar, QAT
10.8434, 1949, Mar Average, Qatar, QAT
0.41583, 1949, Apr Average, Qatar, QAT
1.54315, 1949, May Average, Qatar, QAT
0.17513, 1949, Jun Average, Qatar, QAT
0, 1949, Jul Average, Qatar, QAT
0.20859, 1949, Aug Average, Qatar, QAT
0, 1949, Sep Average, Qatar, QAT
0, 1949, Oct Average, Qatar, QAT
10.1353, 1949, Nov Average, Qatar, QAT
60.6568, 1949, Dec Average, Qatar, QAT
1.32606, 1950, Jan Average, Qatar, QAT
0.23817, 1950, Feb Average, Qatar, QAT
20.5156, 1950, Mar Average, Qatar, QAT
0.18614, 1950, Apr Average, Qatar, QAT
0.70511, 1950, May Average, Qatar, QAT
0.17513, 1950, Jun Average, Qatar, QAT
