Rainfall - (MM), Year, Statistics, Country, ISO3
54.1565, 1901, Jan Average, Romania, ROU
47.7096, 1901, Feb Average, Romania, ROU
50.0277, 1901, Mar Average, Romania, ROU
64.2714, 1901, Apr Average, Romania, ROU
35.8611, 1901, May Average, Romania, ROU
136.952, 1901, Jun Average, Romania, ROU
90.0221, 1901, Jul Average, Romania, ROU
109.34, 1901, Aug Average, Romania, ROU
29.5176, 1901, Sep Average, Romania, ROU
74.9472, 1901, Oct Average, Romania, ROU
20.6157, 1901, Nov Average, Romania, ROU
43.7542, 1901, Dec Average, Romania, ROU
27.7063, 1902, Jan Average, Romania, ROU
32.4371, 1902, Feb Average, Romania, ROU
40.7263, 1902, Mar Average, Romania, ROU
45.8559, 1902, Apr Average, Romania, ROU
86.35, 1902, May Average, Romania, ROU
103.056, 1902, Jun Average, Romania, ROU
67.8646, 1902, Jul Average, Romania, ROU
82.3055, 1902, Aug Average, Romania, ROU
37.4039, 1902, Sep Average, Romania, ROU
59.3463, 1902, Oct Average, Romania, ROU
5.99374, 1902, Nov Average, Romania, ROU
63.1589, 1902, Dec Average, Romania, ROU
26.1134, 1903, Jan Average, Romania, ROU
19.7141, 1903, Feb Average, Romania, ROU
14.3801, 1903, Mar Average, Romania, ROU
74.4378, 1903, Apr Average, Romania, ROU
73.8748, 1903, May Average, Romania, ROU
100.703, 1903, Jun Average, Romania, ROU
81.547, 1903, Jul Average, Romania, ROU
40.6851, 1903, Aug Average, Romania, ROU
13.9336, 1903, Sep Average, Romania, ROU
50.9432, 1903, Oct Average, Romania, ROU
30.7794, 1903, Nov Average, Romania, ROU
22.405, 1903, Dec Average, Romania, ROU
17.0688, 1904, Jan Average, Romania, ROU
48.0599, 1904, Feb Average, Romania, ROU
25.9364, 1904, Mar Average, Romania, ROU
20.126, 1904, Apr Average, Romania, ROU
41.6833, 1904, May Average, Romania, ROU
68.4403, 1904, Jun Average, Romania, ROU
35.0953, 1904, Jul Average, Romania, ROU
58.3624, 1904, Aug Average, Romania, ROU
98.4374, 1904, Sep Average, Romania, ROU
49.8706, 1904, Oct Average, Romania, ROU
53.0954, 1904, Nov Average, Romania, ROU
21.005, 1904, Dec Average, Romania, ROU
26.1109, 1905, Jan Average, Romania, ROU
30.1613, 1905, Feb Average, Romania, ROU
15.3011, 1905, Mar Average, Romania, ROU
65.8725, 1905, Apr Average, Romania, ROU
63.7891, 1905, May Average, Romania, ROU
102.329, 1905, Jun Average, Romania, ROU
53.0896, 1905, Jul Average, Romania, ROU
38.3781, 1905, Aug Average, Romania, ROU
50.5958, 1905, Sep Average, Romania, ROU
116.828, 1905, Oct Average, Romania, ROU
41.6136, 1905, Nov Average, Romania, ROU
27.6244, 1905, Dec Average, Romania, ROU
32.193, 1906, Jan Average, Romania, ROU
23.2372, 1906, Feb Average, Romania, ROU
42.8722, 1906, Mar Average, Romania, ROU
44.9466, 1906, Apr Average, Romania, ROU
110.033, 1906, May Average, Romania, ROU
108.996, 1906, Jun Average, Romania, ROU
81.131, 1906, Jul Average, Romania, ROU
72.2416, 1906, Aug Average, Romania, ROU
59.1722, 1906, Sep Average, Romania, ROU
31.4523, 1906, Oct Average, Romania, ROU
45.1287, 1906, Nov Average, Romania, ROU
60.6863, 1906, Dec Average, Romania, ROU
29.9637, 1907, Jan Average, Romania, ROU
31.7295, 1907, Feb Average, Romania, ROU
46.1326, 1907, Mar Average, Romania, ROU
43.5731, 1907, Apr Average, Romania, ROU
41.3861, 1907, May Average, Romania, ROU
99.5996, 1907, Jun Average, Romania, ROU
65.7752, 1907, Jul Average, Romania, ROU
23.6212, 1907, Aug Average, Romania, ROU
29.0104, 1907, Sep Average, Romania, ROU
8.20745, 1907, Oct Average, Romania, ROU
42.441, 1907, Nov Average, Romania, ROU
37.7781, 1907, Dec Average, Romania, ROU
29.0945, 1908, Jan Average, Romania, ROU
51.3583, 1908, Feb Average, Romania, ROU
22.251, 1908, Mar Average, Romania, ROU
53.0345, 1908, Apr Average, Romania, ROU
35.2669, 1908, May Average, Romania, ROU
73.4262, 1908, Jun Average, Romania, ROU
110.787, 1908, Jul Average, Romania, ROU
59.1304, 1908, Aug Average, Romania, ROU
53.4512, 1908, Sep Average, Romania, ROU
34.235, 1908, Oct Average, Romania, ROU
58.2097, 1908, Nov Average, Romania, ROU
28.2351, 1908, Dec Average, Romania, ROU
37.1999, 1909, Jan Average, Romania, ROU
40.1398, 1909, Feb Average, Romania, ROU
47.596, 1909, Mar Average, Romania, ROU
30.9867, 1909, Apr Average, Romania, ROU
64.7507, 1909, May Average, Romania, ROU
98.6134, 1909, Jun Average, Romania, ROU
59.1826, 1909, Jul Average, Romania, ROU
49.4295, 1909, Aug Average, Romania, ROU
93.8585, 1909, Sep Average, Romania, ROU
27.7258, 1909, Oct Average, Romania, ROU
46.8018, 1909, Nov Average, Romania, ROU
45.7138, 1909, Dec Average, Romania, ROU
46.5268, 1910, Jan Average, Romania, ROU
32.8096, 1910, Feb Average, Romania, ROU
12.0886, 1910, Mar Average, Romania, ROU
60.6103, 1910, Apr Average, Romania, ROU
60.7692, 1910, May Average, Romania, ROU
