Rainfall - (MM), Year, Statistics, Country, ISO3
16.8664, 1901, Jan Average, Russia, RUS
15.4467, 1901, Feb Average, Russia, RUS
17.0428, 1901, Mar Average, Russia, RUS
23.882, 1901, Apr Average, Russia, RUS
28.232, 1901, May Average, Russia, RUS
37.2956, 1901, Jun Average, Russia, RUS
55.3841, 1901, Jul Average, Russia, RUS
59.8041, 1901, Aug Average, Russia, RUS
38.6024, 1901, Sep Average, Russia, RUS
27.6649, 1901, Oct Average, Russia, RUS
30.2672, 1901, Nov Average, Russia, RUS
24.9983, 1901, Dec Average, Russia, RUS
20.7964, 1902, Jan Average, Russia, RUS
15.6696, 1902, Feb Average, Russia, RUS
18.4862, 1902, Mar Average, Russia, RUS
18.9577, 1902, Apr Average, Russia, RUS
29.5798, 1902, May Average, Russia, RUS
48.5079, 1902, Jun Average, Russia, RUS
57.6636, 1902, Jul Average, Russia, RUS
61.3739, 1902, Aug Average, Russia, RUS
48.7506, 1902, Sep Average, Russia, RUS
32.7596, 1902, Oct Average, Russia, RUS
22.0308, 1902, Nov Average, Russia, RUS
20.7672, 1902, Dec Average, Russia, RUS
19.2423, 1903, Jan Average, Russia, RUS
16.2769, 1903, Feb Average, Russia, RUS
14.7867, 1903, Mar Average, Russia, RUS
20.8607, 1903, Apr Average, Russia, RUS
32.9919, 1903, May Average, Russia, RUS
46.9452, 1903, Jun Average, Russia, RUS
55.9846, 1903, Jul Average, Russia, RUS
67.6503, 1903, Aug Average, Russia, RUS
46.8051, 1903, Sep Average, Russia, RUS
34.0438, 1903, Oct Average, Russia, RUS
23.5462, 1903, Nov Average, Russia, RUS
17.666, 1903, Dec Average, Russia, RUS
16.1434, 1904, Jan Average, Russia, RUS
19.8276, 1904, Feb Average, Russia, RUS
11.8412, 1904, Mar Average, Russia, RUS
16.7656, 1904, Apr Average, Russia, RUS
34.1458, 1904, May Average, Russia, RUS
50.5998, 1904, Jun Average, Russia, RUS
58.8289, 1904, Jul Average, Russia, RUS
59.6673, 1904, Aug Average, Russia, RUS
38.5878, 1904, Sep Average, Russia, RUS
29.8454, 1904, Oct Average, Russia, RUS
25.8623, 1904, Nov Average, Russia, RUS
22.3961, 1904, Dec Average, Russia, RUS
18.3311, 1905, Jan Average, Russia, RUS
12.473, 1905, Feb Average, Russia, RUS
12.9059, 1905, Mar Average, Russia, RUS
18.2491, 1905, Apr Average, Russia, RUS
34.3893, 1905, May Average, Russia, RUS
46.2084, 1905, Jun Average, Russia, RUS
60.1399, 1905, Jul Average, Russia, RUS
60.8095, 1905, Aug Average, Russia, RUS
51.3399, 1905, Sep Average, Russia, RUS
41.1386, 1905, Oct Average, Russia, RUS
28.2371, 1905, Nov Average, Russia, RUS
23.6902, 1905, Dec Average, Russia, RUS
19.373, 1906, Jan Average, Russia, RUS
12.6813, 1906, Feb Average, Russia, RUS
22.8325, 1906, Mar Average, Russia, RUS
16.3209, 1906, Apr Average, Russia, RUS
36.1613, 1906, May Average, Russia, RUS
50.3673, 1906, Jun Average, Russia, RUS
65.1395, 1906, Jul Average, Russia, RUS
61.6054, 1906, Aug Average, Russia, RUS
39.8994, 1906, Sep Average, Russia, RUS
31.2812, 1906, Oct Average, Russia, RUS
