Rainfall - (MM), Year, Statistics, Country, ISO3
115.416, 1901, Jan Average, Rwanda, RWA
136.984, 1901, Feb Average, Rwanda, RWA
97.9432, 1901, Mar Average, Rwanda, RWA
144.829, 1901, Apr Average, Rwanda, RWA
77.8439, 1901, May Average, Rwanda, RWA
30.3101, 1901, Jun Average, Rwanda, RWA
21.4628, 1901, Jul Average, Rwanda, RWA
12.5115, 1901, Aug Average, Rwanda, RWA
34.7215, 1901, Sep Average, Rwanda, RWA
58.5877, 1901, Oct Average, Rwanda, RWA
70.4123, 1901, Nov Average, Rwanda, RWA
86.2277, 1901, Dec Average, Rwanda, RWA
58.6413, 1902, Jan Average, Rwanda, RWA
76.0995, 1902, Feb Average, Rwanda, RWA
47.5038, 1902, Mar Average, Rwanda, RWA
91.8278, 1902, Apr Average, Rwanda, RWA
95.7949, 1902, May Average, Rwanda, RWA
122.542, 1902, Jun Average, Rwanda, RWA
10.5363, 1902, Jul Average, Rwanda, RWA
69.6235, 1902, Aug Average, Rwanda, RWA
141.65, 1902, Sep Average, Rwanda, RWA
107.193, 1902, Oct Average, Rwanda, RWA
120.329, 1902, Nov Average, Rwanda, RWA
61.3368, 1902, Dec Average, Rwanda, RWA
84.9952, 1903, Jan Average, Rwanda, RWA
35.1077, 1903, Feb Average, Rwanda, RWA
145.761, 1903, Mar Average, Rwanda, RWA
225.091, 1903, Apr Average, Rwanda, RWA
113.437, 1903, May Average, Rwanda, RWA
104.977, 1903, Jun Average, Rwanda, RWA
19.8289, 1903, Jul Average, Rwanda, RWA
12.7072, 1903, Aug Average, Rwanda, RWA
144.424, 1903, Sep Average, Rwanda, RWA
175.591, 1903, Oct Average, Rwanda, RWA
174.83, 1903, Nov Average, Rwanda, RWA
108.192, 1903, Dec Average, Rwanda, RWA
91.9397, 1904, Jan Average, Rwanda, RWA
134.539, 1904, Feb Average, Rwanda, RWA
137.317, 1904, Mar Average, Rwanda, RWA
70.983, 1904, Apr Average, Rwanda, RWA
103.441, 1904, May Average, Rwanda, RWA
12.717, 1904, Jun Average, Rwanda, RWA
8.85825, 1904, Jul Average, Rwanda, RWA
72.9112, 1904, Aug Average, Rwanda, RWA
72.6381, 1904, Sep Average, Rwanda, RWA
95.8286, 1904, Oct Average, Rwanda, RWA
131.071, 1904, Nov Average, Rwanda, RWA
163.764, 1904, Dec Average, Rwanda, RWA
107.813, 1905, Jan Average, Rwanda, RWA
62.5847, 1905, Feb Average, Rwanda, RWA
241.67, 1905, Mar Average, Rwanda, RWA
101.579, 1905, Apr Average, Rwanda, RWA
33.4902, 1905, May Average, Rwanda, RWA
13.3731, 1905, Jun Average, Rwanda, RWA
