Rainfall - (MM), Year, Statistics, Country, ISO3
0.41268, 1901, Jan Average, Sudan, SDN
0.62228, 1901, Feb Average, Sudan, SDN
1.28679, 1901, Mar Average, Sudan, SDN
3.71181, 1901, Apr Average, Sudan, SDN
9.71225, 1901, May Average, Sudan, SDN
41.2633, 1901, Jun Average, Sudan, SDN
49.5402, 1901, Jul Average, Sudan, SDN
62.9751, 1901, Aug Average, Sudan, SDN
27.4238, 1901, Sep Average, Sudan, SDN
15.8593, 1901, Oct Average, Sudan, SDN
0.80383, 1901, Nov Average, Sudan, SDN
1.57118, 1901, Dec Average, Sudan, SDN
0.38445, 1902, Jan Average, Sudan, SDN
0.65149, 1902, Feb Average, Sudan, SDN
0.79845, 1902, Mar Average, Sudan, SDN
2.54172, 1902, Apr Average, Sudan, SDN
17.3663, 1902, May Average, Sudan, SDN
15.6857, 1902, Jun Average, Sudan, SDN
78.9922, 1902, Jul Average, Sudan, SDN
61.8121, 1902, Aug Average, Sudan, SDN
43.2103, 1902, Sep Average, Sudan, SDN
28.7752, 1902, Oct Average, Sudan, SDN
1.91598, 1902, Nov Average, Sudan, SDN
1.87299, 1902, Dec Average, Sudan, SDN
2.11844, 1903, Jan Average, Sudan, SDN
1.94502, 1903, Feb Average, Sudan, SDN
0.79357, 1903, Mar Average, Sudan, SDN
2.13565, 1903, Apr Average, Sudan, SDN
15.7321, 1903, May Average, Sudan, SDN
12.0622, 1903, Jun Average, Sudan, SDN
47.3613, 1903, Jul Average, Sudan, SDN
80.295, 1903, Aug Average, Sudan, SDN
33.6943, 1903, Sep Average, Sudan, SDN
5.05641, 1903, Oct Average, Sudan, SDN
1.9584, 1903, Nov Average, Sudan, SDN
1.72975, 1903, Dec Average, Sudan, SDN
0.62608, 1904, Jan Average, Sudan, SDN
0.50599, 1904, Feb Average, Sudan, SDN
0.88723, 1904, Mar Average, Sudan, SDN
2.13805, 1904, Apr Average, Sudan, SDN
11.0803, 1904, May Average, Sudan, SDN
20.7815, 1904, Jun Average, Sudan, SDN
64.6431, 1904, Jul Average, Sudan, SDN
65.0951, 1904, Aug Average, Sudan, SDN
40.0019, 1904, Sep Average, Sudan, SDN
10.7877, 1904, Oct Average, Sudan, SDN
2.36117, 1904, Nov Average, Sudan, SDN
0.85438, 1904, Dec Average, Sudan, SDN
0.94257, 1905, Jan Average, Sudan, SDN
0.92959, 1905, Feb Average, Sudan, SDN
0.56659, 1905, Mar Average, Sudan, SDN
1.57921, 1905, Apr Average, Sudan, SDN
10.5153, 1905, May Average, Sudan, SDN
44.0217, 1905, Jun Average, Sudan, SDN
64.5742, 1905, Jul Average, Sudan, SDN
73.3957, 1905, Aug Average, Sudan, SDN
39.1074, 1905, Sep Average, Sudan, SDN
10.3126, 1905, Oct Average, Sudan, SDN
1.36607, 1905, Nov Average, Sudan, SDN
0.44875, 1905, Dec Average, Sudan, SDN
0.61159, 1906, Jan Average, Sudan, SDN
0.64114, 1906, Feb Average, Sudan, SDN
1.58043, 1906, Mar Average, Sudan, SDN
2.83632, 1906, Apr Average, Sudan, SDN
7.92245, 1906, May Average, Sudan, SDN
32.5383, 1906, Jun Average, Sudan, SDN
64.6004, 1906, Jul Average, Sudan, SDN
73.5095, 1906, Aug Average, Sudan, SDN
49.9242, 1906, Sep Average, Sudan, SDN
18.592, 1906, Oct Average, Sudan, SDN
1.74869, 1906, Nov Average, Sudan, SDN
0.74231, 1906, Dec Average, Sudan, SDN
1.0763, 1907, Jan Average, Sudan, SDN
0.8501, 1907, Feb Average, Sudan, SDN
0.71349, 1907, Mar Average, Sudan, SDN
6.43694, 1907, Apr Average, Sudan, SDN
16.4815, 1907, May Average, Sudan, SDN
22.7993, 1907, Jun Average, Sudan, SDN
55.5934, 1907, Jul Average, Sudan, SDN
102.236, 1907, Aug Average, Sudan, SDN
44.24, 1907, Sep Average, Sudan, SDN
8.88938, 1907, Oct Average, Sudan, SDN
1.97076, 1907, Nov Average, Sudan, SDN
0.99517, 1907, Dec Average, Sudan, SDN
0.50142, 1908, Jan Average, Sudan, SDN
0.75066, 1908, Feb Average, Sudan, SDN
2.31187, 1908, Mar Average, Sudan, SDN
3.32431, 1908, Apr Average, Sudan, SDN
14.3444, 1908, May Average, Sudan, SDN
20.5324, 1908, Jun Average, Sudan, SDN
70.3332, 1908, Jul Average, Sudan, SDN
76.1036, 1908, Aug Average, Sudan, SDN
44.3459, 1908, Sep Average, Sudan, SDN
17.8521, 1908, Oct Average, Sudan, SDN
1.58944, 1908, Nov Average, Sudan, SDN
0.81163, 1908, Dec Average, Sudan, SDN
0.35818, 1909, Jan Average, Sudan, SDN
0.49567, 1909, Feb Average, Sudan, SDN
3.45206, 1909, Mar Average, Sudan, SDN
5.66887, 1909, Apr Average, Sudan, SDN
20.5244, 1909, May Average, Sudan, SDN
33.9844, 1909, Jun Average, Sudan, SDN
70.7455, 1909, Jul Average, Sudan, SDN
70.5037, 1909, Aug Average, Sudan, SDN
51.7147, 1909, Sep Average, Sudan, SDN
13.8607, 1909, Oct Average, Sudan, SDN
1.8454, 1909, Nov Average, Sudan, SDN
0.71559, 1909, Dec Average, Sudan, SDN
0.33914, 1910, Jan Average, Sudan, SDN
0.47146, 1910, Feb Average, Sudan, SDN
0.70242, 1910, Mar Average, Sudan, SDN
2.26389, 1910, Apr Average, Sudan, SDN
15.1936, 1910, May Average, Sudan, SDN
32.9786, 1910, Jun Average, Sudan, SDN
61.7342, 1910, Jul Average, Sudan, SDN
74.6283, 1910, Aug Average, Sudan, SDN
42.5053, 1910, Sep Average, Sudan, SDN
20.6319, 1910, Oct Average, Sudan, SDN
0.58803, 1910, Nov Average, Sudan, SDN
0.57412, 1910, Dec Average, Sudan, SDN
0.27584, 1911, Jan Average, Sudan, SDN
1.78705, 1911, Feb Average, Sudan, SDN
0.3052, 1911, Mar Average, Sudan, SDN
4.01575, 1911, Apr Average, Sudan, SDN
18.1021, 1911, May Average, Sudan, SDN
17.71, 1911, Jun Average, Sudan, SDN
76.0123, 1911, Jul Average, Sudan, SDN
71.5646, 1911, Aug Average, Sudan, SDN
30.3024, 1911, Sep Average, Sudan, SDN
19.9683, 1911, Oct Average, Sudan, SDN
2.86097, 1911, Nov Average, Sudan, SDN
0.81723, 1911, Dec Average, Sudan, SDN
0.85796, 1912, Jan Average, Sudan, SDN
1.39042, 1912, Feb Average, Sudan, SDN
1.60107, 1912, Mar Average, Sudan, SDN
0.57864, 1912, Apr Average, Sudan, SDN
6.21258, 1912, May Average, Sudan, SDN
25.1217, 1912, Jun Average, Sudan, SDN
64.0365, 1912, Jul Average, Sudan, SDN
85.1582, 1912, Aug Average, Sudan, SDN
47.3714, 1912, Sep Average, Sudan, SDN
9.48252, 1912, Oct Average, Sudan, SDN
1.17199, 1912, Nov Average, Sudan, SDN
1.88263, 1912, Dec Average, Sudan, SDN
0.51069, 1913, Jan Average, Sudan, SDN
0.89994, 1913, Feb Average, Sudan, SDN
2.06676, 1913, Mar Average, Sudan, SDN
6.46428, 1913, Apr Average, Sudan, SDN
8.88644, 1913, May Average, Sudan, SDN
13.4893, 1913, Jun Average, Sudan, SDN
37.5573, 1913, Jul Average, Sudan, SDN
68.0119, 1913, Aug Average, Sudan, SDN
26.5642, 1913, Sep Average, Sudan, SDN
14.673, 1913, Oct Average, Sudan, SDN
0.46598, 1913, Nov Average, Sudan, SDN
1.31691, 1913, Dec Average, Sudan, SDN
0.91231, 1914, Jan Average, Sudan, SDN
0.60182, 1914, Feb Average, Sudan, SDN
0.68654, 1914, Mar Average, Sudan, SDN
2.22208, 1914, Apr Average, Sudan, SDN
12.1409, 1914, May Average, Sudan, SDN
25.2929, 1914, Jun Average, Sudan, SDN
58.3249, 1914, Jul Average, Sudan, SDN
106.491, 1914, Aug Average, Sudan, SDN
32.167, 1914, Sep Average, Sudan, SDN
13.402, 1914, Oct Average, Sudan, SDN
1.86373, 1914, Nov Average, Sudan, SDN
0.9975, 1914, Dec Average, Sudan, SDN
0.80438, 1915, Jan Average, Sudan, SDN
1.41363, 1915, Feb Average, Sudan, SDN
0.36678, 1915, Mar Average, Sudan, SDN
0.83198, 1915, Apr Average, Sudan, SDN
10.6035, 1915, May Average, Sudan, SDN
35.6468, 1915, Jun Average, Sudan, SDN
54.8768, 1915, Jul Average, Sudan, SDN
81.6893, 1915, Aug Average, Sudan, SDN
51.0926, 1915, Sep Average, Sudan, SDN
4.62873, 1915, Oct Average, Sudan, SDN
2.07429, 1915, Nov Average, Sudan, SDN
0.9036, 1915, Dec Average, Sudan, SDN
0.38951, 1916, Jan Average, Sudan, SDN
0.62114, 1916, Feb Average, Sudan, SDN
0.39409, 1916, Mar Average, Sudan, SDN
2.95208, 1916, Apr Average, Sudan, SDN
10.2874, 1916, May Average, Sudan, SDN
42.0757, 1916, Jun Average, Sudan, SDN
65.4831, 1916, Jul Average, Sudan, SDN
81.938, 1916, Aug Average, Sudan, SDN
39.8144, 1916, Sep Average, Sudan, SDN
13.6158, 1916, Oct Average, Sudan, SDN
3.20105, 1916, Nov Average, Sudan, SDN
1.24035, 1916, Dec Average, Sudan, SDN
0.50642, 1917, Jan Average, Sudan, SDN
1.12201, 1917, Feb Average, Sudan, SDN
0.297, 1917, Mar Average, Sudan, SDN
7.04023, 1917, Apr Average, Sudan, SDN
17.6296, 1917, May Average, Sudan, SDN
37.5262, 1917, Jun Average, Sudan, SDN
55.0952, 1917, Jul Average, Sudan, SDN
67.5818, 1917, Aug Average, Sudan, SDN
43.8616, 1917, Sep Average, Sudan, SDN
7.20536, 1917, Oct Average, Sudan, SDN
1.65677, 1917, Nov Average, Sudan, SDN
1.02619, 1917, Dec Average, Sudan, SDN
0.81425, 1918, Jan Average, Sudan, SDN
0.68314, 1918, Feb Average, Sudan, SDN
1.2728, 1918, Mar Average, Sudan, SDN
2.11353, 1918, Apr Average, Sudan, SDN
9.91534, 1918, May Average, Sudan, SDN
41.1833, 1918, Jun Average, Sudan, SDN
60.9634, 1918, Jul Average, Sudan, SDN
86.9618, 1918, Aug Average, Sudan, SDN
25.0721, 1918, Sep Average, Sudan, SDN
7.78211, 1918, Oct Average, Sudan, SDN
1.82974, 1918, Nov Average, Sudan, SDN
0.80038, 1918, Dec Average, Sudan, SDN
1.38467, 1919, Jan Average, Sudan, SDN
0.5433, 1919, Feb Average, Sudan, SDN
0.19273, 1919, Mar Average, Sudan, SDN
1.97703, 1919, Apr Average, Sudan, SDN
12.4855, 1919, May Average, Sudan, SDN
11.1679, 1919, Jun Average, Sudan, SDN
59.6164, 1919, Jul Average, Sudan, SDN
64.2229, 1919, Aug Average, Sudan, SDN
34.6871, 1919, Sep Average, Sudan, SDN
5.96818, 1919, Oct Average, Sudan, SDN
1.29055, 1919, Nov Average, Sudan, SDN
0.4827, 1919, Dec Average, Sudan, SDN
0.74881, 1920, Jan Average, Sudan, SDN
0.68362, 1920, Feb Average, Sudan, SDN
2.80304, 1920, Mar Average, Sudan, SDN
1.93856, 1920, Apr Average, Sudan, SDN
31.9508, 1920, May Average, Sudan, SDN
42.8719, 1920, Jun Average, Sudan, SDN
76.5199, 1920, Jul Average, Sudan, SDN
