Rainfall - (MM), Year, Statistics, Country, ISO3
0.00215, 1901, Jan Average, Senegal, SEN
0, 1901, Feb Average, Senegal, SEN
0.00136, 1901, Mar Average, Senegal, SEN
1.12149, 1901, Apr Average, Senegal, SEN
42.3404, 1901, May Average, Senegal, SEN
112.527, 1901, Jun Average, Senegal, SEN
246.618, 1901, Jul Average, Senegal, SEN
293.676, 1901, Aug Average, Senegal, SEN
177.256, 1901, Sep Average, Senegal, SEN
55.5963, 1901, Oct Average, Senegal, SEN
1.83817, 1901, Nov Average, Senegal, SEN
0, 1901, Dec Average, Senegal, SEN
0.00215, 1902, Jan Average, Senegal, SEN
0, 1902, Feb Average, Senegal, SEN
0.00136, 1902, Mar Average, Senegal, SEN
0.08432, 1902, Apr Average, Senegal, SEN
17.3594, 1902, May Average, Senegal, SEN
51.9408, 1902, Jun Average, Senegal, SEN
159.799, 1902, Jul Average, Senegal, SEN
199.513, 1902, Aug Average, Senegal, SEN
89.2824, 1902, Sep Average, Senegal, SEN
85.9084, 1902, Oct Average, Senegal, SEN
0.83715, 1902, Nov Average, Senegal, SEN
0, 1902, Dec Average, Senegal, SEN
0.00904, 1903, Jan Average, Senegal, SEN
0, 1903, Feb Average, Senegal, SEN
0.01644, 1903, Mar Average, Senegal, SEN
0.47369, 1903, Apr Average, Senegal, SEN
12.1953, 1903, May Average, Senegal, SEN
126.519, 1903, Jun Average, Senegal, SEN
148.691, 1903, Jul Average, Senegal, SEN
297.723, 1903, Aug Average, Senegal, SEN
123.237, 1903, Sep Average, Senegal, SEN
42.6978, 1903, Oct Average, Senegal, SEN
0.14039, 1903, Nov Average, Senegal, SEN
0.00235, 1903, Dec Average, Senegal, SEN
0.00498, 1904, Jan Average, Senegal, SEN
0, 1904, Feb Average, Senegal, SEN
0.02377, 1904, Mar Average, Senegal, SEN
0.19398, 1904, Apr Average, Senegal, SEN
11.7596, 1904, May Average, Senegal, SEN
110.991, 1904, Jun Average, Senegal, SEN
181.41, 1904, Jul Average, Senegal, SEN
294.581, 1904, Aug Average, Senegal, SEN
120.534, 1904, Sep Average, Senegal, SEN
59.8501, 1904, Oct Average, Senegal, SEN
0.9206, 1904, Nov Average, Senegal, SEN
0.0037, 1904, Dec Average, Senegal, SEN
0, 1905, Jan Average, Senegal, SEN
0, 1905, Feb Average, Senegal, SEN
0.07709, 1905, Mar Average, Senegal, SEN
0.34504, 1905, Apr Average, Senegal, SEN
25.3213, 1905, May Average, Senegal, SEN
122.457, 1905, Jun Average, Senegal, SEN
239.211, 1905, Jul Average, Senegal, SEN
281.499, 1905, Aug Average, Senegal, SEN
194.245, 1905, Sep Average, Senegal, SEN
154.192, 1905, Oct Average, Senegal, SEN
5.95672, 1905, Nov Average, Senegal, SEN
0.00043, 1905, Dec Average, Senegal, SEN
0.18833, 1906, Jan Average, Senegal, SEN
0.07313, 1906, Feb Average, Senegal, SEN
0.01264, 1906, Mar Average, Senegal, SEN
1.13685, 1906, Apr Average, Senegal, SEN
36.4499, 1906, May Average, Senegal, SEN
130.307, 1906, Jun Average, Senegal, SEN
345.033, 1906, Jul Average, Senegal, SEN
403.516, 1906, Aug Average, Senegal, SEN
