Rainfall - (MM), Year, Statistics, Country, ISO3
121.106, 1901, Jan Average, Singapore, SGP
145.72, 1901, Feb Average, Singapore, SGP
110.259, 1901, Mar Average, Singapore, SGP
151.279, 1901, Apr Average, Singapore, SGP
121.315, 1901, May Average, Singapore, SGP
182.171, 1901, Jun Average, Singapore, SGP
178.827, 1901, Jul Average, Singapore, SGP
111.333, 1901, Aug Average, Singapore, SGP
159.428, 1901, Sep Average, Singapore, SGP
227.388, 1901, Oct Average, Singapore, SGP
294.603, 1901, Nov Average, Singapore, SGP
290.076, 1901, Dec Average, Singapore, SGP
440.198, 1902, Jan Average, Singapore, SGP
217.569, 1902, Feb Average, Singapore, SGP
125.95, 1902, Mar Average, Singapore, SGP
213.818, 1902, Apr Average, Singapore, SGP
122.501, 1902, May Average, Singapore, SGP
82.961, 1902, Jun Average, Singapore, SGP
48.9474, 1902, Jul Average, Singapore, SGP
71.8661, 1902, Aug Average, Singapore, SGP
97.0203, 1902, Sep Average, Singapore, SGP
190.777, 1902, Oct Average, Singapore, SGP
158.596, 1902, Nov Average, Singapore, SGP
335.935, 1902, Dec Average, Singapore, SGP
561.171, 1903, Jan Average, Singapore, SGP
247.622, 1903, Feb Average, Singapore, SGP
129.035, 1903, Mar Average, Singapore, SGP
172.686, 1903, Apr Average, Singapore, SGP
168.469, 1903, May Average, Singapore, SGP
116.155, 1903, Jun Average, Singapore, SGP
160.388, 1903, Jul Average, Singapore, SGP
271.498, 1903, Aug Average, Singapore, SGP
151.4, 1903, Sep Average, Singapore, SGP
202.866, 1903, Oct Average, Singapore, SGP
177.052, 1903, Nov Average, Singapore, SGP
304.713, 1903, Dec Average, Singapore, SGP
520.398, 1904, Jan Average, Singapore, SGP
79.4525, 1904, Feb Average, Singapore, SGP
72.8881, 1904, Mar Average, Singapore, SGP
206.313, 1904, Apr Average, Singapore, SGP
62.4983, 1904, May Average, Singapore, SGP
133.515, 1904, Jun Average, Singapore, SGP
136.669, 1904, Jul Average, Singapore, SGP
200.405, 1904, Aug Average, Singapore, SGP
148.955, 1904, Sep Average, Singapore, SGP
247.769, 1904, Oct Average, Singapore, SGP
225.74, 1904, Nov Average, Singapore, SGP
353.425, 1904, Dec Average, Singapore, SGP
166.422, 1905, Jan Average, Singapore, SGP
212.966, 1905, Feb Average, Singapore, SGP
161.516, 1905, Mar Average, Singapore, SGP
184.344, 1905, Apr Average, Singapore, SGP
259.923, 1905, May Average, Singapore, SGP
104.338, 1905, Jun Average, Singapore, SGP
160.74, 1905, Jul Average, Singapore, SGP
170.506, 1905, Aug Average, Singapore, SGP
150.266, 1905, Sep Average, Singapore, SGP
195.233, 1905, Oct Average, Singapore, SGP
322.684, 1905, Nov Average, Singapore, SGP
286.476, 1905, Dec Average, Singapore, SGP
337.166, 1906, Jan Average, Singapore, SGP
181.84, 1906, Feb Average, Singapore, SGP
220.162, 1906, Mar Average, Singapore, SGP
150.577, 1906, Apr Average, Singapore, SGP
151.606, 1906, May Average, Singapore, SGP
231.083, 1906, Jun Average, Singapore, SGP
141.422, 1906, Jul Average, Singapore, SGP
217.232, 1906, Aug Average, Singapore, SGP
149.747, 1906, Sep Average, Singapore, SGP
297.769, 1906, Oct Average, Singapore, SGP
191.011, 1906, Nov Average, Singapore, SGP
500.371, 1906, Dec Average, Singapore, SGP
92.0644, 1907, Jan Average, Singapore, SGP
108, 1907, Feb Average, Singapore, SGP
185.949, 1907, Mar Average, Singapore, SGP
140.922, 1907, Apr Average, Singapore, SGP
165.618, 1907, May Average, Singapore, SGP
191.855, 1907, Jun Average, Singapore, SGP
153.408, 1907, Jul Average, Singapore, SGP
81.9949, 1907, Aug Average, Singapore, SGP
144.038, 1907, Sep Average, Singapore, SGP
272.489, 1907, Oct Average, Singapore, SGP
189.318, 1907, Nov Average, Singapore, SGP
232.001, 1907, Dec Average, Singapore, SGP
174.718, 1908, Jan Average, Singapore, SGP
191.538, 1908, Feb Average, Singapore, SGP
161.888, 1908, Mar Average, Singapore, SGP
160.377, 1908, Apr Average, Singapore, SGP
112.562, 1908, May Average, Singapore, SGP
144.332, 1908, Jun Average, Singapore, SGP
89.9644, 1908, Jul Average, Singapore, SGP
150.279, 1908, Aug Average, Singapore, SGP
158.715, 1908, Sep Average, Singapore, SGP
204.689, 1908, Oct Average, Singapore, SGP
200.096, 1908, Nov Average, Singapore, SGP
525.615, 1908, Dec Average, Singapore, SGP
405.472, 1909, Jan Average, Singapore, SGP
222.85, 1909, Feb Average, Singapore, SGP
264.305, 1909, Mar Average, Singapore, SGP
233.028, 1909, Apr Average, Singapore, SGP
96.0491, 1909, May Average, Singapore, SGP
194.293, 1909, Jun Average, Singapore, SGP
89.5474, 1909, Jul Average, Singapore, SGP
218.737, 1909, Aug Average, Singapore, SGP
105.183, 1909, Sep Average, Singapore, SGP
203.037, 1909, Oct Average, Singapore, SGP
222.635, 1909, Nov Average, Singapore, SGP
251.793, 1909, Dec Average, Singapore, SGP
186.406, 1910, Jan Average, Singapore, SGP
402.732, 1910, Feb Average, Singapore, SGP
177.593, 1910, Mar Average, Singapore, SGP
113.603, 1910, Apr Average, Singapore, SGP
108.54, 1910, May Average, Singapore, SGP
170.184, 1910, Jun Average, Singapore, SGP
117.03, 1910, Jul Average, Singapore, SGP
308.898, 1910, Aug Average, Singapore, SGP
156.327, 1910, Sep Average, Singapore, SGP
270.469, 1910, Oct Average, Singapore, SGP
185.905, 1910, Nov Average, Singapore, SGP
258.281, 1910, Dec Average, Singapore, SGP
403.642, 1911, Jan Average, Singapore, SGP
53.1932, 1911, Feb Average, Singapore, SGP
53.6237, 1911, Mar Average, Singapore, SGP
135.808, 1911, Apr Average, Singapore, SGP
266.664, 1911, May Average, Singapore, SGP
76.8101, 1911, Jun Average, Singapore, SGP
73.6593, 1911, Jul Average, Singapore, SGP
146.842, 1911, Aug Average, Singapore, SGP
187.791, 1911, Sep Average, Singapore, SGP
285.84, 1911, Oct Average, Singapore, SGP
426.344, 1911, Nov Average, Singapore, SGP
260.925, 1911, Dec Average, Singapore, SGP
132.633, 1912, Jan Average, Singapore, SGP
395.867, 1912, Feb Average, Singapore, SGP
42.9745, 1912, Mar Average, Singapore, SGP
212.845, 1912, Apr Average, Singapore, SGP
216.296, 1912, May Average, Singapore, SGP
202.62, 1912, Jun Average, Singapore, SGP
104.898, 1912, Jul Average, Singapore, SGP
237.091, 1912, Aug Average, Singapore, SGP
154.4, 1912, Sep Average, Singapore, SGP
276.262, 1912, Oct Average, Singapore, SGP
202.472, 1912, Nov Average, Singapore, SGP
408.606, 1912, Dec Average, Singapore, SGP
590.73, 1913, Jan Average, Singapore, SGP
189.345, 1913, Feb Average, Singapore, SGP
464.696, 1913, Mar Average, Singapore, SGP
285.171, 1913, Apr Average, Singapore, SGP
195.728, 1913, May Average, Singapore, SGP
299.471, 1913, Jun Average, Singapore, SGP
98.1118, 1913, Jul Average, Singapore, SGP
93.8542, 1913, Aug Average, Singapore, SGP
198.072, 1913, Sep Average, Singapore, SGP
267.818, 1913, Oct Average, Singapore, SGP
411.95, 1913, Nov Average, Singapore, SGP
266.488, 1913, Dec Average, Singapore, SGP
705.805, 1914, Jan Average, Singapore, SGP
70.9135, 1914, Feb Average, Singapore, SGP
212.961, 1914, Mar Average, Singapore, SGP
350.503, 1914, Apr Average, Singapore, SGP
108.32, 1914, May Average, Singapore, SGP
197.737, 1914, Jun Average, Singapore, SGP
104.01, 1914, Jul Average, Singapore, SGP
47.8576, 1914, Aug Average, Singapore, SGP
81.0084, 1914, Sep Average, Singapore, SGP
131.469, 1914, Oct Average, Singapore, SGP
227.6, 1914, Nov Average, Singapore, SGP
199.259, 1914, Dec Average, Singapore, SGP
267.445, 1915, Jan Average, Singapore, SGP
129.649, 1915, Feb Average, Singapore, SGP
131.637, 1915, Mar Average, Singapore, SGP
258.233, 1915, Apr Average, Singapore, SGP
93.3372, 1915, May Average, Singapore, SGP
171.225, 1915, Jun Average, Singapore, SGP
205.371, 1915, Jul Average, Singapore, SGP
142.157, 1915, Aug Average, Singapore, SGP
175.733, 1915, Sep Average, Singapore, SGP
239.727, 1915, Oct Average, Singapore, SGP
311.013, 1915, Nov Average, Singapore, SGP
345.905, 1915, Dec Average, Singapore, SGP
107.172, 1916, Jan Average, Singapore, SGP
14.261, 1916, Feb Average, Singapore, SGP
270.579, 1916, Mar Average, Singapore, SGP
161.069, 1916, Apr Average, Singapore, SGP
205.744, 1916, May Average, Singapore, SGP
187.071, 1916, Jun Average, Singapore, SGP
270.75, 1916, Jul Average, Singapore, SGP
277.913, 1916, Aug Average, Singapore, SGP
120.055, 1916, Sep Average, Singapore, SGP
199.174, 1916, Oct Average, Singapore, SGP
347.8, 1916, Nov Average, Singapore, SGP
191.128, 1916, Dec Average, Singapore, SGP
451.793, 1917, Jan Average, Singapore, SGP
305.449, 1917, Feb Average, Singapore, SGP
277.505, 1917, Mar Average, Singapore, SGP
217.072, 1917, Apr Average, Singapore, SGP
178.211, 1917, May Average, Singapore, SGP
115.289, 1917, Jun Average, Singapore, SGP
77.5745, 1917, Jul Average, Singapore, SGP
341.216, 1917, Aug Average, Singapore, SGP
226.198, 1917, Sep Average, Singapore, SGP
211.189, 1917, Oct Average, Singapore, SGP
180.081, 1917, Nov Average, Singapore, SGP
257.008, 1917, Dec Average, Singapore, SGP
685.391, 1918, Jan Average, Singapore, SGP
39.9813, 1918, Feb Average, Singapore, SGP
69.2288, 1918, Mar Average, Singapore, SGP
219.52, 1918, Apr Average, Singapore, SGP
200.062, 1918, May Average, Singapore, SGP
298.462, 1918, Jun Average, Singapore, SGP
130.784, 1918, Jul Average, Singapore, SGP
124.793, 1918, Aug Average, Singapore, SGP
231.162, 1918, Sep Average, Singapore, SGP
180.613, 1918, Oct Average, Singapore, SGP
183.947, 1918, Nov Average, Singapore, SGP
238.052, 1918, Dec Average, Singapore, SGP
361.489, 1919, Jan Average, Singapore, SGP
121.576, 1919, Feb Average, Singapore, SGP
253.879, 1919, Mar Average, Singapore, SGP
240.564, 1919, Apr Average, Singapore, SGP
207.318, 1919, May Average, Singapore, SGP
102.106, 1919, Jun Average, Singapore, SGP
227.052, 1919, Jul Average, Singapore, SGP
156.952, 1919, Aug Average, Singapore, SGP
130.311, 1919, Sep Average, Singapore, SGP
255.074, 1919, Oct Average, Singapore, SGP
238.208, 1919, Nov Average, Singapore, SGP
220.427, 1919, Dec Average, Singapore, SGP
418.525, 1920, Jan Average, Singapore, SGP
172.144, 1920, Feb Average, Singapore, SGP
166.364, 1920, Mar Average, Singapore, SGP
154.011, 1920, Apr Average, Singapore, SGP
124.194, 1920, May Average, Singapore, SGP
83.1457, 1920, Jun Average, Singapore, SGP
158.052, 1920, Jul Average, Singapore, SGP
238.906, 1920, Aug Average, Singapore, SGP
195.238, 1920, Sep Average, Singapore, SGP
233.496, 1920, Oct Average, Singapore, SGP
319.313, 1920, Nov Average, Singapore, SGP
97.0542, 1920, Dec Average, Singapore, SGP
534.54, 1921, Jan Average, Singapore, SGP
256.379, 1921, Feb Average, Singapore, SGP
239.298, 1921, Mar Average, Singapore, SGP
224.552, 1921, Apr Average, Singapore, SGP
208.857, 1921, May Average, Singapore, SGP
139.827, 1921, Jun Average, Singapore, SGP
130.169, 1921, Jul Average, Singapore, SGP
140.016, 1921, Aug Average, Singapore, SGP
189.093, 1921, Sep Average, Singapore, SGP
370.377, 1921, Oct Average, Singapore, SGP
268.874, 1921, Nov Average, Singapore, SGP
122.788, 1921, Dec Average, Singapore, SGP
181.205, 1922, Jan Average, Singapore, SGP
153.252, 1922, Feb Average, Singapore, SGP
197.508, 1922, Mar Average, Singapore, SGP
208.545, 1922, Apr Average, Singapore, SGP
175.998, 1922, May Average, Singapore, SGP
153.023, 1922, Jun Average, Singapore, SGP
95.2779, 1922, Jul Average, Singapore, SGP
255.591, 1922, Aug Average, Singapore, SGP
149.466, 1922, Sep Average, Singapore, SGP
309.069, 1922, Oct Average, Singapore, SGP
411.654, 1922, Nov Average, Singapore, SGP
216.488, 1922, Dec Average, Singapore, SGP
437.727, 1923, Jan Average, Singapore, SGP
48.8033, 1923, Feb Average, Singapore, SGP
234.933, 1923, Mar Average, Singapore, SGP
127.966, 1923, Apr Average, Singapore, SGP
151.774, 1923, May Average, Singapore, SGP
121.533, 1923, Jun Average, Singapore, SGP
198.705, 1923, Jul Average, Singapore, SGP
151.788, 1923, Aug Average, Singapore, SGP
126.311, 1923, Sep Average, Singapore, SGP
