Rainfall - (MM), Year, Statistics, Country, ISO3
337.013, 1901, Jan Average, Solomon Islands, SLB
325.466, 1901, Feb Average, Solomon Islands, SLB
347.355, 1901, Mar Average, Solomon Islands, SLB
256.884, 1901, Apr Average, Solomon Islands, SLB
220.224, 1901, May Average, Solomon Islands, SLB
179.984, 1901, Jun Average, Solomon Islands, SLB
240.944, 1901, Jul Average, Solomon Islands, SLB
223.306, 1901, Aug Average, Solomon Islands, SLB
205.593, 1901, Sep Average, Solomon Islands, SLB
211.249, 1901, Oct Average, Solomon Islands, SLB
219.472, 1901, Nov Average, Solomon Islands, SLB
267.769, 1901, Dec Average, Solomon Islands, SLB
336.394, 1902, Jan Average, Solomon Islands, SLB
325.269, 1902, Feb Average, Solomon Islands, SLB
346.851, 1902, Mar Average, Solomon Islands, SLB
256.846, 1902, Apr Average, Solomon Islands, SLB
219.977, 1902, May Average, Solomon Islands, SLB
180.699, 1902, Jun Average, Solomon Islands, SLB
240.601, 1902, Jul Average, Solomon Islands, SLB
224.64, 1902, Aug Average, Solomon Islands, SLB
204.792, 1902, Sep Average, Solomon Islands, SLB
211.187, 1902, Oct Average, Solomon Islands, SLB
219.095, 1902, Nov Average, Solomon Islands, SLB
267.695, 1902, Dec Average, Solomon Islands, SLB
336.491, 1903, Jan Average, Solomon Islands, SLB
325.175, 1903, Feb Average, Solomon Islands, SLB
347.301, 1903, Mar Average, Solomon Islands, SLB
256.724, 1903, Apr Average, Solomon Islands, SLB
219.568, 1903, May Average, Solomon Islands, SLB
179.867, 1903, Jun Average, Solomon Islands, SLB
240.019, 1903, Jul Average, Solomon Islands, SLB
222.898, 1903, Aug Average, Solomon Islands, SLB
204.496, 1903, Sep Average, Solomon Islands, SLB
211.652, 1903, Oct Average, Solomon Islands, SLB
219.508, 1903, Nov Average, Solomon Islands, SLB
267.548, 1903, Dec Average, Solomon Islands, SLB
336.777, 1904, Jan Average, Solomon Islands, SLB
325.204, 1904, Feb Average, Solomon Islands, SLB
347.154, 1904, Mar Average, Solomon Islands, SLB
256.665, 1904, Apr Average, Solomon Islands, SLB
219.841, 1904, May Average, Solomon Islands, SLB
180.666, 1904, Jun Average, Solomon Islands, SLB
240.491, 1904, Jul Average, Solomon Islands, SLB
223.16, 1904, Aug Average, Solomon Islands, SLB
205.511, 1904, Sep Average, Solomon Islands, SLB
211.738, 1904, Oct Average, Solomon Islands, SLB
219.381, 1904, Nov Average, Solomon Islands, SLB
267.832, 1904, Dec Average, Solomon Islands, SLB
336.063, 1905, Jan Average, Solomon Islands, SLB
325.314, 1905, Feb Average, Solomon Islands, SLB
346.666, 1905, Mar Average, Solomon Islands, SLB
257.095, 1905, Apr Average, Solomon Islands, SLB
219.837, 1905, May Average, Solomon Islands, SLB
180.495, 1905, Jun Average, Solomon Islands, SLB
241.663, 1905, Jul Average, Solomon Islands, SLB
223.328, 1905, Aug Average, Solomon Islands, SLB
204.485, 1905, Sep Average, Solomon Islands, SLB
211.187, 1905, Oct Average, Solomon Islands, SLB
219.398, 1905, Nov Average, Solomon Islands, SLB
268.05, 1905, Dec Average, Solomon Islands, SLB
336.4, 1906, Jan Average, Solomon Islands, SLB
325.03, 1906, Feb Average, Solomon Islands, SLB
347.276, 1906, Mar Average, Solomon Islands, SLB
256.753, 1906, Apr Average, Solomon Islands, SLB
220.081, 1906, May Average, Solomon Islands, SLB
180.043, 1906, Jun Average, Solomon Islands, SLB
240.143, 1906, Jul Average, Solomon Islands, SLB
