Rainfall - (MM), Year, Statistics, Country, ISO3
5.51813, 1901, Jan Average, Sierra Leone, SLE
15.7719, 1901, Feb Average, Sierra Leone, SLE
36.4362, 1901, Mar Average, Sierra Leone, SLE
96.1122, 1901, Apr Average, Sierra Leone, SLE
220.913, 1901, May Average, Sierra Leone, SLE
313.004, 1901, Jun Average, Sierra Leone, SLE
457.107, 1901, Jul Average, Sierra Leone, SLE
514.7, 1901, Aug Average, Sierra Leone, SLE
412.232, 1901, Sep Average, Sierra Leone, SLE
276.408, 1901, Oct Average, Sierra Leone, SLE
92.7614, 1901, Nov Average, Sierra Leone, SLE
19.0536, 1901, Dec Average, Sierra Leone, SLE
5.51813, 1902, Jan Average, Sierra Leone, SLE
15.7719, 1902, Feb Average, Sierra Leone, SLE
36.4362, 1902, Mar Average, Sierra Leone, SLE
95.313, 1902, Apr Average, Sierra Leone, SLE
214.437, 1902, May Average, Sierra Leone, SLE
313.001, 1902, Jun Average, Sierra Leone, SLE
457.016, 1902, Jul Average, Sierra Leone, SLE
512.022, 1902, Aug Average, Sierra Leone, SLE
407.899, 1902, Sep Average, Sierra Leone, SLE
278.462, 1902, Oct Average, Sierra Leone, SLE
93.1008, 1902, Nov Average, Sierra Leone, SLE
19.0536, 1902, Dec Average, Sierra Leone, SLE
27.5462, 1903, Jan Average, Sierra Leone, SLE
15.7719, 1903, Feb Average, Sierra Leone, SLE
37.7338, 1903, Mar Average, Sierra Leone, SLE
40.4805, 1903, Apr Average, Sierra Leone, SLE
221, 1903, May Average, Sierra Leone, SLE
360.644, 1903, Jun Average, Sierra Leone, SLE
574.786, 1903, Jul Average, Sierra Leone, SLE
442.776, 1903, Aug Average, Sierra Leone, SLE
388.605, 1903, Sep Average, Sierra Leone, SLE
280.699, 1903, Oct Average, Sierra Leone, SLE
141.724, 1903, Nov Average, Sierra Leone, SLE
40.2422, 1903, Dec Average, Sierra Leone, SLE
13.2515, 1904, Jan Average, Sierra Leone, SLE
15.7719, 1904, Feb Average, Sierra Leone, SLE
41.8766, 1904, Mar Average, Sierra Leone, SLE
59.2067, 1904, Apr Average, Sierra Leone, SLE
222.828, 1904, May Average, Sierra Leone, SLE
301.348, 1904, Jun Average, Sierra Leone, SLE
783.6, 1904, Jul Average, Sierra Leone, SLE
659.459, 1904, Aug Average, Sierra Leone, SLE
442.63, 1904, Sep Average, Sierra Leone, SLE
