Rainfall - (MM), Year, Statistics, Country, ISO3
3.54824, 1901, Jan Average, Somalia, SOM
6.52082, 1901, Feb Average, Somalia, SOM
9.04464, 1901, Mar Average, Somalia, SOM
56.799, 1901, Apr Average, Somalia, SOM
68.7582, 1901, May Average, Somalia, SOM
13.1195, 1901, Jun Average, Somalia, SOM
14.855, 1901, Jul Average, Somalia, SOM
25.2087, 1901, Aug Average, Somalia, SOM
15.4798, 1901, Sep Average, Somalia, SOM
36.6121, 1901, Oct Average, Somalia, SOM
17.5206, 1901, Nov Average, Somalia, SOM
56.6244, 1901, Dec Average, Somalia, SOM
3.17466, 1902, Jan Average, Somalia, SOM
2.11356, 1902, Feb Average, Somalia, SOM
6.61647, 1902, Mar Average, Somalia, SOM
30.0975, 1902, Apr Average, Somalia, SOM
90.1842, 1902, May Average, Somalia, SOM
17.5216, 1902, Jun Average, Somalia, SOM
4.7586, 1902, Jul Average, Somalia, SOM
3.62133, 1902, Aug Average, Somalia, SOM
8.46798, 1902, Sep Average, Somalia, SOM
52.0585, 1902, Oct Average, Somalia, SOM
104.094, 1902, Nov Average, Somalia, SOM
4.1511, 1902, Dec Average, Somalia, SOM
4.19445, 1903, Jan Average, Somalia, SOM
2.50318, 1903, Feb Average, Somalia, SOM
7.3028, 1903, Mar Average, Somalia, SOM
52.1915, 1903, Apr Average, Somalia, SOM
40.7269, 1903, May Average, Somalia, SOM
6.08368, 1903, Jun Average, Somalia, SOM
8.96602, 1903, Jul Average, Somalia, SOM
8.21085, 1903, Aug Average, Somalia, SOM
41.651, 1903, Sep Average, Somalia, SOM
36.2824, 1903, Oct Average, Somalia, SOM
17.0789, 1903, Nov Average, Somalia, SOM
4.52666, 1903, Dec Average, Somalia, SOM
3.09807, 1904, Jan Average, Somalia, SOM
2.08139, 1904, Feb Average, Somalia, SOM
12.615, 1904, Mar Average, Somalia, SOM
30.0737, 1904, Apr Average, Somalia, SOM
51.8018, 1904, May Average, Somalia, SOM
17.5258, 1904, Jun Average, Somalia, SOM
8.82241, 1904, Jul Average, Somalia, SOM
3.01331, 1904, Aug Average, Somalia, SOM
36.9452, 1904, Sep Average, Somalia, SOM
39.2145, 1904, Oct Average, Somalia, SOM
26.8779, 1904, Nov Average, Somalia, SOM
4.8975, 1904, Dec Average, Somalia, SOM
3.21404, 1905, Jan Average, Somalia, SOM
2.55343, 1905, Feb Average, Somalia, SOM
64.7607, 1905, Mar Average, Somalia, SOM
59.6618, 1905, Apr Average, Somalia, SOM
61.2464, 1905, May Average, Somalia, SOM
8.2685, 1905, Jun Average, Somalia, SOM
15.7349, 1905, Jul Average, Somalia, SOM
5.90155, 1905, Aug Average, Somalia, SOM
